
 Replication 	 FitnessValue 	 Frequency	Bus1	Bus2	Bus3	Bus4	Bus5	Bus6
Replication0	 0.24933	0.99646	0.95715 	0.95930 	0.95783 	0.96040 	0.96048 	0.95992 
Replication1	 0.17522	0.99730	0.97020 	0.97143 	0.96999 	0.97239 	0.97232 	0.97170 
Replication2	 0.13799	0.99774	0.97573 	0.97821 	0.97638 	0.97840 	0.97830 	0.97794 
Replication3	 0.21856	0.99681	0.96246 	0.96464 	0.96269 	0.96548 	0.96540 	0.96477 
Replication4	 0.12162	0.99793	0.97796 	0.98108 	0.97953 	0.98093 	0.98095 	0.98087 
Replication5	 0.24536	0.99651	0.95814 	0.95996 	0.95824 	0.96114 	0.96112 	0.96041 
Replication6	 0.18436	0.99719	0.96820 	0.96993 	0.96883 	0.97077 	0.97085 	0.97044 
Replication7	 0.12236	0.99790	0.97962 	0.98021 	0.97849 	0.98105 	0.98078 	0.98004 
Replication8	 0.22952	0.99668	0.96052 	0.96254 	0.96118 	0.96356 	0.96364 	0.96312 
Replication9	 0.13944	0.99772	0.97515 	0.97806 	0.97640 	0.97811 	0.97809 	0.97789 
Replication10	 0.21638	0.99683	0.96303 	0.96469 	0.96317 	0.96575 	0.96574 	0.96511 
Replication11	 0.21532	0.99685	0.96255 	0.96489 	0.96397 	0.96571 	0.96593 	0.96565 
Replication12	 0.14344	0.99768	0.97458 	0.97764 	0.97540 	0.97762 	0.97745 	0.97710 
Replication13	 0.26810	0.99626	0.95359 	0.95639 	0.95489 	0.95736 	0.95752 	0.95706 
Replication14	 0.20916	0.99691	0.96413 	0.96586 	0.96446 	0.96685 	0.96687 	0.96632 
Replication15	 0.18951	0.99714	0.96715 	0.96910 	0.96812 	0.96989 	0.97004 	0.96970 
Replication16	 0.17366	0.99732	0.96952 	0.97171 	0.97112 	0.97233 	0.97259 	0.97247 
Replication17	 0.19311	0.99710	0.96624 	0.96853 	0.96781 	0.96923 	0.96949 	0.96930 
Replication18	 0.23962	0.99657	0.95887 	0.96109 	0.95923 	0.96207 	0.96204 	0.96139 
Replication19	 0.24602	0.99650	0.95865 	0.95990 	0.95769 	0.96129 	0.96107 	0.96007 
Replication20	 0.17035	0.99735	0.97058 	0.97223 	0.97120 	0.97301 	0.97309 	0.97271 
Replication21	 0.20535	0.99695	0.96475 	0.96648 	0.96513 	0.96745 	0.96748 	0.96695 
Replication22	 0.20219	0.99699	0.96512 	0.96702 	0.96586 	0.96791 	0.96801 	0.96758 
Replication23	 0.14096	0.99768	0.97569 	0.97702 	0.97604 	0.97774 	0.97778 	0.97739 
Replication24	 0.13162	0.99781	0.97658 	0.97926 	0.97769 	0.97935 	0.97933 	0.97911 
Replication25	 0.16624	0.99742	0.97032 	0.97336 	0.97247 	0.97357 	0.97382 	0.97383 
Replication26	 0.24531	0.99651	0.95744 	0.95999 	0.95891 	0.96092 	0.96115 	0.96081 
