
Replication	FitnessValue	Frequency	Bus1	Bus2	Bus3	Bus4	Bus5	Bus6	Bus7	Bus8	Bus9	Bus10	Bus11	Bus12	Bus1_P	Bus2_P	Bus3_P	Bus4_P	Bus5_P	Bus6_P	Bus7_P	Bus8_P	Bus9_P	Bus10_P	Bus11_P	Bus12_P	Bus1_Q	Bus2_Q	Bus3_Q	Bus4_Q	Bus5_Q	Bus6_Q	Bus7_Q	Bus8_Q	Bus9_Q	Bus10_Q	Bus11_Q	Bus12_Q	PLoss	QLoss
Replication0	 0.10227	0.97877	0.92102 	0.92085 	0.92520 	0.94687 	0.93107 	0.95016 	0.84773 	0.89113 	0.94406 	0.86897 	0.90291 	0.94411 	-0.32841 	-0.56527 	-0.50655 	0.49008 	0.00000 	0.70755 	-0.60664 	-0.22679 	0.50574 	-0.35282 	0.16870 	0.75818 	-0.11239 	-0.19345 	-0.17336 	0.21464 	0.00000 	0.29439 	-0.20761 	-0.07761 	0.23030 	-0.12075 	0.05774 	0.34502 	0.04377	0.25690
Replication1	 0.12335	0.97677	0.89420 	0.90896 	0.91360 	0.93490 	0.91796 	0.94192 	0.82665 	0.87192 	0.93509 	0.84071 	0.88996 	0.93478 	-0.57685 	-0.49741 	-0.55322 	0.56990 	0.03462 	0.79601 	-0.58941 	-0.23910 	0.56883 	-0.57573 	0.27734 	0.85578 	-0.19821 	-0.17091 	-0.19009 	0.26847 	0.01189 	0.34387 	-0.20252 	-0.08216 	0.26741 	-0.19782 	0.09529 	0.40364 	0.07075	0.34887
Replication2	 0.08554	0.97885	0.91020 	0.92288 	0.93227 	0.94498 	0.93076 	0.95319 	0.86446 	0.89638 	0.94753 	0.88224 	0.90842 	0.94759 	-0.49137 	-0.47959 	-0.35661 	0.50005 	0.00000 	0.68139 	-0.48727 	-0.40739 	0.48582 	-0.22538 	0.09320 	0.72830 	-0.16813 	-0.16410 	-0.12202 	0.22571 	0.00000 	0.26987 	-0.16673 	-0.13940 	0.21148 	-0.07712 	0.03189 	0.31678 	0.04114	0.21822
Replication3	 0.02271	0.98480	0.94191 	0.95344 	0.95206 	0.96630 	0.95547 	0.97022 	0.92729 	0.93437 	0.96833 	0.93537 	0.95570 	0.96762 	-0.38800 	-0.20666 	-0.43522 	0.34252 	0.00041 	0.48093 	-0.23160 	-0.61070 	0.33119 	-0.02441 	0.23928 	0.50269 	-0.13119 	-0.06988 	-0.14716 	0.14533 	0.00014 	0.18516 	-0.07831 	-0.20649 	0.13400 	-0.00825 	0.08091 	0.20692 	0.00044	0.11118
Replication4	 0.11633	0.97825	0.92401 	0.92155 	0.92950 	0.94796 	0.93313 	0.95073 	0.83367 	0.87689 	0.94068 	0.85246 	0.89027 	0.94043 	-0.27007 	-0.60656 	-0.35096 	0.48735 	0.00000 	0.70787 	-0.58643 	-0.35214 	0.52800 	-0.41060 	0.13306 	0.79407 	-0.09252 	-0.20780 	-0.12023 	0.20519 	0.00000 	0.28464 	-0.20090 	-0.12064 	0.24584 	-0.14067 	0.04559 	0.37084 	0.07359	0.26935
Replication5	 0.08510	0.98009	0.93436 	0.93020 	0.93145 	0.95430 	0.93994 	0.95528 	0.86490 	0.89838 	0.94946 	0.88388 	0.91710 	0.94903 	-0.23760 	-0.51932 	-0.52215 	0.44007 	0.00647 	0.65189 	-0.53693 	-0.41610 	0.46705 	-0.25278 	0.24848 	0.70421 	-0.08110 	-0.17726 	-0.17822 	0.18174 	0.00221 	0.26440 	-0.18327 	-0.14203 	0.20872 	-0.08628 	0.08481 	0.31672 	0.03329	0.21044
Replication6	 0.07145	0.98332	0.93916 	0.94073 	0.95464 	0.96064 	0.95114 	0.96686 	0.87855 	0.91207 	0.96090 	0.89351 	0.93156 	0.96011 	-0.26655 	-0.53852 	-0.11207 	0.38371 	0.00000 	0.52346 	-0.52484 	-0.31885 	0.38226 	-0.36726 	0.30721 	0.57996 	-0.09039 	-0.18263 	-0.03801 	0.16732 	0.00000 	0.19888 	-0.17799 	-0.10813 	0.16587 	-0.12455 	0.10418 	0.25537 	0.04851	0.16993
Replication7	 0.06973	0.98057	0.92995 	0.93467 	0.93465 	0.95494 	0.94077 	0.95748 	0.88027 	0.90225 	0.95226 	0.88626 	0.92499 	0.95155 	-0.34586 	-0.39080 	-0.50386 	0.43333 	0.00000 	0.62871 	-0.36654 	-0.46434 	0.44829 	-0.38590 	0.29699 	0.67837 	-0.11794 	-0.13326 	-0.17182 	0.18128 	0.00000 	0.25063 	-0.12499 	-0.15834 	0.19624 	-0.13159 	0.10127 	0.30029 	0.02839	0.19178
Replication8	 0.10771	0.97813	0.90899 	0.92189 	0.92927 	0.94411 	0.92910 	0.95082 	0.84229 	0.88251 	0.94269 	0.86874 	0.89840 	0.94237 	-0.48664 	-0.45322 	-0.36339 	0.50966 	0.00096 	0.70824 	-0.61855 	-0.50438 	0.51758 	-0.17296 	0.14669 	0.77900 	-0.16676 	-0.15530 	-0.12452 	0.22591 	0.00033 	0.28261 	-0.21196 	-0.17284 	0.23382 	-0.05927 	0.05026 	0.35337 	0.06297	0.25565
Replication9	 0.13090	0.97844	0.93039 	0.93699 	0.92922 	0.95545 	0.93916 	0.95173 	0.81910 	0.85437 	0.93473 	0.81966 	0.87482 	0.93368 	-0.30941 	-0.22997 	-0.44569 	0.44433 	0.00000 	0.69763 	-0.42336 	-0.48736 	0.55997 	-0.71363 	0.17354 	0.84874 	-0.10596 	-0.07876 	-0.15263 	0.16463 	0.00000 	0.27808 	-0.14498 	-0.16690 	0.28027 	-0.24439 	0.05943 	0.42919 	0.11479	0.31799
