
Replication	FitnessValue	Frequency	Bus1	Bus2	Bus3	Bus4	Bus5	Bus6	Bus7	Bus8	Bus9	Bus10	Bus11	Bus12	Bus1_P	Bus2_P	Bus3_P	Bus4_P	Bus5_P	Bus6_P	Bus7_P	Bus8_P	Bus9_P	Bus10_P	Bus11_P	Bus12_P	Bus1_Q	Bus2_Q	Bus3_Q	Bus4_Q	Bus5_Q	Bus6_Q	Bus7_Q	Bus8_Q	Bus9_Q	Bus10_Q	Bus11_Q	Bus12_Q	PLoss	QLoss
Replication0	 -1.32800	0.99882	0.98455 	0.98697 	0.99239 	0.98848 	0.99045 	0.99845 	0.98525 	0.99156 	0.99941 	0.98681 	1.00415 	1.00632 	-0.14819 	-0.15221 	-0.12153 	0.02634 	0.00984 	0.10603 	-0.14992 	-0.14546 	0.00895 	-0.16200 	0.26878 	0.44023 	-0.04872 	-0.05004 	-0.03996 	0.02510 	0.00324 	0.09771 	-0.04929 	-0.04783 	0.00739 	-0.05326 	0.08837 	0.12350 	0.01915	0.05622
Replication1	 -1.30370	0.99863	0.98578 	0.98665 	0.99076 	0.98864 	0.98974 	0.99752 	0.98184 	0.98930 	0.99719 	0.98443 	0.99650 	1.00573 	-0.12660 	-0.15187 	-0.14352 	0.02625 	0.00000 	0.11486 	-0.14462 	-0.12884 	0.01079 	-0.13068 	0.14152 	0.51103 	-0.04164 	-0.04995 	-0.04720 	0.02481 	0.00000 	0.10520 	-0.04757 	-0.04238 	0.00897 	-0.04298 	0.04654 	0.14301 	0.02168	0.05683
Replication2	 -1.28851	0.99863	0.98507 	0.98605 	0.98980 	0.98805 	0.98907 	0.99713 	0.98309 	0.98927 	0.99725 	0.98438 	0.99872 	1.00570 	-0.13228 	-0.15019 	-0.16589 	0.02696 	0.00000 	0.11837 	-0.13107 	-0.14876 	0.01074 	-0.15160 	0.18768 	0.51307 	-0.04351 	-0.04940 	-0.05456 	0.02553 	0.00000 	0.10871 	-0.04311 	-0.04893 	0.00892 	-0.04986 	0.06173 	0.14491 	0.02296	0.06042
Replication3	 -1.28590	0.99859	0.98279 	0.98480 	0.98931 	0.98657 	0.98786 	0.99665 	0.98131 	0.98876 	0.99687 	0.98416 	0.99821 	1.00558 	-0.15219 	-0.15280 	-0.15823 	0.02875 	0.00000 	0.12270 	-0.15709 	-0.15003 	0.01106 	-0.13370 	0.19082 	0.52775 	-0.05006 	-0.05026 	-0.05205 	0.02727 	0.00000 	0.11275 	-0.05167 	-0.04935 	0.00919 	-0.04398 	0.06277 	0.14864 	0.02296	0.06325
Replication4	 -1.32699	0.99890	0.98538 	0.98697 	0.99213 	0.98873 	0.99021 	0.99849 	0.98558 	0.99233 	1.00023 	0.98800 	1.00863 	1.00651 	-0.13382 	-0.15744 	-0.13758 	0.02601 	0.00000 	0.10535 	-0.17927 	-0.16146 	0.00826 	-0.16406 	0.36048 	0.41470 	-0.04399 	-0.05175 	-0.04522 	0.02486 	0.00000 	0.09761 	-0.05893 	-0.05307 	0.00680 	-0.05393 	0.11850 	0.11978 	0.01881	0.06065
Replication5	 -1.30788	0.99855	0.98378 	0.98599 	0.99012 	0.98768 	0.98977 	0.99711 	0.97821 	0.98678 	0.99633 	0.98156 	0.99553 	1.00541 	-0.15575 	-0.14584 	-0.14870 	0.02745 	0.02316 	0.11881 	-0.17009 	-0.15642 	0.01151 	-0.14072 	0.16975 	0.54609 	-0.05124 	-0.04797 	-0.04891 	0.02593 	0.00762 	0.10858 	-0.05595 	-0.05146 	0.00958 	-0.04629 	0.05584 	0.15599 	0.02074	0.06170
Replication6	 -1.30044	0.99890	0.98419 	0.98666 	0.99153 	0.98830 	0.99125 	0.99839 	0.99036 	0.99433 	1.00022 	0.99118 	1.00722 	1.00659 	-0.16010 	-0.15694 	-0.16138 	0.02651 	0.03682 	0.10626 	-0.11851 	-0.15310 	0.00827 	-0.13239 	0.27440 	0.40817 	-0.05263 	-0.05159 	-0.05305 	0.02536 	0.01210 	0.09854 	-0.03896 	-0.05033 	0.00681 	-0.04352 	0.09020 	0.11410 	0.02201	0.05705
Replication7	 -1.29375	0.99842	0.98412 	0.98524 	0.98888 	0.98731 	0.98873 	0.99634 	0.97676 	0.98519 	0.99492 	0.97878 	0.99134 	1.00502 	-0.14114 	-0.15208 	-0.16053 	0.02795 	0.01194 	0.12606 	-0.14635 	-0.13817 	0.01267 	-0.16430 	0.10964 	0.59232 	-0.04644 	-0.05004 	-0.05282 	0.02631 	0.00393 	0.11496 	-0.04815 	-0.04546 	0.01059 	-0.05406 	0.03608 	0.16970 	0.02198	0.06458
Replication8	 -1.30004	0.99857	0.98275 	0.98603 	0.98996 	0.98726 	0.98887 	0.99704 	0.98072 	0.98770 	0.99664 	0.98280 	0.99668 	1.00551 	-0.16834 	-0.12746 	-0.15219 	0.02794 	0.01025 	0.11931 	-0.14374 	-0.16203 	0.01125 	-0.14355 	0.17118 	0.53575 	-0.05538 	-0.04193 	-0.05006 	0.02644 	0.00337 	0.10923 	-0.04728 	-0.05330 	0.00935 	-0.04722 	0.05631 	0.15161 	0.02164	0.06113
Replication9	 -1.29391	0.99837	0.98219 	0.98406 	0.98833 	0.98594 	0.98710 	0.99582 	0.97604 	0.98376 	0.99459 	0.97828 	0.99233 	1.00485 	-0.15333 	-0.15248 	-0.15300 	0.02962 	0.00000 	0.13081 	-0.15107 	-0.19249 	0.01297 	-0.15307 	0.14811 	0.61228 	-0.05046 	-0.05018 	-0.05035 	0.02792 	0.00000 	0.11935 	-0.04971 	-0.06334 	0.01081 	-0.05037 	0.04874 	0.17536 	0.02164	0.06775
