
Replication	FitnessValue	Frequency	Bus1	Bus2	Bus3	Bus4	Bus5	Bus6	Bus7	Bus8	Bus9	Bus10	Bus11	Bus12	Bus1_P	Bus2_P	Bus3_P	Bus4_P	Bus5_P	Bus6_P	Bus7_P	Bus8_P	Bus9_P	Bus10_P	Bus11_P	Bus12_P	Bus1_Q	Bus2_Q	Bus3_Q	Bus4_Q	Bus5_Q	Bus6_Q	Bus7_Q	Bus8_Q	Bus9_Q	Bus10_Q	Bus11_Q	Bus12_Q	PLoss	QLoss
Replication0	 -1.50147	0.99749	0.98261 	0.98531 	0.98737 	0.99140 	0.98811 	0.99243 	0.97554 	0.98165 	0.99327 	0.97839 	0.99063 	0.99198 	-0.13950 	-0.14182 	-0.11784 	0.13609 	0.01776 	0.15585 	-0.13788 	-0.12608 	0.12622 	-0.09977 	0.16389 	0.15846 	-0.04599 	-0.04675 	-0.03885 	0.06041 	0.00586 	0.05064 	-0.04545 	-0.04156 	0.05054 	-0.03289 	0.05403 	0.05325 	0.00462	0.02323
Replication1	 -1.46825	0.99798	0.98586 	0.98811 	0.98975 	0.99355 	0.98997 	0.99477 	0.98550 	0.98852 	0.99692 	0.98501 	0.99968 	0.99570 	-0.12593 	-0.12749 	-0.12974 	0.11735 	0.00000 	0.13180 	-0.08875 	-0.09930 	0.09950 	-0.14061 	0.22903 	0.12635 	-0.04147 	-0.04199 	-0.04273 	0.05650 	0.00000 	0.04721 	-0.02923 	-0.03270 	0.03865 	-0.04631 	0.07543 	0.04175 	0.00778	0.02511
Replication2	 -1.49109	0.99787	0.98534 	0.98793 	0.98935 	0.99328 	0.98960 	0.99430 	0.98072 	0.98549 	0.99600 	0.98248 	0.99863 	0.99457 	-0.12813 	-0.11913 	-0.12502 	0.12040 	0.00000 	0.13686 	-0.13486 	-0.13910 	0.10605 	-0.12262 	0.26483 	0.13530 	-0.04221 	-0.03924 	-0.04118 	0.05620 	0.00000 	0.04762 	-0.04442 	-0.04582 	0.04185 	-0.04039 	0.08724 	0.04606 	0.00542	0.02572
Replication3	 -1.51433	0.99787	0.98485 	0.98879 	0.99084 	0.99372 	0.99236 	0.99518 	0.98096 	0.98532 	0.99606 	0.98229 	0.99598 	0.99476 	-0.15526 	-0.11941 	-0.10416 	0.11799 	0.04944 	0.13156 	-0.11494 	-0.13548 	0.10567 	-0.11412 	0.20112 	0.13402 	-0.05114 	-0.03933 	-0.03431 	0.05398 	0.01629 	0.04257 	-0.03786 	-0.04463 	0.04165 	-0.03759 	0.06625 	0.04502 	0.00356	0.02090
Replication4	 -1.49820	0.99747	0.98446 	0.98599 	0.98695 	0.99215 	0.98858 	0.99235 	0.97503 	0.98121 	0.99283 	0.97740 	0.98891 	0.99161 	-0.11683 	-0.13451 	-0.13571 	0.13238 	0.01519 	0.15660 	-0.12916 	-0.11013 	0.12877 	-0.10951 	0.13688 	0.16099 	-0.03851 	-0.04434 	-0.04474 	0.05624 	0.00501 	0.05075 	-0.04258 	-0.03631 	0.05263 	-0.03610 	0.04513 	0.05515 	0.00504	0.02232
Replication5	 -1.47782	0.99822	0.98784 	0.98942 	0.99102 	0.99479 	0.99217 	0.99596 	0.98549 	0.98965 	0.99848 	0.98653 	1.00516 	0.99701 	-0.11783 	-0.13418 	-0.13528 	0.10710 	0.01788 	0.11966 	-0.13437 	-0.12318 	0.08760 	-0.14235 	0.33505 	0.11349 	-0.03878 	-0.04417 	-0.04453 	0.05361 	0.00589 	0.04530 	-0.04423 	-0.04055 	0.03411 	-0.04686 	0.11029 	0.03913 	0.00640	0.02921
Replication6	 -1.49317	0.99761	0.98486 	0.98684 	0.98783 	0.99267 	0.98935 	0.99312 	0.97804 	0.98285 	0.99394 	0.97946 	0.99198 	0.99267 	-0.12303 	-0.12773 	-0.13536 	0.12756 	0.01717 	0.14923 	-0.11322 	-0.12479 	0.12084 	-0.11405 	0.16600 	0.15184 	-0.04055 	-0.04210 	-0.04461 	0.05557 	0.00566 	0.04915 	-0.03732 	-0.04113 	0.04885 	-0.03759 	0.05471 	0.05176 	0.00554	0.02243
Replication7	 -1.49879	0.99745	0.98375 	0.98587 	0.98673 	0.99183 	0.98760 	0.99215 	0.97629 	0.98060 	0.99283 	0.97717 	0.99034 	0.99147 	-0.12216 	-0.12367 	-0.13454 	0.13433 	0.00000 	0.15820 	-0.10625 	-0.14896 	0.12905 	-0.12137 	0.16824 	0.16220 	-0.04027 	-0.04077 	-0.04435 	0.05761 	0.00000 	0.05155 	-0.03503 	-0.04911 	0.05234 	-0.04001 	0.05547 	0.05555 	0.00492	0.02297
Replication8	 -1.49418	0.99811	0.98929 	0.99017 	0.99112 	0.99538 	0.99199 	0.99584 	0.98314 	0.98767 	0.99749 	0.98434 	1.00118 	0.99609 	-0.09357 	-0.11937 	-0.12562 	0.10570 	0.00000 	0.12277 	-0.13005 	-0.12553 	0.09454 	-0.13579 	0.28038 	0.12129 	-0.03081 	-0.03930 	-0.04136 	0.04880 	0.00000 	0.04366 	-0.04282 	-0.04133 	0.03764 	-0.04471 	0.09231 	0.04219 	0.00525	0.02428
Replication9	 -1.47892	0.99821	0.98748 	0.98984 	0.99172 	0.99480 	0.99161 	0.99623 	0.98655 	0.99047 	0.99859 	0.98778 	1.00351 	0.99729 	-0.12224 	-0.12066 	-0.11534 	0.10726 	0.00000 	0.11836 	-0.12105 	-0.11083 	0.08725 	-0.11918 	0.27762 	0.11212 	-0.04024 	-0.03972 	-0.03797 	0.05336 	0.00000 	0.04343 	-0.03985 	-0.03648 	0.03335 	-0.03923 	0.09139 	0.03719 	0.00669	0.02522
