
Replication	FitnessValue	Frequency	Bus1	Bus2	Bus3	Bus4	Bus5	Bus6	Bus7	Bus8	Bus9	Bus10	Bus11	Bus12	Bus1_P	Bus2_P	Bus3_P	Bus4_P	Bus5_P	Bus6_P	Bus7_P	Bus8_P	Bus9_P	Bus10_P	Bus11_P	Bus12_P	Bus1_Q	Bus2_Q	Bus3_Q	Bus4_Q	Bus5_Q	Bus6_Q	Bus7_Q	Bus8_Q	Bus9_Q	Bus10_Q	Bus11_Q	Bus12_Q	PLoss	QLoss
Replication0	 -1.44149	0.99823	0.98064 	0.98394 	0.98839 	0.98838 	0.98702 	0.99531 	0.97847 	0.98446 	0.99409 	0.97976 	0.99214 	0.99584 	-0.13122 	-0.14797 	-0.13120 	0.19432 	0.00000 	0.12567 	-0.11932 	-0.09659 	0.16754 	-0.13751 	0.14518 	0.12119 	-0.04319 	-0.04871 	-0.04319 	0.00868 	0.00000 	0.12432 	-0.03927 	-0.03179 	-0.01810 	-0.04526 	0.04779 	0.11984 	0.00989	0.03111
Replication1	 -1.45278	0.99852	0.98290 	0.98665 	0.99100 	0.99053 	0.98934 	0.99712 	0.98148 	0.98797 	0.99698 	0.98324 	0.99993 	0.99809 	-0.13511 	-0.13406 	-0.11762 	0.16946 	0.00000 	0.11014 	-0.14966 	-0.09428 	0.13918 	-0.15622 	0.25761 	0.10191 	-0.04445 	-0.04410 	-0.03870 	0.01338 	0.00000 	0.10900 	-0.04923 	-0.03101 	-0.01691 	-0.05139 	0.08475 	0.10077 	0.00865	0.03211
Replication2	 -1.43886	0.99853	0.98501 	0.98723 	0.99088 	0.99138 	0.99008 	0.99727 	0.98455 	0.98877 	0.99707 	0.98584 	0.99950 	0.99825 	-0.11007 	-0.13865 	-0.13401 	0.16462 	0.00000 	0.10888 	-0.11358 	-0.12658 	0.13787 	-0.11241 	0.21303 	0.10053 	-0.03621 	-0.04561 	-0.04408 	0.01027 	0.00000 	0.10776 	-0.03736 	-0.04164 	-0.01648 	-0.03698 	0.07008 	0.09940 	0.01036	0.02915
Replication3	 -1.47176	0.99825	0.98092 	0.98545 	0.98972 	0.98923 	0.98900 	0.99606 	0.97733 	0.98331 	0.99410 	0.97934 	0.99084 	0.99581 	-0.14651 	-0.12784 	-0.11417 	0.18939 	0.02400 	0.11933 	-0.12358 	-0.12895 	0.16652 	-0.11492 	0.12815 	0.12141 	-0.04822 	-0.04208 	-0.03758 	0.00569 	0.00790 	0.11799 	-0.04068 	-0.04245 	-0.01718 	-0.03782 	0.04218 	0.12007 	0.00715	0.02782
Replication4	 -1.43591	0.99835	0.98201 	0.98536 	0.98881 	0.98950 	0.98806 	0.99590 	0.98073 	0.98560 	0.99519 	0.98126 	0.99630 	0.99660 	-0.13068 	-0.13095 	-0.14916 	0.18301 	0.00127 	0.12063 	-0.11530 	-0.12077 	0.15630 	-0.14972 	0.21041 	0.11463 	-0.04300 	-0.04309 	-0.04909 	0.00950 	0.00042 	0.11937 	-0.03794 	-0.03974 	-0.01721 	-0.04927 	0.06924 	0.11336 	0.01032	0.03254
Replication5	 -1.45932	0.99864	0.98525 	0.98859 	0.99246 	0.99221 	0.99146 	0.99820 	0.98401 	0.98956 	0.99813 	0.98564 	1.00169 	0.99906 	-0.12563 	-0.12566 	-0.11490 	0.15502 	0.00924 	0.10093 	-0.13884 	-0.10692 	0.12725 	-0.13963 	0.25728 	0.09358 	-0.04132 	-0.04133 	-0.03779 	0.01205 	0.00304 	0.09989 	-0.04566 	-0.03516 	-0.01573 	-0.04592 	0.08462 	0.09254 	0.00827	0.02922
Replication6	 -1.43802	0.99879	0.98816 	0.98971 	0.99288 	0.99364 	0.99240 	0.99884 	0.98894 	0.99262 	0.99963 	0.99045 	1.00585 	1.00033 	-0.09782 	-0.13291 	-0.13525 	0.14038 	0.00000 	0.09545 	-0.12126 	-0.12790 	0.11227 	-0.10601 	0.27986 	0.08280 	-0.03216 	-0.04370 	-0.04447 	0.01324 	0.00000 	0.09452 	-0.03987 	-0.04205 	-0.01486 	-0.03486 	0.09202 	0.08187 	0.01039	0.02968
Replication7	 -1.44136	0.99868	0.98554 	0.98856 	0.99161 	0.99226 	0.99090 	0.99796 	0.98568 	0.99017 	0.99848 	0.98708 	1.00462 	0.99924 	-0.12215 	-0.11958 	-0.14226 	0.15291 	0.00000 	0.10296 	-0.13580 	-0.13453 	0.12371 	-0.13354 	0.30643 	0.09210 	-0.04017 	-0.03932 	-0.04678 	0.01369 	0.00000 	0.10194 	-0.04466 	-0.04424 	-0.01551 	-0.04392 	0.10078 	0.09109 	0.00973	0.03289
Replication8	 -1.45361	0.99854	0.98333 	0.98735 	0.99125 	0.99099 	0.98995 	0.99739 	0.98293 	0.98807 	0.99725 	0.98455 	1.00085 	0.99827 	-0.13793 	-0.12308 	-0.12283 	0.16585 	0.00431 	0.10786 	-0.13662 	-0.13230 	0.13646 	-0.13354 	0.26277 	0.10038 	-0.04537 	-0.04049 	-0.04041 	0.01266 	0.00142 	0.10675 	-0.04494 	-0.04352 	-0.01672 	-0.04393 	0.08644 	0.09927 	0.00866	0.03116
Replication9	 -1.51444	0.99772	0.97665 	0.98070 	0.98555 	0.98535 	0.98509 	0.99276 	0.96445 	0.97288 	0.98803 	0.96714 	0.97566 	0.99073 	-0.13864 	-0.15067 	-0.11131 	0.23586 	0.02803 	0.14758 	-0.13289 	-0.14246 	0.22326 	-0.12598 	0.00000 	0.16484 	-0.04568 	-0.04965 	-0.03668 	-0.00434 	0.00924 	0.14583 	-0.04379 	-0.04694 	-0.01694 	-0.04151 	0.00000 	0.16309 	0.00238	0.03262
Replication10	 -1.46891	0.99864	0.98698 	0.98997 	0.99322 	0.99333 	0.99316 	0.99873 	0.98544 	0.98935 	0.99789 	0.98603 	0.99869 	0.99900 	-0.11480 	-0.11453 	-0.11206 	0.14985 	0.02232 	0.09646 	-0.09825 	-0.11831 	0.12845 	-0.11982 	0.17872 	0.09412 	-0.03776 	-0.03767 	-0.03686 	0.00671 	0.00734 	0.09542 	-0.03231 	-0.03891 	-0.01470 	-0.03941 	0.05878 	0.09307 	0.00785	0.02371
Replication11	 -1.47846	0.99834	0.98301 	0.98686 	0.99046 	0.99057 	0.99087 	0.99673 	0.97631 	0.98388 	0.99475 	0.97964 	0.99220 	0.99630 	-0.13557 	-0.12430 	-0.12176 	0.17832 	0.03788 	0.11356 	-0.15540 	-0.11575 	0.15872 	-0.11557 	0.15617 	0.11723 	-0.04461 	-0.04091 	-0.04007 	0.00412 	0.01247 	0.11229 	-0.05114 	-0.03809 	-0.01549 	-0.03803 	0.05139 	0.11596 	0.00647	0.02789
Replication12	 -1.46975	0.99848	0.98398 	0.98781 	0.99138 	0.99141 	0.99167 	0.99747 	0.98097 	0.98626 	0.99630 	0.98188 	0.99679 	0.99754 	-0.13648 	-0.12310 	-0.12324 	0.16717 	0.03594 	0.10721 	-0.12253 	-0.12193 	0.14422 	-0.14704 	0.20580 	0.10664 	-0.04490 	-0.04050 	-0.04055 	0.00737 	0.01183 	0.10604 	-0.04031 	-0.04011 	-0.01557 	-0.04838 	0.06771 	0.10547 	0.00733	0.02811
Replication13	 -1.49658	0.99881	0.99034 	0.99253 	0.99514 	0.99566 	0.99641 	1.00012 	0.98462 	0.98972 	0.99926 	0.98631 	1.00231 	0.99994 	-0.09942 	-0.10836 	-0.10844 	0.12993 	0.04364 	0.08450 	-0.13612 	-0.13630 	0.11302 	-0.12970 	0.25612 	0.08606 	-0.03269 	-0.03563 	-0.03565 	0.00472 	0.01435 	0.08359 	-0.04475 	-0.04481 	-0.01219 	-0.04264 	0.08421 	0.08514 	0.00507	0.02365
Replication14	 -1.45888	0.99863	0.98629 	0.98892 	0.99251 	0.99259 	0.99145 	0.99824 	0.98503 	0.98939 	0.99798 	0.98625 	1.00091 	0.99897 	-0.10971 	-0.12406 	-0.11524 	0.15382 	0.00000 	0.10059 	-0.11873 	-0.12827 	0.12850 	-0.12170 	0.23193 	0.09435 	-0.03608 	-0.04080 	-0.03790 	0.00969 	0.00000 	0.09954 	-0.03905 	-0.04219 	-0.01563 	-0.04003 	0.07628 	0.09330 	0.00853	0.02713
Replication15	 -1.44490	0.99847	0.98267 	0.98640 	0.99072 	0.99030 	0.98910 	0.99694 	0.98345 	0.98801 	0.99658 	0.98430 	0.99807 	0.99788 	-0.13450 	-0.13386 	-0.11944 	0.17304 	0.00000 	0.11174 	-0.11113 	-0.11286 	0.14354 	-0.12996 	0.19995 	0.10376 	-0.04425 	-0.04404 	-0.03930 	0.01198 	0.00000 	0.11056 	-0.03656 	-0.03713 	-0.01752 	-0.04276 	0.06579 	0.10259 	0.00972	0.02936
Replication16	 -1.45151	0.99827	0.98194 	0.98557 	0.98866 	0.98946 	0.98796 	0.99569 	0.97730 	0.98353 	0.99423 	0.97973 	0.99331 	0.99579 	-0.12876 	-0.11762 	-0.14440 	0.18722 	0.00000 	0.12240 	-0.14037 	-0.13727 	0.16483 	-0.11902 	0.18254 	0.12156 	-0.04238 	-0.03871 	-0.04753 	0.00566 	0.00000 	0.12108 	-0.04620 	-0.04518 	-0.01674 	-0.03917 	0.06008 	0.12024 	0.00887	0.03114
Replication17	 -1.46878	0.99852	0.98542 	0.98822 	0.99163 	0.99197 	0.99154 	0.99765 	0.98097 	0.98677 	0.99663 	0.98273 	0.99766 	0.99780 	-0.11545 	-0.12561 	-0.12218 	0.16263 	0.01910 	0.10570 	-0.13633 	-0.12272 	0.14075 	-0.13492 	0.21722 	0.10435 	-0.03798 	-0.04132 	-0.04019 	0.00665 	0.00628 	0.10456 	-0.04485 	-0.04037 	-0.01522 	-0.04439 	0.07146 	0.10322 	0.00745	0.02785
Replication18	 -1.48912	0.99776	0.97880 	0.98217 	0.98476 	0.98646 	0.98467 	0.99275 	0.96591 	0.97374 	0.98828 	0.96806 	0.97716 	0.99090 	-0.11761 	-0.11531 	-0.15087 	0.22813 	0.00000 	0.14768 	-0.12534 	-0.13927 	0.21961 	-0.13169 	0.01643 	0.16339 	-0.03875 	-0.03799 	-0.04971 	-0.00710 	0.00000 	0.14596 	-0.04130 	-0.04589 	-0.01562 	-0.04339 	0.00541 	0.16167 	0.00486	0.03329
Replication19	 -1.49021	0.99835	0.98273 	0.98786 	0.99093 	0.99099 	0.99190 	0.99707 	0.97672 	0.98339 	0.99471 	0.97831 	0.99147 	0.99626 	-0.15354 	-0.10104 	-0.12181 	0.17577 	0.05303 	0.11064 	-0.13136 	-0.11327 	0.15828 	-0.14609 	0.14642 	0.11759 	-0.05053 	-0.03325 	-0.04008 	0.00278 	0.01745 	0.10937 	-0.04323 	-0.03727 	-0.01471 	-0.04808 	0.04819 	0.11633 	0.00538	0.02697
Replication20	 -1.44222	0.99876	0.98493 	0.98857 	0.99276 	0.99223 	0.99110 	0.99852 	0.98716 	0.99248 	0.99958 	0.98977 	1.00634 	1.00026 	-0.13502 	-0.13005 	-0.11896 	0.14866 	0.00000 	0.09820 	-0.15171 	-0.11051 	0.11414 	-0.11348 	0.30571 	0.08333 	-0.04440 	-0.04276 	-0.03911 	0.01827 	0.00000 	0.09725 	-0.04989 	-0.03634 	-0.01625 	-0.03732 	0.10052 	0.08238 	0.00969	0.03236
Replication21	 -1.45503	0.99895	0.98931 	0.99176 	0.99495 	0.99505 	0.99400 	1.00013 	0.99116 	0.99462 	1.00125 	0.99194 	1.00895 	1.00166 	-0.10631 	-0.11458 	-0.11488 	0.12522 	0.00000 	0.08438 	-0.11897 	-0.11559 	0.09611 	-0.12854 	0.31302 	0.07138 	-0.03494 	-0.03766 	-0.03776 	0.01517 	0.00000 	0.08358 	-0.03910 	-0.03799 	-0.01394 	-0.04225 	0.10288 	0.07057 	0.00877	0.02856
Replication22	 -1.49922	0.99824	0.98238 	0.98599 	0.99033 	0.98982 	0.98923 	0.99624 	0.97464 	0.98141 	0.99377 	0.97660 	0.99007 	0.99542 	-0.12337 	-0.12933 	-0.09631 	0.18738 	0.01301 	0.11775 	-0.13767 	-0.13963 	0.16881 	-0.13957 	0.14968 	0.12477 	-0.04061 	-0.04257 	-0.03170 	0.00218 	0.00428 	0.11640 	-0.04531 	-0.04596 	-0.01639 	-0.04594 	0.04927 	0.12342 	0.00446	0.02707
