
Replication	FitnessValue	Frequency	Bus1	Bus2	Bus3	Bus4	Bus5	Bus6	Bus7	Bus8	Bus9	Bus10	Bus11	Bus12	Bus1_P	Bus2_P	Bus3_P	Bus4_P	Bus5_P	Bus6_P	Bus7_P	Bus8_P	Bus9_P	Bus10_P	Bus11_P	Bus12_P	Bus1_Q	Bus2_Q	Bus3_Q	Bus4_Q	Bus5_Q	Bus6_Q	Bus7_Q	Bus8_Q	Bus9_Q	Bus10_Q	Bus11_Q	Bus12_Q	PLoss	QLoss
Replication0	 0.08958	0.99606	0.96165 	0.96165 	0.95511 	0.97602 	0.95842 	0.95746 	0.94450 	0.93907 	0.95060 	0.93956 	0.95341 	0.94906 	-0.09477 	-0.09394 	-0.10085 	0.21526 	0.00000 	0.06317 	-0.10996 	-0.10653 	0.05284 	-0.09085 	0.20338 	0.06713 	-0.03133 	-0.03106 	-0.03334 	0.16409 	0.00000 	-0.01359 	-0.03635 	-0.03522 	0.00167 	-0.03004 	0.06724 	-0.00963 	0.00488	0.01243
Replication0	 0.08958	0.99606	0.96165 	0.96165 	0.95511 	0.97602 	0.95842 	0.95746 	0.94450 	0.93907 	0.95060 	0.93956 	0.95341 	0.94906 	-0.09477 	-0.09394 	-0.10085 	0.21526 	0.00000 	0.06317 	-0.10996 	-0.10653 	0.05284 	-0.09085 	0.20338 	0.06713 	-0.03133 	-0.03106 	-0.03334 	0.16409 	0.00000 	-0.01359 	-0.03635 	-0.03522 	0.00167 	-0.03004 	0.06724 	-0.00963 	0.00488	0.01243
Replication0	 0.08958	0.99606	0.96165 	0.96165 	0.95511 	0.97602 	0.95842 	0.95746 	0.94450 	0.93907 	0.95060 	0.93956 	0.95341 	0.94906 	-0.09477 	-0.09394 	-0.10085 	0.21526 	0.00000 	0.06317 	-0.10996 	-0.10653 	0.05284 	-0.09085 	0.20338 	0.06713 	-0.03133 	-0.03106 	-0.03334 	0.16409 	0.00000 	-0.01359 	-0.03635 	-0.03522 	0.00167 	-0.03004 	0.06724 	-0.00963 	0.00488	0.01243
Replication0	 0.08958	0.99606	0.96165 	0.96165 	0.95511 	0.97602 	0.95842 	0.95746 	0.94450 	0.93907 	0.95060 	0.93956 	0.95341 	0.94906 	-0.09477 	-0.09394 	-0.10085 	0.21526 	0.00000 	0.06317 	-0.10996 	-0.10653 	0.05284 	-0.09085 	0.20338 	0.06713 	-0.03133 	-0.03106 	-0.03334 	0.16409 	0.00000 	-0.01359 	-0.03635 	-0.03522 	0.00167 	-0.03004 	0.06724 	-0.00963 	0.00488	0.01243
Replication0	 0.08958	0.99606	0.96165 	0.96165 	0.95511 	0.97602 	0.95842 	0.95746 	0.94450 	0.93907 	0.95060 	0.93956 	0.95341 	0.94906 	-0.09477 	-0.09394 	-0.10085 	0.21526 	0.00000 	0.06317 	-0.10996 	-0.10653 	0.05284 	-0.09085 	0.20338 	0.06713 	-0.03133 	-0.03106 	-0.03334 	0.16409 	0.00000 	-0.01359 	-0.03635 	-0.03522 	0.00167 	-0.03004 	0.06724 	-0.00963 	0.00488	0.01243
Replication0	 0.08958	0.99606	0.96165 	0.96165 	0.95511 	0.97602 	0.95842 	0.95746 	0.94450 	0.93907 	0.95060 	0.93956 	0.95341 	0.94906 	-0.09477 	-0.09394 	-0.10085 	0.21526 	0.00000 	0.06317 	-0.10996 	-0.10653 	0.05284 	-0.09085 	0.20338 	0.06713 	-0.03133 	-0.03106 	-0.03334 	0.16409 	0.00000 	-0.01359 	-0.03635 	-0.03522 	0.00167 	-0.03004 	0.06724 	-0.00963 	0.00488	0.01243
Replication0	 0.08958	0.99606	0.96165 	0.96165 	0.95511 	0.97602 	0.95842 	0.95746 	0.94450 	0.93907 	0.95060 	0.93956 	0.95341 	0.94906 	-0.09477 	-0.09394 	-0.10085 	0.21526 	0.00000 	0.06317 	-0.10996 	-0.10653 	0.05284 	-0.09085 	0.20338 	0.06713 	-0.03133 	-0.03106 	-0.03334 	0.16409 	0.00000 	-0.01359 	-0.03635 	-0.03522 	0.00167 	-0.03004 	0.06724 	-0.00963 	0.00488	0.01243
Replication0	 0.08958	0.99606	0.96165 	0.96165 	0.95511 	0.97602 	0.95842 	0.95746 	0.94450 	0.93907 	0.95060 	0.93956 	0.95341 	0.94906 	-0.09477 	-0.09394 	-0.10085 	0.21526 	0.00000 	0.06317 	-0.10996 	-0.10653 	0.05284 	-0.09085 	0.20338 	0.06713 	-0.03133 	-0.03106 	-0.03334 	0.16409 	0.00000 	-0.01359 	-0.03635 	-0.03522 	0.00167 	-0.03004 	0.06724 	-0.00963 	0.00488	0.01243
Replication0	 0.08958	0.99606	0.96165 	0.96165 	0.95511 	0.97602 	0.95842 	0.95746 	0.94450 	0.93907 	0.95060 	0.93956 	0.95341 	0.94906 	-0.09477 	-0.09394 	-0.10085 	0.21526 	0.00000 	0.06317 	-0.10996 	-0.10653 	0.05284 	-0.09085 	0.20338 	0.06713 	-0.03133 	-0.03106 	-0.03334 	0.16409 	0.00000 	-0.01359 	-0.03635 	-0.03522 	0.00167 	-0.03004 	0.06724 	-0.00963 	0.00488	0.01243
Replication0	 0.08958	0.99606	0.96165 	0.96165 	0.95511 	0.97602 	0.95842 	0.95746 	0.94450 	0.93907 	0.95060 	0.93956 	0.95341 	0.94906 	-0.09477 	-0.09394 	-0.10085 	0.21526 	0.00000 	0.06317 	-0.10996 	-0.10653 	0.05284 	-0.09085 	0.20338 	0.06713 	-0.03133 	-0.03106 	-0.03334 	0.16409 	0.00000 	-0.01359 	-0.03635 	-0.03522 	0.00167 	-0.03004 	0.06724 	-0.00963 	0.00488	0.01243
