
Replication	FitnessValue	Frequency	Bus1	Bus2	Bus3	Bus4	Bus5	Bus6	Bus7	Bus8	Bus9	Bus10	Bus11	Bus12	Bus1_P	Bus2_P	Bus3_P	Bus4_P	Bus5_P	Bus6_P	Bus7_P	Bus8_P	Bus9_P	Bus10_P	Bus11_P	Bus12_P	Bus1_Q	Bus2_Q	Bus3_Q	Bus4_Q	Bus5_Q	Bus6_Q	Bus7_Q	Bus8_Q	Bus9_Q	Bus10_Q	Bus11_Q	Bus12_Q	PLoss	QLoss
Replication0	 0.00240	0.99972	1.00992 	1.01689 	1.01531 	1.01300 	1.01307 	1.00893 	0.94760 	0.96574 	0.99663 	0.94869 	0.98080 	0.99487 	-0.00555 	0.19477 	0.30097 	0.00224 	0.00650 	0.02164 	-0.28720 	-0.14098 	0.05134 	-0.43876 	0.27896 	0.08494 	-0.00182 	0.06392 	0.09877 	-0.02021 	0.00213 	-0.01205 	-0.09425 	-0.04627 	0.02889 	-0.14399 	0.09155 	0.05125 	0.06886	0.01791
Replication1	 0.00521	0.99902	0.96163 	0.97877 	0.96816 	0.97843 	0.97386 	0.97862 	0.97554 	0.96089 	0.97657 	0.94479 	0.97176 	0.97595 	-0.33260 	0.20032 	-0.33082 	0.13400 	0.03405 	0.20020 	0.35176 	-0.13179 	0.13956 	-0.60712 	0.13163 	0.21222 	-0.10931 	0.06583 	-0.10872 	0.05541 	0.01119 	0.08227 	0.11561 	-0.04331 	0.06097 	-0.19953 	0.04326 	0.09429 	0.00141	0.06795
Replication2	 0.06455	0.99809	0.95517 	0.94725 	0.94119 	0.96041 	0.95113 	0.95425 	0.88545 	0.90747 	0.94581 	0.89142 	0.92402 	0.94474 	-0.00197 	-0.22045 	-0.31029 	0.22522 	0.00366 	0.36563 	-0.34591 	-0.25411 	0.26899 	-0.36571 	0.25337 	0.40842 	-0.00065 	-0.07259 	-0.10216 	0.07229 	0.00121 	0.13614 	-0.11389 	-0.08367 	0.11606 	-0.12041 	0.08342 	0.17893 	0.02686	0.09469
Replication3	 0.02579	1.00087	1.07579 	1.05087 	1.04054 	1.05139 	1.05120 	1.03516 	1.00769 	1.01489 	1.02613 	1.01904 	1.02388 	1.02494 	0.61122 	0.06880 	0.09901 	-0.15909 	0.00000 	-0.16564 	-0.21732 	-0.25756 	-0.08333 	0.13888 	0.13671 	-0.11969 	0.20013 	0.02253 	0.03242 	-0.08921 	0.00000 	-0.06078 	-0.07116 	-0.08433 	-0.01345 	0.04547 	0.04476 	-0.01482 	0.05199	0.01156
Replication4	 -1.26553	0.99960	0.99114 	0.98550 	0.97927 	0.99160 	0.98746 	0.99007 	0.98902 	1.00155 	0.99527 	0.99652 	1.00175 	0.99575 	-0.02067 	-0.11448 	-0.39999 	0.07109 	0.00588 	0.11359 	-0.20719 	0.29372 	0.06009 	-0.06434 	0.14835 	0.08803 	-0.00679 	-0.03758 	-0.13130 	0.03926 	0.00193 	0.06583 	-0.06801 	0.09642 	0.02826 	-0.02112 	0.04870 	0.04027 	0.02593	0.05586
Replication5	 0.15400	0.99650	0.88726 	0.88425 	0.88120 	0.90806 	0.89137 	0.90385 	0.80226 	0.81180 	0.88831 	0.79600 	0.84264 	0.88631 	-0.19800 	-0.40949 	-0.40843 	0.44571 	0.00000 	0.68774 	-0.17808 	-0.87310 	0.50495 	-0.44671 	0.20086 	0.76668 	-0.06540 	-0.13526 	-0.13491 	0.16580 	0.00000 	0.26770 	-0.05882 	-0.28839 	0.22503 	-0.14755 	0.06634 	0.34664 	0.09212	0.24119
Replication6	 0.00484	0.99911	0.99731 	0.98057 	0.96762 	0.99039 	0.98283 	0.97986 	0.94974 	0.96130 	0.97671 	0.94516 	0.97157 	0.97620 	0.19841 	-0.12572 	-0.43097 	0.09434 	0.00000 	0.18893 	-0.15170 	0.06651 	0.13536 	-0.43412 	0.25131 	0.20543 	0.06519 	-0.04131 	-0.14161 	0.02332 	0.00000 	0.08235 	-0.04985 	0.02186 	0.06433 	-0.14265 	0.08257 	0.09884 	0.00223	0.06304
Replication7	 0.01681	0.99952	1.01227 	1.00620 	1.00569 	1.00836 	1.00690 	1.00177 	0.93319 	0.95943 	0.98989 	0.94672 	0.97121 	0.98849 	0.16567 	-0.01597 	0.21859 	0.02423 	0.00000 	0.06602 	-0.44044 	-0.14333 	0.07963 	-0.24191 	0.22295 	0.12576 	0.05439 	-0.00524 	0.07177 	-0.01439 	0.00000 	0.00807 	-0.14460 	-0.04706 	0.04101 	-0.07942 	0.07320 	0.06781 	0.06121	0.02554
Replication8	 0.01294	1.00074	1.02642 	1.02882 	1.01749 	1.02475 	1.02428 	1.02126 	1.06294 	1.03632 	1.02564 	1.04576 	1.04216 	1.02515 	-0.02244 	0.22562 	-0.25294 	-0.07394 	0.01293 	-0.09524 	0.46706 	-0.20856 	-0.07661 	0.08094 	0.05140 	-0.11275 	-0.00735 	0.07390 	-0.08284 	-0.01456 	0.00423 	-0.00614 	0.15297 	-0.06831 	-0.01723 	0.02651 	0.01683 	-0.02365 	0.00452	0.05436
Replication9	 -1.50970	0.99888	0.97754 	0.97512 	0.97180 	0.98166 	0.97669 	0.97927 	0.95687 	0.95427 	0.97606 	0.95570 	0.97276 	0.97487 	-0.03311 	-0.10546 	-0.19526 	0.12975 	0.00000 	0.20548 	-0.04997 	-0.48169 	0.14657 	-0.06583 	0.22758 	0.22525 	-0.01088 	-0.03467 	-0.06419 	0.04023 	0.00000 	0.07115 	-0.01643 	-0.15835 	0.05705 	-0.02164 	0.07481 	0.09092 	0.00332	0.02801
