
Replication	FitnessValue	Frequency	Bus1	Bus2	Bus3	Bus4	Bus5	Bus6	Bus7	Bus8	Bus9	Bus10	Bus11	Bus12	Bus1_P	Bus2_P	Bus3_P	Bus4_P	Bus5_P	Bus6_P	Bus7_P	Bus8_P	Bus9_P	Bus10_P	Bus11_P	Bus12_P	Bus1_Q	Bus2_Q	Bus3_Q	Bus4_Q	Bus5_Q	Bus6_Q	Bus7_Q	Bus8_Q	Bus9_Q	Bus10_Q	Bus11_Q	Bus12_Q	PLoss	QLoss
Replication0	 0.14608	0.96882	0.80392 	0.83607 	0.87338 	0.83621 	0.84643 	0.88085 	0.81279 	0.84438 	0.88597 	0.82626 	0.85818 	0.88054 	-0.53057 	-0.35970 	0.18087 	0.16025 	0.02679 	0.34205 	-0.43403 	-0.14212 	0.62046 	-0.31474 	0.21444 	0.28978 	-0.18523 	-0.12558 	0.06314 	0.08803 	0.00935 	0.27572 	-0.15152 	-0.04962 	0.08752 	-0.10988 	0.07487 	0.22490 	0.05348	0.20171
Replication1	 0.09569	0.97756	0.85431 	0.88771 	0.91952 	0.88356 	0.89259 	0.92160 	0.92029 	0.89410 	0.92669 	0.89245 	0.91898 	0.92222 	-0.52365 	-0.20727 	0.26636 	0.11630 	0.00000 	0.23528 	0.37655 	-0.71372 	0.42953 	-0.31630 	0.17858 	0.19784 	-0.17964 	-0.07111 	0.09138 	0.06433 	0.00000 	0.18755 	0.12918 	-0.24485 	0.04603 	-0.10851 	0.06126 	0.15116 	0.03950	0.12678
Replication2	 0.06647	0.99062	0.88353 	0.90875 	0.93499 	0.90643 	0.91480 	0.94381 	0.98447 	0.96950 	0.96287 	0.98026 	0.98177 	0.96154 	-0.51824 	-0.26522 	-0.11178 	0.08484 	0.00000 	0.16827 	0.15480 	-0.22289 	0.21463 	0.16217 	0.21414 	0.10608 	-0.17320 	-0.08864 	-0.03736 	0.06312 	0.00000 	0.14833 	0.05174 	-0.07449 	0.05438 	0.05420 	0.07157 	0.08657 	0.01317	0.15623
Replication3	 0.18588	0.96533	0.76412 	0.80859 	0.82078 	0.80507 	0.80799 	0.84889 	0.81207 	0.83814 	0.86445 	0.83732 	0.85333 	0.85874 	-0.70366 	-0.04980 	-0.54255 	0.18652 	0.00000 	0.42219 	-0.45277 	-0.22270 	0.71167 	0.07684 	0.24607 	0.33675 	-0.24738 	-0.01751 	-0.19074 	0.10623 	0.00000 	0.34844 	-0.15917 	-0.07829 	0.11914 	0.02701 	0.08651 	0.26462 	0.00856	0.25886
Replication4	 0.10687	0.97312	0.84313 	0.86306 	0.88272 	0.86498 	0.86960 	0.89777 	0.88274 	0.89346 	0.90902 	0.87755 	0.89812 	0.90597 	-0.42168 	-0.28245 	-0.22335 	0.13471 	0.00000 	0.29702 	-0.10239 	0.09807 	0.51790 	-0.37307 	0.11015 	0.23476 	-0.14595 	-0.09776 	-0.07731 	0.07246 	0.00000 	0.23984 	-0.03544 	0.03394 	0.05849 	-0.12913 	0.03813 	0.17884 	0.01033	0.13611
Replication5	 0.03259	1.00736	0.91741 	0.95537 	0.98428 	0.94591 	0.95713 	0.98667 	1.03705 	1.03189 	1.00871 	1.04015 	1.03981 	1.00914 	-0.69014 	-0.09185 	0.04356 	0.03725 	0.00000 	0.04796 	0.00325 	0.19493 	-0.05921 	0.18955 	0.33373 	-0.00594 	-0.22306 	-0.02969 	0.01408 	0.05430 	0.00000 	0.06362 	0.00105 	0.06300 	0.06660 	0.06126 	0.10786 	0.00938 	0.00311	0.18842
Replication6	 0.09141	0.97316	0.86097 	0.87433 	0.89866 	0.87805 	0.88334 	0.90717 	0.85859 	0.88291 	0.91275 	0.87692 	0.89897 	0.90846 	-0.30375 	-0.36401 	0.01773 	0.12534 	0.00000 	0.27448 	-0.42645 	-0.23378 	0.50696 	-0.07346 	0.26366 	0.22978 	-0.10513 	-0.12598 	0.00614 	0.06316 	0.00000 	0.21737 	-0.14759 	-0.08091 	0.04817 	-0.02543 	0.09125 	0.17393 	0.01649	0.11499
Replication7	 -1.44952	0.99826	0.97880 	0.98010 	1.00287 	0.98233 	0.98910 	0.99852 	0.99518 	0.99903 	1.00394 	1.00634 	1.01534 	1.00291 	-0.08191 	-0.35247 	0.29378 	0.02177 	0.01148 	0.02931 	-0.20759 	-0.26006 	0.03214 	0.17496 	0.33202 	0.01589 	-0.02696 	-0.11601 	0.09669 	0.01775 	0.00378 	0.02562 	-0.06833 	-0.08560 	0.00247 	0.05759 	0.10928 	0.01228 	0.00933	0.02857
Replication8	 0.00438	0.99062	0.96693 	0.96103 	0.96533 	0.96616 	0.96772 	0.97163 	0.95232 	0.96783 	0.97535 	0.95516 	0.97713 	0.97365 	0.00780 	-0.23288 	-0.15736 	0.04218 	0.03504 	0.10176 	-0.24309 	0.18464 	0.17908 	-0.30542 	0.29824 	0.08202 	0.00261 	-0.07783 	-0.05259 	0.02044 	0.01171 	0.08180 	-0.08124 	0.06171 	0.01869 	-0.10207 	0.09968 	0.06249 	0.00800	0.04539
Replication9	 0.01317	0.98838	0.96268 	0.95739 	0.96420 	0.96236 	0.96300 	0.96848 	0.93683 	0.95829 	0.96986 	0.96282 	0.96320 	0.96820 	0.02131 	-0.23968 	-0.04825 	0.04749 	0.00000 	0.11165 	-0.43745 	-0.13300 	0.21385 	0.26565 	0.10485 	0.09518 	0.00715 	-0.08046 	-0.01620 	0.02057 	0.00000 	0.08694 	-0.14686 	-0.04465 	0.01526 	0.08918 	0.03520 	0.07101 	0.00159	0.03715
