
Replication	FitnessValue	Frequency	Bus1	Bus2	Bus3	Bus4	Bus5	Bus6	Bus7	Bus8	Bus9	Bus10	Bus11	Bus12	Bus1_P	Bus2_P	Bus3_P	Bus4_P	Bus5_P	Bus6_P	Bus7_P	Bus8_P	Bus9_P	Bus10_P	Bus11_P	Bus12_P	Bus1_Q	Bus2_Q	Bus3_Q	Bus4_Q	Bus5_Q	Bus6_Q	Bus7_Q	Bus8_Q	Bus9_Q	Bus10_Q	Bus11_Q	Bus12_Q	PLoss	QLoss
Replication0	 -1.20883	0.99773	0.96633 	0.97200 	0.97720 	0.97368 	0.97528 	0.98884 	0.95683 	0.97304 	0.98714 	0.96362 	0.98255 	1.00250 	-0.26456 	-0.17434 	-0.24617 	0.04460 	0.00000 	0.19461 	-0.28166 	-0.17657 	0.01914 	-0.21121 	0.19177 	0.87878 	-0.08717 	-0.05745 	-0.08111 	0.04222 	0.00000 	0.17859 	-0.09281 	-0.05818 	0.01613 	-0.06959 	0.06319 	0.26874 	0.02561	0.12257
Replication1	 0.01323	0.99713	0.96363 	0.96561 	0.97641 	0.96953 	0.97283 	0.98634 	0.93677 	0.95513 	0.98014 	0.94084 	0.96455 	1.00024 	-0.23134 	-0.30461 	-0.12076 	0.04988 	0.01884 	0.21874 	-0.28126 	-0.30465 	0.02493 	-0.32975 	0.12187 	1.13114 	-0.07632 	-0.10049 	-0.03984 	0.04688 	0.00621 	0.19856 	-0.09279 	-0.10050 	0.02113 	-0.10878 	0.04020 	0.36234 	0.00698	0.15662
Replication2	 -1.14014	0.99728	0.95039 	0.95690 	0.96801 	0.96013 	0.96440 	0.98255 	0.95218 	0.96822 	0.98226 	0.95987 	0.97859 	1.00099 	-0.34324 	-0.30808 	-0.28268 	0.06104 	0.02886 	0.25163 	-0.28857 	-0.23681 	0.02320 	-0.18424 	0.19609 	1.05361 	-0.11320 	-0.10160 	-0.09322 	0.05820 	0.00952 	0.23250 	-0.09517 	-0.07810 	0.01960 	-0.06076 	0.06467 	0.32507 	0.02919	0.16752
Replication3	 0.02326	0.99170	0.94576 	0.94737 	0.95678 	0.95321 	0.95683 	0.97454 	0.92674 	0.94738 	0.96931 	0.93198 	0.95776 	0.99044 	-0.29133 	-0.37110 	-0.33713 	0.07224 	0.03926 	0.34197 	-0.31431 	-0.23166 	0.03689 	-0.34529 	0.18176 	1.20000 	-0.09715 	-0.12376 	-0.11243 	0.06355 	0.01309 	0.28354 	-0.10482 	-0.07726 	0.02588 	-0.11515 	0.06061 	0.38367 	0.01863	0.19978
Replication4	 0.04239	0.98700	0.94270 	0.95291 	0.95629 	0.95469 	0.95615 	0.97297 	0.91502 	0.93033 	0.96134 	0.90761 	0.93973 	0.98206 	-0.35843 	-0.15725 	-0.28720 	0.07293 	0.01742 	0.37235 	-0.16378 	-0.27449 	0.04615 	-0.56314 	0.09744 	1.20000 	-0.12066 	-0.05294 	-0.09668 	0.05932 	0.00586 	0.28085 	-0.05513 	-0.09241 	0.02892 	-0.18957 	0.03280 	0.39416 	0.00208	0.19452
Replication5	 0.02615	0.99172	0.95730 	0.95888 	0.96385 	0.96328 	0.96478 	0.97868 	0.92385 	0.94135 	0.96953 	0.92627 	0.95137 	0.99043 	-0.23739 	-0.25999 	-0.26761 	0.06018 	0.01704 	0.30536 	-0.25888 	-0.35430 	0.03670 	-0.35444 	0.10634 	1.20000 	-0.07916 	-0.08670 	-0.08924 	0.05151 	0.00568 	0.24705 	-0.08633 	-0.11815 	0.02572 	-0.11820 	0.03546 	0.38639 	0.00690	0.17404
Replication6	 0.00760	0.99732	0.94240 	0.95255 	0.96883 	0.95511 	0.96091 	0.98196 	0.94980 	0.96806 	0.98246 	0.95706 	0.97974 	1.00105 	-0.40137 	-0.34074 	-0.19879 	0.06702 	0.02916 	0.25677 	-0.31589 	-0.18400 	0.02302 	-0.25114 	0.24911 	1.04360 	-0.13236 	-0.11236 	-0.06555 	0.06421 	0.00962 	0.23791 	-0.10417 	-0.06068 	0.01947 	-0.08282 	0.08215 	0.32506 	0.02325	0.18048
Replication7	 0.01884	0.98996	0.93116 	0.93976 	0.95039 	0.94370 	0.94648 	0.97017 	0.93277 	0.94932 	0.96643 	0.93947 	0.95532 	0.98760 	-0.40041 	-0.32505 	-0.36820 	0.08452 	0.00191 	0.38659 	-0.26111 	-0.25866 	0.04026 	-0.19924 	0.07292 	1.20000 	-0.13400 	-0.10878 	-0.12322 	0.07401 	0.00064 	0.31592 	-0.08738 	-0.08656 	0.02695 	-0.06668 	0.02440 	0.36743 	0.02640	0.20274
Replication8	 0.01031	0.99716	0.95869 	0.96782 	0.97642 	0.96886 	0.97203 	0.98670 	0.93969 	0.95353 	0.98102 	0.94480 	0.97147 	1.00031 	-0.32575 	-0.18773 	-0.14474 	0.05067 	0.01678 	0.21549 	-0.27694 	-0.50545 	0.02423 	-0.24295 	0.24799 	1.12261 	-0.10746 	-0.06193 	-0.04775 	0.04769 	0.00553 	0.19549 	-0.09135 	-0.16673 	0.02047 	-0.08014 	0.08180 	0.36070 	0.00579	0.15633
Replication9	 -1.24381	0.99767	0.96232 	0.96754 	0.97755 	0.97012 	0.97375 	0.98806 	0.95078 	0.97125 	0.98619 	0.95829 	0.97924 	1.00225 	-0.27472 	-0.25898 	-0.17444 	0.04890 	0.02215 	0.20172 	-0.32614 	-0.09663 	0.01991 	-0.27570 	0.18761 	0.90583 	-0.09053 	-0.08534 	-0.05748 	0.04646 	0.00730 	0.18530 	-0.10748 	-0.03184 	0.01682 	-0.09085 	0.06182 	0.28012 	0.02049	0.13428
