
Replication	FitnessValue	Frequency	Bus1	Bus2	Bus3	Bus4	Bus5	Bus6	Bus7	Bus8	Bus9	Bus10	Bus11	Bus12	Bus1_P	Bus2_P	Bus3_P	Bus4_P	Bus5_P	Bus6_P	Bus7_P	Bus8_P	Bus9_P	Bus10_P	Bus11_P	Bus12_P	Bus1_Q	Bus2_Q	Bus3_Q	Bus4_Q	Bus5_Q	Bus6_Q	Bus7_Q	Bus8_Q	Bus9_Q	Bus10_Q	Bus11_Q	Bus12_Q	PLoss	QLoss
Replication0	 -1.29209	0.99808	0.98070 	0.98174 	0.98596 	0.98412 	0.98515 	0.99415 	0.97073 	0.97725 	0.99152 	0.97132 	0.98635 	1.00385 	-0.15174 	-0.17001 	-0.16252 	0.03195 	0.00000 	0.14659 	-0.12700 	-0.27686 	0.01552 	-0.17664 	0.12154 	0.72840 	-0.04996 	-0.05598 	-0.05351 	0.02994 	0.00000 	0.13306 	-0.04182 	-0.09116 	0.01298 	-0.05816 	0.04002 	0.21315 	0.02076	0.07856
Replication1	 -1.32266	0.99836	0.98677 	0.98656 	0.98930 	0.98888 	0.98947 	0.99657 	0.97051 	0.98140 	0.99426 	0.97517 	0.99083 	1.00472 	-0.11202 	-0.14580 	-0.15594 	0.02611 	0.00000 	0.12421 	-0.20848 	-0.19670 	0.01322 	-0.15685 	0.17061 	0.62308 	-0.03686 	-0.04798 	-0.05131 	0.02439 	0.00000 	0.11270 	-0.06860 	-0.06473 	0.01105 	-0.05162 	0.05614 	0.18454 	0.01856	0.06772
Replication2	 -1.33765	0.99864	0.98604 	0.98778 	0.99213 	0.98936 	0.99055 	0.99815 	0.98013 	0.98739 	0.99744 	0.98257 	0.99765 	1.00572 	-0.13269 	-0.13781 	-0.11678 	0.02539 	0.00000 	0.10930 	-0.15553 	-0.18017 	0.01059 	-0.14555 	0.19480 	0.51026 	-0.04364 	-0.04533 	-0.03841 	0.02396 	0.00000 	0.09970 	-0.05115 	-0.05926 	0.00878 	-0.04787 	0.06407 	0.14463 	0.01820	0.05549
Replication3	 -1.32277	0.99881	0.99221 	0.99030 	0.99205 	0.99286 	0.99318 	0.99897 	0.98390 	0.98990 	0.99899 	0.98472 	1.00336 	1.00616 	-0.07090 	-0.14093 	-0.17701 	0.02112 	0.00000 	0.10144 	-0.14505 	-0.16848 	0.00928 	-0.18095 	0.27837 	0.45335 	-0.02331 	-0.04634 	-0.05820 	0.01987 	0.00000 	0.09306 	-0.04769 	-0.05539 	0.00770 	-0.05949 	0.09152 	0.13394 	0.01976	0.05567
Replication4	 -1.31538	0.99825	0.97669 	0.97961 	0.98721 	0.98166 	0.98373 	0.99445 	0.97421 	0.97921 	0.99376 	0.97324 	0.99572 	1.00440 	-0.18332 	-0.19870 	-0.11675 	0.03479 	0.00000 	0.14327 	-0.13369 	-0.30805 	0.01369 	-0.22407 	0.29167 	0.66319 	-0.06034 	-0.06540 	-0.03843 	0.03296 	0.00000 	0.13095 	-0.04400 	-0.10139 	0.01137 	-0.07375 	0.09600 	0.19374 	0.01794	0.08170
Replication5	 -1.33184	0.99850	0.98523 	0.98722 	0.99134 	0.98874 	0.98987 	0.99755 	0.97968 	0.98536 	0.99600 	0.98034 	0.99300 	1.00531 	-0.13931 	-0.13362 	-0.11727 	0.02619 	0.00000 	0.11505 	-0.11147 	-0.19750 	0.01179 	-0.14970 	0.11777 	0.55934 	-0.04583 	-0.04396 	-0.03858 	0.02463 	0.00000 	0.10451 	-0.03667 	-0.06497 	0.00980 	-0.04925 	0.03874 	0.15783 	0.01874	0.05625
Replication6	 -1.31178	0.99866	0.98597 	0.98868 	0.99074 	0.98973 	0.99044 	0.99791 	0.98094 	0.98781 	0.99762 	0.98364 	1.00043 	1.00573 	-0.14733 	-0.09747 	-0.17168 	0.02493 	0.00000 	0.11133 	-0.16432 	-0.19990 	0.01043 	-0.14019 	0.24815 	0.50553 	-0.04845 	-0.03206 	-0.05646 	0.02353 	0.00000 	0.10192 	-0.05404 	-0.06574 	0.00866 	-0.04610 	0.08161 	0.14704 	0.02051	0.05991
Replication7	 -1.35976	0.99868	0.98766 	0.98982 	0.99372 	0.99104 	0.99213 	0.99905 	0.98008 	0.98810 	0.99770 	0.98228 	0.99515 	1.00587 	-0.12923 	-0.11682 	-0.09657 	0.02336 	0.00000 	0.10121 	-0.14764 	-0.13192 	0.01036 	-0.15440 	0.13225 	0.49292 	-0.04250 	-0.03842 	-0.03176 	0.02198 	0.00000 	0.09191 	-0.04855 	-0.04338 	0.00861 	-0.05078 	0.04349 	0.13882 	0.01648	0.04942
Replication8	 -1.32694	0.99858	0.97732 	0.98386 	0.99116 	0.98420 	0.98649 	0.99694 	0.98045 	0.98837 	0.99700 	0.98277 	0.99663 	1.00564 	-0.21679 	-0.13430 	-0.08160 	0.03158 	0.00000 	0.12020 	-0.15306 	-0.13101 	0.01096 	-0.15446 	0.16615 	0.52358 	-0.07131 	-0.04418 	-0.02684 	0.03010 	0.00000 	0.11023 	-0.05035 	-0.04309 	0.00909 	-0.05081 	0.05465 	0.14384 	0.01875	0.06134
Replication9	 -1.28772	0.99893	0.97007 	0.97845 	0.98917 	0.97881 	0.98224 	0.99596 	0.99473 	0.99675 	1.00080 	0.99263 	1.01421 	1.00671 	-0.26435 	-0.18465 	-0.11138 	0.03785 	0.00000 	0.12759 	-0.09624 	-0.13351 	0.00781 	-0.19823 	0.39907 	0.39477 	-0.08689 	-0.06070 	-0.03661 	0.03673 	0.00000 	0.12008 	-0.03164 	-0.04389 	0.00639 	-0.06516 	0.13117 	0.10853 	0.02129	0.07802
