
Replication	FitnessValue	Frequency	Bus1	Bus2	Bus3	Bus4	Bus5	Bus6	Bus7	Bus8	Bus9	Bus10	Bus11	Bus12	Bus1_P	Bus2_P	Bus3_P	Bus4_P	Bus5_P	Bus6_P	Bus7_P	Bus8_P	Bus9_P	Bus10_P	Bus11_P	Bus12_P	Bus1_Q	Bus2_Q	Bus3_Q	Bus4_Q	Bus5_Q	Bus6_Q	Bus7_Q	Bus8_Q	Bus9_Q	Bus10_Q	Bus11_Q	Bus12_Q	PLoss	QLoss
Replication0	 -1.48590	0.99715	0.98242 	0.98250 	0.98245 	0.98996 	0.98505 	0.98937 	0.97103 	0.97568 	0.99031 	0.97084 	0.98949 	0.98857 	-0.10562 	-0.15504 	-0.18753 	0.14873 	0.00496 	0.18076 	-0.12160 	-0.17610 	0.14684 	-0.17961 	0.25343 	0.18548 	-0.03484 	-0.05114 	-0.06186 	0.06304 	0.00164 	0.06164 	-0.04011 	-0.05809 	0.06115 	-0.05925 	0.08360 	0.06636 	0.00530	0.03213
Replication1	 -1.52092	0.99581	0.96216 	0.96868 	0.97359 	0.97834 	0.97187 	0.98087 	0.95462 	0.96179 	0.98159 	0.95512 	0.97275 	0.97966 	-0.24596 	-0.21838 	-0.13421 	0.23034 	0.00000 	0.25889 	-0.14047 	-0.19495 	0.21320 	-0.19955 	0.16461 	0.26596 	-0.08136 	-0.07223 	-0.04439 	0.10414 	0.00000 	0.08345 	-0.04646 	-0.06448 	0.08700 	-0.06600 	0.05445 	0.09052 	0.00053	0.04463
Replication2	 -1.46210	0.99710	0.97614 	0.97867 	0.98207 	0.98671 	0.98182 	0.98854 	0.97375 	0.97835 	0.99104 	0.97649 	0.99267 	0.98936 	-0.16419 	-0.19807 	-0.15134 	0.16662 	0.00000 	0.18669 	-0.14447 	-0.20054 	0.14372 	-0.09428 	0.26671 	0.18183 	-0.05417 	-0.06535 	-0.04993 	0.07946 	0.00000 	0.06552 	-0.04766 	-0.06616 	0.05656 	-0.03110 	0.08799 	0.06066 	0.00733	0.03582
Replication3	 -1.53469	0.99706	0.97634 	0.98281 	0.98506 	0.98844 	0.98394 	0.99004 	0.96539 	0.97413 	0.99021 	0.96989 	0.98632 	0.98852 	-0.19404 	-0.10759 	-0.09686 	0.15813 	0.00000 	0.17877 	-0.19414 	-0.17541 	0.14875 	-0.12498 	0.22045 	0.18766 	-0.06402 	-0.03550 	-0.03196 	0.06969 	0.00000 	0.05582 	-0.06405 	-0.05787 	0.06031 	-0.04124 	0.07273 	0.06471 	0.00075	0.02863
Replication4	 -1.45456	0.99682	0.97327 	0.97734 	0.97936 	0.98523 	0.97970 	0.98668 	0.97036 	0.97518 	0.98873 	0.97093 	0.98749 	0.98708 	-0.18996 	-0.16982 	-0.18058 	0.17878 	0.00000 	0.20362 	-0.12175 	-0.16059 	0.16028 	-0.15401 	0.22483 	0.20129 	-0.06271 	-0.05606 	-0.05961 	0.08294 	0.00000 	0.07038 	-0.04019 	-0.05301 	0.06444 	-0.05084 	0.07422 	0.06806 	0.00791	0.03763
Replication5	 -1.48065	0.99733	0.98198 	0.98243 	0.98412 	0.98989 	0.98525 	0.99035 	0.97122 	0.97913 	0.99198 	0.97746 	0.99253 	0.99036 	-0.11445 	-0.17511 	-0.15716 	0.14646 	0.00000 	0.17142 	-0.20325 	-0.17974 	0.13543 	-0.06050 	0.25972 	0.17132 	-0.03774 	-0.05774 	-0.05182 	0.06597 	0.00000 	0.05953 	-0.06702 	-0.05927 	0.05494 	-0.01995 	0.08565 	0.05943 	0.00584	0.03195
Replication6	 -1.42386	0.99751	0.97884 	0.98047 	0.98430 	0.98834 	0.98394 	0.99059 	0.98307 	0.98586 	0.99417 	0.98405 	0.99801 	0.99284 	-0.15225 	-0.20956 	-0.15457 	0.15186 	0.00000 	0.16609 	-0.10090 	-0.13341 	0.12105 	-0.09579 	0.24330 	0.15289 	-0.05019 	-0.06908 	-0.05095 	0.07697 	0.00000 	0.06198 	-0.03326 	-0.04398 	0.04615 	-0.03158 	0.08020 	0.04878 	0.01129	0.03505
Replication7	 -1.49885	0.99681	0.98285 	0.98133 	0.97945 	0.98948 	0.98452 	0.98737 	0.96348 	0.97010 	0.98705 	0.96389 	0.98163 	0.98528 	-0.08318 	-0.15520 	-0.22499 	0.15648 	0.02167 	0.19979 	-0.13734 	-0.16517 	0.16929 	-0.19422 	0.19698 	0.21204 	-0.02746 	-0.05123 	-0.07427 	0.06037 	0.00715 	0.06618 	-0.04534 	-0.05452 	0.07318 	-0.06411 	0.06502 	0.07844 	0.00387	0.03342
Replication8	 -1.52740	0.99736	0.98525 	0.98754 	0.98815 	0.99295 	0.98946 	0.99266 	0.96896 	0.97563 	0.99159 	0.96929 	0.98578 	0.99006 	-0.11114 	-0.10469 	-0.09882 	0.12978 	0.01359 	0.15714 	-0.13146 	-0.14277 	0.13698 	-0.19232 	0.17359 	0.17241 	-0.03665 	-0.03452 	-0.03258 	0.05030 	0.00448 	0.04665 	-0.04335 	-0.04708 	0.05750 	-0.06342 	0.05724 	0.06192 	0.00229	0.02050
Replication9	 -1.50066	0.99807	0.99029 	0.98995 	0.98992 	0.99551 	0.99181 	0.99521 	0.97919 	0.98532 	0.99680 	0.98314 	1.00206 	0.99513 	-0.07455 	-0.12106 	-0.15033 	0.10563 	0.00000 	0.12733 	-0.18359 	-0.17590 	0.09882 	-0.10501 	0.34671 	0.12780 	-0.02455 	-0.03986 	-0.04950 	0.04745 	0.00000 	0.04645 	-0.06045 	-0.05792 	0.04063 	-0.03458 	0.11416 	0.04691 	0.00415	0.02874
