
Replication	FitnessValue	Frequency	Bus1	Bus2	Bus3	Bus4	Bus5	Bus6	Bus7	Bus8	Bus9	Bus10	Bus11	Bus12	Bus1_P	Bus2_P	Bus3_P	Bus4_P	Bus5_P	Bus6_P	Bus7_P	Bus8_P	Bus9_P	Bus10_P	Bus11_P	Bus12_P	Bus1_Q	Bus2_Q	Bus3_Q	Bus4_Q	Bus5_Q	Bus6_Q	Bus7_Q	Bus8_Q	Bus9_Q	Bus10_Q	Bus11_Q	Bus12_Q	PLoss	QLoss
Replication0	 0.00174	0.99590	0.97020 	0.97637 	0.98180 	0.97709 	0.98082 	0.99426 	0.94826 	0.95864 	0.97921 	0.95320 	0.97000 	0.97798 	-0.14659 	-0.16226 	-0.11634 	0.03448 	0.02105 	0.68333 	-0.20855 	-0.21691 	0.03511 	-0.14269 	0.17356 	0.06968 	-0.04848 	-0.05366 	-0.03847 	0.02644 	0.00696 	0.16787 	-0.06897 	-0.07173 	0.03026 	-0.04719 	0.05740 	0.06766 	0.02388	0.02809
Replication1	 -1.46839	0.99695	0.98567 	0.98229 	0.98662 	0.98602 	0.98901 	0.99786 	0.97150 	0.97452 	0.98844 	0.96925 	0.98799 	0.98719 	-0.01498 	-0.24247 	-0.16593 	0.02518 	0.02902 	0.51986 	-0.08611 	-0.17179 	0.02470 	-0.20186 	0.24266 	0.04966 	-0.00494 	-0.08002 	-0.05476 	0.01920 	0.00958 	0.13671 	-0.02842 	-0.05669 	0.02109 	-0.06662 	0.08008 	0.04815 	0.00794	0.02337
Replication2	 -1.53090	0.99661	0.97467 	0.97574 	0.98098 	0.97832 	0.98152 	0.99560 	0.97100 	0.97637 	0.98727 	0.97262 	0.98997 	0.98611 	-0.10577 	-0.23575 	-0.24321 	0.03264 	0.01085 	0.60250 	-0.14169 	-0.13212 	0.02614 	-0.14133 	0.27574 	0.05207 	-0.03493 	-0.07785 	-0.08032 	0.02600 	0.00358 	0.17622 	-0.04679 	-0.04363 	0.02213 	-0.04667 	0.09106 	0.05040 	0.00007	0.03920
Replication3	 -1.53515	0.99708	0.97387 	0.97882 	0.98624 	0.97983 	0.98390 	0.99772 	0.98084 	0.98160 	0.99136 	0.97958 	0.99544 	0.99024 	-0.15594 	-0.19936 	-0.15745 	0.03078 	0.01489 	0.51553 	-0.06838 	-0.17926 	0.02152 	-0.12432 	0.25927 	0.04310 	-0.05145 	-0.06577 	-0.05195 	0.02506 	0.00491 	0.14849 	-0.02256 	-0.05914 	0.01806 	-0.04102 	0.08554 	0.04166 	0.00038	0.03184
Replication4	 -1.49726	0.99773	0.97713 	0.98533 	0.99303 	0.98467 	0.98899 	1.00063 	0.97922 	0.98570 	0.99563 	0.98428 	0.99997 	0.99446 	-0.18465 	-0.12956 	-0.06372 	0.02567 	0.02056 	0.39593 	-0.18370 	-0.15459 	0.01660 	-0.06752 	0.29601 	0.03388 	-0.06084 	-0.04269 	-0.02100 	0.02122 	0.00677 	0.11063 	-0.06053 	-0.05094 	0.01391 	-0.02225 	0.09753 	0.03276 	0.00491	0.02459
Replication5	 -1.41559	0.99613	0.97149 	0.97889 	0.98155 	0.97874 	0.98105 	0.99494 	0.95875 	0.96598 	0.98171 	0.96119 	0.97348 	0.98087 	-0.16285 	-0.10258 	-0.18084 	0.03272 	0.00000 	0.65016 	-0.13887 	-0.15715 	0.03232 	-0.12822 	0.10500 	0.06343 	-0.05383 	-0.03391 	-0.05978 	0.02514 	0.00000 	0.16413 	-0.04590 	-0.05195 	0.02774 	-0.04238 	0.03471 	0.06152 	0.01310	0.02549
Replication6	 -1.52200	0.99672	0.97010 	0.97601 	0.98209 	0.97677 	0.98012 	0.99600 	0.97623 	0.97882 	0.98864 	0.97518 	0.99223 	0.98754 	-0.17424 	-0.18484 	-0.21769 	0.03397 	0.00000 	0.58453 	-0.08950 	-0.13542 	0.02461 	-0.15716 	0.26582 	0.04898 	-0.05753 	-0.06103 	-0.07187 	0.02754 	0.00000 	0.17262 	-0.02955 	-0.04471 	0.02074 	-0.05189 	0.08776 	0.04736 	0.00094	0.03946
Replication7	 -1.44936	0.99711	0.97953 	0.98577 	0.98772 	0.98577 	0.98997 	0.99852 	0.96590 	0.97497 	0.98889 	0.96889 	0.98729 	0.98769 	-0.15446 	-0.09358 	-0.16822 	0.02526 	0.05981 	0.49225 	-0.18792 	-0.10942 	0.02413 	-0.17749 	0.25084 	0.04855 	-0.05096 	-0.03087 	-0.05550 	0.01959 	0.01973 	0.12856 	-0.06199 	-0.03610 	0.02070 	-0.05856 	0.08275 	0.04712 	0.00975	0.02449
Replication8	 0.00190	0.99548	0.96236 	0.97013 	0.97509 	0.97069 	0.97430 	0.99169 	0.94810 	0.95909 	0.97687 	0.95163 	0.96923 	0.97580 	-0.19282 	-0.17306 	-0.22386 	0.04081 	0.00913 	0.77896 	-0.20009 	-0.12600 	0.03784 	-0.19087 	0.18131 	0.07446 	-0.06382 	-0.05728 	-0.07409 	0.03195 	0.00302 	0.21075 	-0.06622 	-0.04170 	0.03250 	-0.06317 	0.06001 	0.07222 	0.01582	0.04417
Replication9	 -1.40958	0.99610	0.96579 	0.97402 	0.98096 	0.97412 	0.97777 	0.99433 	0.95757 	0.96696 	0.98246 	0.96086 	0.97784 	0.98141 	-0.19179 	-0.16803 	-0.14927 	0.03702 	0.00000 	0.66827 	-0.18535 	-0.12772 	0.03154 	-0.16758 	0.20335 	0.06227 	-0.06340 	-0.05554 	-0.04934 	0.02939 	0.00000 	0.17880 	-0.06127 	-0.04222 	0.02693 	-0.05540 	0.06722 	0.06034 	0.01271	0.03551
