
 Replication 	 FitnessValue 	 Frequency	Bus1	Bus2	Bus3	Bus4	Bus5	Bus6	Bus7	Bus8	Bus9	Bus10	Bus11	Bus12
Replication0	 0.31079	0.99981	0.99717 	0.99971 	0.99711 	0.99986 	1.00615 	0.99966 	0.95541 	0.95591 	0.94823 	0.95666 	0.95462 	0.94950 
Replication1	 0.29727	0.99983	0.99890 	1.00344 	1.00036 	1.00241 	1.00670 	1.00246 	0.95760 	0.95814 	0.95085 	0.95885 	0.95697 	0.95237 
Replication2	 0.30374	0.99981	0.99537 	0.99907 	0.99708 	0.99891 	1.00610 	0.99950 	0.95726 	0.95808 	0.94970 	0.95865 	0.95640 	0.95116 
Replication3	 0.33415	0.99981	0.99662 	1.00096 	0.99797 	1.00030 	1.00613 	1.00044 	0.95231 	0.95273 	0.94361 	0.95352 	0.95116 	0.94583 
Replication4	 0.31765	0.99981	0.99683 	1.00088 	0.99839 	1.00034 	1.00624 	1.00068 	0.95443 	0.95595 	0.94583 	0.95630 	0.95362 	0.94812 
Replication5	 0.35241	0.99979	0.99483 	0.99843 	0.99613 	0.99835 	1.00574 	0.99875 	0.95042 	0.95097 	0.94258 	0.95180 	0.94956 	0.94392 
Replication6	 0.32581	0.99980	0.99570 	0.99883 	0.99627 	0.99888 	1.00594 	0.99895 	0.95404 	0.95455 	0.94672 	0.95532 	0.95323 	0.94789 
Replication7	 0.28005	0.99981	0.99528 	0.99920 	0.99739 	0.99896 	1.00623 	0.99973 	0.96053 	0.96100 	0.95452 	0.96169 	0.95991 	0.95511 
Replication8	 0.30586	0.99980	0.99644 	0.99916 	0.99637 	0.99932 	1.00609 	0.99911 	0.95668 	0.95718 	0.94989 	0.95791 	0.95595 	0.95086 
Replication9	 0.32323	0.99980	0.99514 	0.99848 	0.99587 	0.99850 	1.00590 	0.99864 	0.95499 	0.95550 	0.94724 	0.95623 	0.95401 	0.94863 
Replication10	 0.33772	0.99979	0.99454 	0.99829 	0.99598 	0.99819 	1.00579 	0.99865 	0.95278 	0.95330 	0.94538 	0.95410 	0.95197 	0.94648 
Replication11	 0.34949	0.99980	0.99554 	0.99931 	0.99767 	0.99906 	1.00590 	0.99986 	0.95024 	0.95070 	0.94148 	0.95152 	0.94912 	0.94354 
Replication12	 0.25419	0.99983	0.99659 	1.00006 	0.99829 	0.99988 	1.00650 	1.00048 	0.96359 	0.96602 	0.95664 	0.96589 	0.96330 	0.95813 
Replication13	 0.26942	0.99982	0.99597 	0.99941 	0.99729 	0.99932 	1.00632 	0.99973 	0.96184 	0.96362 	0.95503 	0.96377 	0.96141 	0.95624 
Replication14	 0.37398	0.99978	0.99260 	0.99754 	0.99596 	0.99710 	1.00550 	0.99842 	0.94827 	0.94878 	0.93975 	0.94964 	0.94724 	0.94130 
Replication15	 0.32715	0.99980	0.99566 	0.99893 	0.99655 	0.99892 	1.00597 	0.99914 	0.95433 	0.95460 	0.94531 	0.95537 	0.95294 	0.94754 
Replication16	 0.27458	0.99982	0.99725 	1.00011 	0.99790 	1.00013 	1.00642 	1.00025 	0.96084 	0.96121 	0.95393 	0.96189 	0.95995 	0.95523 
Replication17	 0.33163	0.99980	0.99464 	0.99908 	0.99783 	0.99864 	1.00596 	0.99991 	0.95320 	0.95361 	0.94487 	0.95440 	0.95210 	0.94669 
Replication18	 0.31475	0.99981	0.99785 	1.00115 	0.99826 	1.00085 	1.00631 	1.00068 	0.95477 	0.95599 	0.94655 	0.95646 	0.95397 	0.94865 
Replication19	 0.35716	0.99978	0.99392 	0.99767 	0.99506 	0.99764 	1.00560 	0.99795 	0.95052 	0.95106 	0.94275 	0.95188 	0.94965 	0.94391 
Replication20	 0.31295	0.99981	0.99695 	0.99994 	0.99789 	0.99991 	1.00619 	1.00017 	0.95523 	0.95560 	0.94699 	0.95636 	0.95411 	0.94895 
Replication21	 0.31773	0.99980	0.99526 	0.99941 	0.99808 	0.99904 	1.00607 	1.00015 	0.95461 	0.95515 	0.94763 	0.95592 	0.95391 	0.94872 
Replication22	 0.33875	0.99980	0.99579 	0.99941 	0.99767 	0.99920 	1.00596 	0.99989 	0.95140 	0.95198 	0.94385 	0.95279 	0.95064 	0.94521 
