
 Replication 	 FitnessValue 	 Frequency	Bus1	Bus2	Bus3	Bus4	Bus5	Bus6
Replication0	 0.14934	0.99759	0.97451 	0.97565 	0.97441 	0.97648 	0.97644 	0.97591 
Replication1	 0.30506	0.99585	0.94717 	0.95023 	0.94891 	0.95136 	0.95164 	0.95122 
Replication2	 0.17256	0.99734	0.97047 	0.97263 	0.96986 	0.97313 	0.97275 	0.97196 
Replication3	 0.19890	0.99703	0.96581 	0.96754 	0.96626 	0.96847 	0.96851 	0.96801 
Replication4	 0.12065	0.99792	0.97929 	0.98035 	0.97936 	0.98104 	0.98103 	0.98062 
Replication5	 0.19385	0.99709	0.96643 	0.96839 	0.96737 	0.96920 	0.96935 	0.96899 
Replication6	 0.17648	0.99728	0.96976 	0.97141 	0.96974 	0.97220 	0.97210 	0.97151 
Replication7	 0.22629	0.99672	0.96149 	0.96308 	0.96138 	0.96423 	0.96417 	0.96345 
Replication8	 0.20114	0.99701	0.96516 	0.96747 	0.96591 	0.96817 	0.96819 	0.96774 
Replication9	 0.23452	0.99663	0.95920 	0.96176 	0.96081 	0.96262 	0.96288 	0.96260 
Replication10	 0.20221	0.99700	0.96470 	0.96704 	0.96626 	0.96778 	0.96803 	0.96782 
Replication11	 0.20101	0.99700	0.96560 	0.96719 	0.96577 	0.96818 	0.96818 	0.96760 
Replication12	 0.21569	0.99684	0.96290 	0.96481 	0.96350 	0.96578 	0.96585 	0.96535 
Replication13	 0.14774	0.99761	0.97429 	0.97594 	0.97516 	0.97658 	0.97671 	0.97645 
Replication14	 0.26175	0.99632	0.95576 	0.95732 	0.95518 	0.95870 	0.95854 	0.95761 
Replication15	 0.05663	0.99867	0.99001 	0.99181 	0.98971 	0.99171 	0.99138 	0.99096 
Replication16	 0.19235	0.99713	0.96626 	0.96952 	0.96726 	0.96975 	0.96964 	0.96924 
Replication17	 0.06549	0.99857	0.98821 	0.99037 	0.98850 	0.99020 	0.98998 	0.98970 
Replication18	 0.17556	0.99730	0.96947 	0.97139 	0.97054 	0.97210 	0.97227 	0.97200 
Replication19	 0.22728	0.99671	0.96104 	0.96291 	0.96143 	0.96396 	0.96400 	0.96341 
Replication20	 0.19285	0.99710	0.96646 	0.96856 	0.96768 	0.96932 	0.96952 	0.96924 
Replication21	 0.15886	0.99748	0.97283 	0.97409 	0.97285 	0.97494 	0.97491 	0.97440 
Replication22	 0.21915	0.99680	0.96201 	0.96426 	0.96321 	0.96513 	0.96532 	0.96497 
Replication23	 0.15520	0.99752	0.97350 	0.97477 	0.97336 	0.97558 	0.97550 	0.97494 
Replication24	 0.14278	0.99767	0.97510 	0.97698 	0.97581 	0.97748 	0.97751 	0.97720 
Replication25	 0.18961	0.99713	0.96746 	0.96906 	0.96776 	0.96998 	0.97000 	0.96948 
Replication26	 0.25361	0.99642	0.95575 	0.95868 	0.95778 	0.95952 	0.95985 	0.95964 
Replication27	 0.24319	0.99653	0.95867 	0.96034 	0.95848 	0.96156 	0.96148 	0.96070 
Replication28	 0.23566	0.99662	0.95883 	0.96159 	0.96080 	0.96238 	0.96271 	0.96253 
Replication29	 0.18169	0.99723	0.96836 	0.97039 	0.96956 	0.97111 	0.97130 	0.97104 
Replication30	 0.23606	0.99662	0.95899 	0.96150 	0.96049 	0.96239 	0.96263 	0.96232 
Replication31	 0.04654	0.99878	0.99170 	0.99328 	0.99154 	0.99323 	0.99297 	0.99262 
Replication32	 0.13093	0.99781	0.97656 	0.97907 	0.97823 	0.97926 	0.97944 	0.97940 
Replication33	 0.21482	0.99685	0.96309 	0.96493 	0.96357 	0.96592 	0.96597 	0.96544 
Replication34	 0.15495	0.99753	0.97286 	0.97477 	0.97413 	0.97536 	0.97557 	0.97540 
Replication35	 0.23720	0.99660	0.95907 	0.96129 	0.96002 	0.96229 	0.96242 	0.96196 
Replication36	 0.12771	0.99784	0.97792 	0.97919 	0.97831 	0.97985 	0.97990 	0.97956 
Replication37	 0.18926	0.99714	0.96714 	0.96914 	0.96822 	0.96992 	0.97008 	0.96978 
Replication38	 0.10293	0.99815	0.98122 	0.98439 	0.98237 	0.98407 	0.98394 	0.98377 
Replication39	 0.12782	0.99784	0.97788 	0.97969 	0.97783 	0.98008 	0.97989 	0.97938 
Replication40	 0.20139	0.99700	0.96505 	0.96722 	0.96613 	0.96800 	0.96815 	0.96781 
Replication41	 0.22485	0.99674	0.96128 	0.96331 	0.96200 	0.96429 	0.96439 	0.96390 
Replication42	 0.22543	0.99673	0.96123 	0.96328 	0.96180 	0.96425 	0.96430 	0.96376 
Replication43	 0.17622	0.99728	0.96971 	0.97125 	0.97006 	0.97210 	0.97214 	0.97167 
Replication44	 0.19691	0.99705	0.96657 	0.96789 	0.96628 	0.96895 	0.96886 	0.96816 
Replication45	 0.21869	0.99681	0.96207 	0.96433 	0.96330 	0.96520 	0.96539 	0.96505 
