
 Replication 	 FitnessValue 	 Frequency	Bus1	Bus2	Bus3	Bus4	Bus5	Bus6
Replication0	 0.49269	0.96767	0.91782 	0.92164 	0.92643 	0.93655 	0.92785 	0.94150 
Replication1	 0.73618	0.95765	0.87457 	0.89043 	0.89307 	0.90766 	0.89471 	0.91550 
Replication2	 0.64157	0.96107	0.89267 	0.90324 	0.90295 	0.91942 	0.90719 	0.92420 
Replication3	 0.68632	0.95955	0.88372 	0.89771 	0.89778 	0.91405 	0.90219 	0.92008 
Replication4	 0.58805	0.96330	0.90313 	0.91152 	0.90818 	0.92662 	0.91455 	0.92923 
Replication5	 0.59344	0.96283	0.90273 	0.90719 	0.91018 	0.92462 	0.91366 	0.92919 
Replication6	 0.56003	0.96511	0.90278 	0.91480 	0.91824 	0.92842 	0.91871 	0.93511 
Replication7	 0.51659	0.96654	0.91522 	0.92153 	0.91856 	0.93536 	0.92457 	0.93736 
Replication8	 0.47480	0.96918	0.91624 	0.92657 	0.93177 	0.93852 	0.93071 	0.94536 
Replication9	 0.51441	0.96786	0.90812 	0.91957 	0.93039 	0.93277 	0.92564 	0.94267 
Replication10	 0.44551	0.97038	0.92235 	0.93028 	0.93506 	0.94225 	0.93472 	0.94816 
Replication11	 0.63829	0.96058	0.89921 	0.90063 	0.90054 	0.92018 	0.90749 	0.92262 
Replication12	 0.59380	0.96338	0.89897 	0.90891 	0.91183 	0.92447 	0.91529 	0.93052 
Replication13	 0.66136	0.96002	0.89079 	0.89934 	0.89971 	0.91694 	0.90436 	0.92156 
Replication14	 0.44309	0.97014	0.92590 	0.92997 	0.93190 	0.94327 	0.93631 	0.94684 
Replication15	 0.47416	0.96934	0.91557 	0.92798 	0.93145 	0.93894 	0.93087 	0.94550 
Replication16	 0.50717	0.96699	0.91592 	0.92134 	0.92128 	0.93576 	0.92708 	0.93893 
Replication17	 0.55445	0.96586	0.90134 	0.91602 	0.92194 	0.92868 	0.91986 	0.93725 
Replication18	 0.67434	0.95930	0.89165 	0.89700 	0.89531 	0.91611 	0.90365 	0.91898 
Replication19	 0.49573	0.96746	0.91788 	0.92298 	0.92343 	0.93704 	0.92736 	0.94029 
Replication20	 0.53538	0.96576	0.90980 	0.91666 	0.91992 	0.93151 	0.92186 	0.93668 
Replication21	 0.55822	0.96448	0.90800 	0.91330 	0.91461 	0.92921 	0.91856 	0.93310 
Replication22	 0.65203	0.96088	0.88920 	0.90190 	0.90344 	0.91776 	0.90592 	0.92400 
Replication23	 0.54939	0.96527	0.90663 	0.91473 	0.91844 	0.92969 	0.92082 	0.93547 
Replication24	 0.53652	0.96568	0.90983 	0.91583 	0.92026 	0.93116 	0.92171 	0.93666 
Replication25	 0.62815	0.96126	0.89792 	0.90360 	0.90303 	0.92121 	0.90884 	0.92453 
Replication26	 0.61935	0.96250	0.89337 	0.90705 	0.90873 	0.92165 	0.91097 	0.92814 
Replication27	 0.50610	0.96722	0.91396 	0.92092 	0.92486 	0.93495 	0.92602 	0.94038 
Replication28	 0.58571	0.96304	0.90742 	0.90897 	0.90723 	0.92690 	0.91589 	0.92848 
Replication29	 0.68655	0.95960	0.88278 	0.89478 	0.90230 	0.91253 	0.90139 	0.92150 
Replication30	 0.46428	0.96892	0.92474 	0.92762 	0.92637 	0.94152 	0.93262 	0.94329 
Replication31	 0.60590	0.96374	0.89303 	0.90710 	0.91569 	0.92206 	0.91489 	0.93194 
Replication32	 0.68899	0.95848	0.88986 	0.89295 	0.89496 	0.91359 	0.90051 	0.91761 
Replication33	 0.53796	0.96592	0.90762 	0.91831 	0.91953 	0.93156 	0.92165 	0.93679 
Replication34	 0.69275	0.95945	0.88122 	0.89491 	0.90091 	0.91209 	0.90094 	0.92082 
Replication35	 0.56017	0.96428	0.90936 	0.91247 	0.91341 	0.92924 	0.91859 	0.93238 
Replication36	 0.58917	0.96346	0.90008 	0.90996 	0.91223 	0.92514 	0.91445 	0.93079 
Replication37	 0.51084	0.96701	0.91326 	0.92107 	0.92289 	0.93479 	0.92599 	0.93948 
Replication38	 0.45584	0.97023	0.91898 	0.92971 	0.93358 	0.94113 	0.93552 	0.94747 
Replication39	 0.55547	0.96482	0.90664 	0.91426 	0.91635 	0.92929 	0.91904 	0.93416 
Replication40	 0.57612	0.96421	0.90125 	0.91176 	0.91508 	0.92650 	0.91690 	0.93280 
Replication41	 0.68715	0.95930	0.88472 	0.89755 	0.89668 	0.91414 	0.90108 	0.91938 
Replication42	 0.47416	0.96864	0.92124 	0.92818 	0.92499 	0.94052 	0.93052 	0.94247 
Replication43	 0.59614	0.96316	0.89917 	0.90674 	0.91354 	0.92346 	0.91355 	0.93066 
Replication44	 0.53377	0.96626	0.90755 	0.91909 	0.92059 	0.93201 	0.92291 	0.93761 
Replication45	 0.56488	0.96471	0.90313 	0.91452 	0.91572 	0.92829 	0.91792 	0.93377 
Replication46	 0.64141	0.96139	0.89048 	0.90337 	0.90548 	0.91891 	0.90741 	0.92543 
Replication47	 0.57351	0.96433	0.90164 	0.91116 	0.91685 	0.92636 	0.91675 	0.93349 
Replication48	 0.62706	0.96201	0.89331 	0.90500 	0.90662 	0.92076 	0.91093 	0.92676 
Replication49	 0.61444	0.96227	0.89645 	0.90547 	0.90895 	0.92186 	0.91106 	0.92794 
Replication50	 0.46612	0.96904	0.92341 	0.92949 	0.92542 	0.94186 	0.93208 	0.94314 
Replication51	 0.64508	0.96139	0.88896 	0.90203 	0.90705 	0.91790 	0.90703 	0.92586 
Replication52	 0.63004	0.96191	0.89216 	0.90509 	0.90716 	0.92027 	0.90898 	0.92676 
Replication53	 0.50281	0.96706	0.91717 	0.92035 	0.92364 	0.93564 	0.92636 	0.93974 
Replication54	 0.72087	0.95821	0.87720 	0.89094 	0.89639 	0.90888 	0.89706 	0.91744 
Replication55	 0.65340	0.96059	0.89199 	0.89585 	0.90680 	0.91605 	0.90580 	0.92438 
Replication56	 0.54084	0.96540	0.90998 	0.91572 	0.91782 	0.93113 	0.92169 	0.93549 
Replication57	 0.63394	0.96146	0.89306 	0.90322 	0.90599 	0.91966 	0.90826 	0.92575 
Replication58	 0.51715	0.96701	0.91057 	0.92236 	0.92212 	0.93443 	0.92465 	0.93920 
Replication59	 0.54120	0.96584	0.90677 	0.91760 	0.91940 	0.93105 	0.92183 	0.93662 
Replication60	 0.65525	0.96093	0.88785 	0.90235 	0.90323 	0.91754 	0.90561 	0.92396 
Replication61	 0.60392	0.96285	0.89742 	0.90645 	0.91203 	0.92272 	0.91248 	0.92975 
Replication62	 0.64502	0.96122	0.89002 	0.90276 	0.90492 	0.91847 	0.90690 	0.92499 
Replication63	 0.55304	0.96536	0.90444 	0.91419 	0.92019 	0.92879 	0.92007 	0.93609 
Replication64	 0.56388	0.96457	0.90483 	0.91287 	0.91521 	0.92823 	0.91945 	0.93342 
Replication65	 0.60669	0.96417	0.89038 	0.91063 	0.91609 	0.92261 	0.91310 	0.93258 
Replication66	 0.58331	0.96407	0.89952 	0.91295 	0.91281 	0.92637 	0.91578 	0.93183 
Replication67	 0.60497	0.96222	0.90223 	0.90509 	0.90792 	0.92343 	0.91211 	0.92752 
Replication68	 0.56092	0.96600	0.89869 	0.91661 	0.92144 	0.92822 	0.92016 	0.93718 
Replication69	 0.39551	0.97231	0.93766 	0.93622 	0.93647 	0.95003 	0.94343 	0.95119 
Replication70	 0.52067	0.96645	0.91225 	0.91822 	0.92259 	0.93311 	0.92408 	0.93853 
Replication71	 0.65340	0.96052	0.89067 	0.89867 	0.90436 	0.91680 	0.90557 	0.92375 
Replication72	 0.56596	0.96435	0.90546 	0.91412 	0.91302 	0.92872 	0.91760 	0.93239 
Replication73	 0.64086	0.96171	0.88898 	0.90317 	0.90799 	0.91846 	0.90771 	0.92661 
Replication74	 0.70613	0.95858	0.88100 	0.89445 	0.89522 	0.91153 	0.89854 	0.91777 
Replication75	 0.63910	0.96109	0.89327 	0.90233 	0.90421 	0.91925 	0.90747 	0.92465 
Replication76	 0.58855	0.96368	0.89897 	0.91025 	0.91361 	0.92498 	0.91466 	0.93152 
Replication77	 0.62889	0.96128	0.89677 	0.90222 	0.90524 	0.92032 	0.90876 	0.92527 
Replication78	 0.44898	0.97013	0.92229 	0.93118 	0.93241 	0.94253 	0.93416 	0.94702 
