
 Replication 	 FitnessValue 	 Frequency	Bus1	Bus2	Bus3	Bus4	Bus5	Bus6	Bus1_P	Bus2_P	Bus3_P	Bus4_P	Bus5_P	Bus6_P	Bus1_Q	Bus2_Q	Bus3_Q	Bus4_Q	Bus5_Q	Bus6_Q
Replication0	 0.40855	0.97182	0.93395 	0.93731 	0.93332 	0.94914 	0.94086 	0.94957 	-0.16804 	-0.18375 	-0.33274 	0.26787 	0.02221 	0.39986 	-0.05831 	-0.06377 	-0.11547 	0.10006 	0.00771 	0.14814 
Replication1	 0.51071	0.96717	0.91204 	0.92068 	0.92513 	0.93425 	0.92547 	0.94038 	-0.27459 	-0.28042 	-0.22553 	0.32671 	0.00000 	0.46225 	-0.09618 	-0.09822 	-0.07899 	0.13122 	0.00000 	0.16902 
Replication2	 0.50537	0.96824	0.90894 	0.92494 	0.92729 	0.93539 	0.92740 	0.94250 	-0.36677 	-0.16880 	-0.23825 	0.32009 	0.01515 	0.44788 	-0.12819 	-0.05900 	-0.08327 	0.13097 	0.00529 	0.16420 
Replication3	 0.44847	0.97014	0.92296 	0.93124 	0.93132 	0.94286 	0.93540 	0.94669 	-0.25457 	-0.20459 	-0.27497 	0.29186 	0.02849 	0.42043 	-0.08864 	-0.07124 	-0.09574 	0.11401 	0.00992 	0.15366 
Replication4	 0.40477	0.97210	0.93190 	0.93539 	0.93922 	0.94776 	0.94046 	0.95190 	-0.18190 	-0.27695 	-0.19498 	0.27121 	0.00000 	0.38803 	-0.06309 	-0.09605 	-0.06763 	0.10508 	0.00000 	0.13883 
Replication5	 0.38518	0.97323	0.93420 	0.93840 	0.94309 	0.95002 	0.94333 	0.95470 	-0.18896 	-0.26958 	-0.16768 	0.26102 	0.00000 	0.37030 	-0.06539 	-0.09329 	-0.05802 	0.10161 	0.00000 	0.13118 
Replication6	 0.53945	0.96511	0.91430 	0.91488 	0.91569 	0.93194 	0.92123 	0.93428 	-0.16718 	-0.33995 	-0.32318 	0.33984 	0.00000 	0.49914 	-0.05880 	-0.11957 	-0.11367 	0.13206 	0.00000 	0.18748 
Replication7	 0.42272	0.97113	0.92938 	0.93356 	0.93513 	0.94596 	0.93783 	0.94926 	-0.18977 	-0.24858 	-0.23988 	0.27956 	0.00000 	0.40436 	-0.06595 	-0.08638 	-0.08336 	0.10761 	0.00000 	0.14643 
Replication8	 0.48916	0.96795	0.91753 	0.92237 	0.92767 	0.93684 	0.92840 	0.94230 	-0.22247 	-0.32427 	-0.21227 	0.31656 	0.00000 	0.45010 	-0.07780 	-0.11340 	-0.07424 	0.12571 	0.00000 	0.16382 
Replication9	 0.30490	0.97760	0.94771 	0.95474 	0.95087 	0.96206 	0.95503 	0.96318 	-0.18719 	-0.07572 	-0.25757 	0.21159 	0.00000 	0.31232 	-0.06421 	-0.02597 	-0.08835 	0.07821 	0.00000 	0.11224 
Replication10	 0.45255	0.96992	0.92206 	0.93077 	0.93138 	0.94223 	0.93363 	0.94639 	-0.25417 	-0.19899 	-0.25742 	0.29444 	0.00000 	0.42279 	-0.08854 	-0.06932 	-0.08967 	0.11528 	0.00000 	0.15405 
Replication11	 0.49265	0.96768	0.91828 	0.92466 	0.92287 	0.93791 	0.92784 	0.94043 	-0.22668 	-0.21594 	-0.32391 	0.31414 	0.00000 	0.45979 	-0.07932 	-0.07556 	-0.11334 	0.12167 	0.00000 	0.17108 
Replication12	 0.39778	0.97293	0.92917 	0.93923 	0.94131 	0.94873 	0.94159 	0.95379 	-0.26359 	-0.17256 	-0.19973 	0.26579 	0.00000 	0.37575 	-0.09127 	-0.05975 	-0.06916 	0.10460 	0.00000 	0.13397 
Replication13	 0.47141	0.96867	0.92146 	0.92585 	0.92793 	0.93970 	0.93120 	0.94348 	-0.20768 	-0.28177 	-0.25997 	0.30576 	0.00910 	0.44152 	-0.07253 	-0.09840 	-0.09079 	0.11920 	0.00318 	0.16168 
Replication14	 0.45338	0.97000	0.92108 	0.92893 	0.93410 	0.94120 	0.93361 	0.94730 	-0.25381 	-0.26909 	-0.18571 	0.29728 	0.00000 	0.41829 	-0.08840 	-0.09372 	-0.06468 	0.11862 	0.00000 	0.15030 
Replication15	 0.56765	0.96419	0.90521 	0.91184 	0.91468 	0.92768 	0.91731 	0.93268 	-0.25696 	-0.31189 	-0.28742 	0.35545 	0.00000 	0.51052 	-0.09055 	-0.10990 	-0.10128 	0.14217 	0.00000 	0.19060 
Replication16	 0.52181	0.96659	0.91062 	0.91929 	0.92278 	0.93308 	0.92386 	0.93880 	-0.27513 	-0.27337 	-0.24694 	0.33200 	0.00000 	0.47207 	-0.09648 	-0.09587 	-0.08660 	0.13301 	0.00000 	0.17358 
Replication17	 0.51901	0.96727	0.90804 	0.92186 	0.92484 	0.93353 	0.92462 	0.94037 	-0.33909 	-0.20488 	-0.23726 	0.32858 	0.00000 	0.46185 	-0.11875 	-0.07175 	-0.08309 	0.13369 	0.00000 	0.16952 
Replication18	 0.40834	0.97213	0.92918 	0.93690 	0.93847 	0.94755 	0.93993 	0.95177 	-0.23382 	-0.19933 	-0.22153 	0.27176 	0.00000 	0.38852 	-0.08109 	-0.06913 	-0.07683 	0.10577 	0.00000 	0.13952 
Replication19	 0.42929	0.97112	0.92537 	0.93383 	0.93574 	0.94484 	0.93697 	0.94948 	-0.24888 	-0.20662 	-0.22465 	0.28294 	0.00000 	0.40337 	-0.08649 	-0.07180 	-0.07807 	0.11097 	0.00000 	0.14541 
Replication20	 0.44055	0.97038	0.92508 	0.93243 	0.93215 	0.94396 	0.93528 	0.94729 	-0.23154 	-0.19667 	-0.26999 	0.28781 	0.00000 	0.41659 	-0.08058 	-0.06845 	-0.09396 	0.11144 	0.00000 	0.15203 
Replication21	 0.33866	0.97661	0.93594 	0.94825 	0.95284 	0.95571 	0.95237 	0.96247 	-0.29964 	-0.16243 	-0.13286 	0.23375 	0.04655 	0.31995 	-0.10299 	-0.05583 	-0.04567 	0.09448 	0.01600 	0.11106 
Replication22	 0.34166	0.97535	0.94339 	0.94741 	0.94507 	0.95710 	0.94955 	0.95826 	-0.15884 	-0.15377 	-0.26148 	0.23329 	0.00000 	0.34469 	-0.05473 	-0.05299 	-0.09010 	0.08649 	0.00000 	0.12449 
Replication23	 0.48143	0.96858	0.91679 	0.92645 	0.92784 	0.93847 	0.92958 	0.94334 	-0.27464 	-0.21329 	-0.25691 	0.30977 	0.00000 	0.44258 	-0.09593 	-0.07450 	-0.08973 	0.12267 	0.00000 	0.16193 
Replication24	 0.46942	0.96933	0.91775 	0.92876 	0.93026 	0.93992 	0.93138 	0.94517 	-0.28987 	-0.19236 	-0.24450 	0.30316 	0.00000 	0.43094 	-0.10109 	-0.06709 	-0.08527 	0.12051 	0.00000 	0.15698 
Replication25	 0.39191	0.97285	0.93345 	0.93993 	0.93902 	0.95030 	0.94232 	0.95294 	-0.20747 	-0.17165 	-0.25708 	0.26129 	0.00000 	0.37994 	-0.07185 	-0.05944 	-0.08903 	0.09962 	0.00000 	0.13744 
Replication26	 0.44241	0.97024	0.92499 	0.92996 	0.93391 	0.94288 	0.93501 	0.94760 	-0.21065 	-0.28126 	-0.20904 	0.29149 	0.00000 	0.41583 	-0.07333 	-0.09791 	-0.07277 	0.11425 	0.00000 	0.14998 
Replication27	 0.50904	0.96717	0.91313 	0.92261 	0.92270 	0.93536 	0.92564 	0.93965 	-0.27493 	-0.21322 	-0.29271 	0.32336 	0.00000 	0.46562 	-0.09630 	-0.07468 	-0.10253 	0.12784 	0.00000 	0.17233 
Replication28	 0.48090	0.96829	0.91904 	0.92480 	0.92725 	0.93840 	0.92950 	0.94273 	-0.22602 	-0.27259 	-0.25163 	0.31084 	0.00000 	0.44663 	-0.07899 	-0.09526 	-0.08794 	0.12203 	0.00000 	0.16341 
Replication29	 0.43279	0.97077	0.92701 	0.93404 	0.93193 	0.94537 	0.93709 	0.94776 	-0.22590 	-0.17748 	-0.30210 	0.28237 	0.01642 	0.41275 	-0.07856 	-0.06172 	-0.10506 	0.10831 	0.00571 	0.15165 
Replication30	 0.41964	0.97203	0.92459 	0.93552 	0.93923 	0.94565 	0.93969 	0.95183 	-0.29103 	-0.20501 	-0.19069 	0.27779 	0.02678 	0.38869 	-0.10095 	-0.07111 	-0.06615 	0.11121 	0.00929 	0.13881 
Replication31	 0.47394	0.96917	0.91661 	0.92786 	0.93033 	0.93916 	0.93078 	0.94494 	-0.29599 	-0.20484 	-0.23020 	0.30594 	0.00000 	0.43269 	-0.10326 	-0.07146 	-0.08031 	0.12234 	0.00000 	0.15729 
Replication32	 0.49378	0.96796	0.91493 	0.92419 	0.92631 	0.93679 	0.92782 	0.94194 	-0.27354 	-0.23430 	-0.25277 	0.31670 	0.00000 	0.45173 	-0.09566 	-0.08194 	-0.08840 	0.12586 	0.00000 	0.16548 
Replication33	 0.34030	0.97596	0.93965 	0.94488 	0.95247 	0.95513 	0.95034 	0.96135 	-0.20132 	-0.27451 	-0.09209 	0.23743 	0.00720 	0.32794 	-0.06929 	-0.09448 	-0.03169 	0.09427 	0.00248 	0.11320 
Replication34	 0.44176	0.97078	0.92186 	0.93131 	0.93579 	0.94275 	0.93660 	0.94897 	-0.27916 	-0.24557 	-0.19579 	0.29027 	0.02999 	0.40722 	-0.09707 	-0.08540 	-0.06809 	0.11626 	0.01043 	0.14620 
Replication35	 0.55188	0.96529	0.90524 	0.91609 	0.91787 	0.92975 	0.91972 	0.93532 	-0.30512 	-0.24171 	-0.28316 	0.34593 	0.00000 	0.49362 	-0.10728 	-0.08498 	-0.09956 	0.13923 	0.00000 	0.18357 
Replication36	 0.43126	0.97074	0.92781 	0.93327 	0.93307 	0.94524 	0.93663 	0.94807 	-0.20445 	-0.21474 	-0.26930 	0.28286 	0.00000 	0.41147 	-0.07110 	-0.07468 	-0.09365 	0.10861 	0.00000 	0.15009 
Replication37	 0.41697	0.97134	0.93159 	0.93380 	0.93492 	0.94687 	0.93966 	0.94946 	-0.16798 	-0.27095 	-0.25858 	0.27616 	0.02447 	0.40251 	-0.05835 	-0.09412 	-0.08982 	0.10546 	0.00850 	0.14646 
