
 Replication 	 FitnessValue 	 Frequency	PLoss	QLoss	Bus1	Bus2	Bus3	Bus4	Bus5	Bus6	Bus1_P	Bus2_P	Bus3_P	Bus4_P	Bus5_P	Bus6_P	Bus1_Q	Bus2_Q	Bus3_Q	Bus4_Q	Bus5_Q	Bus6_Q
Replication0	 0.23766	0.98455	0.95612 	0.96286 	0.96539 	0.97516 	0.96677 	0.97888 	-0.24097 	-0.24997 	-0.22578 	0.30267 	0.00000 	0.42029 	-0.08152 	-0.08456 	-0.07638 	0.11860 	0.00000 	0.14418 	0.00624	0.02032
Replication1	 0.22620	0.98503	0.95824 	0.96426 	0.96707 	0.97633 	0.96830 	0.97996 	-0.22740 	-0.25226 	-0.21338 	0.29269 	0.00000 	0.40616 	-0.07685 	-0.08526 	-0.07211 	0.11437 	0.00000 	0.13868 	0.00580	0.01882
Replication2	 0.20904	0.98587	0.96163 	0.96455 	0.97074 	0.97774 	0.97299 	0.98202 	-0.20228 	-0.34002 	-0.16668 	0.27914 	0.05560 	0.37995 	-0.06825 	-0.11472 	-0.05624 	0.11088 	0.01876 	0.12757 	0.00571	0.01799
Replication3	 0.29888	0.98190	0.94693 	0.95518 	0.95485 	0.96931 	0.95864 	0.97247 	-0.27744 	-0.24590 	-0.32382 	0.35375 	0.00000 	0.50205 	-0.09435 	-0.08363 	-0.11013 	0.13816 	0.00000 	0.17866 	0.00864	0.02871
Replication4	 0.26182	0.98355	0.95178 	0.95962 	0.96195 	0.97265 	0.96399 	0.97664 	-0.26787 	-0.25864 	-0.24976 	0.32376 	0.01034 	0.44946 	-0.09080 	-0.08767 	-0.08466 	0.12784 	0.00351 	0.15558 	0.00728	0.02379
Replication5	 0.23039	0.98490	0.95735 	0.96346 	0.96599 	0.97595 	0.96977 	0.97956 	-0.24364 	-0.26817 	-0.23826 	0.29576 	0.04970 	0.41084 	-0.08236 	-0.09066 	-0.08055 	0.11596 	0.01680 	0.14115 	0.00623	0.02035
Replication6	 0.25732	0.98341	0.95664 	0.95961 	0.95934 	0.97379 	0.96409 	0.97565 	-0.18887 	-0.27460 	-0.30717 	0.31770 	0.00000 	0.45968 	-0.06404 	-0.09311 	-0.10415 	0.12013 	0.00000 	0.16333 	0.00674	0.02217
Replication7	 0.25390	0.98378	0.95409 	0.96015 	0.96279 	0.97346 	0.96457 	0.97713 	-0.23822 	-0.27440 	-0.24098 	0.31749 	0.00000 	0.44294 	-0.08071 	-0.09297 	-0.08165 	0.12431 	0.00000 	0.15317 	0.00683	0.02216
Replication8	 0.24909	0.98384	0.95687 	0.96094 	0.96126 	0.97447 	0.96544 	0.97678 	-0.20448 	-0.26439 	-0.28773 	0.31103 	0.00647 	0.44558 	-0.06927 	-0.08957 	-0.09748 	0.11856 	0.00219 	0.15688 	0.00648	0.02132
Replication9	 0.22019	0.98524	0.96051 	0.96685 	0.96504 	0.97786 	0.96914 	0.97971 	-0.21652 	-0.17806 	-0.28878 	0.28222 	0.00000 	0.40655 	-0.07315 	-0.06015 	-0.09756 	0.10638 	0.00000 	0.14279 	0.00542	0.01832
