
Replication	FitnessValue	Frequency	Bus1	Bus2	Bus3	Bus4	Bus5	Bus6	Bus1_P	Bus2_P	Bus3_P	Bus4_P	Bus5_P	Bus6_P	Bus1_Q	Bus2_Q	Bus3_Q	Bus4_Q	Bus5_Q	Bus6_Q	PLoss	QLoss
Replication0	 0.22187	0.98508	0.96090 	0.96575 	0.96490 	0.97753 	0.96886 	0.97944 	-0.19915 	-0.21178 	-0.27914 	0.28512 	0.00000 	0.41037 	-0.06730 	-0.07157 	-0.09433 	0.10745 	0.00000 	0.14387 	0.00542	0.01812
Replication1	 0.29167	0.98236	0.94638 	0.95641 	0.95748 	0.96975 	0.95966 	0.97382 	-0.30236 	-0.23714 	-0.28603 	0.34839 	0.00000 	0.48570 	-0.10274 	-0.08058 	-0.09719 	0.13823 	0.00000 	0.17046 	0.00856	0.02819
Replication2	 0.26423	0.98342	0.95167 	0.95952 	0.96125 	0.97251 	0.96324 	0.97626 	-0.26423 	-0.24893 	-0.25910 	0.32542 	0.00000 	0.45413 	-0.08959 	-0.08440 	-0.08785 	0.12788 	0.00000 	0.15782 	0.00728	0.02386
Replication3	 0.23453	0.98503	0.95477 	0.96179 	0.97034 	0.97460 	0.96752 	0.98073 	-0.25922 	-0.32535 	-0.11094 	0.30319 	0.00000 	0.39918 	-0.08761 	-0.10996 	-0.03749 	0.12487 	0.00000 	0.13169 	0.00685	0.02150
Replication4	 0.22081	0.98522	0.96009 	0.96625 	0.96538 	0.97760 	0.96970 	0.97980 	-0.22169 	-0.19990 	-0.27907 	0.28388 	0.01647 	0.40583 	-0.07490 	-0.06753 	-0.09428 	0.10787 	0.00556 	0.14181 	0.00552	0.01854
Replication5	 0.25538	0.98370	0.95405 	0.96041 	0.96188 	0.97351 	0.96437 	0.97680 	-0.23990 	-0.25571 	-0.26189 	0.31765 	0.00000 	0.44668 	-0.08130 	-0.08665 	-0.08875 	0.12354 	0.00000 	0.15551 	0.00682	0.02236
Replication6	 0.22991	0.98462	0.96075 	0.96321 	0.96397 	0.97647 	0.96775 	0.97851 	-0.17358 	-0.27077 	-0.26708 	0.29428 	0.00000 	0.42287 	-0.05871 	-0.09159 	-0.09034 	0.11114 	0.00000 	0.14816 	0.00572	0.01866
Replication7	 0.21916	0.98532	0.95970 	0.96496 	0.96789 	0.97707 	0.96970 	0.98057 	-0.21764 	-0.26114 	-0.21164 	0.28646 	0.01152 	0.39801 	-0.07351 	-0.08821 	-0.07148 	0.11163 	0.00389 	0.13575 	0.00558	0.01807
Replication8	 0.25230	0.98383	0.95462 	0.96038 	0.96274 	0.97368 	0.96478 	0.97718 	-0.23277 	-0.27281 	-0.24567 	0.31586 	0.00000 	0.44213 	-0.07886 	-0.09243 	-0.08323 	0.12322 	0.00000 	0.15316 	0.00673	0.02187
Replication9	 0.18656	0.98661	0.96854 	0.96998 	0.96901 	0.98151 	0.97493 	0.98251 	-0.14463 	-0.22950 	-0.27243 	0.25195 	0.03007 	0.36888 	-0.04873 	-0.07732 	-0.09178 	0.09246 	0.01013 	0.12965 	0.00435	0.01441
