
Replication	FitnessValue	Frequency	Bus1	Bus2	Bus3	Bus4	Bus5	Bus6	Bus1_P	Bus2_P	Bus3_P	Bus4_P	Bus5_P	Bus6_P	Bus1_Q	Bus2_Q	Bus3_Q	Bus4_Q	Bus5_Q	Bus6_Q	PLoss	QLoss
Replication0	 0.00556	0.99095	0.97659 	0.97860 	0.98077 	0.98694 	0.98258 	0.98906 	-0.12660 	-0.19502 	-0.14265 	0.18741 	0.01591 	0.26329 	-0.04228 	-0.06514 	-0.04764 	0.07005 	0.00531 	0.08726 	0.00234	0.00757
Replication1	 0.00268	0.99405	0.98720 	0.99064 	0.99099 	0.99505 	0.99172 	0.99647 	-0.10831 	-0.08251 	-0.10135 	0.12202 	0.00000 	0.17114 	-0.03595 	-0.02739 	-0.03364 	0.04487 	0.00000 	0.05542 	0.00099	0.00331
Replication2	 0.00408	0.99261	0.98248 	0.98545 	0.98564 	0.99150 	0.98785 	0.99290 	-0.11903 	-0.12062 	-0.14086 	0.15121 	0.01569 	0.21514 	-0.03962 	-0.04015 	-0.04689 	0.05529 	0.00522 	0.07126 	0.00153	0.00511
Replication3	 0.00330	0.99313	0.98365 	0.98750 	0.98784 	0.99267 	0.98877 	0.99426 	-0.12311 	-0.09627 	-0.11920 	0.14129 	0.00000 	0.19861 	-0.04094 	-0.03201 	-0.03964 	0.05214 	0.00000 	0.06489 	0.00133	0.00444
Replication4	 0.00385	0.99305	0.98196 	0.98727 	0.98806 	0.99212 	0.98829 	0.99425 	-0.14695 	-0.08740 	-0.10851 	0.14486 	0.00000 	0.19949 	-0.04887 	-0.02907 	-0.03609 	0.05471 	0.00000 	0.06426 	0.00149	0.00494
Replication5	 0.00266	0.99372	0.98392 	0.98898 	0.99120 	0.99349 	0.99033 	0.99608 	-0.14145 	-0.09815 	-0.06956 	0.13287 	0.00000 	0.17760 	-0.04698 	-0.03260 	-0.02310 	0.05146 	0.00000 	0.05548 	0.00131	0.00425
Replication6	 0.00415	0.99272	0.98163 	0.98574 	0.98701 	0.99138 	0.98740 	0.99344 	-0.13356 	-0.11533 	-0.11009 	0.15112 	0.00000 	0.20940 	-0.04445 	-0.03838 	-0.03664 	0.05673 	0.00000 	0.06781 	0.00154	0.00507
Replication7	 0.00452	0.99224	0.97941 	0.98393 	0.98552 	0.99000 	0.98605 	0.99235 	-0.14701 	-0.12750 	-0.11534 	0.16193 	0.00650 	0.22322 	-0.04897 	-0.04247 	-0.03842 	0.06132 	0.00217 	0.07231 	0.00180	0.00593
Replication8	 0.00382	0.99281	0.98273 	0.98547 	0.98749 	0.99162 	0.98808 	0.99368 	-0.11661 	-0.14330 	-0.10111 	0.14919 	0.00676 	0.20655 	-0.03880 	-0.04768 	-0.03364 	0.05597 	0.00225 	0.06672 	0.00148	0.00481
Replication9	 0.00377	0.99284	0.98245 	0.98586 	0.98754 	0.99168 	0.98786 	0.99374 	-0.12350 	-0.12774 	-0.10248 	0.14872 	0.00069 	0.20578 	-0.04109 	-0.04250 	-0.03410 	0.05583 	0.00023 	0.06645 	0.00147	0.00481
Replication10	 0.00314	0.99366	0.98590 	0.98856 	0.98969 	0.99393 	0.99165 	0.99556 	-0.11174 	-0.12201 	-0.10827 	0.13086 	0.02975 	0.18262 	-0.03712 	-0.04053 	-0.03597 	0.04854 	0.00988 	0.05915 	0.00120	0.00396
Replication11	 0.00475	0.99198	0.98134 	0.98338 	0.98302 	0.99022 	0.98572 	0.99121 	-0.10713 	-0.13330 	-0.16345 	0.16242 	0.00785 	0.23533 	-0.03571 	-0.04443 	-0.05448 	0.05843 	0.00262 	0.07933 	0.00172	0.00576
Replication12	 0.00479	0.99205	0.97879 	0.98275 	0.98541 	0.98933 	0.98518 	0.99199 	-0.14196 	-0.15161 	-0.09962 	0.16697 	0.00000 	0.22812 	-0.04731 	-0.05053 	-0.03320 	0.06380 	0.00000 	0.07337 	0.00190	0.00615
Replication13	 0.00276	0.99362	0.98412 	0.98871 	0.98951 	0.99357 	0.99203 	0.99555 	-0.14585 	-0.10246 	-0.11612 	0.13311 	0.04963 	0.18310 	-0.04845 	-0.03404 	-0.03858 	0.05033 	0.01649 	0.05893 	0.00140	0.00468
Replication14	 0.00475	0.99223	0.98110 	0.98384 	0.98495 	0.99038 	0.98603 	0.99211 	-0.11732 	-0.13920 	-0.12712 	0.15993 	0.00000 	0.22537 	-0.03908 	-0.04637 	-0.04235 	0.05911 	0.00000 	0.07413 	0.00166	0.00544
Replication15	 0.00341	0.99297	0.98457 	0.98689 	0.98656 	0.99267 	0.98888 	0.99366 	-0.10243 	-0.11075 	-0.14251 	0.14232 	0.00951 	0.20518 	-0.03407 	-0.03684 	-0.04740 	0.05116 	0.00316 	0.06845 	0.00133	0.00447
Replication16	 0.00211	0.99440	0.98865 	0.99138 	0.99138 	0.99599 	0.99495 	0.99715 	-0.11001 	-0.09844 	-0.12237 	0.11455 	0.05522 	0.16209 	-0.03649 	-0.03265 	-0.04059 	0.04185 	0.01832 	0.05304 	0.00103	0.00348
Replication17	 0.00360	0.99287	0.98248 	0.98580 	0.98783 	0.99167 	0.98791 	0.99385 	-0.12282 	-0.13300 	-0.09587 	0.14857 	0.00000 	0.20459 	-0.04086 	-0.04425 	-0.03190 	0.05603 	0.00000 	0.06578 	0.00148	0.00479
Replication18	 0.00383	0.99297	0.98423 	0.98664 	0.98718 	0.99246 	0.98847 	0.99381 	-0.10359 	-0.11932 	-0.12310 	0.14345 	0.00000 	0.20388 	-0.03446 	-0.03969 	-0.04095 	0.05231 	0.00000 	0.06716 	0.00132	0.00437
Replication19	 0.00454	0.99188	0.97795 	0.98245 	0.98460 	0.98894 	0.98460 	0.99153 	-0.14987 	-0.14130 	-0.11068 	0.17021 	0.00000 	0.23363 	-0.04996 	-0.04711 	-0.03690 	0.06484 	0.00000 	0.07558 	0.00198	0.00645
Replication20	 0.00395	0.99257	0.98133 	0.98536 	0.98624 	0.99110 	0.98696 	0.99301 	-0.13257 	-0.11363 	-0.12034 	0.15364 	0.00000 	0.21448 	-0.04413 	-0.03783 	-0.04006 	0.05729 	0.00000 	0.06995 	0.00158	0.00522
Replication21	 0.00483	0.99212	0.97984 	0.98330 	0.98507 	0.98982 	0.98555 	0.99200 	-0.13096 	-0.14293 	-0.11543 	0.16374 	0.00000 	0.22735 	-0.04364 	-0.04762 	-0.03846 	0.06151 	0.00000 	0.07401 	0.00178	0.00579
Replication22	 0.00385	0.99306	0.98248 	0.98687 	0.98791 	0.99220 	0.98933 	0.99424 	-0.14080 	-0.11034 	-0.11461 	0.14437 	0.02347 	0.19941 	-0.04683 	-0.03670 	-0.03812 	0.05437 	0.00780 	0.06441 	0.00149	0.00495
Replication23	 0.00538	0.99160	0.97802 	0.98254 	0.98202 	0.98889 	0.98387 	0.99042 	-0.14468 	-0.10731 	-0.16407 	0.17232 	0.00000 	0.24572 	-0.04826 	-0.03579 	-0.05473 	0.06331 	0.00000 	0.08220 	0.00199	0.00672
Replication24	 0.00350	0.99315	0.98242 	0.98696 	0.98802 	0.99232 	0.99047 	0.99444 	-0.14959 	-0.11603 	-0.12074 	0.14313 	0.04781 	0.19698 	-0.04974 	-0.03858 	-0.04015 	0.05421 	0.01590 	0.06360 	0.00158	0.00524
Replication25	 0.00433	0.99242	0.98112 	0.98479 	0.98561 	0.99079 	0.98653 	0.99260 	-0.12846 	-0.12002 	-0.12567 	0.15638 	0.00000 	0.21938 	-0.04278 	-0.03997 	-0.04185 	0.05805 	0.00000 	0.07189 	0.00161	0.00534
Replication26	 0.00512	0.99172	0.97952 	0.98246 	0.98263 	0.98930 	0.98445 	0.99073 	-0.12215 	-0.13336 	-0.15374 	0.16923 	0.00000 	0.24187 	-0.04074 	-0.04447 	-0.05127 	0.06185 	0.00000 	0.08080 	0.00185	0.00618
Replication27	 0.00426	0.99238	0.98036 	0.98447 	0.98592 	0.99047 	0.98631 	0.99264 	-0.13728 	-0.12498 	-0.11389 	0.15842 	0.00000 	0.21942 	-0.04572 	-0.04162 	-0.03793 	0.05961 	0.00000 	0.07120 	0.00169	0.00554
Replication28	 0.00314	0.99374	0.98499 	0.98894 	0.98978 	0.99395 	0.99286 	0.99580 	-0.13807 	-0.11153 	-0.11837 	0.13017 	0.05939 	0.17976 	-0.04586 	-0.03704 	-0.03931 	0.04900 	0.01972 	0.05801 	0.00136	0.00454
Replication29	 0.00536	0.99101	0.97482 	0.97889 	0.98200 	0.98655 	0.98182 	0.98951 	-0.15458 	-0.17825 	-0.11286 	0.18918 	0.00000 	0.25894 	-0.05162 	-0.05952 	-0.03769 	0.07260 	0.00000 	0.08408 	0.00244	0.00785
Replication30	 0.00479	0.99218	0.97988 	0.98391 	0.98497 	0.99007 	0.98572 	0.99209 	-0.13671 	-0.12424 	-0.12529 	0.16194 	0.00000 	0.22605 	-0.04555 	-0.04139 	-0.04174 	0.06052 	0.00000 	0.07392 	0.00175	0.00577
Replication31	 0.00358	0.99337	0.98506 	0.98787 	0.98897 	0.99326 	0.98963 	0.99490 	-0.10765 	-0.11465 	-0.10377 	0.13640 	0.00000 	0.19089 	-0.03578 	-0.03811 	-0.03449 	0.05043 	0.00000 	0.06194 	0.00121	0.00399
Replication32	 0.00353	0.99331	0.98544 	0.98788 	0.98829 	0.99334 	0.98954 	0.99462 	-0.10042 	-0.11009 	-0.11849 	0.13637 	0.00000 	0.19382 	-0.03338 	-0.03660 	-0.03939 	0.04963 	0.00000 	0.06370 	0.00119	0.00397
Replication33	 0.00370	0.99271	0.98176 	0.98608 	0.98651 	0.99152 	0.98739 	0.99330 	-0.13417 	-0.10066 	-0.12474 	0.15039 	0.00000 	0.21071 	-0.04465 	-0.03350 	-0.04152 	0.05586 	0.00000 	0.06890 	0.00152	0.00508
Replication34	 0.00359	0.99310	0.98550 	0.98690 	0.98742 	0.99294 	0.98905 	0.99404 	-0.08779 	-0.12869 	-0.12459 	0.13998 	0.00158 	0.20076 	-0.02920 	-0.04280 	-0.04143 	0.05048 	0.00053 	0.06652 	0.00125	0.00411
Replication35	 0.00399	0.99298	0.98433 	0.98696 	0.98683 	0.99261 	0.98849 	0.99373 	-0.10482 	-0.10654 	-0.13449 	0.14263 	0.00000 	0.20453 	-0.03487 	-0.03544 	-0.04474 	0.05154 	0.00000 	0.06790 	0.00131	0.00440
Replication36	 0.00366	0.99304	0.98463 	0.98684 	0.98739 	0.99266 	0.98871 	0.99397 	-0.10008 	-0.12031 	-0.12214 	0.14189 	0.00000 	0.20192 	-0.03329 	-0.04001 	-0.04062 	0.05164 	0.00000 	0.06655 	0.00129	0.00426
Replication37	 0.00386	0.99311	0.98519 	0.98640 	0.98820 	0.99267 	0.98897 	0.99426 	-0.08828 	-0.14920 	-0.10140 	0.14138 	0.00000 	0.19879 	-0.02936 	-0.04962 	-0.03372 	0.05204 	0.00000 	0.06479 	0.00129	0.00413
Replication38	 0.00274	0.99369	0.98476 	0.98864 	0.98981 	0.99375 	0.99246 	0.99571 	-0.13699 	-0.11624 	-0.11189 	0.13166 	0.05373 	0.18109 	-0.04550 	-0.03861 	-0.03717 	0.04975 	0.01785 	0.05821 	0.00136	0.00452
Replication39	 0.00165	0.99380	0.98619 	0.98946 	0.99053 	0.99428 	0.99092 	0.99598 	-0.11045 	-0.09999 	-0.09410 	0.12794 	0.00000 	0.17768 	-0.03668 	-0.03321 	-0.03125 	0.04758 	0.00000 	0.05713 	0.00109	0.00358
Replication40	 0.00468	0.99218	0.97998 	0.98345 	0.98534 	0.98993 	0.98571 	0.99216 	-0.13102 	-0.14335 	-0.11210 	0.16275 	0.00000 	0.22548 	-0.04365 	-0.04776 	-0.03735 	0.06126 	0.00000 	0.07323 	0.00176	0.00573
Replication41	 0.00448	0.99192	0.97874 	0.98247 	0.98467 	0.98917 	0.98485 	0.99160 	-0.13819 	-0.15018 	-0.11096 	0.16863 	0.00000 	0.23260 	-0.04606 	-0.05006 	-0.03699 	0.06386 	0.00000 	0.07544 	0.00191	0.00619
Replication42	 0.00456	0.99193	0.97894 	0.98277 	0.98420 	0.98937 	0.98526 	0.99151 	-0.13981 	-0.14046 	-0.12741 	0.16748 	0.00883 	0.23325 	-0.04660 	-0.04682 	-0.04247 	0.06285 	0.00294 	0.07631 	0.00189	0.00621
Replication43	 0.00286	0.99357	0.98558 	0.98888 	0.98936 	0.99383 	0.99022 	0.99531 	-0.11120 	-0.09588 	-0.10933 	0.13199 	0.00000 	0.18557 	-0.03695 	-0.03186 	-0.03633 	0.04855 	0.00000 	0.06040 	0.00115	0.00382
Replication44	 0.00488	0.99175	0.97885 	0.98203 	0.98363 	0.98898 	0.98443 	0.99105 	-0.12987 	-0.15096 	-0.12688 	0.17078 	0.00000 	0.23884 	-0.04330 	-0.05034 	-0.04231 	0.06381 	0.00000 	0.07839 	0.00191	0.00624
Replication45	 0.00467	0.99200	0.98065 	0.98368 	0.98334 	0.99013 	0.98537 	0.99134 	-0.11927 	-0.11901 	-0.15678 	0.16279 	0.00000 	0.23398 	-0.03975 	-0.03966 	-0.05225 	0.05907 	0.00000 	0.07839 	0.00172	0.00579
Replication46	 0.00459	0.99193	0.97959 	0.98269 	0.98416 	0.98947 	0.98501 	0.99146 	-0.12662 	-0.14647 	-0.12580 	0.16693 	0.00000 	0.23379 	-0.04221 	-0.04882 	-0.04194 	0.06222 	0.00000 	0.07671 	0.00182	0.00596
Replication47	 0.00444	0.99233	0.98147 	0.98393 	0.98558 	0.99055 	0.98636 	0.99243 	-0.11387 	-0.14825 	-0.11633 	0.15832 	0.00000 	0.22175 	-0.03793 	-0.04938 	-0.03874 	0.05883 	0.00000 	0.07251 	0.00163	0.00529
Replication48	 0.00341	0.99318	0.98472 	0.98764 	0.98744 	0.99306 	0.98958 	0.99423 	-0.11096 	-0.10262 	-0.13529 	0.13876 	0.01300 	0.19839 	-0.03690 	-0.03412 	-0.04498 	0.05030 	0.00432 	0.06571 	0.00128	0.00433
Replication49	 0.00424	0.99241	0.98038 	0.98459 	0.98588 	0.99054 	0.98656 	0.99268 	-0.13949 	-0.12266 	-0.11767 	0.15787 	0.00473 	0.21891 	-0.04645 	-0.04085 	-0.03919 	0.05935 	0.00158 	0.07113 	0.00169	0.00557
Replication50	 0.00468	0.99220	0.98031 	0.98359 	0.98527 	0.99008 	0.98583 	0.99217 	-0.12734 	-0.14186 	-0.11605 	0.16180 	0.00000 	0.22517 	-0.04242 	-0.04726 	-0.03866 	0.06060 	0.00000 	0.07338 	0.00173	0.00563
Replication51	 0.00427	0.99217	0.98035 	0.98420 	0.98437 	0.99030 	0.98576 	0.99190 	-0.13154 	-0.11338 	-0.14182 	0.16075 	0.00000 	0.22769 	-0.04383 	-0.03777 	-0.04725 	0.05920 	0.00000 	0.07536 	0.00171	0.00570
Replication52	 0.00411	0.99275	0.98294 	0.98531 	0.98713 	0.99157 	0.98767 	0.99346 	-0.10913 	-0.14348 	-0.10493 	0.14992 	0.00000 	0.20909 	-0.03632 	-0.04775 	-0.03492 	0.05581 	0.00000 	0.06792 	0.00146	0.00474
Replication53	 0.00422	0.99218	0.98026 	0.98382 	0.98449 	0.99020 	0.98642 	0.99196 	-0.13367 	-0.13027 	-0.13968 	0.16128 	0.01691 	0.22717 	-0.04453 	-0.04340 	-0.04654 	0.05977 	0.00564 	0.07491 	0.00176	0.00585
Replication54	 0.00464	0.99193	0.97918 	0.98314 	0.98387 	0.98953 	0.98494 	0.99140 	-0.13702 	-0.12548 	-0.13649 	0.16662 	0.00000 	0.23421 	-0.04567 	-0.04183 	-0.04550 	0.06193 	0.00000 	0.07716 	0.00184	0.00609
Replication55	 0.00434	0.99211	0.97989 	0.98385 	0.98439 	0.99003 	0.98553 	0.99181 	-0.13475 	-0.11897 	-0.13621 	0.16265 	0.00000 	0.22903 	-0.04490 	-0.03964 	-0.04539 	0.06028 	0.00000 	0.07548 	0.00175	0.00582
