
Replication	FitnessValue	Frequency	Bus1	Bus2	Bus3	Bus4	Bus5	Bus6	Bus1_P	Bus2_P	Bus3_P	Bus4_P	Bus5_P	Bus6_P	Bus1_Q	Bus2_Q	Bus3_Q	Bus4_Q	Bus5_Q	Bus6_Q	PLoss	QLoss
Replication0	 -1.53263	0.99777	0.97759 	0.97936 	0.97349 	0.99518 	0.97873 	0.97471 	-0.15489 	-0.11364 	-0.09349 	0.29420 	0.00000 	0.07084 	-0.05103 	-0.03744 	-0.03080 	0.16672 	0.00000 	-0.03946 	0.00302	0.00799
Replication1	 -1.51044	0.99724	0.97182 	0.96999 	0.96303 	0.99150 	0.97117 	0.96477 	-0.13953 	-0.19984 	-0.12390 	0.36661 	0.01309 	0.08839 	-0.04602 	-0.06591 	-0.04086 	0.20878 	0.00432 	-0.04817 	0.00483	0.01213
Replication2	 -1.51043	0.99733	0.97289 	0.97132 	0.96195 	0.99206 	0.97222 	0.96469 	-0.13714 	-0.16101 	-0.16741 	0.35542 	0.02863 	0.08632 	-0.04522 	-0.05310 	-0.05520 	0.20248 	0.00944 	-0.04602 	0.00481	0.01237
Replication3	 -1.52333	0.99760	0.97658 	0.97602 	0.96705 	0.99400 	0.97540 	0.96949 	-0.12718 	-0.11777 	-0.15105 	0.31738 	0.00497 	0.07741 	-0.04191 	-0.03881 	-0.04978 	0.18009 	0.00164 	-0.04139 	0.00377	0.00983
Replication4	 -1.52977	0.99771	0.97850 	0.97730 	0.97106 	0.99479 	0.97816 	0.97267 	-0.11956 	-0.15537 	-0.11159 	0.30194 	0.01459 	0.07327 	-0.03940 	-0.05120 	-0.03677 	0.17094 	0.00481 	-0.04008 	0.00327	0.00831
Replication5	 -1.54962	0.99838	0.98771 	0.98716 	0.98226 	0.99936 	0.98863 	0.98374 	-0.09456 	-0.10725 	-0.09562 	0.21185 	0.03544 	0.05182 	-0.03112 	-0.03529 	-0.03147 	0.11905 	0.01166 	-0.02847 	0.00168	0.00437
Replication6	 -1.52425	0.99758	0.97540 	0.97631 	0.96831 	0.99387 	0.97537 	0.97027 	-0.14998 	-0.11355 	-0.13014 	0.31988 	0.00000 	0.07748 	-0.04943 	-0.03743 	-0.04289 	0.18161 	0.00000 	-0.04215 	0.00369	0.00971
Replication7	 -1.51790	0.99749	0.97437 	0.97485 	0.96469 	0.99323 	0.97338 	0.96743 	-0.14519 	-0.09791 	-0.16602 	0.33237 	0.00000 	0.08093 	-0.04786 	-0.03227 	-0.05473 	0.18906 	0.00000 	-0.04307 	0.00418	0.01113
Replication8	 -1.48691	0.99687	0.96463 	0.96538 	0.95321 	0.98876 	0.96373 	0.95645 	-0.18602 	-0.13200 	-0.19627 	0.41975 	0.00000 	0.10118 	-0.06140 	-0.04357 	-0.06478 	0.24091 	0.00000 	-0.05357 	0.00665	0.01761
Replication9	 -1.50788	0.99717	0.96910 	0.96988 	0.96267 	0.99093 	0.96965 	0.96422 	-0.17724 	-0.16867 	-0.11717 	0.37759 	0.00000 	0.09049 	-0.05846 	-0.05564 	-0.03865 	0.21548 	0.00000 	-0.04978 	0.00500	0.01296
Replication10	 -1.51524	0.99739	0.97428 	0.97172 	0.96539 	0.99251 	0.97438 	0.96719 	-0.12847 	-0.21196 	-0.12414 	0.34663 	0.03870 	0.08370 	-0.04236 	-0.06989 	-0.04093 	0.19716 	0.01276 	-0.04563 	0.00445	0.01111
Replication11	 -1.50358	0.99713	0.96832 	0.96962 	0.95998 	0.99067 	0.96843 	0.96237 	-0.18179 	-0.13253 	-0.15508 	0.38260 	0.00000 	0.09211 	-0.05997 	-0.04372 	-0.05116 	0.21865 	0.00000 	-0.04975 	0.00533	0.01406
Replication12	 -1.53176	0.99779	0.98120 	0.97780 	0.97152 	0.99540 	0.97874 	0.97323 	-0.07886 	-0.16921 	-0.11393 	0.29009 	0.00410 	0.07096 	-0.02598 	-0.05575 	-0.03754 	0.16386 	0.00135 	-0.03826 	0.00314	0.00768
Replication13	 -1.48535	0.99686	0.96451 	0.96509 	0.95251 	0.98864 	0.96336 	0.95590 	-0.18376 	-0.13016 	-0.20303 	0.42194 	0.00000 	0.10179 	-0.06065 	-0.04296 	-0.06701 	0.24225 	0.00000 	-0.05368 	0.00677	0.01795
Replication14	 -1.51496	0.99734	0.97307 	0.97181 	0.96447 	0.99221 	0.97231 	0.96630 	-0.13834 	-0.17548 	-0.12668 	0.35260 	0.00715 	0.08521 	-0.04562 	-0.05787 	-0.04177 	0.20055 	0.00236 	-0.04635 	0.00446	0.01131
Replication15	 -1.49674	0.99701	0.96695 	0.96752 	0.95698 	0.98981 	0.96635 	0.95969 	-0.17734 	-0.14146 	-0.17097 	0.39938 	0.00000 	0.09627 	-0.05852 	-0.04668 	-0.05642 	0.22856 	0.00000 	-0.05153 	0.00588	0.01543
Replication16	 -1.51690	0.99740	0.97328 	0.97307 	0.96509 	0.99259 	0.97292 	0.96710 	-0.14786 	-0.14798 	-0.13417 	0.34510 	0.00574 	0.08346 	-0.04875 	-0.04879 	-0.04424 	0.19628 	0.00189 	-0.04531 	0.00429	0.01108
