
 Replication 	 FitnessValue 	 Frequency	Bus1	Bus2	Bus3	Bus4	Bus5	Bus6
Replication0	 0.02318	0.99958	1.00033 	1.00436 	1.00374 	1.00318 	1.00415 	1.00580 
Replication1	 0.02949	0.99965	1.00263 	1.00495 	1.00477 	1.00439 	1.00520 	1.00645 
Replication2	 0.02663	0.99960	1.00260 	1.00427 	1.00395 	1.00399 	1.00477 	1.00595 
Replication3	 0.01702	0.99949	0.99985 	1.00241 	1.00234 	1.00192 	1.00308 	1.00479 
Replication4	 0.02142	0.99953	1.00126 	1.00323 	1.00287 	1.00290 	1.00383 	1.00523 
Replication5	 0.01618	0.99947	0.99947 	1.00213 	1.00207 	1.00162 	1.00282 	1.00461 
Replication6	 0.01572	0.99946	0.99892 	1.00185 	1.00197 	1.00126 	1.00257 	1.00449 
Replication7	 0.02811	0.99963	1.00249 	1.00451 	1.00463 	1.00410 	1.00500 	1.00629 
Replication8	 0.01722	0.99949	0.99979 	1.00242 	1.00243 	1.00191 	1.00309 	1.00483 
Replication9	 0.02343	0.99955	1.00183 	1.00358 	1.00312 	1.00331 	1.00414 	1.00543 
Replication10	 0.01599	0.99946	0.99924 	1.00202 	1.00203 	1.00148 	1.00272 	1.00456 
Replication11	 0.03970	0.99977	1.00396 	1.00760 	1.00628 	1.00634 	1.00673 	1.00768 
Replication12	 0.01710	0.99948	0.99928 	1.00221 	1.00244 	1.00161 	1.00290 	1.00478 
Replication13	 0.02462	0.99959	1.00187 	1.00391 	1.00385 	1.00352 	1.00445 	1.00581 
Replication14	 0.01825	0.99949	1.00071 	1.00269 	1.00215 	1.00239 	1.00333 	1.00479 
Replication15	 0.01929	0.99953	1.00058 	1.00299 	1.00296 	1.00252 	1.00361 	1.00520 
Replication16	 0.01600	0.99945	0.99821 	1.00181 	1.00193 	1.00098 	1.00236 	1.00444 
Replication17	 0.02664	0.99961	1.00188 	1.00491 	1.00378 	1.00405 	1.00472 	1.00598 
Replication18	 0.01205	0.99939	0.99807 	1.00094 	1.00068 	1.00042 	1.00174 	1.00371 
Replication19	 0.02086	0.99955	1.00086 	1.00326 	1.00332 	1.00278 	1.00385 	1.00541 
Replication20	 0.01828	0.99950	1.00055 	1.00269 	1.00231 	1.00233 	1.00333 	1.00486 
Replication21	 0.01202	0.99938	0.99787 	1.00102 	1.00048 	1.00038 	1.00166 	1.00363 
Replication22	 0.03989	0.99977	1.00440 	1.00727 	1.00646 	1.00634 	1.00679 	1.00771 
Replication23	 0.01424	0.99942	0.99744 	1.00106 	1.00157 	1.00028 	1.00185 	1.00411 
Replication24	 0.01855	0.99952	1.00021 	1.00312 	1.00268 	1.00244 	1.00347 	1.00508 
Replication25	 0.03008	0.99965	1.00315 	1.00486 	1.00478 	1.00454 	1.00531 	1.00645 
Replication26	 0.01494	0.99945	1.00011 	1.00213 	1.00142 	1.00184 	1.00281 	1.00434 
Replication27	 0.03015	0.99967	1.00221 	1.00516 	1.00527 	1.00436 	1.00529 	1.00669 
Replication28	 0.02201	0.99955	1.00094 	1.00393 	1.00307 	1.00316 	1.00400 	1.00544 
Replication29	 0.01800	0.99950	1.00025 	1.00264 	1.00248 	1.00219 	1.00328 	1.00491 
Replication30	 0.02296	0.99957	1.00127 	1.00382 	1.00350 	1.00324 	1.00417 	1.00562 
Replication31	 0.01402	0.99943	0.99962 	1.00183 	1.00123 	1.00149 	1.00255 	1.00418 
Replication32	 0.02324	0.99955	1.00174 	1.00355 	1.00313 	1.00326 	1.00411 	1.00543 
Replication33	 0.03020	0.99966	1.00206 	1.00563 	1.00482 	1.00454 	1.00526 	1.00658 
Replication34	 0.01739	0.99948	0.99904 	1.00243 	1.00225 	1.00163 	1.00285 	1.00473 
Replication35	 0.01290	0.99940	0.99776 	1.00097 	1.00104 	1.00033 	1.00176 	1.00386 
Replication36	 0.03012	0.99966	1.00231 	1.00553 	1.00469 	1.00457 	1.00526 	1.00652 
Replication37	 0.01739	0.99950	0.99996 	1.00251 	1.00247 	1.00202 	1.00317 	1.00487 
Replication38	 0.01659	0.99948	0.99970 	1.00228 	1.00220 	1.00179 	1.00296 	1.00470 
Replication39	 0.01785	0.99951	0.99979 	1.00273 	1.00286 	1.00209 	1.00330 	1.00507 
Replication40	 0.01715	0.99949	0.99940 	1.00227 	1.00245 	1.00168 	1.00295 	1.00479 
Replication41	 0.03187	0.99967	1.00314 	1.00568 	1.00481 	1.00497 	1.00556 	1.00663 
Replication42	 0.02826	0.99963	1.00227 	1.00502 	1.00426 	1.00428 	1.00499 	1.00623 
Replication43	 0.02165	0.99956	1.00057 	1.00381 	1.00334 	1.00297 	1.00395 	1.00552 
Replication44	 0.02409	0.99959	1.00096 	1.00421 	1.00395 	1.00335 	1.00433 	1.00588 
Replication45	 0.01383	0.99942	0.99836 	1.00134 	1.00132 	1.00076 	1.00210 	1.00408 
Replication46	 0.02611	0.99958	1.00267 	1.00405 	1.00338 	1.00388 	1.00457 	1.00566 
Replication47	 0.03083	0.99965	1.00325 	1.00557 	1.00422 	1.00493 	1.00539 	1.00635 
Replication48	 0.01616	0.99945	0.99857 	1.00227 	1.00158 	1.00134 	1.00250 	1.00439 
Replication49	 0.01490	0.99943	0.99786 	1.00132 	1.00178 	1.00058 	1.00209 	1.00426 
Replication50	 0.01720	0.99949	0.99960 	1.00235 	1.00244 	1.00180 	1.00302 	1.00482 
Replication51	 0.02449	0.99958	1.00203 	1.00389 	1.00364 	1.00357 	1.00443 	1.00572 
Replication52	 0.01858	0.99952	0.99884 	1.00241 	1.00334 	1.00158 	1.00309 	1.00519 
Replication53	 0.02710	0.99962	1.00227 	1.00434 	1.00444 	1.00392 	1.00484 	1.00617 
Replication54	 0.04344	0.99978	1.00612 	1.00835 	1.00556 	1.00752 	1.00731 	1.00759 
Replication55	 0.01271	0.99939	0.99757 	1.00086 	1.00098 	1.00020 	1.00167 	1.00381 
Replication56	 0.01779	0.99951	1.00013 	1.00272 	1.00279 	1.00221 	1.00337 	1.00505 
Replication57	 0.04553	0.99982	1.00631 	1.00830 	1.00680 	1.00761 	1.00768 	1.00813 
Replication58	 0.01130	0.99937	0.99757 	1.00063 	1.00045 	1.00006 	1.00146 	1.00353 
Replication59	 0.01953	0.99953	1.00069 	1.00303 	1.00295 	1.00259 	1.00365 	1.00520 
Replication60	 0.04125	0.99977	1.00569 	1.00720 	1.00620 	1.00678 	1.00704 	1.00762 
Replication61	 0.04229	0.99979	1.00488 	1.00818 	1.00626 	1.00699 	1.00713 	1.00782 
Replication62	 0.01666	0.99947	1.00029 	1.00246 	1.00188 	1.00209 	1.00308 	1.00461 
Replication63	 0.02775	0.99962	1.00247 	1.00457 	1.00436 	1.00412 	1.00494 	1.00619 
Replication64	 0.01573	0.99947	1.00006 	1.00225 	1.00178 	1.00190 	1.00293 	1.00452 
Replication65	 0.02520	0.99960	1.00149 	1.00430 	1.00405 	1.00359 	1.00452 	1.00596 
Replication66	 0.01356	0.99942	0.99888 	1.00149 	1.00115 	1.00103 	1.00224 	1.00405 
Replication67	 0.03079	0.99967	1.00275 	1.00496 	1.00542 	1.00446 	1.00541 	1.00674 
Replication68	 0.03317	0.99970	1.00233 	1.00628 	1.00551 	1.00501 	1.00571 	1.00703 
Replication69	 0.01862	0.99951	1.00022 	1.00289 	1.00255 	1.00232 	1.00337 	1.00499 
Replication70	 0.01626	0.99946	0.99857 	1.00181 	1.00221 	1.00112 	1.00253 	1.00457 
Replication71	 0.01683	0.99948	0.99968 	1.00232 	1.00229 	1.00181 	1.00299 	1.00475 
Replication72	 0.01787	0.99950	0.99989 	1.00279 	1.00238 	1.00214 	1.00321 	1.00488 
Replication73	 0.01664	0.99946	0.99884 	1.00234 	1.00186 	1.00149 	1.00267 	1.00453 
Replication74	 0.01921	0.99953	0.99960 	1.00298 	1.00328 	1.00216 	1.00343 	1.00530 
Replication75	 0.01769	0.99951	0.99984 	1.00264 	1.00289 	1.00206 	1.00329 	1.00507 
Replication76	 0.03580	0.99971	1.00390 	1.00657 	1.00535 	1.00574 	1.00616 	1.00707 
Replication77	 0.01640	0.99947	0.99915 	1.00205 	1.00220 	1.00146 	1.00275 	1.00463 
