
 Replication 	 FitnessValue 	 Frequency	Bus1	Bus2	Bus3	Bus4	Bus5	Bus6	Bus1_P	Bus2_P	Bus3_P	Bus4_P	Bus5_P	Bus6_P	Bus1_Q	Bus2_Q	Bus3_Q	Bus4_Q	Bus5_Q	Bus6_Q
Replication0	 0.19993	0.99990	0.96168 	0.96869 	0.97664 	0.97161 	0.97611 	0.99856 	-0.19304 	-0.29614 	-0.33046 	0.05451 	0.01691 	0.75972 	-0.06333 	-0.09715 	-0.10841 	0.05440 	0.00555 	0.24994 
Replication1	 0.15246	0.99992	0.96675 	0.97659 	0.98426 	0.97743 	0.98110 	1.00087 	-0.21594 	-0.20300 	-0.22934 	0.04625 	0.00000 	0.61026 	-0.07084 	-0.06660 	-0.07524 	0.04616 	0.00000 	0.19497 
Replication2	 0.14412	0.99992	0.96736 	0.97872 	0.98450 	0.97884 	0.98331 	1.00121 	-0.23950 	-0.16031 	-0.25419 	0.04423 	0.02983 	0.58777 	-0.07857 	-0.05259 	-0.08339 	0.04415 	0.00979 	0.18789 
Replication3	 0.16812	0.99991	0.96453 	0.97441 	0.98124 	0.97548 	0.97904 	1.00002 	-0.21865 	-0.20884 	-0.27754 	0.04901 	0.00000 	0.66531 	-0.07173 	-0.06851 	-0.09105 	0.04891 	0.00000 	0.21500 
Replication4	 0.16562	0.99991	0.96479 	0.97375 	0.98238 	0.97548 	0.98106 	1.00030 	-0.22052 	-0.25397 	-0.25355 	0.04900 	0.04142 	0.64695 	-0.07234 	-0.08331 	-0.08318 	0.04891 	0.01359 	0.20881 
Replication5	 0.16480	0.99991	0.96471 	0.97447 	0.98254 	0.97567 	0.98002 	1.00033 	-0.22231 	-0.22604 	-0.24971 	0.04873 	0.01303 	0.64544 	-0.07293 	-0.07415 	-0.08192 	0.04864 	0.00428 	0.20786 
Replication6	 0.16867	0.99992	0.96268 	0.97230 	0.98756 	0.97396 	0.97942 	1.00110 	-0.23105 	-0.30922 	-0.09548 	0.05116 	0.00000 	0.59453 	-0.07580 	-0.10144 	-0.03132 	0.05108 	0.00000 	0.19035 
Replication7	 0.21270	0.99991	0.95446 	0.96775 	0.98040 	0.96874 	0.97500 	0.99916 	-0.29191 	-0.27889 	-0.21874 	0.05858 	0.02449 	0.71955 	-0.09577 	-0.09149 	-0.07176 	0.05847 	0.00803 	0.23673 
Replication8	 0.17833	0.99991	0.96408 	0.97220 	0.97969 	0.97419 	0.97786 	0.99950 	-0.19800 	-0.25069 	-0.29185 	0.05085 	0.00000 	0.69961 	-0.06495 	-0.08224 	-0.09575 	0.05074 	0.00000 	0.22729 
Replication9	 0.20592	0.99990	0.95717 	0.96823 	0.98000 	0.96980 	0.97472 	0.99910 	-0.25225 	-0.28544 	-0.23198 	0.05707 	0.00000 	0.72483 	-0.08276 	-0.09364 	-0.07610 	0.05697 	0.00000 	0.23736 
