
Replication	FitnessValue	Frequency	Bus1	Bus2	Bus3	Bus4	Bus5	Bus6	Bus7	Bus8	Bus9	Bus10	Bus11	Bus12	Bus1_P	Bus2_P	Bus3_P	Bus4_P	Bus5_P	Bus6_P	Bus7_P	Bus8_P	Bus9_P	Bus10_P	Bus11_P	Bus12_P	Bus1_Q	Bus2_Q	Bus3_Q	Bus4_Q	Bus5_Q	Bus6_Q	Bus7_Q	Bus8_Q	Bus9_Q	Bus10_Q	Bus11_Q	Bus12_Q	PLoss	QLoss
Replication0	 0.01648	0.98646	0.93470 	0.94092 	0.94997 	0.93692 	0.94343 	0.96193 	0.93704 	0.93756 	0.93352 	0.94259 	0.93812 	0.94141 	-0.10210 	-0.09066 	-0.11116 	0.19951 	0.00000 	0.23197 	-0.10863 	-0.08460 	-0.10003 	0.09375 	0.00000 	0.07820 	-0.03441 	-0.03055 	-0.03746 	-0.12180 	0.00000 	0.21689 	-0.03661 	-0.02851 	-0.03371 	0.06551 	0.00000 	0.05933 	0.00624	0.01867
Replication1	 0.00751	0.98802	0.94477 	0.94963 	0.95801 	0.94634 	0.95217 	0.96820 	0.94535 	0.94437 	0.94249 	0.94959 	0.94728 	0.94939 	-0.08319 	-0.09195 	-0.08995 	0.17589 	0.00670 	0.20184 	-0.09610 	-0.10930 	-0.09106 	0.08384 	0.02917 	0.06910 	-0.02795 	-0.03089 	-0.03022 	-0.10820 	0.00225 	0.18851 	-0.03228 	-0.03672 	-0.03059 	0.05887 	0.00980 	0.05242 	0.00499	0.01500
Replication2	 0.01526	0.98684	0.93727 	0.94352 	0.95246 	0.93950 	0.94561 	0.96379 	0.93821 	0.93754 	0.93474 	0.94295 	0.93889 	0.94246 	-0.10042 	-0.08423 	-0.10011 	0.19359 	0.00000 	0.22309 	-0.09677 	-0.10294 	-0.09631 	0.09292 	0.00047 	0.07688 	-0.03382 	-0.02836 	-0.03371 	-0.11863 	0.00000 	0.20844 	-0.03259 	-0.03467 	-0.03243 	0.06547 	0.00016 	0.05854 	0.00615	0.01841
Replication3	 0.01408	0.98734	0.94172 	0.94690 	0.95519 	0.94325 	0.94863 	0.96599 	0.93996 	0.93884 	0.93592 	0.94428 	0.94026 	0.94384 	-0.08204 	-0.08235 	-0.09757 	0.18572 	0.00000 	0.21252 	-0.08746 	-0.10665 	-0.10220 	0.09083 	0.00000 	0.07514 	-0.02760 	-0.02770 	-0.03283 	-0.11474 	0.00000 	0.19842 	-0.02942 	-0.03588 	-0.03438 	0.06442 	0.00000 	0.05750 	0.00595	0.01779
Replication4	 0.02067	0.98569	0.92933 	0.93571 	0.94644 	0.93168 	0.93907 	0.95888 	0.93318 	0.93312 	0.92999 	0.93869 	0.93427 	0.93796 	-0.10882 	-0.11568 	-0.10334 	0.21141 	0.00000 	0.24666 	-0.10806 	-0.09996 	-0.09664 	0.09916 	0.00000 	0.08219 	-0.03673 	-0.03904 	-0.03488 	-0.12813 	0.00000 	0.23073 	-0.03647 	-0.03374 	-0.03262 	0.06931 	0.00000 	0.06225 	0.00693	0.02068
Replication5	 0.01178	0.98726	0.93922 	0.94456 	0.95386 	0.94109 	0.94762 	0.96486 	0.94244 	0.94311 	0.93822 	0.94773 	0.94396 	0.94620 	-0.09313 	-0.10440 	-0.09474 	0.18774 	0.00108 	0.21784 	-0.09454 	-0.07832 	-0.11130 	0.08683 	0.01551 	0.07283 	-0.03134 	-0.03513 	-0.03188 	-0.11446 	0.00036 	0.20366 	-0.03181 	-0.02635 	-0.03745 	0.06027 	0.00522 	0.05509 	0.00542	0.01619
Replication6	 0.01544	0.98682	0.93793 	0.94306 	0.95238 	0.93949 	0.94565 	0.96367 	0.93832 	0.93772 	0.93456 	0.94309 	0.93896 	0.94246 	-0.08604 	-0.10268 	-0.09752 	0.19385 	0.00000 	0.22363 	-0.09403 	-0.10106 	-0.10051 	0.09278 	0.00081 	0.07689 	-0.02897 	-0.03458 	-0.03284 	-0.11887 	0.00000 	0.20896 	-0.03167 	-0.03403 	-0.03385 	0.06529 	0.00027 	0.05853 	0.00611	0.01823
Replication7	 0.01736	0.98666	0.93540 	0.94226 	0.95218 	0.93803 	0.94449 	0.96330 	0.93693 	0.93525 	0.93264 	0.94113 	0.93705 	0.94095 	-0.11054 	-0.09046 	-0.08593 	0.19645 	0.00000 	0.22549 	-0.07659 	-0.11934 	-0.10627 	0.09525 	0.00000 	0.07851 	-0.03724 	-0.03047 	-0.02895 	-0.11992 	0.00000 	0.21064 	-0.02580 	-0.04020 	-0.03580 	0.06745 	0.00000 	0.05993 	0.00657	0.01964
Replication8	 0.01510	0.98678	0.93703 	0.94247 	0.95206 	0.93883 	0.94524 	0.96337 	0.93853 	0.93863 	0.93490 	0.94370 	0.93940 	0.94272 	-0.09197 	-0.10471 	-0.09548 	0.19466 	0.00000 	0.22505 	-0.10106 	-0.08941 	-0.09980 	0.09209 	0.00000 	0.07665 	-0.03098 	-0.03526 	-0.03216 	-0.11898 	0.00000 	0.21034 	-0.03404 	-0.03011 	-0.03361 	0.06453 	0.00000 	0.05823 	0.00603	0.01797
Replication9	 0.02097	0.98576	0.92903 	0.93618 	0.94676 	0.93186 	0.93932 	0.95914 	0.93377 	0.93301 	0.93098 	0.93883 	0.93472 	0.93861 	-0.11939 	-0.10534 	-0.10293 	0.21050 	0.00000 	0.24540 	-0.10126 	-0.11123 	-0.08929 	0.09892 	0.00000 	0.08148 	-0.04029 	-0.03555 	-0.03474 	-0.12742 	0.00000 	0.22955 	-0.03417 	-0.03754 	-0.03013 	0.06922 	0.00000 	0.06164 	0.00687	0.02057
