
Replication	FitnessValue	Frequency	Bus1	Bus2	Bus3	Bus4	Bus5	Bus6	Bus1_P	Bus2_P	Bus3_P	Bus4_P	Bus5_P	Bus6_P	Bus1_Q	Bus2_Q	Bus3_Q	Bus4_Q	Bus5_Q	Bus6_Q	PLoss	QLoss
Replication0	 -1.54447	0.99629	0.97602 	0.97769 	0.97682 	0.98606 	0.98153 	0.98488 	-0.11968 	-0.15353 	-0.17357 	0.18232 	0.04120 	0.22525 	-0.03955 	-0.05073 	-0.05736 	0.07058 	0.01361 	0.06991 	0.00199	0.00647
Replication1	 -1.53775	0.99582	0.96942 	0.97347 	0.97447 	0.98224 	0.97571 	0.98222 	-0.15850 	-0.16062 	-0.13864 	0.20958 	0.00000 	0.25068 	-0.05243 	-0.05313 	-0.04586 	0.08373 	0.00000 	0.07572 	0.00250	0.00804
Replication2	 -1.54507	0.99657	0.97584 	0.97994 	0.98070 	0.98715 	0.98416 	0.98739 	-0.15881 	-0.14186 	-0.13209 	0.17231 	0.05778 	0.20460 	-0.05245 	-0.04685 	-0.04362 	0.06908 	0.01908 	0.06109 	0.00194	0.00633
Replication3	 -1.53627	0.99569	0.96867 	0.97237 	0.97308 	0.98153 	0.97471 	0.98126 	-0.15537 	-0.16634 	-0.14981 	0.21520 	0.00000 	0.25894 	-0.05140 	-0.05503 	-0.04956 	0.08561 	0.00000 	0.07879 	0.00261	0.00840
Replication4	 -1.53839	0.99577	0.97043 	0.97280 	0.97372 	0.98222 	0.97555 	0.98175 	-0.13465 	-0.18092 	-0.14670 	0.21033 	0.00000 	0.25440 	-0.04454 	-0.05985 	-0.04853 	0.08315 	0.00000 	0.07759 	0.00246	0.00782
Replication5	 -1.53879	0.99583	0.97027 	0.97365 	0.97411 	0.98253 	0.97589 	0.98213 	-0.14695 	-0.16000 	-0.14956 	0.20789 	0.00000 	0.25105 	-0.04860 	-0.05292 	-0.04947 	0.08231 	0.00000 	0.07648 	0.00242	0.00780
Replication6	 -1.54002	0.99591	0.97098 	0.97475 	0.97445 	0.98319 	0.97655 	0.98258 	-0.14859 	-0.14045 	-0.15852 	0.20319 	0.00000 	0.24669 	-0.04914 	-0.04644 	-0.05242 	0.08005 	0.00000 	0.07552 	0.00232	0.00757
Replication7	 -1.54218	0.99609	0.97215 	0.97635 	0.97646 	0.98425 	0.97802 	0.98398 	-0.15190 	-0.13288 	-0.14262 	0.19488 	0.00000 	0.23467 	-0.05021 	-0.04393 	-0.04715 	0.07722 	0.00000 	0.07109 	0.00216	0.00702
Replication8	 -1.54079	0.99595	0.97158 	0.97463 	0.97540 	0.98335 	0.97698 	0.98304 	-0.14019 	-0.16236 	-0.13994 	0.20169 	0.00000 	0.24306 	-0.04635 	-0.05369 	-0.04627 	0.07988 	0.00000 	0.07372 	0.00227	0.00728
Replication9	 -1.53971	0.99597	0.97181 	0.97446 	0.97530 	0.98347 	0.97831 	0.98313 	-0.14277 	-0.17776 	-0.14949 	0.20076 	0.02954 	0.24208 	-0.04721 	-0.05878 	-0.04943 	0.07958 	0.00977 	0.07362 	0.00235	0.00755
Replication10	 -1.54302	0.99607	0.97310 	0.97598 	0.97609 	0.98435 	0.97806 	0.98376 	-0.13287 	-0.14885 	-0.14704 	0.19457 	0.00000 	0.23630 	-0.04393 	-0.04921 	-0.04861 	0.07644 	0.00000 	0.07208 	0.00210	0.00678
Replication11	 -1.54432	0.99615	0.97414 	0.97662 	0.97656 	0.98492 	0.97870 	0.98418 	-0.12494 	-0.14766 	-0.14823 	0.19050 	0.00000 	0.23233 	-0.04130 	-0.04881 	-0.04900 	0.07450 	0.00000 	0.07106 	0.00200	0.00646
Replication12	 -1.53912	0.99588	0.97028 	0.97459 	0.97427 	0.98292 	0.97625 	0.98243 	-0.15702 	-0.13540 	-0.15839 	0.20502 	0.00000 	0.24818 	-0.05193 	-0.04478 	-0.05238 	0.08105 	0.00000 	0.07584 	0.00239	0.00780
Replication13	 -1.53123	0.99541	0.96574 	0.97021 	0.96993 	0.97971 	0.97221 	0.97909 	-0.17014 	-0.15676 	-0.17682 	0.22909 	0.00000 	0.27762 	-0.05632 	-0.05189 	-0.05853 	0.09093 	0.00000 	0.08555 	0.00299	0.00973
Replication14	 -1.54489	0.99621	0.97433 	0.97767 	0.97690 	0.98540 	0.97920 	0.98460 	-0.13390 	-0.12413 	-0.15536 	0.18689 	0.00000 	0.22845 	-0.04425 	-0.04102 	-0.05134 	0.07296 	0.00000 	0.07006 	0.00195	0.00640
Replication15	 -1.53858	0.99588	0.96983 	0.97425 	0.97497 	0.98269 	0.97623 	0.98267 	-0.16157 	-0.14922 	-0.13967 	0.20621 	0.00000 	0.24669 	-0.05343 	-0.04935 	-0.04619 	0.08235 	0.00000 	0.07449 	0.00244	0.00786
Replication16	 -1.53951	0.99588	0.97065 	0.97437 	0.97429 	0.98294 	0.97629 	0.98240 	-0.14913 	-0.14592 	-0.15601 	0.20500 	0.00000 	0.24842 	-0.04932 	-0.04826 	-0.05159 	0.08092 	0.00000 	0.07592 	0.00236	0.00767
Replication17	 -1.54161	0.99609	0.97172 	0.97606 	0.97691 	0.98403 	0.97795 	0.98412 	-0.15615 	-0.14240 	-0.12926 	0.19608 	0.00000 	0.23393 	-0.05162 	-0.04707 	-0.04273 	0.07832 	0.00000 	0.07022 	0.00221	0.00712
Replication18	 -1.54106	0.99600	0.97223 	0.97500 	0.97541 	0.98374 	0.97799 	0.98325 	-0.13856 	-0.16389 	-0.15061 	0.19892 	0.01551 	0.24089 	-0.04581 	-0.05419 	-0.04980 	0.07848 	0.00513 	0.07344 	0.00225	0.00725
Replication19	 -1.53863	0.99582	0.97015 	0.97397 	0.97355 	0.98261 	0.97579 	0.98192 	-0.15088 	-0.14271 	-0.16407 	0.20764 	0.00000 	0.25244 	-0.04990 	-0.04720 	-0.05427 	0.08179 	0.00000 	0.07749 	0.00243	0.00791
Replication20	 -1.54037	0.99603	0.97086 	0.97573 	0.97629 	0.98363 	0.97741 	0.98370 	-0.16446 	-0.13469 	-0.13520 	0.19906 	0.00000 	0.23758 	-0.05437 	-0.04453 	-0.04470 	0.07958 	0.00000 	0.07147 	0.00230	0.00745
Replication21	 -1.54032	0.99615	0.97092 	0.97708 	0.97735 	0.98426 	0.97848 	0.98457 	-0.18172 	-0.11225 	-0.13414 	0.19394 	0.00649 	0.22999 	-0.06006 	-0.03710 	-0.04434 	0.07802 	0.00214 	0.06885 	0.00230	0.00751
Replication22	 -1.53447	0.99558	0.96776 	0.97151 	0.97157 	0.98088 	0.97386 	0.98031 	-0.15788 	-0.16305 	-0.16697 	0.22038 	0.00329 	0.26698 	-0.05225 	-0.05396 	-0.05525 	0.08729 	0.00109 	0.08196 	0.00274	0.00889
Replication23	 -1.54453	0.99620	0.97393 	0.97733 	0.97720 	0.98517 	0.97907 	0.98465 	-0.13703 	-0.13321 	-0.14448 	0.18831 	0.00000 	0.22839 	-0.04529 	-0.04403 	-0.04775 	0.07401 	0.00000 	0.06950 	0.00198	0.00645
Replication24	 -1.54726	0.99658	0.97674 	0.98040 	0.98047 	0.98750 	0.98362 	0.98731 	-0.14419 	-0.12947 	-0.13841 	0.17034 	0.03860 	0.20490 	-0.04762 	-0.04276 	-0.04571 	0.06738 	0.01275 	0.06177 	0.00177	0.00581
Replication25	 -1.53944	0.99585	0.97077 	0.97422 	0.97377 	0.98289 	0.97611 	0.98211 	-0.14469 	-0.14492 	-0.16433 	0.20566 	0.00000 	0.25064 	-0.04785 	-0.04793 	-0.05435 	0.08079 	0.00000 	0.07705 	0.00237	0.00771
Replication26	 -1.53896	0.99582	0.97048 	0.97381 	0.97362 	0.98263 	0.97585 	0.98193 	-0.14445 	-0.15157 	-0.16142 	0.20748 	0.00000 	0.25237 	-0.04778 	-0.05013 	-0.05339 	0.08165 	0.00000 	0.07745 	0.00240	0.00780
Replication27	 -1.53427	0.99560	0.96737 	0.97160 	0.97227 	0.98082 	0.97385 	0.98063 	-0.16509 	-0.16417 	-0.15289 	0.22033 	0.00000 	0.26459 	-0.05463 	-0.05432 	-0.05059 	0.08793 	0.00000 	0.08052 	0.00276	0.00891
Replication28	 -1.54546	0.99627	0.97456 	0.97807 	0.97768 	0.98567 	0.97964 	0.98508 	-0.13623 	-0.12497 	-0.14600 	0.18467 	0.00000 	0.22444 	-0.04502 	-0.04130 	-0.04825 	0.07242 	0.00000 	0.06838 	0.00191	0.00624
Replication29	 -1.53794	0.99582	0.97045 	0.97377 	0.97327 	0.98269 	0.97673 	0.98188 	-0.14976 	-0.15499 	-0.17457 	0.20709 	0.02216 	0.25256 	-0.04953 	-0.05126 	-0.05774 	0.08143 	0.00733 	0.07787 	0.00248	0.00810
Replication30	 -1.53335	0.99555	0.96686 	0.97106 	0.97200 	0.98045 	0.97344 	0.98035 	-0.16661 	-0.17046 	-0.15030 	0.22300 	0.00000 	0.26721 	-0.05514 	-0.05641 	-0.04974 	0.08920 	0.00000 	0.08120 	0.00283	0.00911
Replication31	 -1.54539	0.99627	0.97457 	0.97749 	0.97835 	0.98546 	0.97966 	0.98527 	-0.13118 	-0.15024 	-0.12575 	0.18577 	0.00000 	0.22333 	-0.04335 	-0.04965 	-0.04156 	0.07348 	0.00000 	0.06724 	0.00193	0.00616
Replication32	 -1.54206	0.99618	0.97191 	0.97719 	0.97769 	0.98457 	0.97861 	0.98477 	-0.16691 	-0.12208 	-0.12889 	0.19186 	0.00000 	0.22819 	-0.05517 	-0.04035 	-0.04260 	0.07685 	0.00000 	0.06831 	0.00217	0.00705
Replication33	 -1.54097	0.99600	0.97144 	0.97534 	0.97569 	0.98360 	0.97726 	0.98334 	-0.15034 	-0.14442 	-0.14310 	0.19969 	0.00000 	0.24042 	-0.04971 	-0.04775 	-0.04731 	0.07918 	0.00000 	0.07289 	0.00225	0.00730
Replication34	 -1.54495	0.99635	0.97515 	0.97790 	0.97870 	0.98594 	0.98152 	0.98576 	-0.13633 	-0.15913 	-0.13529 	0.18206 	0.03177 	0.21887 	-0.04504 	-0.05258 	-0.04470 	0.07211 	0.01050 	0.06602 	0.00196	0.00630
Replication35	 -1.54343	0.99623	0.97359 	0.97704 	0.97781 	0.98507 	0.98003 	0.98499 	-0.14595 	-0.15250 	-0.13498 	0.18846 	0.02113 	0.22591 	-0.04823 	-0.05040 	-0.04461 	0.07490 	0.00698 	0.06804 	0.00207	0.00668
Replication36	 -1.54103	0.99605	0.97157 	0.97562 	0.97644 	0.98382 	0.97798 	0.98382 	-0.15495 	-0.14984 	-0.13487 	0.19772 	0.00777 	0.23642 	-0.05123 	-0.04954 	-0.04459 	0.07886 	0.00257 	0.07118 	0.00225	0.00726
Replication37	 -1.53901	0.99587	0.97029 	0.97392 	0.97475 	0.98268 	0.97619 	0.98251 	-0.15079 	-0.16059 	-0.14073 	0.20653 	0.00000 	0.24799 	-0.04987 	-0.05311 	-0.04654 	0.08216 	0.00000 	0.07510 	0.00241	0.00773
Replication38	 -1.53267	0.99545	0.96682 	0.97069 	0.96994 	0.98021 	0.97267 	0.97926 	-0.15913 	-0.15474 	-0.18479 	0.22581 	0.00000 	0.27573 	-0.05267 	-0.05122 	-0.06117 	0.08897 	0.00000 	0.08549 	0.00287	0.00939
Replication39	 -1.54449	0.99624	0.97388 	0.97713 	0.97847 	0.98513 	0.97939 	0.98522 	-0.13819 	-0.15456 	-0.11731 	0.18790 	0.00000 	0.22415 	-0.04567 	-0.05108 	-0.03877 	0.07486 	0.00000 	0.06701 	0.00199	0.00636
Replication40	 -1.53822	0.99586	0.96960 	0.97407 	0.97472 	0.98254 	0.97603 	0.98249 	-0.16255 	-0.14868 	-0.14187 	0.20735 	0.00000 	0.24823 	-0.05376 	-0.04917 	-0.04692 	0.08277 	0.00000 	0.07504 	0.00246	0.00796
Replication41	 -1.54189	0.99601	0.97245 	0.97503 	0.97600 	0.98378 	0.97754 	0.98346 	-0.13250 	-0.16783 	-0.13531 	0.19852 	0.00000 	0.23932 	-0.04381 	-0.05549 	-0.04474 	0.07852 	0.00000 	0.07250 	0.00219	0.00699
Replication42	 -1.53821	0.99590	0.96960 	0.97413 	0.97556 	0.98260 	0.97631 	0.98292 	-0.16488 	-0.15758 	-0.12645 	0.20645 	0.00000 	0.24493 	-0.05453 	-0.05211 	-0.04182 	0.08303 	0.00000 	0.07334 	0.00247	0.00791
Replication43	 -1.54066	0.99594	0.97160 	0.97530 	0.97418 	0.98357 	0.97682 	0.98260 	-0.14455 	-0.12804 	-0.17185 	0.20074 	0.00000 	0.24597 	-0.04780 	-0.04234 	-0.05683 	0.07846 	0.00000 	0.07598 	0.00227	0.00747
Replication44	 -1.53725	0.99577	0.96913 	0.97321 	0.97368 	0.98202 	0.97530 	0.98177 	-0.15850 	-0.15484 	-0.15002 	0.21148 	0.00000 	0.25442 	-0.05243 	-0.05122 	-0.04962 	0.08411 	0.00000 	0.07736 	0.00254	0.00820
Replication45	 -1.54239	0.99607	0.97252 	0.97573 	0.97646 	0.98410 	0.97793 	0.98385 	-0.13982 	-0.15436 	-0.13558 	0.19601 	0.00000 	0.23591 	-0.04622 	-0.05103 	-0.04482 	0.07764 	0.00000 	0.07135 	0.00215	0.00691
Replication46	 -1.54227	0.99614	0.97318 	0.97648 	0.97639 	0.98470 	0.97960 	0.98418 	-0.14525 	-0.14804 	-0.15647 	0.19172 	0.02777 	0.23243 	-0.04801 	-0.04893 	-0.05172 	0.07556 	0.00918 	0.07094 	0.00215	0.00702
Replication47	 -1.54158	0.99614	0.97160 	0.97702 	0.97714 	0.98439 	0.97830 	0.98445 	-0.16865 	-0.11647 	-0.13681 	0.19331 	0.00000 	0.23082 	-0.05574 	-0.03850 	-0.04522 	0.07722 	0.00000 	0.06943 	0.00220	0.00719
Replication48	 -1.54012	0.99595	0.97098 	0.97457 	0.97563 	0.98316 	0.97686 	0.98311 	-0.14904 	-0.16070 	-0.13341 	0.20274 	0.00000 	0.24274 	-0.04928 	-0.05314 	-0.04412 	0.08078 	0.00000 	0.07320 	0.00232	0.00745
Replication49	 -1.53870	0.99581	0.97023 	0.97369 	0.97378 	0.98252 	0.97579 	0.98197 	-0.14728 	-0.15428 	-0.15635 	0.20812 	0.00000 	0.25222 	-0.04871 	-0.05103 	-0.05172 	0.08218 	0.00000 	0.07713 	0.00243	0.00785
Replication50	 -1.54413	0.99619	0.97375 	0.97664 	0.97781 	0.98487 	0.97899 	0.98478 	-0.13346 	-0.15889 	-0.12364 	0.19011 	0.00000 	0.22792 	-0.04411 	-0.05251 	-0.04087 	0.07544 	0.00000 	0.06850 	0.00202	0.00645
