
Replication	FitnessValue	Frequency	Bus1	Bus2	Bus3	Bus4	Bus5	Bus6	Bus1_P	Bus2_P	Bus3_P	Bus4_P	Bus5_P	Bus6_P	Bus1_Q	Bus2_Q	Bus3_Q	Bus4_Q	Bus5_Q	Bus6_Q	PLoss	QLoss
Replication0	 -1.48240	0.99729	0.98885 	0.99081 	0.97816 	0.99303 	0.99037 	1.00157 	-0.05263 	0.00000 	-0.56077 	0.04923 	0.00000 	0.57039 	-0.01736 	0.00000 	-0.18493 	0.03150 	0.00000 	0.19714 	0.00623	0.02635
Replication1	 -1.51675	0.99824	0.99016 	0.98497 	0.99853 	0.99137 	0.99407 	1.00505 	0.00000 	-0.39293 	0.00000 	0.05009 	0.00000 	0.34695 	0.00000 	-0.12934 	0.00000 	0.03854 	0.00000 	0.10382 	0.00411	0.01302
Replication2	 -1.49106	0.99723	0.97780 	0.98540 	0.98309 	0.98701 	0.98687 	1.00182 	-0.16552 	-0.08576 	-0.37044 	0.06376 	0.00000 	0.56374 	-0.05459 	-0.02828 	-0.12218 	0.04559 	0.00000 	0.18153 	0.00578	0.02207
Replication3	 -1.45889	0.99679	0.98033 	0.97424 	0.98111 	0.98259 	0.98376 	1.00045 	0.00000 	-0.41416 	-0.30983 	0.07573 	0.00000 	0.65658 	0.00000 	-0.13672 	-0.10228 	0.05467 	0.00000 	0.21351 	0.00832	0.02919
Replication4	 0.00627	0.99763	0.94373 	0.97871 	0.99317 	0.97311 	0.97874 	1.00286 	-0.59171 	0.00000 	0.00000 	0.09553 	0.02593 	0.48881 	-0.19501 	0.00000 	0.00000 	0.07998 	0.00854 	0.16150 	0.01856	0.05502
Replication5	 -1.35732	0.99551	0.96306 	0.96499 	0.96384 	0.97221 	0.97286 	0.99601 	-0.13332 	-0.32068 	-0.60566 	0.10460 	0.02381 	0.94693 	-0.04412 	-0.10613 	-0.20045 	0.07517 	0.00788 	0.32760 	0.01568	0.05994
Replication6	 -1.57080	1.00000	1.01000 	1.01000 	1.01000 	1.01000 	1.01000 	1.01000 	0.00000 	0.00000 	0.00000 	-0.00000 	0.00000 	0.00000 	0.00000 	0.00000 	0.00000 	-0.00000 	0.00000 	0.00000 	0.00000	0.00000
Replication7	 0.03844	0.99446	0.91156 	0.94116 	0.95846 	0.94410 	0.94848 	0.99207 	-0.57265 	-0.35499 	-0.40665 	0.17488 	0.00000 	1.19848 	-0.18992 	-0.11773 	-0.13487 	0.13861 	0.00000 	0.43514 	0.03907	0.13123
Replication8	 0.11379	0.97148	0.83621 	0.88075 	0.92302 	0.88877 	0.89474 	0.95476 	-0.80986 	-0.60260 	-0.09918 	0.38176 	0.00000 	1.20000 	-0.28123 	-0.20926 	-0.03444 	0.19495 	0.00000 	0.55026 	0.07021	0.22028
Replication9	 0.01463	0.99605	0.93537 	0.96628 	0.97475 	0.96393 	0.96693 	0.99785 	-0.54087 	-0.07487 	-0.31007 	0.12251 	0.00000 	0.82544 	-0.17881 	-0.02475 	-0.10251 	0.09666 	0.00000 	0.28140 	0.02214	0.07198
Replication10	 0.00119	0.99771	0.94881 	0.98078 	0.99409 	0.97565 	0.97988 	1.00322 	-0.54022 	0.00000 	0.00000 	0.08922 	0.00000 	0.46686 	-0.17801 	0.00000 	0.00000 	0.07420 	0.00000 	0.15076 	0.01586	0.04695
Replication11	 -1.53226	0.99826	0.99952 	0.99870 	0.98934 	1.00063 	0.99891 	1.00469 	0.00000 	-0.00501 	-0.39022 	0.02798 	0.00868 	0.36127 	0.00000 	-0.00165 	-0.12844 	0.01661 	0.00286 	0.12209 	0.00271	0.01147
Replication12	 -1.49721	0.99806	0.97474 	0.98507 	0.99754 	0.98630 	0.98945 	1.00461 	-0.22977 	-0.20707 	0.00000 	0.06273 	0.00000 	0.37969 	-0.07566 	-0.06818 	0.00000 	0.05000 	0.00000 	0.11172 	0.00558	0.01787
Replication13	 -1.51620	0.99762	0.99076 	0.98744 	0.98706 	0.99236 	0.99214 	1.00301 	0.00000 	-0.21227 	-0.31562 	0.04973 	0.00000 	0.48212 	0.00000 	-0.06996 	-0.10402 	0.03418 	0.00000 	0.15480 	0.00397	0.01500
Replication14	 -1.39220	0.99730	0.95270 	0.97406 	0.99164 	0.97378 	0.97872 	1.00214 	-0.41562 	-0.21738 	0.00000 	0.09498 	0.00782 	0.54393 	-0.13706 	-0.07169 	0.00000 	0.07731 	0.00258 	0.17195 	0.01374	0.04309
Replication15	 0.00626	0.99671	0.94374 	0.97348 	0.98223 	0.97023 	0.97334 	1.00009 	-0.51483 	-0.03643 	-0.21443 	0.10537 	0.00000 	0.67788 	-0.16998 	-0.01203 	-0.07080 	0.08382 	0.00000 	0.22445 	0.01755	0.05546
Replication16	 -1.50254	0.99798	0.98106 	0.98240 	0.99696 	0.98717 	0.99073 	1.00437 	-0.10865 	-0.35188 	0.00000 	0.06091 	0.00927 	0.39550 	-0.03578 	-0.11588 	0.00000 	0.04771 	0.00305 	0.11771 	0.00516	0.01681
Replication17	 -1.42939	0.99719	0.97405 	0.96884 	0.99083 	0.97832 	0.98274 	1.00180 	-0.04945 	-0.59149 	0.00000 	0.08456 	0.00000 	0.56716 	-0.01631 	-0.19510 	0.00000 	0.06615 	0.00000 	0.17982 	0.01078	0.03456
Replication18	 -1.54491	0.99867	1.00281 	1.00186 	0.99357 	1.00345 	1.00300 	1.00594 	0.00000 	0.00000 	-0.32994 	0.01994 	0.03528 	0.27655 	0.00000 	0.00000 	-0.10851 	0.01123 	0.01160 	0.09330 	0.00183	0.00762
Replication19	 -1.32041	0.99531	0.95388 	0.95595 	0.96682 	0.96499 	0.96719 	0.99555 	-0.16612 	-0.49362 	-0.42536 	0.12243 	0.00000 	0.98153 	-0.05500 	-0.16343 	-0.14083 	0.09168 	0.00000 	0.33462 	0.01887	0.06704
Replication20	 -1.51111	0.99756	0.98979 	0.99015 	0.98422 	0.99322 	0.99197 	1.00269 	-0.04097 	-0.09282 	-0.41071 	0.04789 	0.00000 	0.50085 	-0.01350 	-0.03059 	-0.13537 	0.03192 	0.00000 	0.16486 	0.00424	0.01732
Replication21	 -1.44004	0.99702	0.97777 	0.96992 	0.98733 	0.97993 	0.98327 	1.00126 	0.00000 	-0.56809 	-0.10671 	0.08127 	0.00000 	0.60347 	0.00000 	-0.18745 	-0.03521 	0.06176 	0.00000 	0.19302 	0.00994	0.03213
Replication22	 0.02580	0.99577	0.92420 	0.94709 	0.97846 	0.95156 	0.95876 	0.99672 	-0.49743 	-0.52016 	0.00000 	0.15287 	0.00000 	0.89650 	-0.16454 	-0.17206 	0.00000 	0.12516 	0.00000 	0.31341 	0.03177	0.10196
Replication23	 -1.47233	0.99833	0.96817 	0.99017 	0.99908 	0.98658 	0.98980 	1.00533 	-0.38333 	0.00000 	-0.00512 	0.06116 	0.00722 	0.32769 	-0.12615 	0.00000 	-0.00169 	0.05024 	0.00238 	0.09783 	0.00762	0.02261
Replication24	 -1.55230	0.99865	0.99662 	1.00012 	0.99631 	1.00051 	0.99988 	1.00611 	-0.07012 	0.00000 	-0.22520 	0.02698 	0.00000 	0.26966 	-0.02306 	0.00000 	-0.07406 	0.01817 	0.00000 	0.08428 	0.00132	0.00532
Replication25	 0.01951	0.99501	0.93049 	0.95688 	0.96041 	0.95769 	0.96031 	0.99416 	-0.49469 	-0.15470 	-0.55416 	0.14077 	0.02468 	1.06516 	-0.16389 	-0.05125 	-0.18359 	0.10809 	0.00818 	0.37749 	0.02707	0.09503
Replication26	 -1.50101	0.99781	0.97588 	0.99027 	0.99005 	0.98900 	0.99079 	1.00369 	-0.26614 	0.00000 	-0.25308 	0.05712 	0.02902 	0.43829 	-0.08768 	0.00000 	-0.08338 	0.04278 	0.00956 	0.13659 	0.00520	0.01787
Replication27	 -1.57052	1.00012	1.01124 	1.01096 	1.01070 	1.01100 	1.01189 	1.01031 	0.00000 	0.00000 	0.00000 	-0.00276 	0.02494 	-0.02216 	0.00000 	0.00000 	0.00000 	-0.00199 	0.00818 	-0.00612 	0.00002	0.00006
Replication28	 0.01917	0.99643	0.93083 	0.95945 	0.98407 	0.95958 	0.96580 	0.99903 	-0.54428 	-0.30727 	0.00000 	0.13161 	0.00000 	0.74555 	-0.17980 	-0.10151 	0.00000 	0.10823 	0.00000 	0.25350 	0.02562	0.08042
