
Replication	FitnessValue	Frequency	Bus1	Bus2	Bus3	Bus4	Bus5	Bus6	Bus1_P	Bus2_P	Bus3_P	Bus4_P	Bus5_P	Bus6_P	Bus1_Q	Bus2_Q	Bus3_Q	Bus4_Q	Bus5_Q	Bus6_Q	PLoss	QLoss
Replication0	 21.55173	0.99658	0.96038 	0.96806 	0.97136 	0.98197 	0.97164 	0.98216 	-0.26718 	-0.28140 	-0.17679 	0.21106 	0.00000 	0.52243 	-0.08824 	-0.09293 	-0.05838 	0.19333 	0.00000 	0.07288 	0.00811	0.02666
Replication1	 13.57301	0.99723	0.97022 	0.97747 	0.97880 	0.98787 	0.97953 	0.98775 	-0.22736 	-0.19311 	-0.16091 	0.16684 	0.00000 	0.41963 	-0.07499 	-0.06369 	-0.05307 	0.15251 	0.00000 	0.05615 	0.00509	0.01691
Replication2	 25.49327	0.99642	0.95478 	0.96700 	0.96913 	0.98018 	0.96909 	0.98076 	-0.33532 	-0.22920 	-0.19791 	0.22445 	0.00000 	0.54757 	-0.11077 	-0.07572 	-0.06538 	0.20591 	0.00000 	0.07751 	0.00959	0.03156
Replication3	 23.46424	0.99628	0.95827 	0.96577 	0.96528 	0.98051 	0.96856 	0.97900 	-0.26513 	-0.25640 	-0.26759 	0.22239 	0.00000 	0.57549 	-0.08761 	-0.08472 	-0.08842 	0.20314 	0.00000 	0.08724 	0.00877	0.02963
Replication4	 13.76519	0.99704	0.97157 	0.97487 	0.97499 	0.98720 	0.97798 	0.98563 	-0.17377 	-0.23889 	-0.20956 	0.17218 	0.00000 	0.45518 	-0.05734 	-0.07882 	-0.06914 	0.15683 	0.00000 	0.06582 	0.00515	0.01735
Replication5	 19.38695	0.99660	0.96333 	0.96929 	0.96994 	0.98310 	0.97244 	0.98194 	-0.23309 	-0.25925 	-0.22674 	0.20292 	0.00000 	0.52343 	-0.07698 	-0.08562 	-0.07488 	0.18530 	0.00000 	0.07652 	0.00726	0.02434
Replication6	 19.13675	0.99660	0.96458 	0.96917 	0.96909 	0.98343 	0.97374 	0.98175 	-0.21884 	-0.27355 	-0.25333 	0.20047 	0.02711 	0.52528 	-0.07227 	-0.09034 	-0.08366 	0.18286 	0.00895 	0.07863 	0.00715	0.02418
Replication7	 30.68572	0.99585	0.95038 	0.96015 	0.95932 	0.97650 	0.96317 	0.97501 	-0.31719 	-0.27291 	-0.30470 	0.25245 	0.00708 	0.64674 	-0.10491 	-0.09026 	-0.10077 	0.23095 	0.00234 	0.10141 	0.01147	0.03876
Replication8	 21.39019	0.99638	0.96107 	0.96778 	0.96521 	0.98189 	0.96995 	0.97953 	-0.24344 	-0.22565 	-0.29896 	0.21216 	0.00000 	0.56384 	-0.08043 	-0.07455 	-0.09877 	0.19339 	0.00000 	0.08773 	0.00796	0.02737
Replication9	 20.54289	0.99653	0.96148 	0.96880 	0.96890 	0.98244 	0.97146 	0.98132 	-0.25402 	-0.24266 	-0.23801 	0.20781 	0.00000 	0.53456 	-0.08390 	-0.08015 	-0.07861 	0.18984 	0.00000 	0.07867 	0.00769	0.02585
Replication10	 23.97201	0.99619	0.96157 	0.96224 	0.96427 	0.98013 	0.96882 	0.97806 	-0.18288 	-0.38457 	-0.25657 	0.22541 	0.01583 	0.59178 	-0.06044 	-0.12710 	-0.08480 	0.20567 	0.00523 	0.09122 	0.00901	0.02978
Replication11	 18.97329	0.99682	0.96247 	0.97258 	0.97342 	0.98412 	0.97425 	0.98409 	-0.28489 	-0.19462 	-0.19464 	0.19500 	0.00000 	0.48628 	-0.09404 	-0.06424 	-0.06425 	0.17849 	0.00000 	0.06769 	0.00712	0.02364
Replication12	 15.64371	0.99695	0.96862 	0.97306 	0.97514 	0.98587 	0.97694 	0.98521 	-0.20236 	-0.26529 	-0.18028 	0.18199 	0.00673 	0.46507 	-0.06678 	-0.08755 	-0.05949 	0.16621 	0.00222 	0.06486 	0.00587	0.01948
Replication13	 24.50392	0.99634	0.95605 	0.96701 	0.96618 	0.98042 	0.96858 	0.97957 	-0.31182 	-0.20803 	-0.26006 	0.22294 	0.00000 	0.56613 	-0.10303 	-0.06873 	-0.08593 	0.20395 	0.00000 	0.08458 	0.00917	0.03085
Replication14	 24.95436	0.99626	0.95671 	0.96433 	0.96619 	0.97967 	0.96826 	0.97906 	-0.27733 	-0.29481 	-0.23062 	0.22848 	0.00704 	0.57659 	-0.09165 	-0.09742 	-0.07621 	0.20910 	0.00233 	0.08499 	0.00936	0.03115
Replication15	 17.40195	0.99668	0.96679 	0.97053 	0.97011 	0.98439 	0.97388 	0.98243 	-0.19386 	-0.26057 	-0.24577 	0.19338 	0.00065 	0.51267 	-0.06401 	-0.08604 	-0.08115 	0.17619 	0.00022 	0.07679 	0.00650	0.02200
Replication16	 17.00705	0.99665	0.96861 	0.97068 	0.96815 	0.98485 	0.97401 	0.98173 	-0.16515 	-0.25270 	-0.29210 	0.19012 	0.00397 	0.52218 	-0.05453 	-0.08344 	-0.09645 	0.17277 	0.00131 	0.08215 	0.00632	0.02181
Replication17	 24.14592	0.99632	0.95825 	0.96457 	0.96697 	0.98021 	0.96967 	0.97958 	-0.26216 	-0.31678 	-0.22542 	0.22447 	0.02182 	0.56713 	-0.08662 	-0.10467 	-0.07448 	0.20539 	0.00721 	0.08328 	0.00906	0.03010
Replication18	 21.23187	0.99638	0.96259 	0.96596 	0.96667 	0.98168 	0.97024 	0.97982 	-0.20506 	-0.31057 	-0.25067 	0.21374 	0.00000 	0.56052 	-0.06775 	-0.10261 	-0.08282 	0.19498 	0.00000 	0.08484 	0.00795	0.02664
Replication19	 27.05219	0.99615	0.95383 	0.96336 	0.96465 	0.97857 	0.96637 	0.97804 	-0.30561 	-0.27392 	-0.24184 	0.23677 	0.00000 	0.59475 	-0.10101 	-0.09054 	-0.07994 	0.21681 	0.00000 	0.08848 	0.01015	0.03380
Replication20	 19.99999	0.99665	0.96160 	0.97034 	0.97100 	0.98306 	0.97259 	0.98254 	-0.27126 	-0.22327 	-0.21456 	0.20304 	0.00000 	0.51355 	-0.08957 	-0.07372 	-0.07085 	0.18568 	0.00000 	0.07350 	0.00750	0.02504
Replication21	 15.24168	0.99711	0.96736 	0.97684 	0.97666 	0.98689 	0.97790 	0.98658 	-0.26038 	-0.15700 	-0.19119 	0.17423 	0.00000 	0.44006 	-0.08590 	-0.05179 	-0.06308 	0.15926 	0.00000 	0.06060 	0.00571	0.01909
Replication22	 30.92924	0.99601	0.94957 	0.96113 	0.96367 	0.97672 	0.96419 	0.97699 	-0.34417 	-0.28366 	-0.22596 	0.25041 	0.00000 	0.61499 	-0.11379 	-0.09378 	-0.07471 	0.22974 	0.00000 	0.09087 	0.01161	0.03832
Replication23	 10.38395	0.99744	0.97565 	0.98150 	0.97899 	0.99062 	0.98236 	0.98894 	-0.18614 	-0.13165 	-0.21818 	0.14642 	0.00000 	0.39340 	-0.06137 	-0.04340 	-0.07193 	0.13315 	0.00000 	0.05690 	0.00386	0.01336
Replication24	 21.98533	0.99638	0.96091 	0.96590 	0.96724 	0.98125 	0.96991 	0.97997 	-0.23055 	-0.30210 	-0.23490 	0.21679 	0.00000 	0.55900 	-0.07617 	-0.09981 	-0.07761 	0.19803 	0.00000 	0.08307 	0.00824	0.02750
Replication25	 9.54651	0.99756	0.97707 	0.98190 	0.98185 	0.99119 	0.98373 	0.99030 	-0.17364 	-0.16806 	-0.16747 	0.14201 	0.00000 	0.37072 	-0.05723 	-0.05539 	-0.05520 	0.12939 	0.00000 	0.05048 	0.00357	0.01204
Replication26	 31.12293	0.99587	0.94941 	0.96127 	0.95901 	0.97662 	0.96283 	0.97505 	-0.33977 	-0.22522 	-0.32031 	0.25156 	0.00000 	0.64533 	-0.11237 	-0.07448 	-0.10593 	0.23014 	0.00000 	0.10203 	0.01159	0.03937
