
Replication	FitnessValue	Frequency	Bus1	Bus2	Bus3	Bus4	Bus5	Bus6	Bus1_P	Bus2_P	Bus3_P	Bus4_P	Bus5_P	Bus6_P	Bus1_Q	Bus2_Q	Bus3_Q	Bus4_Q	Bus5_Q	Bus6_Q	PLoss	QLoss
Replication0	 35.22491	0.97501	0.93562 	0.94530 	0.94703 	0.95381 	0.94766 	0.95850 	-0.25148 	-0.15373 	-0.18787 	0.24425 	0.00855 	0.34511 	-0.08671 	-0.05301 	-0.06478 	0.09543 	0.00295 	0.12187 	0.00482	0.01574
Replication1	 59.45589	0.96760	0.92048 	0.92410 	0.92204 	0.93835 	0.92834 	0.94000 	-0.19111 	-0.24540 	-0.33767 	0.31304 	0.00634 	0.46208 	-0.06688 	-0.08588 	-0.11817 	0.12010 	0.00222 	0.17268 	0.00729	0.02406
Replication2	 78.83388	0.96341	0.90303 	0.91091 	0.91014 	0.92639 	0.91494 	0.93007 	-0.26807 	-0.26022 	-0.34915 	0.36168 	0.00000 	0.52585 	-0.09461 	-0.09184 	-0.12322 	0.14376 	0.00000 	0.19897 	0.01009	0.03307
Replication3	 55.49869	0.96847	0.92400 	0.92597 	0.92571 	0.94042 	0.93082 	0.94242 	-0.16719 	-0.27563 	-0.30183 	0.30418 	0.00000 	0.44723 	-0.05841 	-0.09629 	-0.10544 	0.11643 	0.00000 	0.16561 	0.00676	0.02189
Replication4	 40.99238	0.97268	0.93229 	0.93803 	0.94010 	0.94915 	0.94208 	0.95305 	-0.20780 	-0.22520 	-0.21496 	0.26530 	0.00764 	0.38025 	-0.07199 	-0.07802 	-0.07447 	0.10258 	0.00265 	0.13617 	0.00522	0.01693
Replication5	 62.05533	0.96753	0.91414 	0.92354 	0.92406 	0.93616 	0.92674 	0.94061 	-0.27381 	-0.21636 	-0.28278 	0.31986 	0.00143 	0.45962 	-0.09584 	-0.07573 	-0.09898 	0.12650 	0.00050 	0.16958 	0.00795	0.02604
Replication6	 59.42998	0.96777	0.91835 	0.92468 	0.92361 	0.93797 	0.92810 	0.94081 	-0.22729 	-0.22503 	-0.31164 	0.31368 	0.00000 	0.45764 	-0.07952 	-0.07873 	-0.10902 	0.12177 	0.00000 	0.16977 	0.00735	0.02427
Replication7	 42.36857	0.97240	0.93053 	0.93825 	0.93832 	0.94862 	0.94108 	0.95212 	-0.23109 	-0.17897 	-0.24560 	0.26771 	0.00772 	0.38567 	-0.08010 	-0.06204 	-0.08513 	0.10337 	0.00268 	0.13917 	0.00543	0.01795
Replication8	 79.50677	0.96392	0.89961 	0.91149 	0.91381 	0.92575 	0.91532 	0.93195 	-0.32571 	-0.25323 	-0.28756 	0.36211 	0.00000 	0.51506 	-0.11483 	-0.08928 	-0.10138 	0.14721 	0.00000 	0.19272 	0.01066	0.03445
Replication9	 44.55438	0.97228	0.92789 	0.93539 	0.94048 	0.94669 	0.94108 	0.95258 	-0.24766 	-0.25893 	-0.17401 	0.27388 	0.02865 	0.38414 	-0.08586 	-0.08977 	-0.06033 	0.10883 	0.00993 	0.13656 	0.00606	0.01936
Replication10	 54.95895	0.96991	0.91794 	0.92884 	0.93358 	0.94023 	0.93321 	0.94699 	-0.29826 	-0.23692 	-0.19218 	0.30049 	0.01431 	0.42011 	-0.10390 	-0.08253 	-0.06695 	0.12128 	0.00499 	0.15129 	0.00755	0.02418
Replication11	 55.58137	0.96853	0.92284 	0.92594 	0.92658 	0.94008 	0.93075 	0.94280 	-0.18456 	-0.27478 	-0.28416 	0.30506 	0.00000 	0.44525 	-0.06447 	-0.09599 	-0.09926 	0.11762 	0.00000 	0.16408 	0.00681	0.02198
Replication12	 65.71021	0.96645	0.91268 	0.91843 	0.92239 	0.93332 	0.92405 	0.93847 	-0.23798 	-0.31207 	-0.24738 	0.33168 	0.00000 	0.47414 	-0.08348 	-0.10946 	-0.08677 	0.13189 	0.00000 	0.17446 	0.00838	0.02665
Replication13	 43.08502	0.97205	0.93078 	0.93605 	0.93824 	0.94771 	0.94053 	0.95158 	-0.20525 	-0.23918 	-0.22157 	0.27150 	0.01026 	0.38970 	-0.07119 	-0.08296 	-0.07685 	0.10507 	0.00356 	0.14005 	0.00547	0.01768
Replication14	 64.93153	0.96622	0.91740 	0.91793 	0.91972 	0.93447 	0.92450 	0.93720 	-0.16425 	-0.34261 	-0.29714 	0.32889 	0.00222 	0.48098 	-0.05764 	-0.12024 	-0.10428 	0.12770 	0.00078 	0.17919 	0.00808	0.02550
Replication15	 45.57240	0.97121	0.92946 	0.93485 	0.93415 	0.94652 	0.93796 	0.94907 	-0.20029 	-0.20375 	-0.27281 	0.27761 	0.00000 	0.40488 	-0.06959 	-0.07079 	-0.09479 	0.10613 	0.00000 	0.14766 	0.00563	0.01860
Replication16	 66.75321	0.96697	0.90968 	0.91855 	0.92603 	0.93261 	0.92444 	0.94026 	-0.28655 	-0.32144 	-0.18022 	0.33229 	0.00127 	0.46374 	-0.10041 	-0.11263 	-0.06315 	0.13559 	0.00044 	0.16869 	0.00909	0.02855
Replication17	 54.23476	0.96952	0.92013 	0.93029 	0.92936 	0.94132 	0.93228 	0.94516 	-0.27155 	-0.16675 	-0.28318 	0.29836 	0.00000 	0.43011 	-0.09467 	-0.05813 	-0.09872 	0.11685 	0.00000 	0.15785 	0.00699	0.02317
Replication18	 67.15218	0.96638	0.91054 	0.91773 	0.92298 	0.93236 	0.92339 	0.93852 	-0.26068 	-0.31485 	-0.22473 	0.33479 	0.00000 	0.47424 	-0.09145 	-0.11046 	-0.07884 	0.13458 	0.00000 	0.17392 	0.00877	0.02775
Replication19	 42.83756	0.97250	0.92915 	0.93772 	0.94011 	0.94798 	0.94071 	0.95281 	-0.24583 	-0.19766 	-0.20238 	0.26935 	0.00000 	0.38215 	-0.08519 	-0.06850 	-0.07013 	0.10558 	0.00000 	0.13649 	0.00563	0.01825
Replication20	 35.90774	0.97454	0.93571 	0.94472 	0.94473 	0.95343 	0.94636 	0.95713 	-0.23734 	-0.13890 	-0.21924 	0.24679 	0.00000 	0.35343 	-0.08191 	-0.04794 	-0.07567 	0.09517 	0.00000 	0.12601 	0.00473	0.01566
