
Replication	FitnessValue	Frequency	Bus1	Bus2	Bus3	Bus4	Bus5	Bus6	Bus1_P	Bus2_P	Bus3_P	Bus4_P	Bus5_P	Bus6_P	Bus1_Q	Bus2_Q	Bus3_Q	Bus4_Q	Bus5_Q	Bus6_Q	PLoss	QLoss
Replication0	 0.18873	0.99991	0.95864 	0.97080 	0.98230 	0.97180 	0.97788 	0.99991 	-0.27151 	-0.26208 	-0.21208 	0.05423 	0.03066 	0.67204 	-0.08907 	-0.08598 	-0.06957 	0.05413 	0.01006 	0.21866 	0.01128	0.03825
Replication1	 0.19241	0.99991	0.95869 	0.96945 	0.98302 	0.97102 	0.97628 	0.99985 	-0.24893 	-0.29837 	-0.17247 	0.05534 	0.00000 	0.67592 	-0.08166 	-0.09788 	-0.05658 	0.05524 	0.00000 	0.21954 	0.01150	0.03868
Replication2	 0.13518	0.99993	0.96791 	0.97899 	0.98899 	0.97932 	0.98489 	1.00218 	-0.24301 	-0.20541 	-0.14740 	0.04355 	0.03498 	0.52475 	-0.07972 	-0.06739 	-0.04835 	0.04347 	0.01148 	0.16549 	0.00748	0.02500
Replication3	 0.23060	0.99990	0.95247 	0.96724 	0.97505 	0.96766 	0.97312 	0.99801 	-0.30688 	-0.21875 	-0.34167 	0.06011 	0.02819 	0.79316 	-0.10068 	-0.07176 	-0.11209 	0.05999 	0.00925 	0.26471 	0.01416	0.04939
Replication4	 0.11941	0.99993	0.97232 	0.98138 	0.98946 	0.98190 	0.98544 	1.00247 	-0.19783 	-0.18306 	-0.15935 	0.03989 	0.00000 	0.50646 	-0.06490 	-0.06005 	-0.05227 	0.03982 	0.00000 	0.15816 	0.00612	0.02077
Replication5	 0.25746	0.99989	0.94933 	0.96294 	0.97223 	0.96434 	0.97015 	0.99699 	-0.29882 	-0.27468 	-0.36025 	0.06482 	0.02688 	0.85819 	-0.09803 	-0.09012 	-0.11819 	0.06469 	0.00882 	0.28938 	0.01614	0.05658
Replication6	 0.25165	0.99989	0.94931 	0.96166 	0.97709 	0.96371 	0.96972 	0.99779 	-0.28518 	-0.34932 	-0.22239 	0.06571 	0.00000 	0.80721 	-0.09356 	-0.11460 	-0.07296 	0.06560 	0.00000 	0.26980 	0.01603	0.05425
Replication7	 0.14707	0.99992	0.96754 	0.97713 	0.98494 	0.97805 	0.98226 	1.00111 	-0.21543 	-0.20740 	-0.22287 	0.04536 	0.01351 	0.59475 	-0.07067 	-0.06804 	-0.07311 	0.04527 	0.00443 	0.18954 	0.00794	0.02744
Replication8	 0.18354	0.99991	0.96242 	0.97065 	0.98115 	0.97288 	0.97727 	0.99963 	-0.20659 	-0.28960 	-0.23729 	0.05271 	0.00000 	0.69123 	-0.06777 	-0.09501 	-0.07785 	0.05260 	0.00000 	0.22419 	0.01044	0.03613
Replication9	 0.22621	0.99990	0.95229 	0.96595 	0.97961 	0.96694 	0.97252 	0.99874 	-0.29462 	-0.28904 	-0.20992 	0.06112 	0.00000 	0.74653 	-0.09666 	-0.09482 	-0.06887 	0.06101 	0.00000 	0.24670 	0.01406	0.04733
Replication10	 0.21151	0.99990	0.95733 	0.96681 	0.97902 	0.96913 	0.97410 	0.99877 	-0.23276 	-0.31737 	-0.24152 	0.05803 	0.00000 	0.74621 	-0.07636 	-0.10412 	-0.07923 	0.05792 	0.00000 	0.24506 	0.01258	0.04324
Replication11	 0.20816	0.99991	0.95432 	0.96910 	0.98098 	0.96940 	0.97574 	0.99942 	-0.31081 	-0.24672 	-0.21950 	0.05764 	0.02953 	0.70270 	-0.10196 	-0.08094 	-0.07201 	0.05754 	0.00969 	0.23096 	0.01284	0.04324
Replication12	 0.27134	0.99988	0.94876 	0.95973 	0.97147 	0.96241 	0.96759 	0.99646 	-0.26364 	-0.34170 	-0.33802 	0.06757 	0.00000 	0.89289 	-0.08649 	-0.11211 	-0.11090 	0.06744 	0.00000 	0.30176 	0.01708	0.05968
Replication13	 0.22071	0.99990	0.95400 	0.96653 	0.97887 	0.96788 	0.97363 	0.99870 	-0.27977 	-0.28958 	-0.24024 	0.05980 	0.01379 	0.74950 	-0.09178 	-0.09500 	-0.07881 	0.05969 	0.00453 	0.24740 	0.01349	0.04598
Replication14	 0.22744	0.99991	0.94964 	0.96680 	0.98076 	0.96670 	0.97451 	0.99916 	-0.35515 	-0.26031 	-0.19835 	0.06146 	0.04920 	0.71796 	-0.11651 	-0.08540 	-0.06507 	0.06136 	0.01614 	0.23870 	0.01480	0.04917
Replication15	 0.18521	0.99990	0.96337 	0.97212 	0.97727 	0.97391 	0.97781 	0.99903 	-0.20816 	-0.22604 	-0.35291 	0.05124 	0.01740 	0.72889 	-0.06829 	-0.07416 	-0.11578 	0.05113 	0.00571 	0.23895 	0.01041	0.03754
Replication16	 0.21992	0.99990	0.95368 	0.96835 	0.97759 	0.96856 	0.97316 	0.99857 	-0.29848 	-0.21842 	-0.28634 	0.05883 	0.00000 	0.75774 	-0.09792 	-0.07166 	-0.09394 	0.05872 	0.00000 	0.25059 	0.01332	0.04576
Replication17	 0.24772	0.99989	0.95004 	0.96273 	0.97549 	0.96468 	0.97203 	0.99770 	-0.29723 	-0.32627 	-0.28577 	0.06433 	0.04770 	0.81297 	-0.09751 	-0.10704 	-0.09375 	0.06421 	0.01565 	0.27253 	0.01572	0.05406
Replication18	 0.14536	0.99992	0.96752 	0.97731 	0.98615 	0.97810 	0.98200 	1.00134 	-0.21577 	-0.21032 	-0.19129 	0.04529 	0.00000 	0.57992 	-0.07078 	-0.06900 	-0.06275 	0.04520 	0.00000 	0.18405 	0.00783	0.02674
