
Replication	FitnessValue	Frequency	Bus1	Bus2	Bus3	Bus4	Bus5	Bus6	Bus7	Bus8	Bus9	Bus10	Bus11	Bus12	Bus1_P	Bus2_P	Bus3_P	Bus4_P	Bus5_P	Bus6_P	Bus7_P	Bus8_P	Bus9_P	Bus10_P	Bus11_P	Bus12_P	Bus1_Q	Bus2_Q	Bus3_Q	Bus4_Q	Bus5_Q	Bus6_Q	Bus7_Q	Bus8_Q	Bus9_Q	Bus10_Q	Bus11_Q	Bus12_Q	PLoss	QLoss
Replication0	 -1.46948	0.99904	0.96930 	0.97200 	0.97386 	0.97793 	0.97433 	0.98090 	0.96243 	0.96861 	0.98203 	0.96448 	0.98506 	0.98117 	-0.14523 	-0.14746 	-0.16822 	0.13463 	0.00000 	0.18863 	-0.16661 	-0.17854 	0.12233 	-0.15924 	0.32599 	0.18740 	-0.04773 	-0.04846 	-0.05528 	0.05777 	0.00000 	0.07329 	-0.05475 	-0.05867 	0.04547 	-0.05233 	0.10713 	0.07206 	0.00632	0.03850
Replication1	 0.00436	0.99870	0.96204 	0.96611 	0.96743 	0.97245 	0.96796 	0.97449 	0.94564 	0.95367 	0.97176 	0.94711 	0.95989 	0.97158 	-0.15936 	-0.13067 	-0.13758 	0.16451 	0.00000 	0.23770 	-0.13379 	-0.15912 	0.16658 	-0.16659 	0.06765 	0.25078 	-0.05241 	-0.04297 	-0.04524 	0.06072 	0.00000 	0.08195 	-0.04400 	-0.05233 	0.06279 	-0.05478 	0.02225 	0.09503 	0.00012	0.03102
Replication2	 0.00778	0.99867	0.96122 	0.96347 	0.96573 	0.97094 	0.96634 	0.97308 	0.94222 	0.95148 	0.97081 	0.94412 	0.96116 	0.97040 	-0.14148 	-0.17457 	-0.14158 	0.17021 	0.00000 	0.24575 	-0.16629 	-0.16956 	0.17060 	-0.19703 	0.14676 	0.25781 	-0.04653 	-0.05741 	-0.04656 	0.06413 	0.00000 	0.08656 	-0.05469 	-0.05576 	0.06451 	-0.06480 	0.04826 	0.09862 	0.00060	0.03634
Replication3	 -1.47828	0.99892	0.96551 	0.96888 	0.97199 	0.97516 	0.97155 	0.97872 	0.95834 	0.96528 	0.97896 	0.96088 	0.97641 	0.97850 	-0.15852 	-0.16360 	-0.14021 	0.14767 	0.00000 	0.20555 	-0.15323 	-0.15198 	0.13628 	-0.13622 	0.20178 	0.20656 	-0.05211 	-0.05378 	-0.04609 	0.06133 	0.00000 	0.07599 	-0.05037 	-0.04996 	0.04995 	-0.04478 	0.06633 	0.07700 	0.00593	0.03352
Replication4	 -1.46557	0.99885	0.96491 	0.96732 	0.96912 	0.97410 	0.96992 	0.97672 	0.95635 	0.96242 	0.97642 	0.95771 	0.97143 	0.97612 	-0.14628 	-0.16171 	-0.17209 	0.15387 	0.00000 	0.21911 	-0.12482 	-0.14950 	0.14692 	-0.14103 	0.14653 	0.22179 	-0.04809 	-0.05316 	-0.05658 	0.06148 	0.00000 	0.08046 	-0.04103 	-0.04915 	0.05453 	-0.04637 	0.04817 	0.08315 	0.00722	0.03341
Replication5	 -1.49397	0.99912	0.97500 	0.97676 	0.97803 	0.98206 	0.97879 	0.98411 	0.96473 	0.97156 	0.98445 	0.96669 	0.98573 	0.98369 	-0.11475 	-0.12825 	-0.14421 	0.11884 	0.00000 	0.16912 	-0.16330 	-0.14247 	0.11169 	-0.16612 	0.28385 	0.17099 	-0.03770 	-0.04214 	-0.04738 	0.04874 	0.00000 	0.06392 	-0.05366 	-0.04681 	0.04159 	-0.05458 	0.09327 	0.06579 	0.00460	0.03102
Replication6	 -1.45511	0.99893	0.96563 	0.96913 	0.97110 	0.97529 	0.97141 	0.97849 	0.95944 	0.96628 	0.97902 	0.96119 	0.97700 	0.97861 	-0.16229 	-0.14866 	-0.17102 	0.14687 	0.00000 	0.20595 	-0.14479 	-0.12284 	0.13567 	-0.15557 	0.20321 	0.20543 	-0.05335 	-0.04887 	-0.05622 	0.06137 	0.00000 	0.07765 	-0.04759 	-0.04038 	0.05018 	-0.05114 	0.06680 	0.07714 	0.00806	0.03560
Replication7	 -1.49726	0.99914	0.97379 	0.97706 	0.97900 	0.98198 	0.98005 	0.98477 	0.96618 	0.97263 	0.98506 	0.96807 	0.98584 	0.98437 	-0.14397 	-0.12719 	-0.13276 	0.11858 	0.02632 	0.16539 	-0.15391 	-0.13947 	0.10934 	-0.15545 	0.26153 	0.16717 	-0.04731 	-0.04179 	-0.04362 	0.04950 	0.00865 	0.06172 	-0.05057 	-0.04583 	0.04026 	-0.05108 	0.08593 	0.06351 	0.00443	0.02937
Replication8	 -1.51104	0.99885	0.96393 	0.96832 	0.97123 	0.97436 	0.97111 	0.97770 	0.95274 	0.96143 	0.97660 	0.95599 	0.96954 	0.97631 	-0.17111 	-0.14949 	-0.12454 	0.15298 	0.01181 	0.21454 	-0.16341 	-0.13401 	0.14628 	-0.13962 	0.13291 	0.22077 	-0.05625 	-0.04915 	-0.04094 	0.06079 	0.00388 	0.07620 	-0.05372 	-0.04406 	0.05409 	-0.04590 	0.04369 	0.08243 	0.00288	0.03107
Replication9	 -1.51482	0.99901	0.97113 	0.97416 	0.97582 	0.97962 	0.97730 	0.98192 	0.95957 	0.96657 	0.98108 	0.96180 	0.97790 	0.98051 	-0.14178 	-0.13271 	-0.13427 	0.13091 	0.02765 	0.18606 	-0.15298 	-0.15893 	0.12652 	-0.14795 	0.20229 	0.19239 	-0.04660 	-0.04361 	-0.04413 	0.05136 	0.00909 	0.06669 	-0.05028 	-0.05223 	0.04697 	-0.04863 	0.06648 	0.07302 	0.00279	0.02813
