
Replication	FitnessValue	Frequency	Bus1	Bus2	Bus3	Bus4	Bus5	Bus6	Bus7	Bus8	Bus9	Bus10	Bus11	Bus12	Bus1_P	Bus2_P	Bus3_P	Bus4_P	Bus5_P	Bus6_P	Bus7_P	Bus8_P	Bus9_P	Bus10_P	Bus11_P	Bus12_P	Bus1_Q	Bus2_Q	Bus3_Q	Bus4_Q	Bus5_Q	Bus6_Q	Bus7_Q	Bus8_Q	Bus9_Q	Bus10_Q	Bus11_Q	Bus12_Q	PLoss	QLoss
Replication0	 -1.46365	0.99702	0.98113 	0.98376 	0.98565 	0.99026 	0.98726 	0.99150 	0.97147 	0.97793 	0.99115 	0.97378 	0.98938 	0.99267 	-0.13499 	-0.15132 	-0.14269 	0.14912 	0.02982 	0.17104 	-0.14927 	-0.17959 	0.17744 	-0.13509 	0.20318 	0.15497 	-0.04454 	-0.04993 	-0.04708 	0.05947 	0.00984 	0.04641 	-0.04925 	-0.05926 	0.00397 	-0.04457 	0.06704 	0.14180 	0.00737	0.03390
Replication1	 -1.40951	0.99717	0.97800 	0.98173 	0.98424 	0.98851 	0.98410 	0.99083 	0.97776 	0.98219 	0.99272 	0.97863 	0.99700 	0.99397 	-0.16419 	-0.15948 	-0.16725 	0.15609 	0.00000 	0.17180 	-0.13183 	-0.17151 	0.16543 	-0.14865 	0.29402 	0.14354 	-0.05416 	-0.05261 	-0.05517 	0.07101 	0.00000 	0.05352 	-0.04349 	-0.05657 	0.00080 	-0.04903 	0.09699 	0.13103 	0.01204	0.04233
Replication2	 -1.44069	0.99699	0.97986 	0.98170 	0.98484 	0.98896 	0.98471 	0.99073 	0.97356 	0.97934 	0.99130 	0.97481 	0.99082 	0.99287 	-0.12701 	-0.18168 	-0.13483 	0.15647 	0.00000 	0.17619 	-0.13422 	-0.15675 	0.17762 	-0.15144 	0.21287 	0.15331 	-0.04191 	-0.05995 	-0.04449 	0.06584 	0.00000 	0.05020 	-0.04429 	-0.05172 	0.00226 	-0.04997 	0.07024 	0.13999 	0.00946	0.03620
Replication3	 -1.44133	0.99690	0.97793 	0.98204 	0.98347 	0.98849 	0.98384 	0.99004 	0.97037 	0.97711 	0.99043 	0.97215 	0.99075 	0.99192 	-0.15890 	-0.13351 	-0.16402 	0.16031 	0.00000 	0.18221 	-0.15909 	-0.17423 	0.18451 	-0.16758 	0.25973 	0.16163 	-0.05244 	-0.04406 	-0.05413 	0.06694 	0.00000 	0.05239 	-0.05251 	-0.05750 	0.00383 	-0.05531 	0.08572 	0.14791 	0.00894	0.04083
Replication4	 -1.44497	0.99729	0.98025 	0.98435 	0.98701 	0.99026 	0.98636 	0.99247 	0.97683 	0.98257 	0.99343 	0.97900 	0.99497 	0.99469 	-0.15477 	-0.13838 	-0.12759 	0.14509 	0.00000 	0.15969 	-0.14499 	-0.15635 	0.15866 	-0.12836 	0.24077 	0.13704 	-0.05104 	-0.04564 	-0.04208 	0.06351 	0.00000 	0.04629 	-0.04782 	-0.05156 	0.00082 	-0.04233 	0.07940 	0.12505 	0.00919	0.03462
Replication5	 -1.43968	0.99700	0.98062 	0.98321 	0.98424 	0.98974 	0.98520 	0.99073 	0.97108 	0.97837 	0.99092 	0.97297 	0.99026 	0.99246 	-0.13143 	-0.13743 	-0.16657 	0.15219 	0.00000 	0.17603 	-0.15822 	-0.14155 	0.17919 	-0.16834 	0.22992 	0.15684 	-0.04337 	-0.04535 	-0.05496 	0.06188 	0.00000 	0.05047 	-0.05221 	-0.04671 	0.00443 	-0.05555 	0.07587 	0.14357 	0.00938	0.03806
Replication6	 -1.44425	0.99720	0.98080 	0.98408 	0.98622 	0.99045 	0.98847 	0.99218 	0.97591 	0.98112 	0.99252 	0.97645 	0.99240 	0.99393 	-0.15520 	-0.15586 	-0.15269 	0.14535 	0.05155 	0.16317 	-0.12175 	-0.14554 	0.16551 	-0.15938 	0.21180 	0.14377 	-0.05119 	-0.05141 	-0.05036 	0.06119 	0.01700 	0.04619 	-0.04016 	-0.04801 	0.00268 	-0.05257 	0.06986 	0.13141 	0.00926	0.03464
Replication7	 -1.45381	0.99716	0.98161 	0.98392 	0.98609 	0.99047 	0.98717 	0.99190 	0.97273 	0.98002 	0.99215 	0.97484 	0.99199 	0.99355 	-0.13091 	-0.15694 	-0.14213 	0.14588 	0.01972 	0.16574 	-0.16037 	-0.13728 	0.16849 	-0.16268 	0.23518 	0.14711 	-0.04318 	-0.05177 	-0.04688 	0.06047 	0.00650 	0.04701 	-0.05290 	-0.04529 	0.00322 	-0.05366 	0.07758 	0.13456 	0.00819	0.03565
Replication8	 -1.43311	0.99666	0.97529 	0.97954 	0.98188 	0.98668 	0.98180 	0.98862 	0.96847 	0.97561 	0.98897 	0.96965 	0.98746 	0.99077 	-0.16943 	-0.15690 	-0.16025 	0.17344 	0.00000 	0.19543 	-0.15080 	-0.14886 	0.19837 	-0.18533 	0.22271 	0.17202 	-0.05594 	-0.05181 	-0.05292 	0.07296 	0.00000 	0.05575 	-0.04979 	-0.04915 	0.00395 	-0.06119 	0.07354 	0.15725 	0.00959	0.04263
Replication9	 -1.42879	0.99749	0.98289 	0.98506 	0.98687 	0.99146 	0.98902 	0.99305 	0.97905 	0.98419 	0.99443 	0.98000 	0.99862 	0.99545 	-0.13750 	-0.15884 	-0.16806 	0.13571 	0.03762 	0.15214 	-0.13934 	-0.14538 	0.14803 	-0.16102 	0.29598 	0.13016 	-0.04533 	-0.05236 	-0.05540 	0.06013 	0.01240 	0.04708 	-0.04594 	-0.04792 	0.00179 	-0.05308 	0.09757 	0.11905 	0.01050	0.03800
