
Replication	FitnessValue	Frequency	Bus1	Bus2	Bus3	Bus4	Bus5	Bus6	Bus7	Bus8	Bus9	Bus10	Bus11	Bus12	Bus1_P	Bus2_P	Bus3_P	Bus4_P	Bus5_P	Bus6_P	Bus7_P	Bus8_P	Bus9_P	Bus10_P	Bus11_P	Bus12_P	Bus1_Q	Bus2_Q	Bus3_Q	Bus4_Q	Bus5_Q	Bus6_Q	Bus7_Q	Bus8_Q	Bus9_Q	Bus10_Q	Bus11_Q	Bus12_Q	PLoss	QLoss
Replication0	 0.07032	0.99407	0.88490 	0.88461 	0.88061 	0.89386 	0.88721 	0.88363 	0.89359 	0.88555 	0.90790 	0.88564 	0.89499 	0.90538 	-0.08287 	-0.09853 	-0.12091 	0.14460 	0.02448 	0.09038 	-0.08591 	-0.10563 	0.13112 	-0.10220 	0.00000 	0.14452 	-0.02751 	-0.03270 	-0.04013 	0.07839 	0.00812 	-0.00893 	-0.02852 	-0.03506 	0.06491 	-0.03392 	0.00000 	0.04522 	0.00455	0.01162
Replication1	 0.07673	0.99373	0.87691 	0.87733 	0.87381 	0.88683 	0.87913 	0.87657 	0.88666 	0.87911 	0.90209 	0.87945 	0.88869 	0.89935 	-0.09417 	-0.09903 	-0.10687 	0.15326 	0.00000 	0.09553 	-0.10995 	-0.10724 	0.13861 	-0.09182 	0.00000 	0.15286 	-0.03128 	-0.03289 	-0.03550 	0.08323 	0.00000 	-0.00952 	-0.03652 	-0.03562 	0.06858 	-0.03050 	0.00000 	0.04782 	0.00490	0.01230
Replication2	 0.07864	0.99367	0.87433 	0.87531 	0.87194 	0.88481 	0.87727 	0.87470 	0.88587 	0.87863 	0.90140 	0.87818 	0.88789 	0.89864 	-0.10617 	-0.09870 	-0.10568 	0.15552 	0.00000 	0.09662 	-0.10455 	-0.08892 	0.13960 	-0.11224 	0.00000 	0.15399 	-0.03527 	-0.03279 	-0.03511 	0.08484 	0.00000 	-0.00940 	-0.03473 	-0.02954 	0.06892 	-0.03728 	0.00000 	0.04797 	0.00505	0.01273
Replication3	 0.06970	0.99417	0.88285 	0.88341 	0.88083 	0.89253 	0.88628 	0.88337 	0.89751 	0.89083 	0.91198 	0.89098 	0.90096 	0.90932 	-0.09998 	-0.11070 	-0.09603 	0.14529 	0.00000 	0.08959 	-0.09266 	-0.09970 	0.12662 	-0.09440 	0.03297 	0.14008 	-0.03318 	-0.03674 	-0.03187 	0.08025 	0.00000 	-0.00797 	-0.03075 	-0.03308 	0.06158 	-0.03132 	0.01094 	0.04252 	0.00455	0.01145
Replication4	 0.07650	0.99368	0.87563 	0.87647 	0.87405 	0.88591 	0.87840 	0.87638 	0.88532 	0.87697 	0.90084 	0.87742 	0.88706 	0.89810 	-0.10289 	-0.10924 	-0.08647 	0.15440 	0.00000 	0.09597 	-0.10215 	-0.11753 	0.14007 	-0.09668 	0.00000 	0.15438 	-0.03418 	-0.03629 	-0.02872 	0.08385 	0.00000 	-0.00985 	-0.03393 	-0.03904 	0.06952 	-0.03211 	0.00000 	0.04856 	0.00507	0.01280
Replication5	 0.07898	0.99361	0.87298 	0.87407 	0.87162 	0.88367 	0.87629 	0.87405 	0.88470 	0.87789 	0.90046 	0.87731 	0.88695 	0.89765 	-0.11050 	-0.11150 	-0.08994 	0.15694 	0.00000 	0.09730 	-0.11556 	-0.08249 	0.14082 	-0.11215 	0.00000 	0.15537 	-0.03671 	-0.03704 	-0.02988 	0.08562 	0.00000 	-0.00967 	-0.03839 	-0.02741 	0.06950 	-0.03726 	0.00000 	0.04839 	0.00506	0.01267
Replication6	 0.06874	0.99410	0.88439 	0.88510 	0.88219 	0.89390 	0.88699 	0.88465 	0.89476 	0.88708 	0.90896 	0.88738 	0.89632 	0.90645 	-0.09499 	-0.09548 	-0.09407 	0.14439 	0.00000 	0.08981 	-0.08470 	-0.10580 	0.12994 	-0.09236 	0.00000 	0.14331 	-0.03153 	-0.03169 	-0.03122 	0.07851 	0.00000 	-0.00901 	-0.02811 	-0.03511 	0.06406 	-0.03065 	0.00000 	0.04449 	0.00436	0.01108
Replication7	 0.06395	0.99438	0.88867 	0.88975 	0.88694 	0.89810 	0.89186 	0.88937 	0.90112 	0.89417 	0.91483 	0.89418 	0.90368 	0.91235 	-0.09983 	-0.09010 	-0.09295 	0.13880 	0.00000 	0.08594 	-0.08198 	-0.09642 	0.12274 	-0.09730 	0.02149 	0.13562 	-0.03311 	-0.02989 	-0.03083 	0.07604 	0.00000 	-0.00819 	-0.02719 	-0.03198 	0.05999 	-0.03228 	0.00713 	0.04149 	0.00411	0.01043
Replication8	 0.06785	0.99404	0.88435 	0.88516 	0.88308 	0.89396 	0.88743 	0.88523 	0.89262 	0.88560 	0.90724 	0.88571 	0.89455 	0.90464 	-0.09886 	-0.10663 	-0.08036 	0.14468 	0.01580 	0.09013 	-0.11457 	-0.09637 	0.13192 	-0.09201 	0.00000 	0.14545 	-0.03281 	-0.03539 	-0.02667 	0.07812 	0.00525 	-0.00970 	-0.03803 	-0.03199 	0.06537 	-0.03054 	0.00000 	0.04563 	0.00432	0.01083
Replication9	 0.06996	0.99402	0.88357 	0.88424 	0.88099 	0.89315 	0.88640 	0.88362 	0.89237 	0.88426 	0.90684 	0.88429 	0.89378 	0.90430 	-0.09633 	-0.09483 	-0.10287 	0.14554 	0.01725 	0.09077 	-0.08940 	-0.10546 	0.13239 	-0.10483 	0.00000 	0.14590 	-0.03198 	-0.03148 	-0.03415 	0.07882 	0.00573 	-0.00931 	-0.02968 	-0.03501 	0.06567 	-0.03480 	0.00000 	0.04581 	0.00457	0.01167
