
Replication	FitnessValue	Frequency	Bus1	Bus2	Bus3	Bus4	Bus5	Bus6	Bus7	Bus8	Bus9	Bus10	Bus11	Bus12	Bus1_P	Bus2_P	Bus3_P	Bus4_P	Bus5_P	Bus6_P	Bus7_P	Bus8_P	Bus9_P	Bus10_P	Bus11_P	Bus12_P	Bus1_Q	Bus2_Q	Bus3_Q	Bus4_Q	Bus5_Q	Bus6_Q	Bus7_Q	Bus8_Q	Bus9_Q	Bus10_Q	Bus11_Q	Bus12_Q	PLoss	QLoss
Replication0	 -1.45111	0.99645	0.98085 	0.98237 	0.98353 	0.98994 	0.98486 	0.99035 	0.97308 	0.97862 	0.98970 	0.97458 	0.99017 	0.99091 	-0.12309 	-0.16290 	-0.16267 	0.16513 	0.00000 	0.18925 	-0.13332 	-0.14793 	0.15456 	-0.13890 	0.21939 	0.13178 	-0.04066 	-0.05381 	-0.05374 	0.06691 	0.00000 	0.06543 	-0.04404 	-0.04887 	-0.00430 	-0.04588 	0.07247 	0.11971 	0.00870	0.03322
Replication1	 -1.48975	0.99598	0.97741 	0.98078 	0.98214 	0.98837 	0.98438 	0.98885 	0.96520 	0.97293 	0.98645 	0.96718 	0.98148 	0.98809 	-0.15659 	-0.15797 	-0.14711 	0.18073 	0.03378 	0.20722 	-0.14712 	-0.13374 	0.17714 	-0.15864 	0.14627 	0.15116 	-0.05178 	-0.05223 	-0.04864 	0.06945 	0.01117 	0.06693 	-0.04864 	-0.04422 	-0.00283 	-0.05245 	0.04837 	0.13749 	0.00486	0.03261
Replication2	 -1.45256	0.99612	0.97826 	0.98054 	0.98107 	0.98839 	0.98276 	0.98856 	0.96690 	0.97495 	0.98738 	0.97017 	0.98639 	0.98878 	-0.13846 	-0.15611 	-0.18009 	0.17878 	0.00000 	0.20673 	-0.17385 	-0.14067 	0.17070 	-0.14220 	0.22067 	0.14635 	-0.04577 	-0.05160 	-0.05953 	0.07122 	0.00000 	0.07113 	-0.05747 	-0.04650 	-0.00325 	-0.04700 	0.07295 	0.13314 	0.00815	0.03731
Replication3	 -1.47768	0.99682	0.98026 	0.98440 	0.98674 	0.99075 	0.98635 	0.99237 	0.97575 	0.98129 	0.99235 	0.97741 	0.99587 	0.99313 	-0.15798 	-0.13997 	-0.12062 	0.15535 	0.00000 	0.16973 	-0.14929 	-0.15983 	0.13646 	-0.14919 	0.29279 	0.11654 	-0.05215 	-0.04620 	-0.03982 	0.06735 	0.00000 	0.05880 	-0.04928 	-0.05276 	-0.00586 	-0.04925 	0.09665 	0.10573 	0.00602	0.03322
Replication4	 -1.45204	0.99657	0.98073 	0.98358 	0.98421 	0.99041 	0.98542 	0.99095 	0.97368 	0.97960 	0.99038 	0.97567 	0.99132 	0.99151 	-0.13952 	-0.13565 	-0.16435 	0.16079 	0.00000 	0.18335 	-0.14211 	-0.14187 	0.14944 	-0.13397 	0.22765 	0.12760 	-0.04608 	-0.04480 	-0.05428 	0.06577 	0.00000 	0.06356 	-0.04693 	-0.04685 	-0.00424 	-0.04424 	0.07518 	0.11593 	0.00863	0.03302
Replication5	 -1.46220	0.99603	0.97731 	0.97983 	0.98123 	0.98785 	0.98231 	0.98837 	0.96678 	0.97429 	0.98703 	0.96887 	0.98521 	0.98851 	-0.14357 	-0.16733 	-0.16114 	0.18305 	0.00000 	0.20940 	-0.15675 	-0.13682 	0.17384 	-0.16229 	0.20603 	0.14830 	-0.04747 	-0.05532 	-0.05327 	0.07319 	0.00000 	0.07091 	-0.05182 	-0.04524 	-0.00383 	-0.05365 	0.06812 	0.13481 	0.00726	0.03643
Replication6	 -1.46617	0.99596	0.97666 	0.98080 	0.98110 	0.98802 	0.98236 	0.98835 	0.96745 	0.97340 	0.98647 	0.96860 	0.98317 	0.98805 	-0.16139 	-0.12855 	-0.16812 	0.18306 	0.00000 	0.21081 	-0.12648 	-0.16045 	0.17751 	-0.14946 	0.16454 	0.15142 	-0.05336 	-0.04251 	-0.05559 	0.07123 	0.00000 	0.06982 	-0.04182 	-0.05305 	-0.00335 	-0.04942 	0.05441 	0.13768 	0.00710	0.03403
Replication7	 -1.49157	0.99612	0.97742 	0.98090 	0.98340 	0.98846 	0.98442 	0.98955 	0.96777 	0.97463 	0.98774 	0.96980 	0.98460 	0.98920 	-0.15781 	-0.16942 	-0.12425 	0.17824 	0.02448 	0.20016 	-0.14437 	-0.15391 	0.16919 	-0.14493 	0.17425 	0.14360 	-0.05217 	-0.05600 	-0.04107 	0.07089 	0.00809 	0.06483 	-0.04772 	-0.05087 	-0.00443 	-0.04791 	0.05760 	0.13041 	0.00477	0.03165
Replication8	 -1.48715	0.99602	0.97805 	0.98131 	0.98262 	0.98864 	0.98335 	0.98907 	0.96647 	0.97382 	0.98683 	0.96878 	0.98173 	0.98849 	-0.14382 	-0.14561 	-0.13564 	0.17866 	0.00000 	0.20508 	-0.14219 	-0.13747 	0.17487 	-0.13772 	0.13008 	0.14844 	-0.04755 	-0.04814 	-0.04484 	0.06846 	0.00000 	0.06615 	-0.04701 	-0.04545 	-0.00336 	-0.04553 	0.04301 	0.13490 	0.00532	0.03062
Replication9	 -1.45401	0.99690	0.97969 	0.98389 	0.98695 	0.99043 	0.98614 	0.99256 	0.97845 	0.98427 	0.99317 	0.98120 	0.99651 	0.99407 	-0.16545 	-0.15417 	-0.11921 	0.15603 	0.00000 	0.16704 	-0.14958 	-0.12586 	0.13162 	-0.11207 	0.25302 	0.11015 	-0.05460 	-0.05088 	-0.03934 	0.07029 	0.00000 	0.05895 	-0.04937 	-0.04154 	-0.00705 	-0.03699 	0.08351 	0.09962 	0.00847	0.03259
Replication10	 -1.43542	0.99651	0.97816 	0.98153 	0.98314 	0.98891 	0.98377 	0.99015 	0.97423 	0.98011 	0.99036 	0.97605 	0.99311 	0.99145 	-0.15952 	-0.15799 	-0.16761 	0.17035 	0.00000 	0.18963 	-0.14661 	-0.13599 	0.15093 	-0.14444 	0.26329 	0.12811 	-0.05269 	-0.05218 	-0.05536 	0.07360 	0.00000 	0.06767 	-0.04843 	-0.04492 	-0.00554 	-0.04771 	0.08697 	0.11623 	0.00986	0.03763
Replication11	 -1.47366	0.99583	0.97571 	0.97874 	0.98037 	0.98693 	0.98122 	0.98753 	0.96442 	0.97187 	0.98579 	0.96653 	0.98308 	0.98735 	-0.15238 	-0.16931 	-0.15512 	0.19120 	0.00000 	0.21841 	-0.15715 	-0.16116 	0.18301 	-0.16115 	0.20131 	0.15629 	-0.05040 	-0.05600 	-0.05130 	0.07569 	0.00000 	0.07280 	-0.05198 	-0.05330 	-0.00380 	-0.05330 	0.06658 	0.14210 	0.00603	0.03710
Replication12	 -1.46804	0.99648	0.97939 	0.98225 	0.98439 	0.98959 	0.98536 	0.99071 	0.97235 	0.97851 	0.99007 	0.97384 	0.99092 	0.99118 	-0.14792 	-0.16619 	-0.14066 	0.16670 	0.01517 	0.18638 	-0.14462 	-0.14319 	0.15248 	-0.15736 	0.24239 	0.12990 	-0.04886 	-0.05489 	-0.04646 	0.06934 	0.00501 	0.06365 	-0.04777 	-0.04730 	-0.00496 	-0.05198 	0.08006 	0.11794 	0.00693	0.03379
