
 Replication 	 FitnessValue 	 Frequency	Bus1	Bus2	Bus3	Bus4	Bus5	Bus6	Bus7	Bus8	Bus9	Bus10	Bus11	Bus12
Replication0	 0.99144	1.00638	0.91345 	0.91698 	0.91378 	0.91927 	0.91901 	0.91793 	0.91758 	0.92268 	0.91422 	0.92379 	0.92263 	0.92027 
Replication1	 1.00421	1.00645	0.91392 	0.91924 	0.91600 	0.92063 	0.91976 	0.91983 	0.91448 	0.91868 	0.91043 	0.92023 	0.91923 	0.91702 
Replication2	 0.87903	1.00574	0.92119 	0.92580 	0.92282 	0.92735 	0.92750 	0.92658 	0.92764 	0.93219 	0.92554 	0.93318 	0.93235 	0.93033 
Replication3	 0.76036	1.00505	0.93406 	0.93955 	0.93526 	0.93999 	0.93901 	0.93878 	0.93537 	0.93900 	0.93251 	0.94004 	0.93921 	0.93742 
Replication4	 1.01750	1.00653	0.90998 	0.91477 	0.91246 	0.91673 	0.91691 	0.91631 	0.91573 	0.91992 	0.91243 	0.92143 	0.92059 	0.91848 
Replication5	 0.95791	1.00620	0.91620 	0.92026 	0.91650 	0.92218 	0.92179 	0.92070 	0.92041 	0.92443 	0.91769 	0.92586 	0.92514 	0.92317 
Replication6	 0.91317	1.00593	0.92074 	0.92526 	0.92158 	0.92674 	0.92616 	0.92550 	0.92361 	0.92731 	0.91962 	0.92869 	0.92772 	0.92574 
Replication7	 0.86236	1.00565	0.92664 	0.93099 	0.92839 	0.93225 	0.93140 	0.93160 	0.92617 	0.92977 	0.92223 	0.93111 	0.93016 	0.92821 
Replication8	 0.93270	1.00605	0.91647 	0.92042 	0.91748 	0.92250 	0.92286 	0.92150 	0.92418 	0.92796 	0.92141 	0.92932 	0.92860 	0.92672 
Replication9	 1.00558	1.00647	0.91162 	0.91601 	0.91348 	0.91804 	0.91805 	0.91737 	0.91660 	0.92069 	0.91292 	0.92219 	0.92128 	0.91916 
Replication10	 1.00319	1.00646	0.91194 	0.91641 	0.91404 	0.91838 	0.91835 	0.91784 	0.91639 	0.92057 	0.91320 	0.92207 	0.92125 	0.91916 
Replication11	 1.00260	1.00645	0.91079 	0.91599 	0.91416 	0.91775 	0.91806 	0.91777 	0.91666 	0.92092 	0.91429 	0.92242 	0.92176 	0.91972 
