
Replication	FitnessValue	Frequency	Bus1	Bus2	Bus3	Bus4	Bus5	Bus6	Bus7	Bus8	Bus9	Bus10	Bus11	Bus12	Bus13	Bus14	Bus15	Bus16	Bus17	Bus18	Bus19	Bus20	Bus21	Bus22	Bus23	Bus24	Bus25	Bus26	Bus27	Bus28	Bus29	Bus30	Bus1_P	Bus2_P	Bus3_P	Bus4_P	Bus5_P	Bus6_P	Bus7_P	Bus8_P	Bus9_P	Bus10_P	Bus11_P	Bus12_P	Bus13_P	Bus14_P	Bus15_P	Bus16_P	Bus17_P	Bus18_P	Bus19_P	Bus20_P	Bus21_P	Bus22_P	Bus23_P	Bus24_P	Bus25_P	Bus26_P	Bus27_P	Bus28_P	Bus29_P	Bus30_P	Bus1_Q	Bus2_Q	Bus3_Q	Bus4_Q	Bus5_Q	Bus6_Q	Bus7_Q	Bus8_Q	Bus9_Q	Bus10_Q	Bus11_Q	Bus12_Q	Bus13_Q	Bus14_Q	Bus15_Q	Bus16_Q	Bus17_Q	Bus18_Q	Bus19_Q	Bus20_Q	Bus21_Q	Bus22_Q	Bus23_Q	Bus24_Q	Bus25_Q	Bus26_Q	Bus27_Q	Bus28_Q	Bus29_Q	Bus30_Q	PLoss	QLoss
Replication0	 0.22940	0.81120	1.06745 	1.06763 	1.06779 	1.07106 	1.06135 	1.07512 	1.06538 	1.07514 	1.06313 	1.09617 	1.01969 	1.13465 	1.23718 	1.12713 	1.14878 	1.10438 	1.09404 	1.09638 	1.08063 	1.07995 	1.10481 	1.10901 	1.25204 	1.17420 	1.21561 	1.18170 	1.27940 	1.08765 	1.27213 	1.25660 	0.17752 	0.35368 	-0.13156 	-0.12712 	-0.10940 	0.00000 	-0.12208 	-0.10134 	-0.11359 	0.19267 	-0.15158 	-0.12766 	0.92192 	-0.13876 	-0.10703 	-0.11429 	-0.10219 	-0.13127 	-0.13878 	-0.11439 	-0.10996 	-0.21270 	0.87429 	-0.12520 	-0.13097 	-0.10032 	0.58542 	-0.09887 	0.02360 	-0.09843 	-0.21815 	-0.17843 	-0.06324 	-0.06110 	-0.05258 	0.00000 	-0.05868 	-0.04871 	-0.05460 	0.09261 	-0.07286 	-0.06136 	-0.00711 	-0.06670 	-0.05145 	-0.05494 	-0.04912 	-0.06310 	-0.06671 	-0.05498 	-0.05285 	0.10603 	0.69753 	-0.06018 	-0.06295 	-0.04822 	0.76229 	-0.04752 	0.01134 	-0.04731 	0.28780	0.32879
Replication1	 0.21933	0.80777	1.06897 	1.06895 	1.06989 	1.07300 	1.06174 	1.07608 	1.06646 	1.07556 	1.06587 	1.10076 	1.02648 	1.14750 	1.25652 	1.14344 	1.16087 	1.11383 	1.09951 	1.11147 	1.09605 	1.09348 	1.10824 	1.11252 	1.26349 	1.17730 	1.20715 	1.16536 	1.26933 	1.08705 	1.26296 	1.24461 	0.18058 	0.36053 	-0.11984 	-0.12061 	-0.12461 	0.00000 	-0.11226 	-0.11580 	-0.13504 	0.17337 	-0.13825 	-0.12306 	0.96932 	-0.10809 	-0.14476 	-0.10850 	-0.11523 	-0.12004 	-0.10117 	-0.09517 	-0.13679 	-0.21749 	0.91309 	-0.12535 	-0.13950 	-0.12170 	0.55861 	-0.12570 	0.03497 	-0.11004 	-0.22229 	-0.18126 	-0.05801 	-0.05839 	-0.06033 	0.00000 	-0.05435 	-0.05606 	-0.06537 	0.08393 	-0.06693 	-0.05957 	0.02338 	-0.05233 	-0.07008 	-0.05252 	-0.05578 	-0.05811 	-0.04898 	-0.04607 	-0.06622 	0.10705 	0.73310 	-0.06068 	-0.06753 	-0.05892 	0.73870 	-0.06085 	0.01693 	-0.05327 	0.29460	0.33516
Replication2	 0.22109	0.80486	1.07728 	1.07749 	1.07755 	1.08062 	1.07022 	1.08402 	1.07494 	1.08344 	1.07429 	1.10714 	1.03527 	1.15326 	1.26513 	1.14598 	1.16704 	1.11880 	1.10491 	1.11391 	1.09737 	1.09479 	1.11480 	1.11885 	1.27109 	1.18198 	1.20746 	1.16917 	1.26468 	1.09403 	1.24965 	1.23346 	0.18069 	0.37761 	-0.12456 	-0.13778 	-0.12575 	0.02666 	-0.10364 	-0.11200 	-0.12129 	0.20374 	-0.13804 	-0.12865 	0.99381 	-0.13738 	-0.11511 	-0.11714 	-0.13047 	-0.12979 	-0.11184 	-0.12757 	-0.12022 	-0.22336 	0.93914 	-0.13414 	-0.13551 	-0.11184 	0.54562 	-0.13419 	0.00000 	-0.11694 	-0.22828 	-0.17239 	-0.06067 	-0.06711 	-0.06125 	0.01298 	-0.05048 	-0.05455 	-0.05908 	0.09923 	-0.06723 	-0.06266 	0.03355 	-0.06691 	-0.05606 	-0.05705 	-0.06354 	-0.06321 	-0.05447 	-0.06213 	-0.05855 	0.10609 	0.75643 	-0.06533 	-0.06600 	-0.05447 	0.72843 	-0.06535 	0.00000 	-0.05696 	0.29308	0.33497
Replication3	 0.21195	0.81042	1.07138 	1.07129 	1.07250 	1.07516 	1.06413 	1.07738 	1.06813 	1.07664 	1.06928 	1.10211 	1.02992 	1.14831 	1.25765 	1.14317 	1.16141 	1.11253 	1.09915 	1.11196 	1.09468 	1.09204 	1.10882 	1.11284 	1.26195 	1.17360 	1.19490 	1.15082 	1.24932 	1.08648 	1.23469 	1.21892 	0.17695 	0.36035 	-0.10028 	-0.10280 	-0.11647 	0.00000 	-0.11410 	-0.11240 	-0.11356 	0.22935 	-0.13873 	-0.11011 	0.96507 	-0.11598 	-0.13165 	-0.12924 	-0.13968 	-0.10169 	-0.11820 	-0.11403 	-0.13534 	-0.21543 	0.90686 	-0.12887 	-0.11542 	-0.12686 	0.50982 	-0.14400 	0.00000 	-0.11276 	-0.22036 	-0.17398 	-0.04828 	-0.04950 	-0.05607 	0.00000 	-0.05494 	-0.05411 	-0.05468 	0.11042 	-0.06679 	-0.05302 	0.03217 	-0.05584 	-0.06339 	-0.06222 	-0.06725 	-0.04896 	-0.05691 	-0.05490 	-0.06516 	0.10463 	0.72935 	-0.06205 	-0.05557 	-0.06108 	0.68742 	-0.06933 	0.00000 	-0.05429 	0.27755	0.31942
Replication4	 0.22200	0.80447	1.07942 	1.07964 	1.07966 	1.08260 	1.07241 	1.08575 	1.07627 	1.08513 	1.07307 	1.10247 	1.03600 	1.15114 	1.26202 	1.14248 	1.16470 	1.11559 	1.10143 	1.11270 	1.09408 	1.09085 	1.11128 	1.11562 	1.27010 	1.18353 	1.21265 	1.16478 	1.27200 	1.09625 	1.25758 	1.24204 	0.18034 	0.38142 	-0.11991 	-0.11997 	-0.11622 	0.02809 	-0.12009 	-0.11780 	-0.11481 	0.10910 	-0.13124 	-0.11785 	0.98850 	-0.14817 	-0.12826 	-0.12187 	-0.11030 	-0.10223 	-0.11941 	-0.13481 	-0.11577 	-0.22195 	0.93611 	-0.10565 	-0.10606 	-0.13917 	0.56375 	-0.12825 	0.00000 	-0.11299 	-0.22944 	-0.16967 	-0.05845 	-0.05848 	-0.05665 	0.01369 	-0.05854 	-0.05742 	-0.05596 	0.05318 	-0.06397 	-0.05745 	0.02631 	-0.07222 	-0.06252 	-0.05940 	-0.05376 	-0.04983 	-0.05821 	-0.06571 	-0.05643 	0.10816 	0.75304 	-0.05150 	-0.05170 	-0.06784 	0.74693 	-0.06252 	0.00000 	-0.05508 	0.29791	0.34171
Replication5	 0.20715	0.81377	1.06858 	1.06856 	1.06945 	1.07241 	1.06150 	1.07531 	1.06650 	1.07478 	1.07136 	1.10305 	1.03952 	1.14483 	1.25238 	1.13859 	1.15789 	1.11059 	1.09992 	1.10917 	1.09427 	1.09218 	1.10943 	1.11314 	1.25715 	1.16986 	1.18675 	1.14768 	1.23645 	1.08437 	1.21934 	1.20091 	0.17443 	0.35148 	-0.11436 	-0.11851 	-0.12615 	0.00000 	-0.09558 	-0.10159 	-0.11845 	0.24427 	-0.11336 	-0.10789 	0.94621 	-0.12457 	-0.12455 	-0.13898 	-0.12423 	-0.12158 	-0.10535 	-0.10893 	-0.12245 	-0.21276 	0.88970 	-0.13212 	-0.11744 	-0.11228 	0.47920 	-0.12370 	0.00000 	-0.12987 	-0.21586 	-0.17339 	-0.05468 	-0.05666 	-0.06032 	0.00000 	-0.04570 	-0.04857 	-0.05664 	0.11679 	-0.05420 	-0.05158 	0.02981 	-0.05956 	-0.05955 	-0.06645 	-0.05940 	-0.05813 	-0.05037 	-0.05208 	-0.05855 	0.10164 	0.71534 	-0.06317 	-0.05615 	-0.05368 	0.65366 	-0.05914 	0.00000 	-0.06209 	0.25985	0.30088
Replication6	 0.21859	0.80717	1.07966 	1.07997 	1.07962 	1.08286 	1.07342 	1.08542 	1.07714 	1.08465 	1.07538 	1.10363 	1.04261 	1.15566 	1.26859 	1.14977 	1.16601 	1.12026 	1.10349 	1.11054 	1.09178 	1.08896 	1.11121 	1.11518 	1.26734 	1.17684 	1.19360 	1.14807 	1.25044 	1.09483 	1.23564 	1.21970 	0.17743 	0.37813 	-0.13455 	-0.09832 	-0.10917 	0.00000 	-0.10086 	-0.11686 	-0.11329 	0.14314 	-0.11684 	-0.10781 	0.99508 	-0.11297 	-0.13450 	-0.10291 	-0.11302 	-0.11999 	-0.12868 	-0.14593 	-0.11543 	-0.21943 	0.92588 	-0.11711 	-0.14255 	-0.13056 	0.51108 	-0.11985 	0.00000 	-0.11392 	-0.22670 	-0.16536 	-0.06522 	-0.04766 	-0.05292 	0.00000 	-0.04889 	-0.05664 	-0.05492 	0.06938 	-0.05663 	-0.05226 	0.04619 	-0.05476 	-0.06519 	-0.04988 	-0.05478 	-0.05816 	-0.06237 	-0.07074 	-0.05595 	0.10612 	0.74533 	-0.05677 	-0.06910 	-0.06329 	0.69173 	-0.05809 	0.00000 	-0.05522 	0.28247	0.32768
Replication7	 0.21355	0.81430	1.05965 	1.05945 	1.06110 	1.06430 	1.05295 	1.06674 	1.05672 	1.06567 	1.07064 	1.10495 	1.03746 	1.14906 	1.25865 	1.14281 	1.16314 	1.11772 	1.10392 	1.11376 	1.09709 	1.09435 	1.11192 	1.11559 	1.26355 	1.17308 	1.18196 	1.13802 	1.23083 	1.07512 	1.21611 	1.20025 	0.17703 	0.33688 	-0.11878 	-0.11896 	-0.10781 	0.00000 	-0.12857 	-0.12186 	-0.10317 	0.22455 	-0.11791 	-0.11298 	0.95754 	-0.12874 	-0.11506 	-0.09835 	-0.10908 	-0.10801 	-0.11068 	-0.11986 	-0.10914 	-0.21363 	0.91024 	-0.11302 	-0.12684 	-0.12518 	0.46539 	-0.14768 	0.00000 	-0.11180 	-0.21215 	-0.18651 	-0.05673 	-0.05682 	-0.05149 	0.00000 	-0.06141 	-0.05820 	-0.04927 	0.10725 	-0.05631 	-0.05396 	0.04373 	-0.06149 	-0.05496 	-0.04697 	-0.05210 	-0.05158 	-0.05286 	-0.05725 	-0.05213 	0.09988 	0.73636 	-0.05398 	-0.06058 	-0.05979 	0.63936 	-0.07053 	0.00000 	-0.05339 	0.27118	0.31198
Replication8	 0.22157	0.80719	1.07393 	1.07399 	1.07464 	1.07777 	1.06653 	1.08041 	1.07112 	1.07981 	1.07361 	1.10437 	1.03898 	1.15467 	1.26714 	1.14955 	1.16863 	1.11764 	1.10267 	1.11395 	1.09685 	1.09388 	1.11244 	1.11650 	1.27157 	1.18021 	1.19879 	1.16113 	1.25099 	1.08963 	1.23386 	1.21541 	0.17943 	0.36900 	-0.12316 	-0.11179 	-0.12550 	0.00600 	-0.10854 	-0.10660 	-0.11200 	0.15687 	-0.12306 	-0.11739 	0.99212 	-0.11958 	-0.10474 	-0.12632 	-0.12844 	-0.13283 	-0.11021 	-0.12304 	-0.11246 	-0.22012 	0.93959 	-0.11556 	-0.13140 	-0.10932 	0.51248 	-0.13913 	0.00000 	-0.13135 	-0.22465 	-0.17442 	-0.05970 	-0.05418 	-0.06083 	0.00291 	-0.05261 	-0.05167 	-0.05429 	0.07604 	-0.05965 	-0.05690 	0.04333 	-0.05796 	-0.05077 	-0.06123 	-0.06226 	-0.06438 	-0.05342 	-0.05964 	-0.05451 	0.10539 	0.75907 	-0.05601 	-0.06369 	-0.05299 	0.69311 	-0.06743 	0.00000 	-0.06366 	0.28722	0.33136
Replication9	 0.21126	0.81148	1.06951 	1.06936 	1.07079 	1.07361 	1.06143 	1.07616 	1.06648 	1.07519 	1.06668 	1.09938 	1.03394 	1.14724 	1.25603 	1.14093 	1.16051 	1.11385 	1.09810 	1.10783 	1.09001 	1.08729 	1.10674 	1.11085 	1.26126 	1.17346 	1.19469 	1.15142 	1.24777 	1.08589 	1.23225 	1.21552 	0.17650 	0.35593 	-0.10480 	-0.10851 	-0.13391 	0.02791 	-0.10991 	-0.12868 	-0.14175 	0.19036 	-0.11585 	-0.11869 	0.95921 	-0.12632 	-0.10715 	-0.09675 	-0.12602 	-0.11378 	-0.12144 	-0.12793 	-0.12831 	-0.21346 	0.90411 	-0.11449 	-0.10989 	-0.12462 	0.50642 	-0.11945 	0.00000 	-0.11925 	-0.21859 	-0.17541 	-0.05035 	-0.05213 	-0.06433 	0.01341 	-0.05280 	-0.06182 	-0.06810 	0.09145 	-0.05566 	-0.05702 	0.03151 	-0.06068 	-0.05148 	-0.04648 	-0.06054 	-0.05466 	-0.05834 	-0.06146 	-0.06164 	0.10481 	0.72760 	-0.05500 	-0.05279 	-0.05987 	0.68303 	-0.05738 	0.00000 	-0.05729 	0.27668	0.32031
