
Replication	FitnessValue	Frequency	Bus1	Bus2	Bus3	Bus4	Bus5	Bus6	Bus7	Bus8	Bus9	Bus10	Bus11	Bus12	Bus13	Bus14	Bus15	Bus16	Bus17	Bus18	Bus19	Bus20	Bus21	Bus22	Bus23	Bus24	Bus25	Bus26	Bus27	Bus28	Bus29	Bus30	Bus31	Bus32	Bus33	Bus1_P	Bus2_P	Bus3_P	Bus4_P	Bus5_P	Bus6_P	Bus7_P	Bus8_P	Bus9_P	Bus10_P	Bus11_P	Bus12_P	Bus13_P	Bus14_P	Bus15_P	Bus16_P	Bus17_P	Bus18_P	Bus19_P	Bus20_P	Bus21_P	Bus22_P	Bus23_P	Bus24_P	Bus25_P	Bus26_P	Bus27_P	Bus28_P	Bus29_P	Bus30_P	Bus31_P	Bus32_P	Bus33_P	Bus1_Q	Bus2_Q	Bus3_Q	Bus4_Q	Bus5_Q	Bus6_Q	Bus7_Q	Bus8_Q	Bus9_Q	Bus10_Q	Bus11_Q	Bus12_Q	Bus13_Q	Bus14_Q	Bus15_Q	Bus16_Q	Bus17_Q	Bus18_Q	Bus19_Q	Bus20_Q	Bus21_Q	Bus22_Q	Bus23_Q	Bus24_Q	Bus25_Q	Bus26_Q	Bus27_Q	Bus28_Q	Bus29_Q	Bus30_Q	Bus31_Q	Bus32_Q	Bus33_Q	PLoss	QLoss
Replication0	 0.19893	1.00060	1.17164 	1.17181 	1.18183 	1.18111 	1.18093 	1.18104 	1.16395 	1.13685 	1.09467 	1.08473 	1.08300 	1.08029 	1.04721 	1.03672 	1.02823 	0.99892 	0.93235 	0.90567 	1.16853 	1.14185 	1.13291 	1.11671 	1.19374 	1.22052 	1.24893 	1.18058 	1.18050 	1.18327 	1.18681 	1.13071 	0.99279 	0.94573 	0.88600 	-0.00168 	-0.00164 	-0.00151 	-0.00126 	-0.00147 	0.03963 	-0.00139 	-0.00153 	-0.00144 	0.00000 	-0.00146 	-0.00144 	-0.00579 	-0.00160 	-0.00781 	-0.00161 	-0.00166 	-0.00158 	-0.00145 	0.00150 	-0.00169 	-0.00147 	-0.00154 	-0.00159 	0.09947 	-0.00172 	-0.00165 	-0.00141 	0.01855 	-0.00137 	-0.00145 	-0.00143 	-0.07909 	-0.00055 	-0.00054 	-0.00050 	-0.00041 	-0.00048 	0.01298 	-0.00046 	-0.00050 	-0.00047 	0.00000 	-0.00048 	-0.00047 	-0.00167 	-0.00052 	0.00535 	-0.00053 	-0.00054 	-0.00052 	-0.00047 	0.00049 	-0.00055 	-0.00048 	-0.00050 	-0.00052 	0.09927 	-0.00056 	-0.00054 	-0.00046 	0.00608 	-0.00045 	-0.00047 	-0.00047 	-0.07827 	0.03507	0.03395
Replication1	 0.32268	0.99914	0.85305 	0.85320 	0.84505 	0.85268 	0.86142 	0.88505 	0.89953 	0.92108 	0.96704 	0.97165 	0.97250 	0.97479 	1.01958 	1.04134 	1.06213 	1.12041 	1.26223 	1.32412 	0.85731 	0.89696 	0.90848 	0.92640 	0.82728 	0.79185 	0.75825 	0.88366 	0.88226 	0.87744 	0.87532 	0.96451 	1.19068 	1.26964 	1.37268 	-0.00145 	-0.00150 	-0.00141 	-0.00179 	-0.00146 	0.00000 	-0.00164 	-0.00165 	-0.00138 	0.00000 	-0.00165 	-0.00164 	0.00201 	-0.00150 	0.00596 	-0.00159 	-0.00144 	-0.00132 	-0.00147 	0.00106 	-0.00160 	-0.00164 	-0.00171 	-0.00144 	-0.10484 	-0.00162 	-0.00140 	-0.00146 	0.00000 	-0.00181 	-0.00150 	-0.00178 	0.23073 	-0.00048 	-0.00049 	-0.00046 	-0.00059 	-0.00048 	0.00000 	-0.00054 	-0.00054 	-0.00045 	0.00000 	-0.00054 	-0.00054 	-0.00393 	-0.00049 	-0.01300 	-0.00052 	-0.00047 	-0.00043 	-0.00048 	0.00035 	-0.00053 	-0.00054 	-0.00056 	-0.00047 	-0.10456 	-0.00053 	-0.00046 	-0.00048 	0.00000 	-0.00059 	-0.00049 	-0.00059 	0.22954 	0.09733	0.09605
Replication2	 0.15004	1.00035	1.11632 	1.11651 	1.12405 	1.12004 	1.11652 	1.10918 	1.09993 	1.08777 	1.06683 	1.06953 	1.06707 	1.06294 	1.03561 	1.02632 	1.01890 	0.99586 	0.94382 	0.92294 	1.11421 	1.09658 	1.09030 	1.08129 	1.13771 	1.16808 	1.20004 	1.11187 	1.11619 	1.13661 	1.15364 	1.10763 	0.99481 	0.95648 	0.90782 	-0.00181 	-0.00162 	-0.00145 	-0.00148 	-0.00166 	0.00000 	-0.00149 	-0.00138 	-0.00145 	0.01330 	-0.00133 	-0.00153 	-0.00376 	-0.00155 	-0.00442 	-0.00130 	-0.00137 	-0.00162 	-0.00156 	0.00150 	-0.00153 	-0.00137 	-0.00165 	-0.00155 	0.07909 	-0.00166 	-0.00136 	-0.00152 	0.03575 	-0.00132 	-0.00156 	-0.00124 	-0.06507 	-0.00059 	-0.00053 	-0.00048 	-0.00048 	-0.00054 	0.00000 	-0.00049 	-0.00045 	-0.00048 	0.00436 	-0.00044 	-0.00050 	-0.00137 	-0.00051 	0.00322 	-0.00043 	-0.00045 	-0.00053 	-0.00051 	0.00049 	-0.00050 	-0.00045 	-0.00054 	-0.00051 	0.07898 	-0.00055 	-0.00045 	-0.00050 	0.01172 	-0.00043 	-0.00051 	-0.00041 	-0.06460 	0.02272	0.02177
Replication3	 0.28902	0.99949	0.85281 	0.85298 	0.84506 	0.85286 	0.86152 	0.88522 	0.90031 	0.92099 	0.96574 	0.97274 	0.97319 	0.97467 	1.01561 	1.03535 	1.05417 	1.10771 	1.23718 	1.29424 	0.85713 	0.89721 	0.90867 	0.92667 	0.82727 	0.79138 	0.75754 	0.88395 	0.88262 	0.87751 	0.87492 	0.95768 	1.16870 	1.24253 	1.33902 	-0.00166 	-0.00163 	-0.00148 	-0.00120 	-0.00166 	0.00000 	-0.00124 	-0.00143 	-0.00153 	0.00347 	-0.00153 	-0.00151 	0.00121 	-0.00139 	0.00268 	-0.00167 	-0.00145 	-0.00147 	-0.00154 	0.00150 	-0.00164 	-0.00154 	-0.00143 	-0.00161 	-0.10508 	-0.00138 	-0.00132 	-0.00121 	0.01138 	-0.00146 	-0.00157 	-0.00164 	0.20913 	-0.00055 	-0.00053 	-0.00049 	-0.00039 	-0.00054 	0.00000 	-0.00041 	-0.00047 	-0.00050 	0.00114 	-0.00050 	-0.00050 	-0.00234 	-0.00046 	-0.00865 	-0.00055 	-0.00048 	-0.00048 	-0.00051 	0.00049 	-0.00054 	-0.00051 	-0.00047 	-0.00053 	-0.10491 	-0.00045 	-0.00043 	-0.00040 	0.00374 	-0.00048 	-0.00052 	-0.00054 	0.20842 	0.08684	0.08560
Replication4	 -1.55875	0.99972	1.01545 	1.01561 	1.01882 	1.01823 	1.01822 	1.01889 	1.01512 	1.01167 	1.00765 	1.00730 	1.00656 	1.00583 	1.00457 	1.00308 	1.00265 	0.99957 	0.99652 	0.99625 	1.01492 	1.01190 	1.01006 	1.00746 	1.02379 	1.03574 	1.04971 	1.01987 	1.02179 	1.03264 	1.04247 	1.03302 	1.01152 	1.00477 	0.99692 	-0.00154 	-0.00121 	-0.00177 	-0.00134 	-0.00094 	0.00308 	-0.00154 	-0.00144 	-0.00140 	0.00326 	-0.00165 	-0.00165 	0.00152 	-0.00111 	0.00360 	-0.00153 	-0.00148 	-0.00125 	-0.00163 	0.00150 	-0.00142 	-0.00170 	-0.00139 	-0.00184 	0.01647 	-0.00164 	-0.00173 	-0.00156 	0.01666 	-0.00124 	-0.00154 	-0.00164 	-0.00811 	-0.00050 	-0.00040 	-0.00058 	-0.00044 	-0.00031 	0.00101 	-0.00051 	-0.00047 	-0.00046 	0.00107 	-0.00054 	-0.00054 	-0.00043 	-0.00036 	-0.00261 	-0.00050 	-0.00049 	-0.00041 	-0.00053 	0.00049 	-0.00047 	-0.00056 	-0.00046 	-0.00061 	0.01656 	-0.00054 	-0.00057 	-0.00051 	0.00547 	-0.00041 	-0.00051 	-0.00054 	-0.00849 	0.00111	0.00098
Replication5	 0.32433	0.99919	0.85262 	0.85281 	0.84445 	0.85228 	0.86109 	0.88507 	0.90001 	0.92176 	0.96767 	0.97261 	0.97350 	0.97584 	1.02045 	1.04228 	1.06310 	1.12164 	1.26360 	1.32565 	0.85707 	0.89785 	0.90947 	0.92762 	0.82627 	0.78986 	0.75518 	0.88361 	0.88204 	0.87661 	0.87384 	0.96390 	1.19147 	1.27085 	1.37433 	-0.00180 	-0.00138 	-0.00155 	-0.00148 	-0.00160 	0.00000 	-0.00135 	-0.00134 	-0.00173 	0.00000 	-0.00154 	-0.00149 	0.00173 	-0.00146 	0.00530 	-0.00148 	-0.00146 	-0.00136 	-0.00139 	0.00150 	-0.00153 	-0.00139 	-0.00163 	-0.00133 	-0.10611 	-0.00144 	-0.00153 	-0.00128 	0.00000 	-0.00117 	-0.00137 	-0.00152 	0.23174 	-0.00059 	-0.00045 	-0.00051 	-0.00049 	-0.00053 	0.00000 	-0.00044 	-0.00044 	-0.00057 	0.00000 	-0.00051 	-0.00049 	-0.00383 	-0.00048 	-0.01247 	-0.00048 	-0.00048 	-0.00045 	-0.00046 	0.00049 	-0.00050 	-0.00046 	-0.00053 	-0.00044 	-0.10585 	-0.00047 	-0.00050 	-0.00042 	0.00000 	-0.00038 	-0.00045 	-0.00050 	0.23062 	0.09874	0.09734
Replication6	 0.32495	0.99917	0.85272 	0.85288 	0.84468 	0.85244 	0.86120 	0.88485 	0.89966 	0.92160 	0.96783 	0.97283 	0.97374 	0.97606 	1.02060 	1.04240 	1.06322 	1.12172 	1.26392 	1.32606 	0.85708 	0.89811 	0.90980 	0.92791 	0.82677 	0.79055 	0.75607 	0.88333 	0.88178 	0.87644 	0.87420 	0.96414 	1.19203 	1.27149 	1.37495 	-0.00156 	-0.00167 	-0.00160 	-0.00152 	-0.00141 	0.00000 	-0.00164 	-0.00159 	-0.00153 	0.00000 	-0.00144 	-0.00153 	0.00180 	-0.00150 	0.00557 	-0.00157 	-0.00150 	-0.00155 	-0.00176 	0.00150 	-0.00120 	-0.00138 	-0.00129 	-0.00135 	-0.10574 	-0.00171 	-0.00150 	-0.00173 	0.00000 	-0.00168 	-0.00129 	-0.00134 	0.23215 	-0.00051 	-0.00055 	-0.00053 	-0.00050 	-0.00046 	0.00000 	-0.00054 	-0.00052 	-0.00050 	0.00000 	-0.00047 	-0.00050 	-0.00393 	-0.00049 	-0.01276 	-0.00051 	-0.00049 	-0.00051 	-0.00058 	0.00049 	-0.00040 	-0.00045 	-0.00042 	-0.00044 	-0.10547 	-0.00056 	-0.00049 	-0.00057 	0.00000 	-0.00055 	-0.00042 	-0.00044 	0.23100 	0.09869	0.09732
Replication7	 0.35645	0.99993	0.85897 	0.85913 	0.84640 	0.85632 	0.86730 	0.89664 	0.91908 	0.95070 	1.01502 	1.04281 	1.03991 	1.03497 	1.06325 	1.08365 	1.10272 	1.16011 	1.29809 	1.35883 	0.86513 	0.92142 	0.93778 	0.96449 	0.82107 	0.76968 	0.72026 	0.89307 	0.88858 	0.86961 	0.85686 	0.95524 	1.20519 	1.29250 	1.40645 	-0.00152 	-0.00140 	-0.00160 	-0.00147 	-0.00143 	0.00000 	-0.00102 	-0.00162 	-0.00145 	0.03490 	-0.00141 	-0.00182 	-0.00509 	-0.00171 	-0.00547 	-0.00126 	-0.00160 	-0.00145 	-0.00134 	0.00150 	-0.00159 	-0.00181 	-0.00161 	-0.00149 	-0.12051 	-0.00150 	-0.00119 	-0.00153 	0.00000 	-0.00138 	-0.00160 	-0.00165 	0.25161 	-0.00050 	-0.00046 	-0.00052 	-0.00048 	-0.00047 	0.00000 	-0.00033 	-0.00053 	-0.00047 	0.01145 	-0.00046 	-0.00060 	-0.00559 	-0.00056 	-0.00705 	-0.00041 	-0.00052 	-0.00047 	-0.00044 	0.00049 	-0.00052 	-0.00059 	-0.00053 	-0.00049 	-0.12049 	-0.00049 	-0.00039 	-0.00050 	0.00000 	-0.00045 	-0.00053 	-0.00054 	0.25151 	0.12133	0.11865
Replication8	 0.21307	1.00141	1.21421 	1.21438 	1.22020 	1.21994 	1.22032 	1.22174 	1.21086 	1.19556 	1.17123 	1.19372 	1.18641 	1.17313 	1.10843 	1.09140 	1.07607 	1.03374 	0.93730 	0.89720 	1.21259 	1.19995 	1.19513 	1.18754 	1.22747 	1.24450 	1.26307 	1.21846 	1.21436 	1.20041 	1.19128 	1.13099 	0.98256 	0.93182 	0.86734 	-0.00153 	-0.00130 	-0.00147 	-0.00147 	-0.00146 	0.03801 	-0.00171 	-0.00162 	-0.00168 	0.05070 	-0.00153 	-0.00144 	-0.01475 	-0.00147 	-0.02006 	-0.00159 	-0.00142 	-0.00156 	-0.00171 	0.00150 	-0.00150 	-0.00142 	-0.00137 	-0.00146 	0.10548 	-0.00147 	-0.00182 	-0.00137 	0.00000 	-0.00154 	-0.00141 	-0.00151 	-0.09150 	-0.00050 	-0.00042 	-0.00048 	-0.00048 	-0.00048 	0.01243 	-0.00056 	-0.00053 	-0.00055 	0.01658 	-0.00050 	-0.00047 	-0.00499 	-0.00048 	0.01114 	-0.00052 	-0.00047 	-0.00051 	-0.00056 	0.00049 	-0.00049 	-0.00047 	-0.00045 	-0.00048 	0.10502 	-0.00048 	-0.00060 	-0.00045 	0.00000 	-0.00050 	-0.00046 	-0.00049 	-0.08955 	0.04443	0.04297
Replication9	 0.32572	0.99920	0.85264 	0.85281 	0.84452 	0.85240 	0.86130 	0.88539 	0.90042 	0.92228 	0.96859 	0.97340 	0.97427 	0.97654 	1.02124 	1.04321 	1.06408 	1.12278 	1.26491 	1.32700 	0.85709 	0.89821 	0.90993 	0.92820 	0.82627 	0.78946 	0.75472 	0.88391 	0.88238 	0.87660 	0.87368 	0.96389 	1.19219 	1.27188 	1.37572 	-0.00166 	-0.00173 	-0.00141 	-0.00156 	-0.00152 	0.00000 	-0.00129 	-0.00150 	-0.00133 	0.00000 	-0.00148 	-0.00166 	0.00165 	-0.00137 	0.00521 	-0.00136 	-0.00145 	-0.00137 	-0.00147 	0.00150 	-0.00148 	-0.00132 	-0.00140 	-0.00164 	-0.10630 	-0.00164 	-0.00118 	-0.00138 	0.00000 	-0.00143 	-0.00149 	-0.00147 	0.23262 	-0.00055 	-0.00057 	-0.00046 	-0.00051 	-0.00050 	0.00000 	-0.00042 	-0.00049 	-0.00044 	0.00000 	-0.00049 	-0.00055 	-0.00390 	-0.00045 	-0.01252 	-0.00045 	-0.00048 	-0.00045 	-0.00048 	0.00049 	-0.00049 	-0.00044 	-0.00046 	-0.00054 	-0.10604 	-0.00054 	-0.00039 	-0.00045 	0.00000 	-0.00047 	-0.00049 	-0.00048 	0.23151 	0.09931	0.09792
