
Replication	FitnessValue	Frequency	Bus1	Bus2	Bus3	Bus4	Bus5	Bus6	Bus1_P	Bus2_P	Bus3_P	Bus4_P	Bus5_P	Bus6_P	Bus1_Q	Bus2_Q	Bus3_Q	Bus4_Q	Bus5_Q	Bus6_Q	PLoss	QLoss
Replication0	 -1.54252	0.99861	0.95986 	0.96431 	0.96389 	0.97081 	0.96579 	0.97265 	-0.14312 	-0.11225 	-0.16750 	0.17329 	0.00000 	0.25170 	-0.04708 	-0.03692 	-0.05509 	0.06183 	0.00000 	0.08445 	0.00211	0.00719
Replication1	 0.00127	0.99834	0.94873 	0.95404 	0.95545 	0.96222 	0.95668 	0.96536 	-0.17637 	-0.16404 	-0.17019 	0.20990 	0.00307 	0.30082 	-0.05804 	-0.05398 	-0.05601 	0.07671 	0.00101 	0.10096 	0.00319	0.01064
Replication2	 -1.53340	0.99842	0.95237 	0.95712 	0.95847 	0.96490 	0.95955 	0.96779 	-0.16250 	-0.15744 	-0.16032 	0.19841 	0.00000 	0.28467 	-0.05347 	-0.05180 	-0.05275 	0.07216 	0.00000 	0.09523 	0.00281	0.00936
Replication3	 -1.53432	0.99841	0.95324 	0.95713 	0.95737 	0.96513 	0.95945 	0.96727 	-0.14780 	-0.15278 	-0.18240 	0.19809 	0.00000 	0.28761 	-0.04863 	-0.05027 	-0.06002 	0.07108 	0.00000 	0.09703 	0.00273	0.00920
Replication4	 -1.54561	0.99868	0.96254 	0.96613 	0.96731 	0.97264 	0.96825 	0.97498 	-0.13095 	-0.13551 	-0.13323 	0.16480 	0.00000 	0.23678 	-0.04307 	-0.04456 	-0.04381 	0.05929 	0.00000 	0.07845 	0.00189	0.00629
Replication5	 -1.53607	0.99847	0.95449 	0.95857 	0.96008 	0.96630 	0.96115 	0.96907 	-0.15087 	-0.16175 	-0.15335 	0.19237 	0.00000 	0.27620 	-0.04964 	-0.05322 	-0.05045 	0.06976 	0.00000 	0.09221 	0.00261	0.00866
Replication6	 -1.54063	0.99860	0.95840 	0.96285 	0.96542 	0.96974 	0.96538 	0.97303 	-0.15166 	-0.15558 	-0.11755 	0.17671 	0.00000 	0.25036 	-0.04988 	-0.05117 	-0.03867 	0.06479 	0.00000 	0.08240 	0.00227	0.00746
Replication7	 -1.53770	0.99851	0.95569 	0.96031 	0.96152 	0.96755 	0.96253 	0.97028 	-0.15528 	-0.14557 	-0.15166 	0.18688 	0.00000 	0.26811 	-0.05108 	-0.04789 	-0.04989 	0.06778 	0.00000 	0.08938 	0.00248	0.00829
Replication8	 -1.53445	0.99854	0.95440 	0.96022 	0.96353 	0.96728 	0.96364 	0.97137 	-0.18240 	-0.16541 	-0.11654 	0.18668 	0.01872 	0.26169 	-0.06000 	-0.05441 	-0.03834 	0.06959 	0.00616 	0.08600 	0.00274	0.00900
Replication9	 -1.54443	0.99871	0.96370 	0.96677 	0.96753 	0.97356 	0.97116 	0.97561 	-0.13529 	-0.14981 	-0.15550 	0.16084 	0.04962 	0.23211 	-0.04449 	-0.04926 	-0.05114 	0.05776 	0.01632 	0.07743 	0.00198	0.00662
