
Replication	FitnessValue	Frequency	Bus1	Bus2	Bus3	Bus4	Bus5	Bus6	Bus1_P	Bus2_P	Bus3_P	Bus4_P	Bus5_P	Bus6_P	Bus1_Q	Bus2_Q	Bus3_Q	Bus4_Q	Bus5_Q	Bus6_Q	PLoss	QLoss
Replication0	 -1.54232	0.99887	0.96969 	0.97109 	0.97144 	0.97803 	0.97940 	0.97948 	-0.12643 	-0.17506 	-0.17752 	0.14112 	0.13480 	0.20524 	-0.04156 	-0.05755 	-0.05836 	0.05065 	0.04432 	0.06948 	0.00215	0.00697
Replication1	 -1.53426	0.99907	0.97203 	0.97693 	0.97837 	0.98215 	0.98775 	0.98509 	-0.19256 	-0.15439 	-0.15346 	0.12067 	0.21467 	0.16783 	-0.06328 	-0.05073 	-0.05043 	0.04638 	0.07054 	0.05635 	0.00277	0.00883
Replication2	 -1.54849	0.99934	0.98447 	0.98599 	0.98731 	0.99058 	0.99600 	0.99232 	-0.12076 	-0.15013 	-0.12180 	0.08471 	0.19044 	0.11926 	-0.03966 	-0.04931 	-0.04000 	0.03180 	0.06255 	0.03986 	0.00171	0.00524
Replication3	 -1.53496	0.99891	0.96846 	0.97158 	0.97270 	0.97817 	0.98193 	0.98052 	-0.16668 	-0.18042 	-0.17389 	0.13919 	0.18622 	0.19828 	-0.05479 	-0.05931 	-0.05716 	0.05173 	0.06121 	0.06703 	0.00271	0.00871
Replication4	 -1.52802	0.99944	0.98693 	0.98842 	0.98753 	0.99308 	1.00293 	0.99390 	-0.14499 	-0.15175 	-0.19220 	0.07306 	0.31326 	0.10593 	-0.04761 	-0.04983 	-0.06311 	0.02844 	0.10286 	0.03897 	0.00331	0.00972
Replication5	 -1.55105	0.99933	0.98483 	0.98725 	0.98544 	0.99109 	0.99498 	0.99153 	-0.11975 	-0.08738 	-0.16768 	0.08371 	0.16900 	0.12361 	-0.03933 	-0.02870 	-0.05507 	0.02974 	0.05551 	0.04263 	0.00150	0.00477
Replication6	 -1.52962	0.99959	0.99047 	0.99279 	0.99301 	0.99651 	1.00741 	0.99802 	-0.15468 	-0.14302 	-0.15589 	0.05706 	0.32090 	0.07882 	-0.05078 	-0.04695 	-0.05117 	0.02386 	0.10534 	0.02901 	0.00319	0.00931
Replication7	 -1.53442	0.99917	0.97489 	0.97972 	0.98217 	0.98458 	0.99128 	0.98795 	-0.19285 	-0.16251 	-0.12856 	0.10935 	0.22844 	0.14890 	-0.06336 	-0.05339 	-0.04224 	0.04312 	0.07505 	0.04953 	0.00277	0.00871
Replication8	 -1.54921	0.99944	0.98718 	0.98932 	0.99047 	0.99316 	0.99927 	0.99495 	-0.12672 	-0.13163 	-0.11412 	0.07304 	0.19952 	0.10155 	-0.04161 	-0.04322 	-0.03747 	0.02795 	0.06552 	0.03389 	0.00165	0.00505
Replication9	 -1.53532	0.99952	0.98895 	0.99108 	0.99154 	0.99501 	1.00455 	0.99657 	-0.14623 	-0.14449 	-0.14796 	0.06411 	0.28811 	0.08919 	-0.04801 	-0.04744 	-0.04858 	0.02581 	0.09459 	0.03171 	0.00274	0.00809
Replication10	 -1.54315	0.99942	0.99070 	0.98901 	0.98637 	0.99411 	1.00013 	0.99307 	-0.06923 	-0.13539 	-0.20391 	0.07104 	0.22837 	0.11125 	-0.02273 	-0.04446 	-0.06696 	0.02430 	0.07499 	0.04111 	0.00214	0.00626
Replication11	 -1.54545	0.99876	0.96364 	0.96890 	0.96988 	0.97452 	0.97172 	0.97722 	-0.15914 	-0.11462 	-0.13302 	0.15596 	0.03083 	0.22189 	-0.05233 	-0.03769 	-0.04374 	0.05685 	0.01014 	0.07316 	0.00190	0.00638
Replication12	 -1.54668	0.99931	0.98084 	0.98481 	0.98735 	0.98883 	0.99421 	0.99184 	-0.15952 	-0.13997 	-0.09512 	0.09129 	0.18174 	0.12341 	-0.05240 	-0.04597 	-0.03124 	0.03571 	0.05969 	0.04000 	0.00183	0.00579
Replication13	 -1.53331	0.99960	0.99117 	0.99346 	0.99383 	0.99701 	1.00743 	0.99854 	-0.14924 	-0.13820 	-0.14599 	0.05501 	0.30569 	0.07563 	-0.04899 	-0.04536 	-0.04792 	0.02293 	0.10035 	0.02749 	0.00290	0.00849
Replication14	 -1.53810	0.99853	0.95828 	0.95926 	0.96287 	0.96803 	0.96413 	0.97095 	-0.11355 	-0.22526 	-0.12389 	0.18466 	0.01659 	0.26394 	-0.03735 	-0.07410 	-0.04076 	0.06712 	0.00546 	0.08756 	0.00248	0.00792
Replication15	 -1.54854	0.99898	0.97643 	0.97469 	0.97499 	0.98189 	0.98265 	0.98235 	-0.06745 	-0.18922 	-0.16532 	0.12507 	0.11301 	0.18560 	-0.02217 	-0.06219 	-0.05433 	0.04355 	0.03714 	0.06328 	0.00170	0.00528
Replication16	 -1.52838	0.99963	0.99516 	0.99373 	0.99299 	0.99849 	1.00942 	0.99850 	-0.09656 	-0.17261 	-0.18113 	0.04951 	0.32983 	0.07426 	-0.03169 	-0.05666 	-0.05945 	0.01955 	0.10827 	0.02929 	0.00331	0.00930
Replication17	 -1.53805	0.99934	0.98312 	0.98574 	0.98630 	0.99027 	0.99787 	0.99205 	-0.15254 	-0.14796 	-0.15342 	0.08541 	0.25087 	0.12015 	-0.05010 	-0.04859 	-0.05039 	0.03293 	0.08239 	0.04139 	0.00251	0.00764
Replication18	 -1.53624	0.99898	0.97225 	0.97422 	0.97417 	0.98072 	0.98495 	0.98217 	-0.14672 	-0.17313 	-0.19267 	0.12862 	0.20005 	0.18648 	-0.04822 	-0.05690 	-0.06333 	0.04701 	0.06575 	0.06401 	0.00262	0.00832
Replication19	 -1.54840	0.99906	0.97620 	0.97749 	0.97831 	0.98337 	0.98567 	0.98489 	-0.11596 	-0.16013 	-0.14661 	0.11740 	0.13771 	0.16930 	-0.03811 	-0.05262 	-0.04818 	0.04237 	0.04525 	0.05671 	0.00170	0.00543
Replication20	 -1.53360	0.99890	0.96809 	0.97078 	0.97272 	0.97771 	0.98178 	0.98035 	-0.16457 	-0.20018 	-0.16407 	0.14094 	0.19110 	0.19960 	-0.05410 	-0.06580 	-0.05393 	0.05275 	0.06282 	0.06726 	0.00282	0.00899
Replication21	 -1.54532	0.99934	0.98377 	0.98691 	0.98633 	0.99082 	0.99661 	0.99212 	-0.14473 	-0.10932 	-0.15669 	0.08379 	0.20899 	0.11990 	-0.04753 	-0.03591 	-0.05146 	0.03125 	0.06864 	0.04106 	0.00194	0.00604
Replication22	 -1.54592	0.99911	0.97474 	0.97922 	0.98086 	0.98387 	0.98720 	0.98666 	-0.16574 	-0.13296 	-0.12213 	0.11379 	0.15070 	0.15822 	-0.05446 	-0.04369 	-0.04013 	0.04295 	0.04952 	0.05191 	0.00188	0.00610
Replication23	 -1.53823	0.99994	1.00459 	1.00473 	1.00422 	1.00702 	1.01848 	1.00734 	-0.09736 	-0.11197 	-0.12743 	0.01129 	0.31253 	0.01549 	-0.03194 	-0.03673 	-0.04180 	0.00659 	0.10252 	0.00843 	0.00255	0.00707
