
Replication	FitnessValue	Frequency	Bus1	Bus2	Bus3	Bus4	Bus5	Bus6	Bus1_P	Bus2_P	Bus3_P	Bus4_P	Bus5_P	Bus6_P	Bus1_Q	Bus2_Q	Bus3_Q	Bus4_Q	Bus5_Q	Bus6_Q	PLoss	QLoss
Replication0	 -1.54302	0.99862	0.96047 	0.96350 	0.96563 	0.97071 	0.96626 	0.97339 	-0.12893 	-0.16339 	-0.12629 	0.17307 	0.00000 	0.24763 	-0.04241 	-0.05374 	-0.04154 	0.06263 	0.00000 	0.08192 	0.00209	0.00687
Replication1	 -1.54290	0.99867	0.96287 	0.96469 	0.96636 	0.97229 	0.96989 	0.97447 	-0.12239 	-0.18280 	-0.14910 	0.16636 	0.05020 	0.23983 	-0.04025 	-0.06012 	-0.04903 	0.05983 	0.01651 	0.07997 	0.00210	0.00690
Replication2	 0.00050	0.99829	0.94950 	0.95304 	0.95226 	0.96185 	0.95541 	0.96349 	-0.14721 	-0.15848 	-0.21617 	0.21291 	0.00000 	0.31210 	-0.04845 	-0.05216 	-0.07115 	0.07593 	0.00000 	0.10655 	0.00315	0.01072
Replication3	 -1.54520	0.99868	0.96219 	0.96585 	0.96731 	0.97240 	0.96806 	0.97490 	-0.13305 	-0.13926 	-0.12893 	0.16572 	0.00000 	0.23745 	-0.04376 	-0.04580 	-0.04240 	0.05981 	0.00000 	0.07853 	0.00192	0.00638
Replication4	 -1.53291	0.99847	0.95223 	0.95867 	0.96058 	0.96566 	0.96069 	0.96926 	-0.18551 	-0.14041 	-0.14091 	0.19431 	0.00000 	0.27537 	-0.06103 	-0.04620 	-0.04636 	0.07168 	0.00000 	0.09136 	0.00285	0.00945
Replication5	 -1.53956	0.99851	0.95765 	0.96062 	0.96043 	0.96826 	0.96284 	0.96988 	-0.12792 	-0.14485 	-0.17970 	0.18479 	0.00000 	0.27001 	-0.04208 	-0.04765 	-0.05912 	0.06560 	0.00000 	0.09115 	0.00234	0.00790
Replication6	 -1.53790	0.99847	0.95629 	0.95928 	0.95926 	0.96717 	0.96164 	0.96889 	-0.13072 	-0.15167 	-0.18126 	0.18951 	0.00000 	0.27659 	-0.04301 	-0.04990 	-0.05963 	0.06744 	0.00000 	0.09340 	0.00246	0.00830
Replication7	 -1.54372	0.99867	0.96089 	0.96632 	0.96708 	0.97220 	0.96777 	0.97483 	-0.15661 	-0.10907 	-0.13651 	0.16640 	0.00000 	0.23782 	-0.05151 	-0.03587 	-0.04489 	0.06037 	0.00000 	0.07871 	0.00203	0.00681
Replication8	 -1.54286	0.99871	0.96070 	0.96691 	0.96914 	0.97250 	0.96856 	0.97604 	-0.17004 	-0.11725 	-0.10526 	0.16420 	0.00000 	0.23045 	-0.05592 	-0.03856 	-0.03461 	0.06077 	0.00000 	0.07524 	0.00210	0.00693
Replication9	 -1.54715	0.99872	0.96398 	0.96777 	0.96790 	0.97388 	0.96940 	0.97574 	-0.12895 	-0.11416 	-0.14615 	0.15973 	0.00000 	0.23129 	-0.04241 	-0.03754 	-0.04806 	0.05694 	0.00000 	0.07704 	0.00177	0.00598
Replication10	 -1.54337	0.99868	0.96102 	0.96538 	0.96842 	0.97187 	0.96792 	0.97531 	-0.14722 	-0.15378 	-0.09948 	0.16719 	0.00000 	0.23535 	-0.04841 	-0.05057 	-0.03271 	0.06158 	0.00000 	0.07688 	0.00207	0.00675
Replication11	 -1.53268	0.99845	0.95243 	0.95718 	0.96072 	0.96506 	0.96038 	0.96899 	-0.16726 	-0.18544 	-0.12022 	0.19674 	0.00155 	0.27751 	-0.05503 	-0.06101 	-0.03955 	0.07286 	0.00051 	0.09161 	0.00288	0.00938
Replication12	 -1.53711	0.99850	0.95624 	0.95918 	0.96071 	0.96727 	0.96300 	0.96975 	-0.13899 	-0.17880 	-0.15975 	0.18835 	0.02026 	0.27147 	-0.04573 	-0.05882 	-0.05256 	0.06798 	0.00667 	0.09085 	0.00253	0.00839
Replication13	 -1.53364	0.99849	0.95296 	0.96031 	0.96066 	0.96664 	0.96147 	0.96972 	-0.19300 	-0.10447 	-0.16188 	0.19036 	0.00000 	0.27176 	-0.06350 	-0.03437 	-0.05326 	0.06974 	0.00000 	0.09076 	0.00278	0.00937
Replication14	 -1.54446	0.99865	0.96176 	0.96450 	0.96636 	0.97161 	0.96719 	0.97406 	-0.12257 	-0.15961 	-0.12815 	0.16932 	0.00000 	0.24300 	-0.04031 	-0.05249 	-0.04215 	0.06100 	0.00000 	0.08047 	0.00198	0.00652
Replication15	 -1.53139	0.99836	0.95094 	0.95541 	0.95586 	0.96355 	0.95775 	0.96598 	-0.15933 	-0.15523 	-0.18351 	0.20474 	0.00000 	0.29629 	-0.05243 	-0.05108 	-0.06039 	0.07389 	0.00000 	0.09994 	0.00295	0.00993
Replication16	 -1.54709	0.99877	0.96493 	0.96899 	0.96981 	0.97496 	0.97198 	0.97725 	-0.14035 	-0.12482 	-0.13734 	0.15447 	0.02831 	0.22150 	-0.04615 	-0.04104 	-0.04516 	0.05571 	0.00931 	0.07330 	0.00177	0.00597
Replication17	 0.00211	0.99835	0.94789 	0.95531 	0.95553 	0.96252 	0.95673 	0.96565 	-0.20137 	-0.12033 	-0.18209 	0.20843 	0.00000 	0.29865 	-0.06627 	-0.03960 	-0.05992 	0.07639 	0.00000 	0.10051 	0.00329	0.01111
Replication18	 -1.53668	0.99845	0.95590 	0.95754 	0.95875 	0.96624 	0.96091 	0.96821 	-0.11704 	-0.18909 	-0.16865 	0.19345 	0.00248 	0.28140 	-0.03851 	-0.06221 	-0.05549 	0.06908 	0.00082 	0.09477 	0.00257	0.00845
Replication19	 -1.53642	0.99851	0.95527 	0.96149 	0.95995 	0.96788 	0.96229 	0.96974 	-0.17104 	-0.08848 	-0.19469 	0.18601 	0.00000 	0.27076 	-0.05627 	-0.02911 	-0.06405 	0.06663 	0.00000 	0.09163 	0.00256	0.00883
Replication20	 -1.53874	0.99850	0.95792 	0.95881 	0.96098 	0.96755 	0.96251 	0.96974 	-0.10526 	-0.20416 	-0.14715 	0.18751 	0.00000 	0.27148 	-0.03463 	-0.06717 	-0.04841 	0.06716 	0.00000 	0.09088 	0.00242	0.00783
Replication21	 -1.53569	0.99852	0.95439 	0.96086 	0.96239 	0.96743 	0.96266 	0.97082 	-0.18205 	-0.12773 	-0.14025 	0.18670 	0.00107 	0.26489 	-0.05989 	-0.04202 	-0.04614 	0.06868 	0.00035 	0.08779 	0.00263	0.00878
Replication22	 -1.54459	0.99868	0.96339 	0.96523 	0.96686 	0.97264 	0.96954 	0.97477 	-0.11665 	-0.17430 	-0.14193 	0.16496 	0.03196 	0.23794 	-0.03836 	-0.05732 	-0.04668 	0.05916 	0.01051 	0.07918 	0.00197	0.00649
Replication23	 -1.54737	0.99875	0.96447 	0.96789 	0.97026 	0.97419 	0.97033 	0.97702 	-0.12812 	-0.14646 	-0.10477 	0.15750 	0.00000 	0.22362 	-0.04213 	-0.04816 	-0.03445 	0.05729 	0.00000 	0.07324 	0.00177	0.00578
Replication24	 0.01062	0.99816	0.93938 	0.94703 	0.95011 	0.95586 	0.95025 	0.96057 	-0.22518 	-0.18644 	-0.16205 	0.23616 	0.00867 	0.33319 	-0.07413 	-0.06138 	-0.05335 	0.08860 	0.00285 	0.11176 	0.00434	0.01436
Replication25	 -1.53099	0.99849	0.95260 	0.95807 	0.96180 	0.96574 	0.96270 	0.96999 	-0.18648 	-0.18816 	-0.12317 	0.19326 	0.03672 	0.27083 	-0.06135 	-0.06190 	-0.04052 	0.07227 	0.01208 	0.08927 	0.00300	0.00985
Replication26	 -1.53511	0.99840	0.95533 	0.95598 	0.95693 	0.96525 	0.95954 	0.96685 	-0.10391 	-0.20134 	-0.18030 	0.19814 	0.00000 	0.29009 	-0.03419 	-0.06625 	-0.05933 	0.07031 	0.00000 	0.09827 	0.00269	0.00881
Replication27	 -1.53836	0.99848	0.95721 	0.95874 	0.96041 	0.96726 	0.96213 	0.96940 	-0.11397 	-0.19133 	-0.15551 	0.18880 	0.00079 	0.27367 	-0.03750 	-0.06295 	-0.05116 	0.06757 	0.00026 	0.09177 	0.00245	0.00800
Replication28	 -1.53424	0.99843	0.95311 	0.95751 	0.95823 	0.96531 	0.95994 	0.96781 	-0.15626 	-0.15279 	-0.17206 	0.19693 	0.00266 	0.28425 	-0.05142 	-0.05027 	-0.05661 	0.07114 	0.00088 	0.09548 	0.00274	0.00919
Replication29	 -1.55172	0.99886	0.96878 	0.97310 	0.97287 	0.97809 	0.97427 	0.97984 	-0.12843 	-0.08519 	-0.13341 	0.14115 	0.00337 	0.20393 	-0.04222 	-0.02800 	-0.04386 	0.05027 	0.00111 	0.06755 	0.00142	0.00485
Replication30	 -1.53220	0.99839	0.95192 	0.95527 	0.95793 	0.96389 	0.95864 	0.96705 	-0.14790 	-0.19584 	-0.14588 	0.20267 	0.00000 	0.28986 	-0.04867 	-0.06444 	-0.04800 	0.07394 	0.00000 	0.09670 	0.00291	0.00952
Replication31	 -1.54125	0.99857	0.95873 	0.96238 	0.96285 	0.96952 	0.96450 	0.97160 	-0.13637 	-0.13948 	-0.15971 	0.17882 	0.00000 	0.25894 	-0.04486 	-0.04588 	-0.05253 	0.06403 	0.00000 	0.08668 	0.00221	0.00744
Replication32	 -1.53309	0.99839	0.95232 	0.95599 	0.95685 	0.96430 	0.95865 	0.96669 	-0.14778 	-0.16708 	-0.17553 	0.20155 	0.00000 	0.29166 	-0.04863 	-0.05498 	-0.05776 	0.07262 	0.00000 	0.09819 	0.00283	0.00945
Replication33	 -1.55186	0.99886	0.96889 	0.97195 	0.97380 	0.97762 	0.97407 	0.98003 	-0.11501 	-0.12928 	-0.10030 	0.14270 	0.00000 	0.20331 	-0.03781 	-0.04250 	-0.03297 	0.05151 	0.00000 	0.06646 	0.00143	0.00469
Replication34	 -1.55176	0.99886	0.96946 	0.97300 	0.97233 	0.97831 	0.97496 	0.97966 	-0.12042 	-0.09352 	-0.14858 	0.14050 	0.01867 	0.20477 	-0.03959 	-0.03075 	-0.04885 	0.04958 	0.00614 	0.06833 	0.00142	0.00487
Replication35	 -1.54859	0.99885	0.96738 	0.97104 	0.97346 	0.97691 	0.97511 	0.97982 	-0.13808 	-0.14640 	-0.10493 	0.14524 	0.04103 	0.20482 	-0.04540 	-0.04813 	-0.03450 	0.05325 	0.01349 	0.06679 	0.00167	0.00551
Replication36	 -1.53841	0.99852	0.95659 	0.95994 	0.96224 	0.96769 	0.96289 	0.97061 	-0.13961 	-0.17488 	-0.13543 	0.18614 	0.00000 	0.26621 	-0.04593 	-0.05753 	-0.04455 	0.06764 	0.00000 	0.08838 	0.00244	0.00801
Replication37	 -1.54286	0.99859	0.96122 	0.96339 	0.96257 	0.97080 	0.96590 	0.97187 	-0.11316 	-0.13863 	-0.18604 	0.17404 	0.00952 	0.25636 	-0.03722 	-0.04560 	-0.06119 	0.06109 	0.00313 	0.08688 	0.00208	0.00709
Replication38	 -1.55326	0.99888	0.97282 	0.97209 	0.97351 	0.97900 	0.97576 	0.98017 	-0.06125 	-0.16962 	-0.12038 	0.13776 	0.01338 	0.20144 	-0.02014 	-0.05576 	-0.03957 	0.04822 	0.00440 	0.06708 	0.00133	0.00424
Replication39	 -1.54153	0.99862	0.95955 	0.96479 	0.96403 	0.97100 	0.96653 	0.97291 	-0.15696 	-0.10169 	-0.17477 	0.17227 	0.01344 	0.24988 	-0.05163 	-0.03345 	-0.05748 	0.06168 	0.00442 	0.08393 	0.00218	0.00748
Replication40	 -1.54118	0.99866	0.95912 	0.96554 	0.96741 	0.97129 	0.96711 	0.97474 	-0.17452 	-0.11521 	-0.11659 	0.16960 	0.00000 	0.23895 	-0.05740 	-0.03789 	-0.03834 	0.06261 	0.00000 	0.07840 	0.00223	0.00737
Replication41	 -1.53829	0.99859	0.95666 	0.96296 	0.96520 	0.96923 	0.96484 	0.97287 	-0.17757 	-0.13069 	-0.11936 	0.17855 	0.00000 	0.25153 	-0.05841 	-0.04299 	-0.03926 	0.06604 	0.00000 	0.08269 	0.00244	0.00807
Replication42	 -1.54150	0.99860	0.95989 	0.96383 	0.96297 	0.97066 	0.96632 	0.97220 	-0.14146 	-0.12062 	-0.18500 	0.17415 	0.02072 	0.25439 	-0.04653 	-0.03967 	-0.06085 	0.06185 	0.00681 	0.08588 	0.00218	0.00749
Replication43	 -1.53320	0.99836	0.95340 	0.95526 	0.95493 	0.96423 	0.95811 	0.96557 	-0.12017 	-0.17437 	-0.20374 	0.20281 	0.00000 	0.29828 	-0.03954 	-0.05738 	-0.06705 	0.07178 	0.00000 	0.10165 	0.00282	0.00946
Replication44	 -1.54105	0.99854	0.95895 	0.96128 	0.96203 	0.96905 	0.96395 	0.97092 	-0.11948 	-0.16135 	-0.16141 	0.18112 	0.00000 	0.26335 	-0.03930 	-0.05308 	-0.05310 	0.06453 	0.00000 	0.08838 	0.00223	0.00743
Replication45	 -1.53649	0.99861	0.95683 	0.96257 	0.96623 	0.96931 	0.96663 	0.97353 	-0.18218 	-0.16715 	-0.10617 	0.17754 	0.03311 	0.24743 	-0.05992 	-0.05498 	-0.03492 	0.06654 	0.01089 	0.08087 	0.00258	0.00848
Replication46	 -1.54938	0.99880	0.96790 	0.96974 	0.97071 	0.97632 	0.97360 	0.97806 	-0.10827 	-0.15022 	-0.13812 	0.14903 	0.03340 	0.21579 	-0.03560 	-0.04939 	-0.04541 	0.05303 	0.01098 	0.07173 	0.00161	0.00534
Replication47	 -1.54410	0.99862	0.96145 	0.96401 	0.96461 	0.97121 	0.96638 	0.97302 	-0.11813 	-0.14720 	-0.15369 	0.17165 	0.00000 	0.24937 	-0.03885 	-0.04841 	-0.05055 	0.06107 	0.00000 	0.08344 	0.00200	0.00669
Replication48	 -1.53470	0.99843	0.95425 	0.95724 	0.95800 	0.96561 	0.96073 	0.96777 	-0.14016 	-0.17404 	-0.17941 	0.19594 	0.01606 	0.28431 	-0.04612 	-0.05726 	-0.05903 	0.07034 	0.00529 	0.09583 	0.00271	0.00905
Replication49	 -1.54614	0.99870	0.96381 	0.96674 	0.96709 	0.97341 	0.96961 	0.97518 	-0.12372 	-0.13606 	-0.15369 	0.16188 	0.01853 	0.23492 	-0.04069 	-0.04475 	-0.05054 	0.05762 	0.00609 	0.07847 	0.00184	0.00621
Replication50	 -1.54001	0.99855	0.95956 	0.96033 	0.96275 	0.96892 	0.96476 	0.97119 	-0.10586 	-0.20831 	-0.14225 	0.18136 	0.01550 	0.26190 	-0.03482 	-0.06852 	-0.04679 	0.06510 	0.00510 	0.08745 	0.00233	0.00751
Replication51	 -1.53909	0.99861	0.95767 	0.96270 	0.96637 	0.96949 	0.96543 	0.97346 	-0.16251 	-0.16394 	-0.09626 	0.17716 	0.00000 	0.24794 	-0.05345 	-0.05392 	-0.03166 	0.06588 	0.00000 	0.08095 	0.00239	0.00779
Replication52	 -1.53567	0.99851	0.95471 	0.96021 	0.96149 	0.96728 	0.96305 	0.97032 	-0.17346 	-0.14306 	-0.15466 	0.18768 	0.01822 	0.26792 	-0.05706 	-0.04706 	-0.05088 	0.06860 	0.00599 	0.08924 	0.00263	0.00882
Replication53	 0.00993	0.99809	0.94007 	0.94575 	0.94584 	0.95527 	0.94827 	0.95803 	-0.19095 	-0.17217 	-0.22204 	0.24066 	0.00000 	0.34868 	-0.06287 	-0.05669 	-0.07311 	0.08768 	0.00000 	0.11910 	0.00417	0.01411
Replication54	 -1.54952	0.99884	0.96883 	0.97138 	0.97166 	0.97749 	0.97553 	0.97910 	-0.11957 	-0.13341 	-0.14917 	0.14383 	0.05129 	0.20862 	-0.03931 	-0.04386 	-0.04904 	0.05116 	0.01686 	0.06955 	0.00159	0.00536
Replication55	 0.00179	0.99833	0.94821 	0.95443 	0.95477 	0.96219 	0.95629 	0.96506 	-0.18579 	-0.13836 	-0.18534 	0.21022 	0.00000 	0.30249 	-0.06114 	-0.04553 	-0.06099 	0.07660 	0.00000 	0.10198 	0.00323	0.01091
Replication56	 -1.54219	0.99870	0.96106 	0.96666 	0.96768 	0.97262 	0.96988 	0.97548 	-0.16975 	-0.12186 	-0.14208 	0.16420 	0.03812 	0.23351 	-0.05582 	-0.04007 	-0.04672 	0.06006 	0.01254 	0.07724 	0.00214	0.00721
Replication57	 -1.54554	0.99869	0.96245 	0.96664 	0.96790 	0.97288 	0.96858 	0.97541 	-0.13904 	-0.12818 	-0.12852 	0.16357 	0.00000 	0.23406 	-0.04573 	-0.04215 	-0.04226 	0.05913 	0.00000 	0.07733 	0.00189	0.00631
Replication58	 -1.54284	0.99858	0.96139 	0.96204 	0.96315 	0.97022 	0.96525 	0.97179 	-0.09433 	-0.18168 	-0.15559 	0.17627 	0.00000 	0.25744 	-0.03103 	-0.05976 	-0.05118 	0.06236 	0.00000 	0.08650 	0.00211	0.00688
Replication59	 -1.54811	0.99873	0.96584 	0.96856 	0.96745 	0.97486 	0.97052 	0.97585 	-0.11243 	-0.11038 	-0.17184 	0.15614 	0.01034 	0.22986 	-0.03697 	-0.03630 	-0.05651 	0.05464 	0.00340 	0.07755 	0.00169	0.00581
Replication60	 -1.54805	0.99880	0.96599 	0.96995 	0.97150 	0.97582 	0.97319 	0.97841 	-0.13916 	-0.13203 	-0.12092 	0.15040 	0.02937 	0.21405 	-0.04575 	-0.04341 	-0.03976 	0.05463 	0.00966 	0.07033 	0.00171	0.00569
Replication61	 -1.55593	0.99902	0.97470 	0.97685 	0.97908 	0.98207 	0.98011 	0.98436 	-0.10095 	-0.13435 	-0.08463 	0.12302 	0.02372 	0.17432 	-0.03318 	-0.04415 	-0.02781 	0.04450 	0.00780 	0.05651 	0.00112	0.00366
Replication62	 -1.53608	0.99843	0.95525 	0.95749 	0.95738 	0.96593 	0.96015 	0.96744 	-0.12259 	-0.16501 	-0.19099 	0.19515 	0.00000 	0.28603 	-0.04033 	-0.05429 	-0.06284 	0.06919 	0.00000 	0.09701 	0.00260	0.00873
Replication63	 -1.54760	0.99885	0.96956 	0.97114 	0.97128 	0.97775 	0.97692 	0.97906 	-0.11386 	-0.15289 	-0.16435 	0.14284 	0.08157 	0.20842 	-0.03743 	-0.05026 	-0.05403 	0.05063 	0.02682 	0.07006 	0.00174	0.00578
Replication64	 -1.55083	0.99886	0.96802 	0.97190 	0.97430 	0.97735 	0.97396 	0.98024 	-0.12838 	-0.12733 	-0.08848 	0.14345 	0.00000 	0.20224 	-0.04220 	-0.04186 	-0.02909 	0.05243 	0.00000 	0.06565 	0.00150	0.00493
Replication65	 -1.53280	0.99837	0.95241 	0.95515 	0.95649 	0.96393 	0.95829 	0.96630 	-0.13660 	-0.18616 	-0.17188 	0.20323 	0.00000 	0.29426 	-0.04495 	-0.06126 	-0.05656 	0.07315 	0.00000 	0.09907 	0.00286	0.00945
Replication66	 -1.53855	0.99860	0.95763 	0.96261 	0.96502 	0.96951 	0.96627 	0.97291 	-0.16725 	-0.15785 	-0.12940 	0.17749 	0.02841 	0.25102 	-0.05501 	-0.05192 	-0.04256 	0.06539 	0.00935 	0.08279 	0.00242	0.00803
Replication67	 -1.54682	0.99873	0.96365 	0.96824 	0.96886 	0.97403 	0.96976 	0.97634 	-0.14104 	-0.10971 	-0.13373 	0.15863 	0.00000 	0.22764 	-0.04638 	-0.03608 	-0.04397 	0.05713 	0.00000 	0.07533 	0.00179	0.00604
Replication68	 -1.53899	0.99859	0.95776 	0.96165 	0.96574 	0.96901 	0.96491 	0.97288 	-0.14836 	-0.18576 	-0.09467 	0.17942 	0.00000 	0.25177 	-0.04880 	-0.06110 	-0.03114 	0.06650 	0.00000 	0.08231 	0.00241	0.00777
