
Replication	FitnessValue	Frequency	Bus1	Bus2	Bus3	Bus4	Bus5	Bus6	Bus1_P	Bus2_P	Bus3_P	Bus4_P	Bus5_P	Bus6_P	Bus1_Q	Bus2_Q	Bus3_Q	Bus4_Q	Bus5_Q	Bus6_Q	PLoss	QLoss
Replication0	 0.16871	0.99563	0.78129 	0.82060 	0.84641 	0.84687 	0.83036 	0.87274 	-0.77637 	-0.54258 	-0.16898 	0.66396 	0.00000 	0.87987 	-0.25688 	-0.17953 	-0.05591 	0.31461 	0.00000 	0.35564 	0.05589	0.17792
Replication1	 0.06505	0.99691	0.89569 	0.88495 	0.90774 	0.91244 	0.90409 	0.92247 	-0.10619 	-0.80747 	-0.07467 	0.41643 	0.01096 	0.57968 	-0.03505 	-0.26649 	-0.02464 	0.16885 	0.00362 	0.20816 	0.01874	0.05443
Replication2	 0.08945	0.99650	0.86055 	0.87013 	0.89299 	0.89432 	0.88390 	0.91005 	-0.39089 	-0.64677 	-0.08571 	0.48716 	0.00000 	0.66019 	-0.12911 	-0.21363 	-0.02831 	0.20678 	0.00000 	0.23945 	0.02398	0.07517
Replication3	 0.02811	0.99836	0.92189 	0.95105 	0.95946 	0.95263 	0.94908 	0.96576 	-0.52041 	0.00000 	-0.00300 	0.23761 	0.00000 	0.29744 	-0.17125 	0.00000 	-0.00099 	0.10657 	0.00000 	0.10079 	0.01164	0.03512
Replication4	 0.11491	0.99651	0.83509 	0.87617 	0.88222 	0.88882 	0.87522 	0.90533 	-0.72881 	-0.12514 	-0.29746 	0.50325 	0.00000 	0.68080 	-0.24073 	-0.04133 	-0.09825 	0.22370 	0.00000 	0.26131 	0.03264	0.10469
Replication5	 -1.55138	0.99902	0.97102 	0.97773 	0.97897 	0.98135 	0.97975 	0.98442 	-0.16785 	-0.07002 	-0.09345 	0.12525 	0.03339 	0.17413 	-0.05516 	-0.02301 	-0.03071 	0.04662 	0.01097 	0.05614 	0.00146	0.00484
Replication6	 -1.53258	0.99846	0.95339 	0.95666 	0.96134 	0.96519 	0.96107 	0.96928 	-0.15139 	-0.22067 	-0.10664 	0.19602 	0.00985 	0.27573 	-0.04981 	-0.07260 	-0.03509 	0.07278 	0.00324 	0.09079 	0.00289	0.00931
Replication7	 -1.53150	0.99856	0.96537 	0.96459 	0.95507 	0.97232 	0.96464 	0.96843 	-0.04665 	-0.05236 	-0.34247 	0.17070 	0.00000 	0.27365 	-0.01535 	-0.01722 	-0.11265 	0.05533 	0.00000 	0.10053 	0.00287	0.01063
Replication8	 -1.55098	0.99879	0.97063 	0.97068 	0.96861 	0.97737 	0.97249 	0.97710 	-0.06434 	-0.11635 	-0.18454 	0.14618 	0.00000 	0.22052 	-0.02115 	-0.03825 	-0.06068 	0.04958 	0.00000 	0.07557 	0.00148	0.00506
Replication9	 -1.57030	0.99985	1.00529 	1.00451 	1.00567 	1.00574 	1.00544 	1.00617 	0.00000 	-0.04507 	0.00000 	0.01882 	0.00000 	0.02628 	0.00000 	-0.01479 	0.00000 	0.00674 	0.00000 	0.00815 	0.00004	0.00011
Replication10	 0.01484	0.99832	0.93516 	0.94929 	0.95980 	0.95598 	0.95244 	0.96593 	-0.32461 	-0.19787 	0.00000 	0.22940 	0.00000 	0.29941 	-0.10683 	-0.06512 	0.00000 	0.09468 	0.00000 	0.09725 	0.00632	0.01998
