
 Replication 	 FitnessValue 	 Frequency	Bus1	Bus2	Bus3	Bus4	Bus5	Bus6
Replication0	 0.03285	0.99809	1.00228 	1.00499 	1.00290 	1.00631 	1.00636 	1.00583 
Replication1	 0.02726	0.99771	1.00033 	1.00389 	1.00183 	1.00545 	1.00561 	1.00511 
Replication2	 0.02548	0.99745	0.99910 	1.00319 	1.00100 	1.00491 	1.00510 	1.00459 
Replication3	 0.02457	0.99746	0.99968 	1.00324 	1.00066 	1.00505 	1.00515 	1.00448 
Replication4	 0.03526	0.99826	1.00264 	1.00539 	1.00390 	1.00656 	1.00669 	1.00634 
Replication5	 0.02760	0.99758	0.99888 	1.00351 	1.00202 	1.00500 	1.00532 	1.00507 
Replication6	 0.02689	0.99759	0.99932 	1.00355 	1.00178 	1.00511 	1.00536 	1.00499 
Replication7	 0.02392	0.99719	0.99819 	1.00248 	0.99987 	1.00443 	1.00460 	1.00396 
Replication8	 0.02773	0.99756	0.99866 	1.00385 	1.00149 	1.00505 	1.00525 	1.00491 
Replication9	 0.02688	0.99756	0.99911 	1.00347 	1.00173 	1.00503 	1.00530 	1.00495 
Replication10	 0.03006	0.99788	1.00217 	1.00440 	1.00169 	1.00605 	1.00599 	1.00521 
Replication11	 0.02762	0.99773	1.00046 	1.00395 	1.00190 	1.00551 	1.00565 	1.00516 
Replication12	 0.03455	0.99820	1.00319 	1.00526 	1.00310 	1.00662 	1.00660 	1.00599 
Replication13	 0.02653	0.99763	1.00145 	1.00371 	1.00048 	1.00561 	1.00550 	1.00455 
Replication14	 0.02861	0.99769	0.99919 	1.00424 	1.00201 	1.00531 	1.00552 	1.00522 
Replication15	 0.02866	0.99766	0.99890 	1.00390 	1.00228 	1.00514 	1.00545 	1.00526 
Replication16	 0.02801	0.99776	1.00063 	1.00403 	1.00196 	1.00557 	1.00571 	1.00520 
Replication17	 0.02434	0.99705	0.99723 	1.00208 	0.99961 	1.00406 	1.00431 	1.00375 
Replication18	 0.02833	0.99767	0.99921 	1.00442 	1.00154 	1.00537 	1.00547 	1.00506 
Replication19	 0.03067	0.99795	1.00108 	1.00454 	1.00294 	1.00588 	1.00607 	1.00572 
Replication20	 0.02494	0.99743	0.99920 	1.00313 	1.00075 	1.00491 	1.00506 	1.00448 
Replication21	 0.02594	0.99716	0.99673 	1.00234 	1.00069 	1.00407 	1.00448 	1.00423 
Replication22	 0.02571	0.99754	0.99962 	1.00343 	1.00122 	1.00512 	1.00528 	1.00475 
Replication23	 0.02434	0.99696	0.99742 	1.00186 	0.99888 	1.00401 	1.00416 	1.00340 
Replication24	 0.02546	0.99705	0.99617 	1.00202 	1.00032 	1.00382 	1.00425 	1.00400 
Replication25	 0.03580	0.99831	1.00206 	1.00599 	1.00395 	1.00663 	1.00671 	1.00645 
Replication26	 0.02587	0.99738	0.99839 	1.00336 	1.00050 	1.00479 	1.00492 	1.00440 
Replication27	 0.02740	0.99752	0.99856 	1.00362 	1.00149 	1.00495 	1.00519 	1.00486 
Replication28	 0.02378	0.99706	0.99896 	1.00217 	0.99845 	1.00446 	1.00440 	1.00333 
Replication29	 0.02470	0.99678	0.99664 	1.00135 	0.99816 	1.00364 	1.00379 	1.00298 
Replication30	 0.02659	0.99766	1.00006 	1.00376 	1.00172 	1.00535 	1.00551 	1.00503 
Replication31	 0.02926	0.99782	1.00145 	1.00468 	1.00121 	1.00596 	1.00583 	1.00504 
Replication32	 0.02442	0.99704	0.99706 	1.00205 	0.99966 	1.00402 	1.00428 	1.00376 
Replication33	 0.02554	0.99752	0.99957 	1.00338 	1.00112 	1.00509 	1.00524 	1.00469 
Replication34	 0.02614	0.99762	1.00046 	1.00366 	1.00113 	1.00539 	1.00545 	1.00478 
Replication35	 0.02377	0.99730	0.99894 	1.00279 	1.00007 	1.00471 	1.00482 	1.00413 
Replication36	 0.03564	0.99826	1.00397 	1.00543 	1.00292 	1.00685 	1.00673 	1.00597 
Replication37	 0.02961	0.99786	1.00124 	1.00447 	1.00205 	1.00587 	1.00592 	1.00534 
Replication38	 0.03247	0.99808	1.00166 	1.00488 	1.00335 	1.00614 	1.00631 	1.00597 
Replication39	 0.02751	0.99767	0.99956 	1.00376 	1.00212 	1.00524 	1.00551 	1.00518 
Replication40	 0.02861	0.99772	0.99937 	1.00388 	1.00260 	1.00525 	1.00559 	1.00540 
Replication41	 0.02403	0.99698	0.99826 	1.00193 	0.99839 	1.00422 	1.00422 	1.00324 
Replication42	 0.02424	0.99723	0.99818 	1.00258 	1.00016 	1.00447 	1.00467 	1.00410 
Replication43	 0.03287	0.99809	1.00243 	1.00493 	1.00287 	1.00632 	1.00636 	1.00581 
Replication44	 0.03252	0.99807	1.00169 	1.00523 	1.00289 	1.00625 	1.00630 	1.00585 
Replication45	 0.03289	0.99810	1.00225 	1.00496 	1.00307 	1.00630 	1.00638 	1.00589 
