
Replication	FitnessValue	Frequency	Bus1	Bus2	Bus3	Bus4	Bus5	Bus6	Bus1_P	Bus2_P	Bus3_P	Bus4_P	Bus5_P	Bus6_P	Bus1_Q	Bus2_Q	Bus3_Q	Bus4_Q	Bus5_Q	Bus6_Q	PLoss	QLoss
Replication0	 -1.54704	0.99976	0.99513 	0.99714 	0.99760 	1.00068 	0.99931 	1.00616 	-0.07912 	-0.11723 	-0.16483 	0.04974 	0.00344 	0.30974 	-0.02596 	-0.03847 	-0.05409 	0.04950 	0.00113 	0.07425 	0.00174	0.00636
Replication1	 -1.54208	0.99975	0.99287 	0.99648 	0.99648 	0.99979 	0.99842 	1.00585 	-0.10673 	-0.10393 	-0.18385 	0.05445 	0.00790 	0.33427 	-0.03503 	-0.03411 	-0.06033 	0.05419 	0.00259 	0.08037 	0.00210	0.00769
Replication2	 -1.55431	0.99985	0.99492 	1.00083 	1.00452 	1.00219 	1.00197 	1.00781 	-0.13223 	-0.07065 	-0.02348 	0.04163 	0.00261 	0.18337 	-0.04338 	-0.02318 	-0.00771 	0.04148 	0.00086 	0.03592 	0.00125	0.00400
Replication3	 -1.47145	0.99956	0.97634 	0.98274 	0.98829 	0.98977 	0.98749 	1.00271 	-0.20160 	-0.26351 	-0.22056 	0.10787 	0.00000 	0.58520 	-0.06618 	-0.08651 	-0.07241 	0.10743 	0.00000 	0.14332 	0.00740	0.02565
Replication4	 -1.50577	0.99965	0.98178 	0.98917 	0.99276 	0.99383 	0.99196 	1.00425 	-0.19283 	-0.17088 	-0.18273 	0.08626 	0.00000 	0.46501 	-0.06329 	-0.05609 	-0.05998 	0.08591 	0.00000 	0.11018 	0.00484	0.01673
Replication5	 -1.48161	0.99956	0.97957 	0.98628 	0.98552 	0.99196 	0.98875 	1.00258 	-0.18521 	-0.16344 	-0.33121 	0.09625 	0.00000 	0.59015 	-0.06080 	-0.05365 	-0.10873 	0.09581 	0.00000 	0.15143 	0.00654	0.02405
Replication6	 -1.52447	0.99970	0.98585 	0.99267 	0.99618 	0.99636 	0.99495 	1.00529 	-0.17248 	-0.14118 	-0.13860 	0.07272 	0.00000 	0.38300 	-0.05661 	-0.04633 	-0.04549 	0.07242 	0.00000 	0.08781 	0.00346	0.01181
Replication7	 -1.53020	0.99971	0.98921 	0.99265 	0.99590 	0.99735 	0.99668 	1.00535 	-0.12543 	-0.18013 	-0.15602 	0.06749 	0.01992 	0.37717 	-0.04117 	-0.05912 	-0.05120 	0.06720 	0.00654 	0.08826 	0.00301	0.01052
Replication8	 -1.50967	0.99964	0.98375 	0.98996 	0.99138 	0.99465 	0.99250 	1.00410 	-0.16942 	-0.15445 	-0.22957 	0.08188 	0.00199 	0.47408 	-0.05561 	-0.05070 	-0.07535 	0.08152 	0.00065 	0.11559 	0.00451	0.01610
Replication9	 -1.53362	0.99976	0.98736 	0.99596 	0.99952 	0.99818 	0.99782 	1.00629 	-0.19328 	-0.09389 	-0.09337 	0.06305 	0.01576 	0.30453 	-0.06343 	-0.03081 	-0.03064 	0.06282 	0.00517 	0.06613 	0.00280	0.00923
Replication10	 -1.54041	0.99977	0.99090 	0.99521 	1.00033 	0.99882 	0.99810 	1.00641 	-0.12791 	-0.15830 	-0.06649 	0.05963 	0.00000 	0.29535 	-0.04197 	-0.05195 	-0.02182 	0.05940 	0.00000 	0.06394 	0.00228	0.00760
