
 Replication 	 FitnessValue 	 Frequency	Bus1	Bus2	Bus3	Bus4	Bus5	Bus6	Bus1_P	Bus2_P	Bus3_P	Bus4_P	Bus5_P	Bus6_P	Bus1_Q	Bus2_Q	Bus3_Q	Bus4_Q	Bus5_Q	Bus6_Q
Replication0	 0.62768	0.99938	0.89674 	0.90246 	0.89556 	0.93062 	0.90434 	0.90841 	-0.31606 	-0.24562 	-0.28617 	0.73130 	0.00000 	0.13405 	-0.10380 	-0.08066 	-0.09398 	0.19197 	0.00000 	0.13318 
Replication1	 0.84307	0.99898	0.85859 	0.86795 	0.86489 	0.89845 	0.87211 	0.87977 	-0.38822 	-0.30355 	-0.27547 	0.80000 	0.01684 	0.17202 	-0.12759 	-0.09977 	-0.09054 	0.20226 	0.00553 	0.17058 
Replication2	 0.73056	0.99927	0.87939 	0.88763 	0.88082 	0.91826 	0.88954 	0.89509 	-0.36886 	-0.26004 	-0.30194 	0.80000 	0.00000 	0.15166 	-0.12116 	-0.08542 	-0.09918 	0.21319 	0.00000 	0.15063 
Replication3	 0.78433	0.99915	0.87634 	0.87766 	0.86877 	0.91073 	0.88106 	0.88520 	-0.27563 	-0.30901 	-0.35819 	0.80000 	0.00000 	0.16476 	-0.09056 	-0.10153 	-0.11769 	0.20576 	0.00000 	0.16355 
Replication4	 0.58672	0.99942	0.90703 	0.90796 	0.89909 	0.93576 	0.91030 	0.91238 	-0.23509 	-0.24960 	-0.31733 	0.68698 	0.00215 	0.12882 	-0.07720 	-0.08196 	-0.10420 	0.17648 	0.00071 	0.12799 
Replication5	 0.58517	0.99942	0.91042 	0.90573 	0.89875 	0.93582 	0.91087 	0.91181 	-0.16722 	-0.33948 	-0.30541 	0.68747 	0.01150 	0.12957 	-0.05491 	-0.11148 	-0.10029 	0.17534 	0.00378 	0.12874 
Replication6	 0.57021	0.99943	0.90803 	0.91061 	0.90186 	0.93737 	0.91434 	0.91504 	-0.26377 	-0.23875 	-0.32112 	0.67165 	0.04204 	0.12531 	-0.08661 	-0.07840 	-0.10545 	0.17310 	0.01381 	0.12450 
Replication7	 0.67353	0.99935	0.89318 	0.89267 	0.88808 	0.92551 	0.89765 	0.90131 	-0.25532 	-0.36854 	-0.27780 	0.77827 	0.00000 	0.14343 	-0.08386 	-0.12104 	-0.09124 	0.20451 	0.00000 	0.14250 
Replication8	 0.83001	0.99904	0.86736 	0.87044 	0.86218 	0.90288 	0.87371 	0.87904 	-0.29707 	-0.29916 	-0.35456 	0.80000 	0.00000 	0.17294 	-0.09763 	-0.09831 	-0.11652 	0.20162 	0.00000 	0.17158 
Replication9	 0.92876	0.99880	0.84971 	0.85439 	0.84721 	0.88627 	0.85791 	0.86527 	-0.31465 	-0.29763 	-0.35591 	0.80000 	0.00000 	0.19122 	-0.10345 	-0.09786 	-0.11702 	0.19246 	0.00000 	0.18951 
Replication10	 0.60915	0.99940	0.89835 	0.90453 	0.89896 	0.93217 	0.90831 	0.91130 	-0.32950 	-0.26214 	-0.27264 	0.71688 	0.03398 	0.13025 	-0.10821 	-0.08609 	-0.08953 	0.18837 	0.01116 	0.12940 
Replication11	 0.70620	0.99933	0.88825 	0.89078 	0.88168 	0.92324 	0.89347 	0.89679 	-0.29199 	-0.28993 	-0.34278 	0.79698 	0.00000 	0.14938 	-0.09590 	-0.09523 	-0.11258 	0.21221 	0.00000 	0.14844 
Replication12	 0.69460	0.99933	0.88542 	0.89199 	0.88688 	0.92311 	0.89485 	0.90010 	-0.35114 	-0.29643 	-0.27367 	0.79699 	0.00000 	0.14503 	-0.11533 	-0.09736 	-0.08988 	0.21361 	0.00000 	0.14409 
Replication13	 0.55804	0.99944	0.90902 	0.91307 	0.90404 	0.93868 	0.91590 	0.91698 	-0.27699 	-0.21023 	-0.31730 	0.65965 	0.03687 	0.12275 	-0.09095 	-0.06903 	-0.10419 	0.16992 	0.01211 	0.12196 
Replication14	 0.49278	0.99947	0.91838 	0.91886 	0.91787 	0.94383 	0.92330 	0.92687 	-0.22021 	-0.31576 	-0.17719 	0.61507 	0.00000 	0.10971 	-0.07231 	-0.10368 	-0.05818 	0.15457 	0.00000 	0.10897 
Replication15	 0.67465	0.99934	0.89263 	0.89236 	0.88853 	0.92525 	0.89755 	0.90147 	-0.26087 	-0.37656 	-0.26634 	0.78054 	0.00000 	0.14322 	-0.08568 	-0.12368 	-0.08747 	0.20523 	0.00000 	0.14229 
Replication16	 0.61509	0.99940	0.90042 	0.90476 	0.89579 	0.93256 	0.90619 	0.90929 	-0.28831 	-0.22527 	-0.31665 	0.71441 	0.00000 	0.13289 	-0.09468 	-0.07398 	-0.10398 	0.18628 	0.00000 	0.13203 
Replication17	 0.51875	0.99947	0.91802 	0.91884 	0.90877 	0.94345 	0.92008 	0.92140 	-0.20689 	-0.19633 	-0.31888 	0.61828 	0.00000 	0.11692 	-0.06793 	-0.06447 	-0.10470 	0.15579 	0.00000 	0.11617 
Replication18	 0.56515	0.99943	0.90644 	0.91128 	0.90463 	0.93721 	0.91430 	0.91670 	-0.29366 	-0.23532 	-0.27878 	0.67280 	0.02664 	0.12313 	-0.09643 	-0.07727 	-0.09154 	0.17380 	0.00875 	0.12232 
Replication19	 0.61902	0.99938	0.89822 	0.90139 	0.89774 	0.93080 	0.90665 	0.90973 	-0.29781 	-0.32526 	-0.25219 	0.73017 	0.03000 	0.13232 	-0.09780 	-0.10682 	-0.08282 	0.19103 	0.00985 	0.13145 
Replication20	 1.24015	0.99805	0.79256 	0.80442 	0.80216 	0.83403 	0.80871 	0.82355 	-0.39066 	-0.29189 	-0.33768 	0.80000 	0.00000 	0.24662 	-0.12864 	-0.09612 	-0.11119 	0.16765 	0.00000 	0.24385 
Replication21	 0.58567	0.99940	0.90067 	0.90535 	0.90580 	0.93328 	0.91081 	0.91559 	-0.31504 	-0.34493 	-0.17529 	0.70734 	0.01895 	0.12461 	-0.10346 	-0.11327 	-0.05756 	0.18504 	0.00622 	0.12376 
Replication22	 0.80668	0.99913	0.87232 	0.87691 	0.86434 	0.90870 	0.87812 	0.88219 	-0.30953 	-0.23018 	-0.40622 	0.80000 	0.00000 	0.16872 	-0.10170 	-0.07563 	-0.13347 	0.20721 	0.00000 	0.16749 
Replication23	 0.96302	0.99867	0.83944 	0.84628 	0.84647 	0.87768 	0.85189 	0.86232 	-0.35191 	-0.36433 	-0.25648 	0.80000 	0.00000 	0.19518 	-0.11573 	-0.11982 	-0.08435 	0.18824 	0.00000 	0.19330 
Replication24	 1.73388	0.99689	0.71364 	0.72064 	0.72709 	0.75313 	0.73234 	0.75576 	-0.32978 	-0.43998 	-0.34520 	0.80000 	0.01284 	0.33661 	-0.10885 	-0.14522 	-0.11393 	0.12879 	0.00424 	0.33220 
