
 Replication 	 FitnessValue 	 Frequency	Bus1	Bus2	Bus3	Bus4	Bus5	Bus6
Replication0	 0.04177	0.99634	0.99155 	0.99383 	0.99296 	0.99419 	0.99657 	0.99434 
Replication1	 0.04271	0.99630	0.99189 	0.99367 	0.99234 	0.99421 	0.99644 	0.99394 
Replication2	 0.04233	0.99633	0.99121 	0.99379 	0.99306 	0.99405 	0.99651 	0.99438 
Replication3	 0.01119	0.99750	0.99744 	0.99902 	0.99846 	0.99925 	1.00088 	0.99937 
Replication4	 0.03369	0.99662	0.99293 	0.99509 	0.99433 	0.99540 	0.99762 	0.99559 
Replication5	 0.03819	0.99646	0.99225 	0.99438 	0.99349 	0.99475 	0.99703 	0.99485 
Replication6	 0.03287	0.99664	0.99397 	0.99520 	0.99366 	0.99581 	0.99771 	0.99525 
Replication7	 0.02360	0.99696	0.99517 	0.99664 	0.99558 	0.99707 	0.99891 	0.99688 
Replication8	 0.03358	0.99662	0.99293 	0.99515 	0.99432 	0.99543 	0.99763 	0.99560 
Replication9	 0.03777	0.99648	0.99236 	0.99445 	0.99353 	0.99483 	0.99709 	0.99489 
Replication10	 0.02897	0.99677	0.99435 	0.99581 	0.99458 	0.99630 	0.99822 	0.99600 
Replication11	 0.01111	0.99748	0.99654 	0.99903 	0.99879 	0.99894 	1.00076 	0.99955 
Replication12	 0.02452	0.99694	0.99433 	0.99652 	0.99605 	0.99672 	0.99881 	0.99709 
Replication13	 0.01273	0.99741	0.99747 	0.99865 	0.99769 	0.99904 	1.00058 	0.99881 
Replication14	 0.06028	0.99567	0.98830 	0.99093 	0.98945 	0.99136 	0.99408 	0.99127 
Replication15	 0.02515	0.99692	0.99421 	0.99642 	0.99595 	0.99662 	0.99873 	0.99700 
Replication16	 0.03673	0.99651	0.99276 	0.99460 	0.99349 	0.99505 	0.99722 	0.99493 
Replication17	 0.03966	0.99641	0.99196 	0.99416 	0.99328 	0.99452 	0.99685 	0.99465 
Replication18	 0.01090	0.99750	0.99793 	0.99974 	0.99704 	0.99974 	1.00081 	0.99873 
Replication19	 0.01386	0.99733	0.99678 	0.99825 	0.99747 	0.99857 	1.00025 	0.99854 
Replication20	 0.02207	0.99703	0.99569 	0.99724 	0.99529 	0.99756 	0.99912 	0.99688 
Replication21	 0.03807	0.99647	0.99201 	0.99441 	0.99375 	0.99469 	0.99706 	0.99501 
Replication22	 0.01907	0.99712	0.99582 	0.99735 	0.99647 	0.99771 	0.99950 	0.99764 
Replication23	 0.02161	0.99704	0.99524 	0.99709 	0.99603 	0.99735 	0.99917 	0.99727 
Replication24	 0.01967	0.99710	0.99583 	0.99726 	0.99626 	0.99766 	0.99942 	0.99749 
Replication25	 0.02359	0.99697	0.99486 	0.99665 	0.99586 	0.99697 	0.99892 	0.99703 
Replication26	 0.04073	0.99636	0.99243 	0.99397 	0.99249 	0.99457 	0.99669 	0.99413 
Replication27	 0.02466	0.99694	0.99402 	0.99651 	0.99629 	0.99662 	0.99880 	0.99723 
Replication28	 0.03816	0.99646	0.99269 	0.99438 	0.99309 	0.99489 	0.99703 	0.99462 
Replication29	 0.01730	0.99720	0.99576 	0.99785 	0.99690 	0.99796 	0.99974 	0.99804 
Replication30	 0.02036	0.99707	0.99615 	0.99715 	0.99577 	0.99770 	0.99933 	0.99717 
Replication31	 0.03232	0.99666	0.99363 	0.99529 	0.99414 	0.99575 	0.99778 	0.99555 
Replication32	 0.01267	0.99809	1.00038 	1.00202 	1.00080 	1.00197 	1.00304 	1.00176 
Replication33	 0.04410	0.99627	0.99081 	0.99361 	0.99277 	0.99380 	0.99629 	0.99414 
Replication34	 0.04272	0.99631	0.99132 	0.99369 	0.99286 	0.99403 	0.99645 	0.99424 
Replication35	 0.04660	0.99617	0.99098 	0.99307 	0.99190 	0.99355 	0.99595 	0.99347 
Replication36	 0.01356	0.99735	0.99659 	0.99832 	0.99778 	0.99855 	1.00031 	0.99874 
Replication37	 0.04950	0.99607	0.99013 	0.99264 	0.99175 	0.99300 	0.99558 	0.99322 
