
Replication	FitnessValue	Frequency	Bus1	Bus2	Bus3	Bus4	Bus5	Bus6	Bus1_P	Bus2_P	Bus3_P	Bus4_P	Bus5_P	Bus6_P	Bus1_Q	Bus2_Q	Bus3_Q	Bus4_Q	Bus5_Q	Bus6_Q	PLoss	QLoss
Replication0	 -1.54567	0.99665	0.98222 	0.98496 	0.98468 	0.99276 	0.98683 	0.99230 	-0.12595 	-0.13628 	-0.15079 	0.18985 	0.00000 	0.22508 	-0.04159 	-0.04500 	-0.04979 	0.06936 	0.00000 	0.07318 	0.00190	0.00616
Replication1	 -1.54255	0.99651	0.98031 	0.98316 	0.98458 	0.99162 	0.98571 	0.99180 	-0.13681 	-0.16819 	-0.12652 	0.20104 	0.00000 	0.23262 	-0.04519 	-0.05555 	-0.04179 	0.07527 	0.00000 	0.07406 	0.00215	0.00680
Replication2	 -1.54045	0.99645	0.97996 	0.98263 	0.98348 	0.99141 	0.98647 	0.99134 	-0.14272 	-0.17568 	-0.15072 	0.20365 	0.03004 	0.23773 	-0.04715 	-0.05803 	-0.04979 	0.07582 	0.00992 	0.07659 	0.00230	0.00737
Replication3	 -1.53888	0.99632	0.97827 	0.98228 	0.98239 	0.99073 	0.98449 	0.99060 	-0.15657 	-0.14774 	-0.15780 	0.21123 	0.00621 	0.24707 	-0.05173 	-0.04882 	-0.05214 	0.07860 	0.00205 	0.07987 	0.00241	0.00782
Replication4	 -1.54429	0.99658	0.98137 	0.98409 	0.98449 	0.99222 	0.98626 	0.99200 	-0.12982 	-0.15068 	-0.14211 	0.19526 	0.00000 	0.22935 	-0.04287 	-0.04976 	-0.04693 	0.07202 	0.00000 	0.07398 	0.00201	0.00644
Replication5	 -1.54435	0.99663	0.98099 	0.98503 	0.98466 	0.99248 	0.98650 	0.99225 	-0.14574 	-0.12113 	-0.14961 	0.19244 	0.00000 	0.22603 	-0.04813 	-0.04000 	-0.04940 	0.07105 	0.00000 	0.07300 	0.00199	0.00652
Replication6	 -1.53255	0.99596	0.97528 	0.97963 	0.97936 	0.98887 	0.98164 	0.98855 	-0.16773 	-0.15497 	-0.17847 	0.23163 	0.00000 	0.27242 	-0.05546 	-0.05124 	-0.05901 	0.08613 	0.00000 	0.08899 	0.00289	0.00940
Replication7	 -1.54464	0.99663	0.98126 	0.98470 	0.98488 	0.99243 	0.98654 	0.99229 	-0.13863 	-0.13639 	-0.14157 	0.19281 	0.00000 	0.22576 	-0.04578 	-0.04504 	-0.04675 	0.07134 	0.00000 	0.07262 	0.00198	0.00640
Replication8	 -1.54493	0.99662	0.98167 	0.98450 	0.98476 	0.99246 	0.98655 	0.99221 	-0.12992 	-0.14511 	-0.14236 	0.19275 	0.00000 	0.22659 	-0.04290 	-0.04792 	-0.04701 	0.07102 	0.00000 	0.07312 	0.00196	0.00630
Replication9	 -1.54063	0.99650	0.97951 	0.98316 	0.98429 	0.99152 	0.98665 	0.99178 	-0.15617 	-0.16473 	-0.13925 	0.20187 	0.02777 	0.23279 	-0.05158 	-0.05441 	-0.04599 	0.07602 	0.00917 	0.07413 	0.00228	0.00734
Replication10	 -1.53709	0.99634	0.97729 	0.98209 	0.98317 	0.99050 	0.98509 	0.99094 	-0.17550 	-0.15746 	-0.14229 	0.21251 	0.02165 	0.24365 	-0.05799 	-0.05203 	-0.04701 	0.08067 	0.00715 	0.07745 	0.00255	0.00823
Replication11	 -1.53983	0.99629	0.97946 	0.98176 	0.98193 	0.99079 	0.98423 	0.99030 	-0.13024 	-0.16758 	-0.16138 	0.21127 	0.00000 	0.25027 	-0.04304 	-0.05538 	-0.05333 	0.07756 	0.00000 	0.08170 	0.00235	0.00752
Replication12	 -1.54171	0.99650	0.97939 	0.98387 	0.98399 	0.99163 	0.98549 	0.99165 	-0.15726 	-0.13025 	-0.14556 	0.20118 	0.00000 	0.23409 	-0.05194 	-0.04302 	-0.04808 	0.07508 	0.00000 	0.07511 	0.00220	0.00714
Replication13	 -1.54489	0.99661	0.98174 	0.98464 	0.98434 	0.99251 	0.98649 	0.99206 	-0.12954 	-0.13639 	-0.15274 	0.19254 	0.00000 	0.22808 	-0.04278 	-0.04504 	-0.05044 	0.07045 	0.00000 	0.07416 	0.00196	0.00635
Replication14	 -1.54369	0.99671	0.98180 	0.98532 	0.98471 	0.99296 	0.98878 	0.99260 	-0.14809 	-0.13498 	-0.16681 	0.18733 	0.04340 	0.22119 	-0.04890 	-0.04457 	-0.05507 	0.06896 	0.01433 	0.07197 	0.00204	0.00672
Replication15	 -1.53783	0.99623	0.97782 	0.98172 	0.98147 	0.99035 	0.98363 	0.99002 	-0.15437 	-0.14587 	-0.16692 	0.21568 	0.00000 	0.25396 	-0.05102 	-0.04821 	-0.05516 	0.07981 	0.00000 	0.08268 	0.00249	0.00810
Replication16	 -1.54052	0.99638	0.97912 	0.98294 	0.98270 	0.99117 	0.98474 	0.99087 	-0.14923 	-0.13887 	-0.15964 	0.20674 	0.00000 	0.24329 	-0.04930 	-0.04588 	-0.05274 	0.07640 	0.00000 	0.07897 	0.00228	0.00744
Replication17	 -1.54333	0.99653	0.98123 	0.98374 	0.98381 	0.99208 	0.98643 	0.99168 	-0.13006 	-0.15469 	-0.15479 	0.19713 	0.01148 	0.23301 	-0.04295 	-0.05109 	-0.05113 	0.07236 	0.00379 	0.07572 	0.00208	0.00670
Replication18	 -1.53714	0.99621	0.97735 	0.98117 	0.98194 	0.99005 	0.98347 	0.99009 	-0.15674 	-0.16334 	-0.14944 	0.21828 	0.00000 	0.25378 	-0.05180 	-0.05398 	-0.04939 	0.08173 	0.00000 	0.08163 	0.00255	0.00818
Replication19	 -1.54232	0.99655	0.98105 	0.98418 	0.98322 	0.99224 	0.98715 	0.99160 	-0.14128 	-0.13789 	-0.17716 	0.19566 	0.02948 	0.23333 	-0.04666 	-0.04554 	-0.05851 	0.07138 	0.00974 	0.07665 	0.00214	0.00706
Replication20	 -1.54205	0.99651	0.98051 	0.98365 	0.98348 	0.99189 	0.98654 	0.99154 	-0.14252 	-0.14849 	-0.16183 	0.19901 	0.02123 	0.23477 	-0.04708 	-0.04904 	-0.05345 	0.07331 	0.00701 	0.07631 	0.00217	0.00706
Replication21	 -1.54161	0.99652	0.98013 	0.98322 	0.98435 	0.99168 	0.98663 	0.99182 	-0.14605 	-0.16854 	-0.13847 	0.20042 	0.02270 	0.23215 	-0.04824 	-0.05567 	-0.04574 	0.07508 	0.00750 	0.07414 	0.00221	0.00708
Replication22	 -1.54406	0.99667	0.98101 	0.98435 	0.98618 	0.99234 	0.98723 	0.99284 	-0.14423 	-0.16369 	-0.11325 	0.19264 	0.01051 	0.22004 	-0.04762 	-0.05405 	-0.03739 	0.07292 	0.00347 	0.06912 	0.00203	0.00645
Replication23	 -1.54234	0.99659	0.98051 	0.98410 	0.98448 	0.99212 	0.98735 	0.99211 	-0.15121 	-0.15052 	-0.14944 	0.19582 	0.02941 	0.22809 	-0.04994 	-0.04971 	-0.04935 	0.07300 	0.00971 	0.07326 	0.00215	0.00698
Replication24	 -1.54644	0.99683	0.98326 	0.98565 	0.98640 	0.99348 	0.98940 	0.99343 	-0.12980 	-0.15870 	-0.13683 	0.18122 	0.03448 	0.21147 	-0.04284 	-0.05238 	-0.04517 	0.06720 	0.01138 	0.06773 	0.00184	0.00592
Replication25	 -1.53994	0.99643	0.97937 	0.98285 	0.98318 	0.99133 	0.98621 	0.99123 	-0.15324 	-0.15870 	-0.15782 	0.20461 	0.02838 	0.23910 	-0.05062 	-0.05243 	-0.05213 	0.07617 	0.00937 	0.07719 	0.00233	0.00756
Replication26	 -1.53544	0.99613	0.97643 	0.98090 	0.98098 	0.98968 	0.98284 	0.98958 	-0.16630 	-0.14966 	-0.16375 	0.22246 	0.00000 	0.25992 	-0.05497 	-0.04947 	-0.05413 	0.08305 	0.00000 	0.08418 	0.00267	0.00867
Replication27	 -1.53860	0.99637	0.97764 	0.98248 	0.98363 	0.99067 	0.98446 	0.99112 	-0.16908 	-0.14871 	-0.13205 	0.21077 	0.00000 	0.24150 	-0.05586 	-0.04913 	-0.04363 	0.07992 	0.00000 	0.07654 	0.00244	0.00783
Replication28	 -1.53483	0.99605	0.97657 	0.97983 	0.98059 	0.98931 	0.98243 	0.98918 	-0.15238 	-0.17767 	-0.15873 	0.22659 	0.00000 	0.26492 	-0.05038 	-0.05874 	-0.05248 	0.08450 	0.00000 	0.08581 	0.00273	0.00872
Replication29	 -1.54022	0.99645	0.97974 	0.98358 	0.98252 	0.99167 	0.98641 	0.99112 	-0.15414 	-0.13341 	-0.18140 	0.20168 	0.03001 	0.23957 	-0.05092 	-0.04407 	-0.05992 	0.07400 	0.00991 	0.07860 	0.00230	0.00760
Replication30	 -1.53486	0.99612	0.97602 	0.98087 	0.98103 	0.98957 	0.98273 	0.98957 	-0.17240 	-0.14689 	-0.16161 	0.22346 	0.00000 	0.26015 	-0.05699 	-0.04856 	-0.05342 	0.08375 	0.00000 	0.08402 	0.00271	0.00881
Replication31	 -1.54007	0.99641	0.97867 	0.98251 	0.98400 	0.99095 	0.98487 	0.99133 	-0.15432 	-0.16316 	-0.12691 	0.20792 	0.00000 	0.23880 	-0.05098 	-0.05390 	-0.04193 	0.07854 	0.00000 	0.07570 	0.00233	0.00743
Replication32	 -1.54015	0.99648	0.97831 	0.98359 	0.98444 	0.99127 	0.98524 	0.99174 	-0.17182 	-0.13322 	-0.13054 	0.20420 	0.00000 	0.23370 	-0.05676 	-0.04400 	-0.04312 	0.07745 	0.00000 	0.07391 	0.00232	0.00748
Replication33	 -1.53201	0.99593	0.97515 	0.97873 	0.97994 	0.98853 	0.98149 	0.98861 	-0.16173 	-0.18711 	-0.15539 	0.23465 	0.00000 	0.27252 	-0.05348 	-0.06187 	-0.05138 	0.08821 	0.00000 	0.08791 	0.00294	0.00938
Replication34	 -1.54525	0.99658	0.98323 	0.98399 	0.98376 	0.99263 	0.98653 	0.99173 	-0.09840 	-0.16378 	-0.15950 	0.19216 	0.00000 	0.23147 	-0.03250 	-0.05409 	-0.05268 	0.06910 	0.00000 	0.07633 	0.00194	0.00617
Replication35	 -1.53414	0.99601	0.97627 	0.97966 	0.98004 	0.98915 	0.98212 	0.98889 	-0.15416 	-0.17274 	-0.16718 	0.22853 	0.00000 	0.26832 	-0.05097 	-0.05711 	-0.05527 	0.08496 	0.00000 	0.08732 	0.00277	0.00892
Replication36	 -1.53005	0.99585	0.97411 	0.97820 	0.97925 	0.98805 	0.98083 	0.98815 	-0.17091 	-0.18312 	-0.16085 	0.23973 	0.00000 	0.27825 	-0.05653 	-0.06056 	-0.05320 	0.09030 	0.00000 	0.08987 	0.00309	0.00989
Replication37	 -1.53735	0.99621	0.97754 	0.98157 	0.98134 	0.99022 	0.98346 	0.98992 	-0.15686 	-0.14595 	-0.16698 	0.21705 	0.00000 	0.25527 	-0.05184 	-0.04824 	-0.05519 	0.08043 	0.00000 	0.08305 	0.00252	0.00822
