
Replication	FitnessValue	Frequency	Bus1	Bus2	Bus3	Bus4	Bus5	Bus6	Bus1_P	Bus2_P	Bus3_P	Bus4_P	Bus5_P	Bus6_P	Bus1_Q	Bus2_Q	Bus3_Q	Bus4_Q	Bus5_Q	Bus6_Q	PLoss	QLoss
Replication0	 -1.54298	0.99812	0.99242 	0.99507 	0.99605 	0.99831 	1.00632 	1.00196 	-0.14117 	-0.12617 	-0.14561 	0.11092 	0.23116 	0.07302 	-0.04648 	-0.04154 	-0.04794 	0.00152 	0.07610 	0.06471 	0.00214	0.00637
Replication1	 -1.54580	0.99810	0.99231 	0.99492 	0.99637 	0.99815 	1.00557 	1.00198 	-0.13702 	-0.12787 	-0.13168 	0.11238 	0.21326 	0.07286 	-0.04511 	-0.04210 	-0.04336 	0.00165 	0.07021 	0.06445 	0.00193	0.00574
Replication2	 -1.53836	0.99745	0.98657 	0.98982 	0.99259 	0.99397 	1.00147 	0.99932 	-0.16202 	-0.16287 	-0.13958 	0.15146 	0.21840 	0.09710 	-0.05342 	-0.05369 	-0.04602 	0.00282 	0.07200 	0.08581 	0.00249	0.00751
Replication3	 -1.54148	0.99758	0.98902 	0.99104 	0.99285 	0.99522 	1.00231 	0.99969 	-0.13671 	-0.15607 	-0.15149 	0.14163 	0.21130 	0.09359 	-0.04506 	-0.05144 	-0.04993 	0.00062 	0.06964 	0.08288 	0.00226	0.00672
Replication4	 -1.53638	0.99725	0.98561 	0.98882 	0.99059 	0.99311 	1.00029 	0.99827 	-0.16137 	-0.15468 	-0.16720 	0.16138 	0.21803 	0.10648 	-0.05322 	-0.05101 	-0.05514 	0.00114 	0.07191 	0.09431 	0.00265	0.00798
Replication5	 -1.54307	0.99705	0.98533 	0.98758 	0.99019 	0.99218 	0.99730 	0.99762 	-0.13613 	-0.16450 	-0.14444 	0.17156 	0.16310 	0.11253 	-0.04491 	-0.05427 	-0.04766 	-0.00006 	0.05381 	0.09950 	0.00213	0.00640
Replication6	 -1.54073	0.99725	0.98464 	0.98856 	0.99206 	0.99265 	0.99901 	0.99867 	-0.16784 	-0.16056 	-0.12283 	0.16365 	0.18675 	0.10313 	-0.05535 	-0.05296 	-0.04051 	0.00330 	0.06159 	0.09095 	0.00230	0.00703
Replication7	 -1.53019	0.99831	0.99319 	0.99550 	0.99624 	0.99912 	1.00991 	1.00248 	-0.15451 	-0.14862 	-0.16872 	0.10147 	0.30538 	0.06815 	-0.05085 	-0.04891 	-0.05553 	0.00326 	0.10050 	0.06069 	0.00315	0.00916
Replication8	 -1.53959	0.99816	0.99314 	0.99467 	0.99620 	0.99847 	1.00741 	1.00207 	-0.13208 	-0.15501 	-0.14507 	0.10896 	0.25366 	0.07196 	-0.04348 	-0.05103 	-0.04776 	0.00198 	0.08351 	0.06383 	0.00242	0.00705
Replication9	 -1.53285	0.99652	0.98184 	0.98369 	0.98561 	0.98924 	0.99474 	0.99500 	-0.14318 	-0.18459 	-0.19230 	0.20123 	0.18566 	0.13610 	-0.04729 	-0.06097 	-0.06352 	-0.00151 	0.06132 	0.12070 	0.00292	0.00874
Replication10	 -1.53831	0.99582	0.97569 	0.98004 	0.98317 	0.98498 	0.98502 	0.99249 	-0.15338 	-0.14499 	-0.14821 	0.24200 	0.04795 	0.15912 	-0.05073 	-0.04796 	-0.04902 	-0.00121 	0.01586 	0.14065 	0.00249	0.00759
Replication11	 -1.54137	0.99764	0.98945 	0.99156 	0.99315 	0.99561 	1.00288 	0.99995 	-0.13763 	-0.15152 	-0.15351 	0.13779 	0.21586 	0.09127 	-0.04536 	-0.04993 	-0.05059 	0.00063 	0.07114 	0.08085 	0.00227	0.00675
Replication12	 -1.54133	0.99749	0.98704 	0.99057 	0.99281 	0.99438 	1.00124 	0.99949 	-0.15933 	-0.14470 	-0.14047 	0.14826 	0.20300 	0.09550 	-0.05252 	-0.04770 	-0.04631 	0.00207 	0.06692 	0.08440 	0.00226	0.00686
Replication13	 -1.53990	0.99778	0.98871 	0.99232 	0.99452 	0.99588 	1.00384 	1.00069 	-0.16353 	-0.14313 	-0.13626 	0.13267 	0.22800 	0.08462 	-0.05388 	-0.04715 	-0.04489 	0.00318 	0.07512 	0.07478 	0.00238	0.00716
Replication14	 -1.53533	0.99724	0.98632 	0.98882 	0.98996 	0.99331 	1.00056 	0.99806 	-0.15088 	-0.15645 	-0.18320 	0.16073 	0.22419 	0.10834 	-0.04976 	-0.05160 	-0.06042 	-0.00010 	0.07394 	0.09612 	0.00273	0.00818
Replication15	 -1.53878	0.99786	0.99161 	0.99294 	0.99373 	0.99704 	1.00523 	1.00063 	-0.12817 	-0.15196 	-0.16963 	0.12473 	0.24253 	0.08498 	-0.04222 	-0.05006 	-0.05588 	0.00001 	0.07989 	0.07550 	0.00248	0.00725
Replication16	 -1.53531	0.99826	0.99320 	0.99514 	0.99648 	0.99885 	1.00877 	1.00239 	-0.14397 	-0.15389 	-0.15219 	0.10442 	0.27940 	0.06898 	-0.04739 	-0.05065 	-0.05009 	0.00292 	0.09196 	0.06127 	0.00275	0.00802
Replication17	 -1.54502	0.99754	0.98885 	0.99114 	0.99283 	0.99508 	1.00117 	0.99958 	-0.13329 	-0.14310 	-0.14557 	0.14355 	0.18571 	0.09468 	-0.04394 	-0.04717 	-0.04798 	0.00004 	0.06121 	0.08378 	0.00198	0.00595
Replication18	 -1.54088	0.99677	0.98233 	0.98594 	0.98842 	0.99039 	0.99487 	0.99643 	-0.15672 	-0.15095 	-0.15238 	0.18853 	0.15050 	0.12331 	-0.05174 	-0.04983 	-0.05030 	0.00019 	0.04969 	0.10901 	0.00229	0.00701
Replication19	 -1.54025	0.99812	0.99223 	0.99451 	0.99624 	0.99810 	1.00684 	1.00200 	-0.14264 	-0.14793 	-0.13886 	0.11190 	0.24725 	0.07264 	-0.04696 	-0.04870 	-0.04572 	0.00260 	0.08140 	0.06434 	0.00236	0.00696
