
Replication	FitnessValue	Frequency	Bus1	Bus2	Bus3	Bus4	Bus5	Bus6	Bus1_P	Bus2_P	Bus3_P	Bus4_P	Bus5_P	Bus6_P	Bus1_Q	Bus2_Q	Bus3_Q	Bus4_Q	Bus5_Q	Bus6_Q	PLoss	QLoss
Replication0	 -1.54104	0.99635	0.98015 	0.98251 	0.98209 	0.99124 	0.98471 	0.99056 	-0.12767 	-0.15472 	-0.16869 	0.20671 	0.00000 	0.24662 	-0.04218 	-0.05112 	-0.05574 	0.07533 	0.00000 	0.08099 	0.00225	0.00727
Replication1	 -1.54466	0.99657	0.98192 	0.98423 	0.98398 	0.99239 	0.98631 	0.99182 	-0.12173 	-0.14578 	-0.15542 	0.19404 	0.00000 	0.23087 	-0.04020 	-0.04815 	-0.05133 	0.07069 	0.00000 	0.07537 	0.00198	0.00638
Replication2	 -1.53879	0.99624	0.97891 	0.98211 	0.98082 	0.99074 	0.98385 	0.98986 	-0.14032 	-0.13764 	-0.18695 	0.21244 	0.00000 	0.25489 	-0.04637 	-0.04549 	-0.06178 	0.07719 	0.00000 	0.08438 	0.00241	0.00793
Replication3	 -1.54062	0.99646	0.97878 	0.98385 	0.98345 	0.99145 	0.98515 	0.99138 	-0.16542 	-0.11783 	-0.15494 	0.20326 	0.00000 	0.23721 	-0.05464 	-0.03892 	-0.05118 	0.07574 	0.00000 	0.07646 	0.00227	0.00745
Replication4	 -1.54322	0.99661	0.98012 	0.98435 	0.98545 	0.99205 	0.98629 	0.99242 	-0.15377 	-0.14195 	-0.12326 	0.19603 	0.00000 	0.22503 	-0.05078 	-0.04688 	-0.04070 	0.07394 	0.00000 	0.07112 	0.00209	0.00670
Replication5	 -1.54686	0.99677	0.98287 	0.98590 	0.98554 	0.99334 	0.98796 	0.99295 	-0.12981 	-0.12882 	-0.14892 	0.18343 	0.00899 	0.21693 	-0.04285 	-0.04253 	-0.04916 	0.06714 	0.00297 	0.07033 	0.00180	0.00589
Replication6	 -1.53268	0.99592	0.97585 	0.97922 	0.97872 	0.98884 	0.98147 	0.98820 	-0.15353 	-0.16484 	-0.18755 	0.23257 	0.00000 	0.27622 	-0.05077 	-0.05451 	-0.06202 	0.08565 	0.00000 	0.09100 	0.00288	0.00935
Replication7	 -1.53943	0.99638	0.97813 	0.98293 	0.98329 	0.99094 	0.98464 	0.99109 	-0.16556 	-0.13638 	-0.14542 	0.20838 	0.00000 	0.24134 	-0.05470 	-0.04506 	-0.04804 	0.07823 	0.00000 	0.07726 	0.00237	0.00768
Replication8	 -1.55455	0.99745	0.98883 	0.99140 	0.98975 	0.99713 	0.99391 	0.99637 	-0.11032 	-0.08964 	-0.15263 	0.14274 	0.03831 	0.17275 	-0.03637 	-0.02955 	-0.05032 	0.05082 	0.01263 	0.05687 	0.00122	0.00409
Replication9	 -1.53834	0.99625	0.97840 	0.98198 	0.98133 	0.99061 	0.98412 	0.99007 	-0.14959 	-0.14458 	-0.17604 	0.21324 	0.00651 	0.25290 	-0.04943 	-0.04778 	-0.05818 	0.07837 	0.00215 	0.08287 	0.00245	0.00800
Replication10	 -1.53889	0.99632	0.97884 	0.98111 	0.98370 	0.99047 	0.98440 	0.99092 	-0.13661 	-0.20226 	-0.11598 	0.21303 	0.00000 	0.24425 	-0.04514 	-0.06683 	-0.03832 	0.08059 	0.00000 	0.07729 	0.00243	0.00758
Replication11	 -1.54050	0.99637	0.97918 	0.98275 	0.98271 	0.99112 	0.98472 	0.99084 	-0.14649 	-0.14550 	-0.15727 	0.20731 	0.00048 	0.24375 	-0.04840 	-0.04807 	-0.05196 	0.07665 	0.00016 	0.07904 	0.00229	0.00742
Replication12	 -1.54435	0.99656	0.98176 	0.98424 	0.98368 	0.99234 	0.98617 	0.99169 	-0.12376 	-0.14018 	-0.16124 	0.19474 	0.00000 	0.23243 	-0.04087 	-0.04630 	-0.05325 	0.07077 	0.00000 	0.07614 	0.00200	0.00649
Replication13	 -1.53671	0.99615	0.97742 	0.98101 	0.98086 	0.98997 	0.98311 	0.98959 	-0.15197 	-0.15521 	-0.16952 	0.21994 	0.00000 	0.25934 	-0.05023 	-0.05130 	-0.05603 	0.08133 	0.00000 	0.08459 	0.00258	0.00835
Replication14	 -1.53608	0.99640	0.97675 	0.98321 	0.98315 	0.99081 	0.98566 	0.99119 	-0.19748 	-0.12145 	-0.15804 	0.20915 	0.03026 	0.24018 	-0.06524 	-0.04012 	-0.05221 	0.07947 	0.01000 	0.07670 	0.00261	0.00859
Replication15	 -1.54197	0.99658	0.97931 	0.98476 	0.98465 	0.99196 	0.98594 	0.99212 	-0.16898 	-0.11150 	-0.14290 	0.19728 	0.00000 	0.22827 	-0.05580 	-0.03682 	-0.04719 	0.07403 	0.00000 	0.07290 	0.00217	0.00710
Replication16	 -1.54686	0.99682	0.98281 	0.98517 	0.98755 	0.99311 	0.98792 	0.99363 	-0.12460 	-0.17199 	-0.09608 	0.18434 	0.00000 	0.21016 	-0.04113 	-0.05677 	-0.03172 	0.06969 	0.00000 	0.06563 	0.00182	0.00570
Replication17	 -1.54143	0.99642	0.98000 	0.98237 	0.98386 	0.99123 	0.98516 	0.99130 	-0.13209 	-0.17918 	-0.13076 	0.20553 	0.00000 	0.23872 	-0.04364 	-0.05919 	-0.04320 	0.07673 	0.00000 	0.07634 	0.00223	0.00705
Replication18	 -1.54043	0.99659	0.97841 	0.98528 	0.98477 	0.99193 	0.98589 	0.99225 	-0.18825 	-0.08831 	-0.14521 	0.19721 	0.00000 	0.22684 	-0.06217 	-0.02916 	-0.04795 	0.07456 	0.00000 	0.07223 	0.00229	0.00751
Replication19	 -1.53477	0.99615	0.97630 	0.97994 	0.98251 	0.98936 	0.98296 	0.99004 	-0.16137 	-0.19546 	-0.12061 	0.22455 	0.00000 	0.25563 	-0.05334 	-0.06461 	-0.03987 	0.08576 	0.00000 	0.08067 	0.00274	0.00863
Replication20	 -1.53580	0.99609	0.97745 	0.98038 	0.98015 	0.98974 	0.98298 	0.98918 	-0.14539 	-0.16695 	-0.17793 	0.22272 	0.00605 	0.26415 	-0.04806 	-0.05519 	-0.05882 	0.08195 	0.00200 	0.08668 	0.00265	0.00856
Replication21	 -1.54276	0.99656	0.98049 	0.98372 	0.98472 	0.99193 	0.98662 	0.99206 	-0.14395 	-0.15978 	-0.13536 	0.19772 	0.01433 	0.22916 	-0.04754 	-0.05277 	-0.04470 	0.07395 	0.00473 	0.07313 	0.00212	0.00681
Replication22	 -1.53634	0.99619	0.97708 	0.98211 	0.98059 	0.99027 	0.98328 	0.98969 	-0.16802 	-0.11593 	-0.18781 	0.21686 	0.00000 	0.25749 	-0.05553 	-0.03832 	-0.06207 	0.07980 	0.00000 	0.08471 	0.00259	0.00859
Replication23	 -1.54310	0.99657	0.98086 	0.98344 	0.98520 	0.99193 	0.98660 	0.99220 	-0.13511 	-0.17675 	-0.12165 	0.19754 	0.01043 	0.22765 	-0.04462 	-0.05837 	-0.04018 	0.07420 	0.00344 	0.07217 	0.00211	0.00665
Replication24	 -1.54007	0.99634	0.97921 	0.98187 	0.98312 	0.99082 	0.98456 	0.99083 	-0.13759 	-0.17650 	-0.13811 	0.21005 	0.00000 	0.24447 	-0.04546 	-0.05832 	-0.04563 	0.07836 	0.00000 	0.07845 	0.00233	0.00740
Replication25	 -1.51829	0.99536	0.97057 	0.97310 	0.97579 	0.98526 	0.97816 	0.98552 	-0.17178 	-0.25876 	-0.16701 	0.26951 	0.02063 	0.31142 	-0.05687 	-0.08566 	-0.05529 	0.10257 	0.00683 	0.10096 	0.00400	0.01253
Replication26	 -1.53284	0.99601	0.97521 	0.98038 	0.97967 	0.98913 	0.98194 	0.98884 	-0.17709 	-0.13614 	-0.18132 	0.22866 	0.00000 	0.26875 	-0.05855 	-0.04501 	-0.05995 	0.08511 	0.00000 	0.08778 	0.00286	0.00938
Replication27	 -1.52732	0.99584	0.97276 	0.97775 	0.97989 	0.98762 	0.98105 	0.98835 	-0.19128 	-0.19432 	-0.14301 	0.24313 	0.01198 	0.27680 	-0.06326 	-0.06427 	-0.04730 	0.09338 	0.00396 	0.08801 	0.00330	0.01052
Replication28	 -1.53544	0.99634	0.97586 	0.98214 	0.98423 	0.99012 	0.98404 	0.99125 	-0.19416 	-0.14766 	-0.11188 	0.21534 	0.00000 	0.24105 	-0.06415 	-0.04879 	-0.03697 	0.08356 	0.00000 	0.07492 	0.00268	0.00857
Replication29	 -1.54969	0.99694	0.98526 	0.98746 	0.98607 	0.99453 	0.98935 	0.99362 	-0.11032 	-0.11473 	-0.16283 	0.17136 	0.01072 	0.20739 	-0.03641 	-0.03786 	-0.05374 	0.06120 	0.00354 	0.06852 	0.00159	0.00525
Replication30	 -1.54791	0.99691	0.98269 	0.98691 	0.98761 	0.99371 	0.98845 	0.99402 	-0.14469 	-0.12017 	-0.11622 	0.17808 	0.00000 	0.20472 	-0.04775 	-0.03966 	-0.03836 	0.06686 	0.00000 	0.06450 	0.00173	0.00559
Replication31	 -1.52773	0.99596	0.97328 	0.97933 	0.97969 	0.98843 	0.98290 	0.98876 	-0.20668 	-0.15945 	-0.17618 	0.23492 	0.04007 	0.27058 	-0.06834 	-0.05272 	-0.05826 	0.08947 	0.01325 	0.08722 	0.00325	0.01062
Replication32	 -1.54017	0.99634	0.97914 	0.98255 	0.98232 	0.99102 	0.98452 	0.99062 	-0.14438 	-0.14569 	-0.16276 	0.20859 	0.00029 	0.24626 	-0.04770 	-0.04814 	-0.05378 	0.07685 	0.00010 	0.08018 	0.00231	0.00751
