
Replication	FitnessValue	Frequency	Bus1	Bus2	Bus3	Bus4	Bus5	Bus6	Bus1_P	Bus2_P	Bus3_P	Bus4_P	Bus5_P	Bus6_P	Bus1_Q	Bus2_Q	Bus3_Q	Bus4_Q	Bus5_Q	Bus6_Q	PLoss	QLoss
Replication0	 0.00112	0.99388	0.96238 	0.96185 	0.95996 	0.97844 	0.96668 	0.97581 	-0.14603 	-0.29993 	-0.32159 	0.34742 	0.00000 	0.42685 	-0.04849 	-0.09959 	-0.10678 	0.12712 	0.00000 	0.14913 	0.00673	0.02140
Replication1	 -1.54378	0.99697	0.98986 	0.98366 	0.98839 	0.99438 	0.98979 	0.99401 	0.00000 	-0.30022 	-0.07548 	0.17192 	0.00247 	0.20344 	0.00000 	-0.09907 	-0.02491 	0.06290 	0.00082 	0.06600 	0.00213	0.00574
Replication2	 -1.52725	0.99618	0.97209 	0.98126 	0.98336 	0.98882 	0.98245 	0.99053 	-0.24078 	-0.12369 	-0.11102 	0.22801 	0.00000 	0.25077 	-0.07958 	-0.04088 	-0.03669 	0.09041 	0.00000 	0.07730 	0.00330	0.01056
Replication3	 -1.53822	0.99644	0.98565 	0.98190 	0.98064 	0.99253 	0.98761 	0.99026 	-0.04440 	-0.22469 	-0.21512 	0.19541 	0.04429 	0.24700 	-0.01467 	-0.07422 	-0.07106 	0.06736 	0.01463 	0.08557 	0.00250	0.00761
Replication4	 -1.54951	0.99692	0.98679 	0.98558 	0.98721 	0.99424 	0.98906 	0.99374 	-0.06589 	-0.19702 	-0.11631 	0.17394 	0.00000 	0.20692 	-0.02175 	-0.06502 	-0.03839 	0.06301 	0.00000 	0.06708 	0.00164	0.00493
Replication5	 -1.53983	0.99647	0.98516 	0.98271 	0.98062 	0.99267 	0.98744 	0.99037 	-0.05898 	-0.19376 	-0.22256 	0.19392 	0.03814 	0.24560 	-0.01948 	-0.06400 	-0.07352 	0.06666 	0.01260 	0.08516 	0.00236	0.00742
Replication6	 0.00036	0.99464	0.96920 	0.96492 	0.96986 	0.98167 	0.97279 	0.98109 	-0.09363 	-0.40255 	-0.17879 	0.30957 	0.00582 	0.36524 	-0.03104 	-0.13346 	-0.05928 	0.11649 	0.00193 	0.12183 	0.00566	0.01646
Replication7	 -1.53098	0.99657	0.97575 	0.98672 	0.98284 	0.99179 	0.98595 	0.99172 	-0.24550 	0.00000 	-0.20285 	0.19870 	0.02072 	0.23190 	-0.08108 	0.00000 	-0.06699 	0.07514 	0.00684 	0.07613 	0.00298	0.01004
Replication8	 -1.50497	0.99704	0.96943 	0.98808 	0.99273 	0.99106 	0.98692 	0.99606 	-0.36882 	-0.01254 	0.00000 	0.19572 	0.00605 	0.18465 	-0.12169 	-0.00414 	0.00000 	0.08902 	0.00200 	0.05014 	0.00506	0.01533
Replication9	 -1.57002	0.99955	1.00730 	1.00723 	1.00557 	1.00813 	1.00730 	1.00736 	-0.00661 	0.00000 	-0.05373 	0.02211 	0.00583 	0.03245 	-0.00217 	0.00000 	-0.01764 	0.00599 	0.00192 	0.01212 	0.00006	0.00021
