
Replication	FitnessValue	Frequency	Bus1	Bus2	Bus3	Bus4	Bus5	Bus6	Bus1_P	Bus2_P	Bus3_P	Bus4_P	Bus5_P	Bus6_P	Bus1_Q	Bus2_Q	Bus3_Q	Bus4_Q	Bus5_Q	Bus6_Q	PLoss	QLoss
Replication0	 -1.53845	0.99804	0.98259 	0.99598 	0.99907 	0.99756 	0.99571 	1.00114 	-0.26839 	0.00000 	0.00000 	0.12883 	0.02292 	0.11911 	-0.08838 	0.00000 	0.00000 	0.05824 	0.00755 	0.03012 	0.00248	0.00753
Replication1	 -1.53285	0.99624	0.97455 	0.98157 	0.98327 	0.98955 	0.98321 	0.99065 	-0.20632 	-0.13908 	-0.12171 	0.22153 	0.00000 	0.24845 	-0.06818 	-0.04596 	-0.04022 	0.08600 	0.00000 	0.07759 	0.00287	0.00922
Replication2	 -1.55143	0.99787	0.98650 	0.99338 	0.99771 	0.99749 	0.99508 	1.00008 	-0.17584 	-0.09834 	0.00000 	0.13231 	0.01150 	0.13184 	-0.05792 	-0.03239 	0.00000 	0.05579 	0.00379 	0.03537 	0.00147	0.00463
Replication3	 -1.56830	0.99916	1.00434 	1.00245 	1.00484 	1.00558 	1.00452 	1.00586 	0.00000 	-0.10204 	0.00000 	0.04834 	0.00000 	0.05389 	0.00000 	-0.03352 	0.00000 	0.01818 	0.00000 	0.01587 	0.00020	0.00053
Replication4	 0.00163	0.99337	0.95590 	0.95928 	0.95383 	0.97567 	0.96223 	0.97236 	-0.20623 	-0.23416 	-0.39659 	0.37751 	0.00000 	0.46761 	-0.06855 	-0.07783 	-0.13182 	0.13873 	0.00000 	0.16660 	0.00814	0.02714
Replication5	 0.00387	0.99267	0.95379 	0.95234 	0.94613 	0.97236 	0.95718 	0.96750 	-0.15386 	-0.31761 	-0.45766 	0.41499 	0.00000 	0.52443 	-0.05121 	-0.10571 	-0.15233 	0.15106 	0.00000 	0.19170 	0.01028	0.03350
Replication6	 -1.53772	0.99715	0.97918 	0.99056 	0.98869 	0.99435 	0.99060 	0.99533 	-0.24833 	0.00000 	-0.14384 	0.16901 	0.03737 	0.18828 	-0.08192 	0.00000 	-0.04745 	0.06634 	0.01233 	0.05885 	0.00249	0.00815
Replication7	 -1.54579	0.99682	0.98447 	0.98388 	0.98820 	0.99308 	0.98818 	0.99372 	-0.08644 	-0.23530 	-0.07005 	0.18442 	0.00000 	0.20931 	-0.02853 	-0.07767 	-0.02312 	0.06999 	0.00000 	0.06506 	0.00193	0.00572
Replication8	 -1.49677	0.99692	0.96718 	0.98732 	0.99196 	0.99017 	0.98555 	0.99545 	-0.39127 	0.00000 	0.00000 	0.20450 	0.00000 	0.19247 	-0.12913 	0.00000 	0.00000 	0.09362 	0.00000 	0.05269 	0.00570	0.01718
Replication9	 0.00250	0.99491	0.94750 	0.97008 	0.97646 	0.97844 	0.97041 	0.98428 	-0.47866 	-0.11399 	-0.06648 	0.32885 	0.00817 	0.33215 	-0.15860 	-0.03777 	-0.02203 	0.14570 	0.00271 	0.10126 	0.01005	0.03125
Replication10	 -1.52114	0.99567	0.97963 	0.97327 	0.97775 	0.98761 	0.98059 	0.98672 	-0.03255 	-0.36516 	-0.14320 	0.24619 	0.00436 	0.29424 	-0.01077 	-0.12081 	-0.04738 	0.09047 	0.00144 	0.09792 	0.00388	0.01088
Replication11	 -1.56866	0.99923	1.00477 	1.00303 	1.00524 	1.00591 	1.00494 	1.00617 	0.00000 	-0.09431 	0.00000 	0.04467 	0.00000 	0.04981 	0.00000 	-0.03098 	0.00000 	0.01679 	0.00000 	0.01465 	0.00017	0.00045
Replication12	 -1.57065	0.99979	1.00862 	1.00815 	1.00874 	1.00892 	1.00866 	1.00899 	0.00000 	-0.02509 	0.00000 	0.01187 	0.00000 	0.01324 	0.00000 	-0.00823 	0.00000 	0.00442 	0.00000 	0.00385 	0.00001	0.00003
Replication13	 0.03806	0.99142	0.91194 	0.93876 	0.94548 	0.95726 	0.94135 	0.96292 	-0.61472 	-0.27612 	-0.23396 	0.55090 	0.00488 	0.59126 	-0.20512 	-0.09213 	-0.07807 	0.24212 	0.00163 	0.20199 	0.02225	0.07042
Replication14	 -1.54859	0.99706	0.99118 	0.98593 	0.98730 	0.99548 	0.99042 	0.99404 	0.00000 	-0.23330 	-0.12801 	0.16199 	0.00000 	0.20105 	0.00000 	-0.07697 	-0.04223 	0.05628 	0.00000 	0.06779 	0.00173	0.00486
Replication15	 0.00136	0.99364	0.95553 	0.95654 	0.96370 	0.97498 	0.96426 	0.97606 	-0.20297 	-0.42614 	-0.17078 	0.37781 	0.00000 	0.43023 	-0.06743 	-0.14156 	-0.05673 	0.14880 	0.00000 	0.14153 	0.00815	0.02460
Replication16	 -1.54491	0.99711	0.99054 	0.98445 	0.98995 	0.99489 	0.99058 	0.99488 	0.00000 	-0.30298 	-0.05374 	0.16568 	0.00000 	0.19308 	0.00000 	-0.09995 	-0.01773 	0.06146 	0.00000 	0.06170 	0.00204	0.00548
Replication17	 0.00128	0.99372	0.95116 	0.95587 	0.96691 	0.97387 	0.96469 	0.97727 	-0.27211 	-0.44561 	-0.09550 	0.38470 	0.01948 	0.41828 	-0.09038 	-0.14801 	-0.03172 	0.15860 	0.00647 	0.13324 	0.00924	0.02820
Replication18	 0.04302	0.99146	0.90698 	0.93598 	0.94862 	0.95525 	0.94040 	0.96361 	-0.66186 	-0.34291 	-0.13260 	0.56536 	0.01278 	0.58467 	-0.22083 	-0.11441 	-0.04424 	0.25785 	0.00426 	0.19700 	0.02544	0.07963
Replication19	 0.00082	0.99418	0.96277 	0.96460 	0.96342 	0.97966 	0.96869 	0.97791 	-0.17458 	-0.26721 	-0.28759 	0.33292 	0.00000 	0.40249 	-0.05793 	-0.08867 	-0.09543 	0.12323 	0.00000 	0.13815 	0.00603	0.01934
Replication20	 0.00029	0.99471	0.95014 	0.96996 	0.97254 	0.97884 	0.96956 	0.98256 	-0.43059 	-0.09437 	-0.14710 	0.32948 	0.00000 	0.35120 	-0.14274 	-0.03128 	-0.04876 	0.13899 	0.00000 	0.11106 	0.00863	0.02727
Replication21	 -1.53729	0.99686	0.97760 	0.98555 	0.99010 	0.99204 	0.98735 	0.99463 	-0.21381 	-0.13869 	-0.03734 	0.19159 	0.00000 	0.20080 	-0.07057 	-0.04578 	-0.01233 	0.07848 	0.00000 	0.05821 	0.00255	0.00801
