
 Replication 	 FitnessValue 	 Frequency	Bus1	Bus2	Bus3	Bus4	Bus5	Bus6
Replication0	 0.22197	0.99677	0.96162 	0.96379 	0.96264 	0.96470 	0.96486 	0.96445 
Replication1	 0.19127	0.99711	0.96705 	0.96878 	0.96759 	0.96966 	0.96973 	0.96928 
Replication2	 0.15740	0.99750	0.97240 	0.97437 	0.97376 	0.97496 	0.97518 	0.97503 
Replication3	 0.14274	0.99768	0.97451 	0.97679 	0.97662 	0.97719 	0.97755 	0.97764 
Replication4	 0.24648	0.99650	0.95731 	0.95981 	0.95861 	0.96076 	0.96096 	0.96056 
Replication5	 0.20850	0.99694	0.96421 	0.96666 	0.96398 	0.96729 	0.96701 	0.96624 
Replication6	 0.23053	0.99667	0.96044 	0.96238 	0.96093 	0.96343 	0.96348 	0.96291 
Replication7	 0.24430	0.99652	0.95794 	0.96013 	0.95875 	0.96118 	0.96129 	0.96077 
Replication8	 0.23506	0.99662	0.96003 	0.96165 	0.95988 	0.96284 	0.96277 	0.96202 
Replication9	 0.16990	0.99736	0.97025 	0.97232 	0.97167 	0.97295 	0.97319 	0.97302 
Replication10	 0.24293	0.99653	0.95836 	0.96035 	0.95881 	0.96146 	0.96150 	0.96089 
Replication11	 0.10435	0.99811	0.98162 	0.98304 	0.98254 	0.98351 	0.98366 	0.98351 
Replication12	 0.25472	0.99640	0.95625 	0.95842 	0.95690 	0.95954 	0.95962 	0.95904 
Replication13	 0.26339	0.99631	0.95424 	0.95704 	0.95598 	0.95800 	0.95828 	0.95797 
Replication14	 0.20253	0.99699	0.96491 	0.96697 	0.96594 	0.96781 	0.96796 	0.96761 
Replication15	 0.09496	0.99823	0.98309 	0.98530 	0.98357 	0.98532 	0.98518 	0.98488 
Replication16	 0.13195	0.99779	0.97718 	0.97850 	0.97761 	0.97916 	0.97922 	0.97888 
Replication17	 0.17506	0.99730	0.96945 	0.97147 	0.97073 	0.97215 	0.97236 	0.97214 
Replication18	 0.13555	0.99775	0.97651 	0.97791 	0.97705 	0.97857 	0.97864 	0.97832 
Replication19	 0.18085	0.99724	0.96843 	0.97053 	0.96978 	0.97122 	0.97144 	0.97122 
Replication20	 0.23577	0.99662	0.95926 	0.96153 	0.96032 	0.96250 	0.96266 	0.96223 
Replication21	 0.18625	0.99718	0.96764 	0.96995 	0.96843 	0.97055 	0.97057 	0.97017 
Replication22	 0.22210	0.99678	0.96117 	0.96380 	0.96306 	0.96456 	0.96487 	0.96470 
