
Replication	FitnessValue	Frequency	Bus1	Bus2	Bus3	Bus4	Bus5	Bus6	Bus7	Bus8	Bus9	Bus10	Bus11	Bus12	Bus1_P	Bus2_P	Bus3_P	Bus4_P	Bus5_P	Bus6_P	Bus7_P	Bus8_P	Bus9_P	Bus10_P	Bus11_P	Bus12_P	Bus1_Q	Bus2_Q	Bus3_Q	Bus4_Q	Bus5_Q	Bus6_Q	Bus7_Q	Bus8_Q	Bus9_Q	Bus10_Q	Bus11_Q	Bus12_Q	PLoss	QLoss
Replication0	 -1.50797	0.99744	0.97579 	0.97967 	0.98208 	0.98438 	0.98240 	0.99188 	0.96698 	0.97305 	0.98423 	0.96905 	0.98640 	0.98428 	-0.14608 	-0.16027 	-0.15002 	0.08952 	0.00000 	0.45812 	-0.15137 	-0.14024 	0.00906 	-0.14204 	0.26751 	0.06947 	-0.04816 	-0.05284 	-0.04946 	0.06292 	0.00000 	0.10576 	-0.04990 	-0.04623 	0.00682 	-0.04683 	0.08819 	0.05592 	0.00367	0.02618
Replication1	 -1.45628	0.99700	0.97400 	0.97744 	0.97885 	0.98266 	0.98009 	0.98941 	0.95694 	0.96466 	0.97834 	0.95966 	0.97427 	0.97888 	-0.13401 	-0.15879 	-0.14834 	0.09687 	0.00000 	0.52648 	-0.15615 	-0.14015 	0.01107 	-0.14103 	0.16951 	0.08380 	-0.04422 	-0.05240 	-0.04895 	0.06576 	0.00000 	0.11434 	-0.05153 	-0.04624 	0.00844 	-0.04654 	0.05593 	0.06795 	0.00925	0.02254
Replication2	 -1.50028	0.99733	0.97705 	0.98010 	0.98136 	0.98493 	0.98262 	0.99141 	0.96462 	0.97077 	0.98250 	0.96694 	0.98197 	0.98278 	-0.12759 	-0.15051 	-0.15780 	0.08842 	0.00000 	0.47257 	-0.14365 	-0.14411 	0.00964 	-0.12604 	0.21047 	0.07343 	-0.04207 	-0.04963 	-0.05203 	0.06073 	0.00000 	0.10581 	-0.04737 	-0.04752 	0.00730 	-0.04156 	0.06940 	0.05932 	0.00483	0.02238
Replication3	 -1.47189	0.99714	0.97348 	0.97853 	0.98050 	0.98306 	0.98081 	0.99041 	0.96187 	0.96759 	0.98037 	0.96297 	0.97749 	0.98082 	-0.15716 	-0.14285 	-0.13414 	0.09499 	0.00000 	0.50141 	-0.12344 	-0.14663 	0.01038 	-0.14574 	0.17226 	0.07871 	-0.05185 	-0.04712 	-0.04425 	0.06530 	0.00000 	0.10811 	-0.04072 	-0.04837 	0.00788 	-0.04808 	0.05682 	0.06358 	0.00779	0.02131
Replication4	 -1.41955	0.99709	0.97341 	0.97903 	0.98074 	0.98326 	0.98094 	0.99023 	0.95595 	0.96375 	0.97906 	0.95832 	0.97553 	0.97936 	-0.15760 	-0.12699 	-0.11308 	0.09468 	0.00000 	0.50808 	-0.16465 	-0.16706 	0.01081 	-0.16290 	0.20939 	0.08240 	-0.05200 	-0.04190 	-0.03731 	0.06442 	0.00000 	0.10723 	-0.05432 	-0.05512 	0.00825 	-0.05374 	0.06908 	0.06699 	0.01308	0.02159
Replication5	 -1.42659	0.99686	0.97241 	0.97674 	0.97778 	0.98179 	0.97905 	0.98856 	0.95304 	0.96136 	0.97637 	0.95521 	0.97083 	0.97697 	-0.14499 	-0.14638 	-0.14521 	0.10018 	0.00000 	0.54927 	-0.15802 	-0.13793 	0.01173 	-0.16885 	0.16357 	0.08882 	-0.04786 	-0.04832 	-0.04793 	0.06762 	0.00000 	0.11804 	-0.05216 	-0.04553 	0.00899 	-0.05573 	0.05399 	0.07223 	0.01219	0.02336
Replication6	 -1.42752	0.99693	0.97297 	0.97728 	0.97888 	0.98229 	0.98007 	0.98914 	0.95540 	0.96220 	0.97727 	0.95686 	0.97221 	0.97780 	-0.14529 	-0.15216 	-0.13166 	0.09836 	0.00805 	0.53576 	-0.13831 	-0.16558 	0.01143 	-0.15885 	0.16391 	0.08664 	-0.04795 	-0.05022 	-0.04345 	0.06647 	0.00266 	0.11328 	-0.04565 	-0.05464 	0.00874 	-0.05242 	0.05409 	0.07039 	0.01230	0.02130
Replication7	 -1.42541	0.99686	0.97276 	0.97720 	0.97768 	0.98211 	0.97926 	0.98855 	0.95235 	0.96102 	0.97611 	0.95541 	0.97009 	0.97675 	-0.14415 	-0.13547 	-0.15073 	0.09928 	0.00000 	0.54978 	-0.16616 	-0.14473 	0.01181 	-0.14897 	0.15236 	0.08936 	-0.04758 	-0.04471 	-0.04975 	0.06666 	0.00000 	0.11775 	-0.05484 	-0.04777 	0.00906 	-0.04917 	0.05029 	0.07275 	0.01237	0.02268
Replication8	 -1.46671	0.99721	0.97469 	0.97870 	0.98049 	0.98352 	0.98122 	0.99059 	0.96082 	0.96764 	0.98100 	0.96215 	0.98050 	0.98119 	-0.14328 	-0.15261 	-0.14518 	0.09325 	0.00000 	0.49383 	-0.15173 	-0.14414 	0.01015 	-0.17719 	0.24721 	0.07762 	-0.04726 	-0.05034 	-0.04788 	0.06429 	0.00000 	0.11023 	-0.05005 	-0.04754 	0.00771 	-0.05844 	0.08154 	0.06286 	0.00793	0.02512
Replication9	 -1.44878	0.99720	0.97331 	0.97887 	0.98056 	0.98316 	0.98089 	0.99052 	0.95849 	0.96664 	0.98070 	0.96100 	0.98014 	0.98083 	-0.16412 	-0.13254 	-0.13759 	0.09439 	0.00000 	0.49578 	-0.17806 	-0.14617 	0.01025 	-0.17504 	0.26419 	0.07853 	-0.05413 	-0.04372 	-0.04538 	0.06529 	0.00000 	0.11031 	-0.05873 	-0.04821 	0.00780 	-0.05774 	0.08714 	0.06371 	0.00963	0.02633
