
Replication	FitnessValue	Frequency	Bus1	Bus2	Bus3	Bus4	Bus5	Bus6	Bus7	Bus8	Bus9	Bus10	Bus11	Bus12	Bus1_P	Bus2_P	Bus3_P	Bus4_P	Bus5_P	Bus6_P	Bus7_P	Bus8_P	Bus9_P	Bus10_P	Bus11_P	Bus12_P	Bus1_Q	Bus2_Q	Bus3_Q	Bus4_Q	Bus5_Q	Bus6_Q	Bus7_Q	Bus8_Q	Bus9_Q	Bus10_Q	Bus11_Q	Bus12_Q	PLoss	QLoss
Replication0	 -1.51764	0.99865	0.98608 	0.98993 	0.99185 	0.99547 	0.99331 	1.00124 	0.97679 	0.98232 	0.99352 	0.97910 	0.99403 	0.99419 	-0.15543 	-0.16660 	-0.15395 	0.10041 	0.01927 	0.45783 	-0.14045 	-0.15955 	0.01133 	-0.11614 	0.22189 	0.08422 	-0.05112 	-0.05479 	-0.05063 	0.07245 	0.00634 	0.08753 	-0.04619 	-0.05247 	0.00897 	-0.03820 	0.07298 	0.06999 	0.00284	0.02485
Replication1	 -1.46808	0.99848	0.98681 	0.99030 	0.99012 	0.99588 	0.99486 	1.00037 	0.96794 	0.97569 	0.98906 	0.97048 	0.98206 	0.99049 	-0.14778 	-0.14981 	-0.17440 	0.09977 	0.06030 	0.50826 	-0.14173 	-0.12801 	0.01423 	-0.13283 	0.09697 	0.10314 	-0.04862 	-0.04929 	-0.05738 	0.06826 	0.01984 	0.09097 	-0.04663 	-0.04211 	0.01157 	-0.04370 	0.03190 	0.08709 	0.00812	0.02192
Replication2	 -1.46750	0.99839	0.98214 	0.98767 	0.98969 	0.99341 	0.99004 	0.99976 	0.96835 	0.97592 	0.98909 	0.97088 	0.98338 	0.99047 	-0.17749 	-0.16030 	-0.13807 	0.11543 	0.00000 	0.54038 	-0.14474 	-0.13318 	0.01430 	-0.13451 	0.12229 	0.10377 	-0.05841 	-0.05275 	-0.04543 	0.08195 	0.00000 	0.09689 	-0.04763 	-0.04382 	0.01147 	-0.04426 	0.04024 	0.08672 	0.00787	0.02497
Replication3	 -1.44457	0.99862	0.98930 	0.99284 	0.99271 	0.99743 	0.99521 	1.00136 	0.96807 	0.97620 	0.99096 	0.97061 	0.98682 	0.99189 	-0.12398 	-0.11506 	-0.13060 	0.08907 	0.01976 	0.45813 	-0.16643 	-0.15659 	0.01293 	-0.16196 	0.18989 	0.09556 	-0.04078 	-0.03784 	-0.04295 	0.06051 	0.00650 	0.07979 	-0.05474 	-0.05150 	0.01052 	-0.05327 	0.06246 	0.08101 	0.01072	0.01969
Replication4	 -1.47699	0.99882	0.98938 	0.99330 	0.99484 	0.99774 	0.99630 	1.00248 	0.97514 	0.98209 	0.99508 	0.97832 	0.99690 	0.99534 	-0.13826 	-0.13136 	-0.11468 	0.08513 	0.02602 	0.39583 	-0.17811 	-0.18002 	0.01022 	-0.13730 	0.29202 	0.07770 	-0.04546 	-0.04319 	-0.03770 	0.06072 	0.00856 	0.07250 	-0.05856 	-0.05919 	0.00816 	-0.04514 	0.09601 	0.06527 	0.00721	0.02198
Replication5	 -1.46421	0.99841	0.98322 	0.98734 	0.98938 	0.99357 	0.99017 	0.99975 	0.96838 	0.97537 	0.98956 	0.97014 	0.98709 	0.99058 	-0.15923 	-0.17921 	-0.15085 	0.11427 	0.00000 	0.53800 	-0.15265 	-0.16721 	0.01399 	-0.16471 	0.21237 	0.10311 	-0.05239 	-0.05897 	-0.04964 	0.08122 	0.00000 	0.10023 	-0.05023 	-0.05502 	0.01120 	-0.05420 	0.06988 	0.08628 	0.00786	0.02835
Replication6	 -1.41378	0.99833	0.98482 	0.98895 	0.98943 	0.99458 	0.99102 	0.99952 	0.96164 	0.97057 	0.98677 	0.96525 	0.97851 	0.98829 	-0.14123 	-0.14245 	-0.13631 	0.10910 	0.00000 	0.55617 	-0.16944 	-0.17380 	0.01578 	-0.13472 	0.11571 	0.11470 	-0.04648 	-0.04688 	-0.04486 	0.07438 	0.00000 	0.09629 	-0.05576 	-0.05720 	0.01285 	-0.04434 	0.03808 	0.09702 	0.01352	0.02311
Replication7	 -1.41002	0.99826	0.98264 	0.98737 	0.98869 	0.99342 	0.99019 	0.99907 	0.96166 	0.96996 	0.98598 	0.96355 	0.97665 	0.98767 	-0.16057 	-0.16203 	-0.13413 	0.11674 	0.01011 	0.57986 	-0.14419 	-0.15154 	0.01633 	-0.16509 	0.09017 	0.11809 	-0.05285 	-0.05333 	-0.04415 	0.08054 	0.00333 	0.10034 	-0.04746 	-0.04988 	0.01327 	-0.05434 	0.02968 	0.09965 	0.01374	0.02480
Replication8	 -1.47009	0.99866	0.98871 	0.99179 	0.99259 	0.99694 	0.99535 	1.00143 	0.97113 	0.97865 	0.99209 	0.97274 	0.98973 	0.99290 	-0.13043 	-0.14570 	-0.13941 	0.09167 	0.03337 	0.45148 	-0.15525 	-0.13319 	0.01221 	-0.17854 	0.21121 	0.09050 	-0.04290 	-0.04792 	-0.04585 	0.06376 	0.01098 	0.08181 	-0.05106 	-0.04381 	0.00986 	-0.05872 	0.06946 	0.07629 	0.00791	0.02190
Replication9	 -1.52115	0.99866	0.98502 	0.98957 	0.99163 	0.99498 	0.99202 	1.00117 	0.97693 	0.98318 	0.99404 	0.97912 	0.99606 	0.99458 	-0.16552 	-0.16003 	-0.15615 	0.10323 	0.00000 	0.45869 	-0.15373 	-0.13703 	0.01100 	-0.14193 	0.26133 	0.08227 	-0.05444 	-0.05263 	-0.05135 	0.07546 	0.00000 	0.09085 	-0.05056 	-0.04507 	0.00866 	-0.04668 	0.08594 	0.06813 	0.00214	0.02832
